time,enrolled,available,waitlisted,total
2022-05-20T04:36:56,0,8,0,8
2022-05-20T04:47:13,0,8,0,8
2022-05-20T04:57:29,0,8,0,8
2022-05-20T05:07:45,0,8,0,8
2022-05-20T05:18:01,0,8,0,8
2022-05-20T05:28:16,0,8,0,8
2022-05-20T05:38:32,0,8,0,8
2022-05-20T05:48:47,0,8,0,8
2022-05-20T05:59:03,0,8,0,8
2022-05-20T06:09:18,0,8,0,8
2022-05-20T06:19:33,0,8,0,8
2022-05-20T06:29:49,0,8,0,8
2022-05-20T06:40:03,0,8,0,8
2022-05-20T06:50:17,0,8,0,8
2022-05-20T07:00:30,0,8,0,8
2022-05-20T07:10:47,0,8,0,8
2022-05-20T07:21:01,0,8,0,8
2022-05-20T07:31:14,0,8,0,8
2022-05-20T07:41:29,0,8,0,8
2022-05-20T07:51:43,0,8,0,8
2022-05-20T08:01:57,0,8,0,8
2022-05-20T08:12:11,0,8,0,8
2022-05-20T08:22:25,0,8,0,8
2022-05-20T08:32:41,0,8,0,8
2022-05-20T08:42:56,0,8,0,8
2022-05-20T08:53:10,0,8,0,8
2022-05-20T09:03:26,0,8,0,8
2022-05-20T09:13:53,0,8,0,8
2022-05-20T09:24:09,0,8,0,8
2022-05-20T09:34:25,0,8,0,8
2022-05-20T09:44:41,0,8,0,8
2022-05-20T09:54:57,0,8,0,8
2022-05-20T10:05:14,0,8,0,8
2022-05-20T10:15:29,0,8,0,8
2022-05-20T10:25:45,0,8,0,8
2022-05-20T10:36:01,0,8,0,8
2022-05-20T10:46:17,0,8,0,8
2022-05-20T10:56:45,0,8,0,8
2022-05-20T11:07:02,0,8,0,8
2022-05-20T11:17:18,0,8,0,8
2022-05-20T11:27:34,0,8,0,8
2022-05-20T11:37:50,0,8,0,8
2022-05-20T11:48:06,0,8,0,8
2022-05-20T11:58:36,0,8,0,8
2022-05-20T12:08:51,0,8,0,8
2022-05-20T12:19:07,0,8,0,8
2022-05-20T12:29:22,0,8,0,8
2022-05-20T12:39:37,0,8,0,8
2022-05-20T12:49:52,0,8,0,8
2022-05-20T13:00:09,0,8,0,8
2022-05-20T13:10:36,0,8,0,8
2022-05-20T13:20:52,0,8,0,8
2022-05-20T13:31:08,0,8,0,8
2022-05-20T13:41:25,0,8,0,8
2022-05-20T13:51:41,0,8,0,8
2022-05-20T14:01:57,0,8,0,8
2022-05-20T14:12:23,0,8,0,8
2022-05-20T14:22:38,0,8,0,8
2022-05-20T14:32:54,0,8,0,8
2022-05-20T14:43:10,0,8,0,8
2022-05-20T14:53:25,0,8,0,8
2022-05-20T15:03:40,0,8,0,8
2022-05-20T15:14:06,0,8,0,8
2022-05-20T15:24:22,0,8,0,8
2022-05-20T15:34:37,0,8,0,8
2022-05-20T15:44:52,0,8,0,8
2022-05-20T15:55:07,0,8,0,8
2022-05-20T16:05:22,0,8,0,8
2022-05-20T16:15:37,0,8,0,8
2022-05-20T16:26:02,0,8,0,8
2022-05-20T16:36:17,0,8,0,8
2022-05-20T16:46:31,0,8,0,8
2022-05-20T16:56:45,0,8,0,8
2022-05-20T17:07:00,0,8,0,8
2022-05-20T17:17:14,0,8,0,8
2022-05-20T17:27:28,0,8,0,8
2022-05-20T17:37:42,0,8,0,8
2022-05-20T17:47:56,0,8,0,8
2022-05-20T17:58:10,0,8,0,8
2022-05-20T18:08:24,0,8,0,8
2022-05-20T18:18:47,0,8,0,8
2022-05-20T18:29:00,0,8,0,8
2022-05-20T18:39:13,0,8,0,8
2022-05-20T18:49:27,0,8,0,8
2022-05-20T18:59:40,0,8,0,8
2022-05-20T19:09:54,0,8,0,8
2022-05-20T19:20:08,0,8,0,8
2022-05-20T19:30:22,0,8,0,8
2022-05-20T19:40:37,0,8,0,8
2022-05-20T19:50:50,0,8,0,8
2022-05-20T20:01:14,0,8,0,8
2022-05-20T20:11:27,0,8,0,8
2022-05-20T20:21:41,0,8,0,8
2022-05-20T20:31:55,0,8,0,8
2022-05-20T20:42:08,0,8,0,8
2022-05-20T20:52:22,0,8,0,8
2022-05-20T21:02:35,0,8,0,8
2022-05-20T21:12:49,0,8,0,8
2022-05-20T21:23:03,0,8,0,8
2022-05-20T21:33:27,0,8,0,8
2022-05-20T21:43:40,0,8,0,8
2022-05-20T21:53:54,0,8,0,8
2022-05-20T22:04:09,0,8,0,8
2022-05-20T22:14:22,0,8,0,8
2022-05-20T22:24:37,0,8,0,8
2022-05-20T22:34:51,0,8,0,8
2022-05-20T22:45:04,0,8,0,8
2022-05-20T22:55:17,0,8,0,8
2022-05-20T23:05:32,0,8,0,8
2022-05-20T23:15:56,0,8,0,8
2022-05-20T23:26:10,0,8,0,8
2022-05-20T23:36:23,0,8,0,8
2022-05-20T23:46:37,0,8,0,8
2022-05-20T23:56:50,0,8,0,8
2022-05-21T00:07:05,0,8,0,8
2022-05-21T00:17:22,0,8,0,8
2022-05-21T00:27:37,0,8,0,8
