time,enrolled,available,waitlisted,total
2022-05-18T04:40:19,0,999,0,999
2022-05-18T04:50:29,0,999,0,999
2022-05-18T05:00:39,0,999,0,999
2022-05-18T05:10:50,0,999,0,999
2022-05-18T05:21:00,0,999,0,999
2022-05-18T05:31:12,0,999,0,999
2022-05-18T05:41:21,0,999,0,999
2022-05-18T05:51:31,0,999,0,999
2022-05-18T06:01:42,0,999,0,999
2022-05-18T06:11:54,0,999,0,999
2022-05-18T06:22:02,0,999,0,999
2022-05-18T06:32:11,0,999,0,999
2022-05-18T06:42:18,0,999,0,999
2022-05-18T06:52:26,0,999,0,999
2022-05-18T07:02:34,0,999,0,999
2022-05-18T07:12:43,0,999,0,999
2022-05-18T07:22:50,0,999,0,999
2022-05-18T07:32:58,0,999,0,999
2022-05-18T07:43:06,0,999,0,999
2022-05-18T07:53:14,0,999,0,999
2022-05-18T08:03:22,0,999,0,999
2022-05-18T08:13:30,0,999,0,999
2022-05-18T08:23:38,0,999,0,999
2022-05-18T08:33:47,0,999,0,999
2022-05-18T08:43:57,0,999,0,999
2022-05-18T08:54:05,0,999,0,999
2022-05-18T09:04:15,0,999,0,999
2022-05-18T09:14:36,0,999,0,999
2022-05-18T09:24:44,0,999,0,999
2022-05-18T09:34:54,0,999,0,999
2022-05-18T09:45:03,0,999,0,999
2022-05-18T09:55:12,0,999,0,999
2022-05-18T10:05:24,0,999,0,999
2022-05-18T10:15:36,0,999,0,999
2022-05-18T10:25:47,0,999,0,999
2022-05-18T10:35:57,0,999,0,999
2022-05-18T10:46:19,0,999,0,999
2022-05-18T10:56:29,0,999,0,999
2022-05-18T11:06:40,0,999,0,999
2022-05-18T11:16:49,0,999,0,999
2022-05-18T11:26:58,0,999,0,999
2022-05-18T11:37:07,0,999,0,999
2022-05-18T11:47:16,0,999,0,999
2022-05-18T11:57:35,0,999,0,999
2022-05-18T12:07:43,0,999,0,999
2022-05-18T12:17:52,0,999,0,999
2022-05-18T12:28:02,0,999,0,999
2022-05-18T12:38:12,0,999,0,999
2022-05-18T12:48:22,0,999,0,999
2022-05-18T12:58:33,0,999,0,999
2022-05-18T13:08:43,0,999,0,999
2022-05-18T13:19:04,0,999,0,999
2022-05-18T13:29:13,0,999,0,999
2022-05-18T13:39:25,0,999,0,999
2022-05-18T13:49:35,0,999,0,999
2022-05-18T13:59:46,0,999,0,999
2022-05-18T14:09:56,0,999,0,999
2022-05-18T14:20:07,0,999,0,999
2022-05-18T14:30:28,0,999,0,999
2022-05-18T14:40:39,0,999,0,999
2022-05-18T14:50:49,0,999,0,999
2022-05-18T15:01:00,0,999,0,999
2022-05-18T15:11:12,0,999,0,999
2022-05-18T15:21:23,0,999,0,999
2022-05-18T15:31:33,0,999,0,999
2022-05-18T15:41:54,0,999,0,999
2022-05-18T15:52:05,0,999,0,999
2022-05-18T16:02:16,0,999,0,999
2022-05-18T16:12:27,0,999,0,999
2022-05-18T16:22:38,0,999,0,999
2022-05-18T16:32:48,0,999,0,999
2022-05-18T16:42:58,0,999,0,999
2022-05-18T16:53:07,0,999,0,999
2022-05-18T17:03:28,0,999,0,999
2022-05-18T17:13:38,0,999,0,999
2022-05-18T17:23:48,0,999,0,999
2022-05-18T17:33:57,0,999,0,999
2022-05-18T17:44:06,0,999,0,999
2022-05-18T17:54:15,0,999,0,999
2022-05-18T18:04:25,0,999,0,999
2022-05-18T18:14:34,0,999,0,999
2022-05-18T18:24:45,0,999,0,999
2022-05-18T18:35:05,0,999,0,999
2022-05-18T18:45:14,0,999,0,999
2022-05-18T18:55:22,0,999,0,999
2022-05-18T19:05:31,0,999,0,999
2022-05-18T19:15:40,0,999,0,999
2022-05-18T19:25:50,0,999,0,999
2022-05-18T19:35:59,0,999,0,999
2022-05-18T19:46:08,0,999,0,999
2022-05-18T19:56:17,0,999,0,999
2022-05-18T20:06:26,0,999,0,999
2022-05-18T20:16:45,0,999,0,999
2022-05-18T20:26:54,0,999,0,999
2022-05-18T20:37:03,0,999,0,999
2022-05-18T20:47:12,0,999,0,999
2022-05-18T20:57:20,0,999,0,999
2022-05-18T21:07:31,0,999,0,999
2022-05-18T21:17:40,0,999,0,999
2022-05-18T21:27:49,0,999,0,999
2022-05-18T21:37:57,0,999,0,999
2022-05-18T21:48:07,0,999,0,999
2022-05-18T21:58:25,0,999,0,999
2022-05-18T22:08:35,0,999,0,999
2022-05-18T22:18:43,0,999,0,999
2022-05-18T22:28:52,0,999,0,999
2022-05-18T22:39:01,0,999,0,999
2022-05-18T22:49:10,0,999,0,999
2022-05-18T22:59:19,0,999,0,999
2022-05-18T23:09:29,0,999,0,999
2022-05-18T23:19:39,0,999,0,999
2022-05-18T23:30:02,0,999,0,999
2022-05-18T23:40:11,0,999,0,999
2022-05-18T23:50:20,0,999,0,999
2022-05-19T00:00:29,0,999,0,999
2022-05-19T00:10:41,0,999,0,999
2022-05-19T00:20:53,0,999,0,999
2022-05-19T00:31:07,0,999,0,999
2022-05-19T00:41:23,0,999,0,999
2022-05-19T00:51:34,0,999,0,999
2022-05-19T01:01:44,0,999,0,999
2022-05-19T01:11:53,0,999,0,999
2022-05-19T01:22:04,0,999,0,999
2022-05-19T01:32:13,0,999,0,999
2022-05-19T01:42:22,0,999,0,999
2022-05-19T01:52:33,0,999,0,999
2022-05-19T02:02:53,0,999,0,999
2022-05-19T02:13:03,0,999,0,999
2022-05-19T02:23:12,0,999,0,999
2022-05-19T02:33:20,0,999,0,999
2022-05-19T02:43:28,0,999,0,999
2022-05-19T02:53:36,0,999,0,999
2022-05-19T03:03:44,0,999,0,999
2022-05-19T03:13:54,0,999,0,999
2022-05-19T03:24:15,0,999,0,999
2022-05-19T03:34:26,0,999,0,999
2022-05-19T03:44:36,0,999,0,999
2022-05-19T03:54:47,0,999,0,999
2022-05-19T04:04:57,0,999,0,999
2022-05-19T04:32:17,0,999,0,999
2022-05-19T04:42:43,0,999,0,999
2022-05-19T04:52:55,0,999,0,999
2022-05-19T05:03:07,0,999,0,999
2022-05-19T05:13:19,0,999,0,999
2022-05-19T05:23:30,0,999,0,999
2022-05-19T05:33:41,0,999,0,999
2022-05-19T05:43:51,0,999,0,999
2022-05-19T05:54:02,0,999,0,999
2022-05-19T06:04:13,0,999,0,999
2022-05-19T06:14:24,0,999,0,999
2022-05-19T06:24:35,0,999,0,999
2022-05-19T06:34:46,0,999,0,999
2022-05-19T06:44:57,0,999,0,999
2022-05-19T06:55:07,0,999,0,999
2022-05-19T07:05:21,0,999,0,999
2022-05-19T07:15:32,0,999,0,999
2022-05-19T07:25:41,0,999,0,999
2022-05-19T07:35:51,0,999,0,999
2022-05-19T07:46:00,0,999,0,999
2022-05-19T07:56:09,0,999,0,999
2022-05-19T08:06:19,0,999,0,999
2022-05-19T08:16:28,0,999,0,999
2022-05-19T08:26:37,0,999,0,999
2022-05-19T08:36:47,0,999,0,999
2022-05-19T08:46:58,0,999,0,999
2022-05-19T08:57:08,0,999,0,999
2022-05-19T09:07:35,0,999,0,999
2022-05-19T09:17:45,0,999,0,999
