time,enrolled,available,waitlisted,total
2022-05-20T04:32:37,0,90,0,90
2022-05-20T04:42:54,0,90,0,90
2022-05-20T04:53:11,0,90,0,90
2022-05-20T05:03:27,0,90,0,90
2022-05-20T05:13:43,0,90,0,90
2022-05-20T05:23:57,0,90,0,90
2022-05-20T05:34:13,0,90,0,90
2022-05-20T05:44:29,0,90,0,90
2022-05-20T05:54:45,0,90,0,90
2022-05-20T06:05:00,0,90,0,90
2022-05-20T06:15:15,0,90,0,90
2022-05-20T06:25:31,0,90,0,90
2022-05-20T06:35:45,0,90,0,90
2022-05-20T06:45:59,0,90,0,90
2022-05-20T06:56:13,0,90,0,90
2022-05-20T07:06:30,0,90,0,90
2022-05-20T07:16:43,0,90,0,90
2022-05-20T07:26:57,0,90,0,90
2022-05-20T07:37:10,0,90,0,90
2022-05-20T07:47:25,0,90,0,90
2022-05-20T07:57:39,0,90,0,90
2022-05-20T08:07:53,0,90,0,90
2022-05-20T08:18:07,0,90,0,90
2022-05-20T08:28:23,0,90,0,90
2022-05-20T08:38:38,0,90,0,90
2022-05-20T08:48:52,0,90,0,90
2022-05-20T08:59:07,0,90,0,90
2022-05-20T09:09:35,0,90,0,90
2022-05-20T09:19:50,0,90,0,90
2022-05-20T09:30:06,0,90,0,90
2022-05-20T09:40:22,0,90,0,90
2022-05-20T09:50:38,0,90,0,90
2022-05-20T10:00:54,0,90,0,90
2022-05-20T10:11:11,0,90,0,90
2022-05-20T10:21:26,1,89,0,90
2022-05-20T10:31:43,1,89,0,90
2022-05-20T10:41:58,1,89,0,90
2022-05-20T10:52:27,1,89,0,90
2022-05-20T11:02:43,1,89,0,90
2022-05-20T11:13:00,1,89,0,90
2022-05-20T11:23:16,1,89,0,90
2022-05-20T11:33:31,1,89,0,90
2022-05-20T11:43:48,1,89,0,90
2022-05-20T11:54:17,1,89,0,90
2022-05-20T12:04:33,1,89,0,90
2022-05-20T12:14:49,1,89,0,90
2022-05-20T12:25:04,1,89,0,90
2022-05-20T12:35:19,1,89,0,90
2022-05-20T12:45:34,1,89,0,90
2022-05-20T12:55:50,1,89,0,90
2022-05-20T13:06:17,1,89,0,90
2022-05-20T13:16:34,1,89,0,90
2022-05-20T13:26:49,1,89,0,90
2022-05-20T13:37:07,1,89,0,90
2022-05-20T13:47:23,1,89,0,90
2022-05-20T13:57:38,1,89,0,90
2022-05-20T14:08:05,1,89,0,90
2022-05-20T14:18:20,2,88,0,90
2022-05-20T14:28:36,2,88,0,90
2022-05-20T14:38:51,2,88,0,90
2022-05-20T14:49:07,2,88,0,90
2022-05-20T14:59:22,2,88,0,90
2022-05-20T15:09:48,2,88,0,90
2022-05-20T15:20:03,2,88,0,90
2022-05-20T15:30:19,2,88,0,90
2022-05-20T15:40:34,2,88,0,90
2022-05-20T15:50:49,2,88,0,90
2022-05-20T16:01:04,2,88,0,90
2022-05-20T16:11:19,2,88,0,90
2022-05-20T16:21:44,2,88,0,90
2022-05-20T16:31:59,2,88,0,90
2022-05-20T16:42:13,2,88,0,90
2022-05-20T16:52:27,2,88,0,90
2022-05-20T17:02:42,2,88,0,90
2022-05-20T17:12:56,2,88,0,90
2022-05-20T17:23:10,2,88,0,90
2022-05-20T17:33:24,2,88,0,90
2022-05-20T17:43:38,2,88,0,90
2022-05-20T17:53:52,2,88,0,90
2022-05-20T18:04:06,2,88,0,90
2022-05-20T18:14:29,2,88,0,90
2022-05-20T18:24:43,2,88,0,90
2022-05-20T18:34:56,2,88,0,90
2022-05-20T18:45:09,2,88,0,90
2022-05-20T18:55:23,2,88,0,90
2022-05-20T19:05:37,2,88,0,90
2022-05-20T19:15:51,2,88,0,90
2022-05-20T19:26:05,2,88,0,90
2022-05-20T19:36:18,2,88,0,90
2022-05-20T19:46:33,2,88,0,90
2022-05-20T19:56:56,2,88,0,90
