time,enrolled,available,waitlisted,total
2022-05-20T04:32:39,0,90,0,90
2022-05-20T04:42:55,0,90,0,90
2022-05-20T04:53:12,0,90,0,90
2022-05-20T05:03:28,0,90,0,90
2022-05-20T05:13:44,0,90,0,90
2022-05-20T05:23:59,0,90,0,90
2022-05-20T05:34:15,0,90,0,90
2022-05-20T05:44:30,0,90,0,90
2022-05-20T05:54:46,0,90,0,90
2022-05-20T06:05:02,0,90,0,90
2022-05-20T06:15:16,0,90,0,90
2022-05-20T06:25:33,0,90,0,90
2022-05-20T06:35:47,0,90,0,90
2022-05-20T06:46:01,0,90,0,90
2022-05-20T06:56:14,0,90,0,90
2022-05-20T07:06:31,0,90,0,90
2022-05-20T07:16:45,0,90,0,90
2022-05-20T07:26:58,0,90,0,90
2022-05-20T07:37:12,0,90,0,90
2022-05-20T07:47:27,0,90,0,90
2022-05-20T07:57:41,0,90,0,90
2022-05-20T08:07:55,0,90,0,90
2022-05-20T08:18:09,0,90,0,90
2022-05-20T08:28:25,0,90,0,90
2022-05-20T08:38:39,0,90,0,90
2022-05-20T08:48:54,0,90,0,90
2022-05-20T08:59:09,0,90,0,90
2022-05-20T09:09:36,0,90,0,90
2022-05-20T09:19:52,0,90,0,90
2022-05-20T09:30:08,0,90,0,90
2022-05-20T09:40:24,0,90,0,90
2022-05-20T09:50:40,0,90,0,90
2022-05-20T10:00:56,0,90,0,90
2022-05-20T10:11:13,0,90,0,90
2022-05-20T10:21:28,0,90,0,90
2022-05-20T10:31:44,0,90,0,90
2022-05-20T10:41:59,0,90,0,90
2022-05-20T10:52:28,0,90,0,90
2022-05-20T11:02:45,0,90,0,90
2022-05-20T11:13:01,1,89,0,90
2022-05-20T11:23:17,2,88,0,90
2022-05-20T11:33:33,2,88,0,90
2022-05-20T11:43:49,2,88,0,90
2022-05-20T11:54:19,3,87,0,90
2022-05-20T12:04:35,3,87,0,90
2022-05-20T12:14:50,3,87,0,90
2022-05-20T12:25:05,4,86,0,90
2022-05-20T12:35:20,5,85,0,90
2022-05-20T12:45:36,6,84,0,90
2022-05-20T12:55:52,6,84,0,90
2022-05-20T13:06:19,6,84,0,90
2022-05-20T13:16:35,6,84,0,90
2022-05-20T13:26:51,6,84,0,90
2022-05-20T13:37:08,6,84,0,90
2022-05-20T13:47:24,6,84,0,90
2022-05-20T13:57:40,6,84,0,90
2022-05-20T14:08:06,6,84,0,90
2022-05-20T14:18:21,6,84,0,90
2022-05-20T14:28:37,7,83,0,90
2022-05-20T14:38:53,7,83,0,90
2022-05-20T14:49:08,7,83,0,90
2022-05-20T14:59:24,8,82,0,90
2022-05-20T15:09:50,8,82,0,90
2022-05-20T15:20:05,8,82,0,90
2022-05-20T15:30:21,8,82,0,90
2022-05-20T15:40:35,8,82,0,90
2022-05-20T15:50:50,8,82,0,90
2022-05-20T16:01:06,8,82,0,90
2022-05-20T16:11:21,8,82,0,90
2022-05-20T16:21:46,8,82,0,90
2022-05-20T16:32:01,8,82,0,90
2022-05-20T16:42:15,8,82,0,90
2022-05-20T16:52:29,8,82,0,90
2022-05-20T17:02:44,8,82,0,90
2022-05-20T17:12:58,8,82,0,90
2022-05-20T17:23:12,8,82,0,90
2022-05-20T17:33:26,8,82,0,90
2022-05-20T17:43:40,8,82,0,90
2022-05-20T17:53:54,8,82,0,90
2022-05-20T18:04:08,9,81,0,90
2022-05-20T18:14:31,9,81,0,90
2022-05-20T18:24:44,9,81,0,90
2022-05-20T18:34:58,9,81,0,90
2022-05-20T18:45:11,9,81,0,90
2022-05-20T18:55:24,10,80,0,90
2022-05-20T19:05:38,10,80,0,90
2022-05-20T19:15:52,10,80,0,90
2022-05-20T19:26:06,10,80,0,90
2022-05-20T19:36:20,10,80,0,90
2022-05-20T19:46:34,10,80,0,90
2022-05-20T19:56:58,10,80,0,90
2022-05-20T20:07:12,10,80,0,90
2022-05-20T20:17:25,10,80,0,90
2022-05-20T20:27:39,10,80,0,90
2022-05-20T20:37:52,10,80,0,90
2022-05-20T20:48:06,10,80,0,90
2022-05-20T20:58:19,10,80,0,90
2022-05-20T21:08:33,10,80,0,90
2022-05-20T21:18:47,10,80,0,90
2022-05-20T21:29:11,10,80,0,90
2022-05-20T21:39:24,10,80,0,90
2022-05-20T21:49:38,10,80,0,90
2022-05-20T21:59:52,11,79,0,90
2022-05-20T22:10:06,11,79,0,90
2022-05-20T22:20:21,11,79,0,90
2022-05-20T22:30:35,11,79,0,90
2022-05-20T22:40:48,11,79,0,90
2022-05-20T22:51:01,11,79,0,90
2022-05-20T23:01:15,11,79,0,90
2022-05-20T23:11:29,11,79,0,90
2022-05-20T23:21:54,11,79,0,90
2022-05-20T23:32:07,11,79,0,90
2022-05-20T23:42:21,11,79,0,90
2022-05-20T23:52:34,11,79,0,90
2022-05-21T00:02:49,11,79,0,90
2022-05-21T00:13:05,11,79,0,90
2022-05-21T00:23:21,11,79,0,90
2022-05-21T00:33:37,12,78,0,90
2022-05-21T00:43:52,12,78,0,90
2022-05-21T00:54:08,12,78,0,90
2022-05-21T01:04:23,12,78,0,90
2022-05-21T01:14:39,12,78,0,90
2022-05-21T01:24:53,12,78,0,90
2022-05-21T01:35:09,12,78,0,90
2022-05-21T01:45:24,12,78,0,90
2022-05-21T01:55:38,12,78,0,90
2022-05-21T02:06:02,12,78,0,90
2022-05-21T02:16:16,12,78,0,90
2022-05-21T02:26:29,12,78,0,90
2022-05-21T02:36:43,12,78,0,90
2022-05-21T02:46:56,12,78,0,90
2022-05-21T02:57:09,12,78,0,90
2022-05-21T03:07:21,12,78,0,90
2022-05-21T03:17:37,12,78,0,90
2022-05-21T03:27:56,12,78,0,90
2022-05-21T03:38:11,12,78,0,90
2022-05-21T03:48:27,12,78,0,90
2022-05-21T03:58:42,12,78,0,90
2022-05-21T04:08:57,12,78,0,90
2022-05-21T04:24:18,12,78,0,90
2022-05-21T04:35:43,12,78,0,90
2022-05-21T04:46:15,12,78,0,90
2022-05-21T04:56:30,12,78,0,90
2022-05-21T05:06:46,12,78,0,90
2022-05-21T05:17:02,12,78,0,90
2022-05-21T05:27:18,12,78,0,90
2022-05-21T05:37:34,12,78,0,90
2022-05-21T05:47:49,12,78,0,90
2022-05-21T05:58:05,12,78,0,90
2022-05-21T06:08:21,12,78,0,90
2022-05-21T06:18:35,12,78,0,90
2022-05-21T06:28:52,12,78,0,90
2022-05-21T06:39:07,12,78,0,90
2022-05-21T06:49:23,12,78,0,90
2022-05-21T06:59:38,12,78,0,90
2022-05-21T07:09:54,12,78,0,90
2022-05-21T07:20:09,12,78,0,90
2022-05-21T07:30:24,12,78,0,90
2022-05-21T07:40:39,12,78,0,90
2022-05-21T07:50:54,12,78,0,90
2022-05-21T08:01:09,12,78,0,90
2022-05-21T08:11:23,12,78,0,90
2022-05-21T08:21:40,12,78,0,90
2022-05-21T08:31:54,12,78,0,90
2022-05-21T08:42:09,12,78,0,90
2022-05-21T08:52:45,12,78,0,90
2022-05-21T09:02:59,13,77,0,90
2022-05-21T09:13:12,13,77,0,90
2022-05-21T09:23:25,14,76,0,90
2022-05-21T09:33:38,14,76,0,90
2022-05-21T09:43:51,14,76,0,90
2022-05-21T09:54:04,14,76,0,90
2022-05-21T10:04:18,14,76,0,90
2022-05-21T10:14:31,14,76,0,90
2022-05-21T10:24:44,14,76,0,90
2022-05-21T10:34:58,14,76,0,90
2022-05-21T10:45:11,15,75,0,90
2022-05-21T10:55:24,15,75,0,90
2022-05-21T11:05:38,15,75,0,90
2022-05-21T11:16:02,15,75,0,90
2022-05-21T11:26:16,15,75,0,90
2022-05-21T11:36:30,15,75,0,90
2022-05-21T11:46:44,15,75,0,90
2022-05-21T11:56:57,15,75,0,90
2022-05-21T12:07:11,15,75,0,90
2022-05-21T12:17:25,16,74,0,90
2022-05-21T12:27:38,16,74,0,90
2022-05-21T12:38:12,16,74,0,90
2022-05-21T12:48:25,16,74,0,90
2022-05-21T12:58:39,16,74,0,90
2022-05-21T13:08:52,16,74,0,90
2022-05-21T13:19:06,16,74,0,90
2022-05-21T13:29:19,17,73,0,90
2022-05-21T13:39:32,18,72,0,90
2022-05-21T13:49:46,18,72,0,90
2022-05-21T13:59:59,18,72,0,90
2022-05-21T14:10:13,18,72,0,90
2022-05-21T14:20:36,18,72,0,90
2022-05-21T14:30:49,18,72,0,90
2022-05-21T14:41:03,18,72,0,90
2022-05-21T14:51:18,18,72,0,90
2022-05-21T15:01:33,18,72,0,90
2022-05-21T15:11:46,18,72,0,90
2022-05-21T15:21:59,20,70,0,90
2022-05-21T15:32:23,20,70,0,90
2022-05-21T15:42:37,20,70,0,90
2022-05-21T15:52:50,20,70,0,90
2022-05-21T16:03:03,20,70,0,90
2022-05-21T16:13:17,20,70,0,90
2022-05-21T16:23:31,20,70,0,90
2022-05-21T16:33:44,20,70,0,90
2022-05-21T16:43:57,20,70,0,90
2022-05-21T16:54:11,20,70,0,90
2022-05-21T17:04:43,20,70,0,90
2022-05-21T17:14:57,20,70,0,90
2022-05-21T17:25:11,20,70,0,90
2022-05-21T17:35:24,21,69,0,90
2022-05-21T17:45:38,21,69,0,90
2022-05-21T17:55:50,21,69,0,90
2022-05-21T18:06:04,21,69,0,90
2022-05-21T18:16:17,21,69,0,90
2022-05-21T18:26:31,21,69,0,90
2022-05-21T18:36:45,21,69,0,90
2022-05-21T18:46:58,22,68,0,90
2022-05-21T18:57:39,22,68,0,90
2022-05-21T19:07:53,22,68,0,90
2022-05-21T19:18:06,23,67,0,90
2022-05-21T19:28:19,23,67,0,90
2022-05-21T19:38:33,23,67,0,90
2022-05-21T19:48:48,24,66,0,90
2022-05-21T19:59:02,24,66,0,90
2022-05-21T20:09:17,24,66,0,90
2022-05-21T20:19:30,24,66,0,90
2022-05-21T20:29:43,25,65,0,90
2022-05-21T20:40:08,25,65,0,90
2022-05-21T20:50:22,25,65,0,90
2022-05-21T21:00:35,25,65,0,90
2022-05-21T21:10:49,25,65,0,90
2022-05-21T21:21:02,25,65,0,90
2022-05-21T21:31:16,25,65,0,90
2022-05-21T21:41:29,25,65,0,90
2022-05-21T21:51:42,25,65,0,90
2022-05-21T22:01:56,25,65,0,90
2022-05-21T22:12:32,25,65,0,90
2022-05-21T22:22:45,25,65,0,90
2022-05-21T22:32:59,25,65,0,90
2022-05-21T22:43:12,25,65,0,90
2022-05-21T22:53:25,25,65,0,90
2022-05-21T23:03:38,25,65,0,90
2022-05-21T23:13:52,25,65,0,90
2022-05-21T23:24:05,25,65,0,90
2022-05-21T23:34:18,25,65,0,90
2022-05-21T23:44:31,25,65,0,90
2022-05-21T23:54:44,25,65,0,90
2022-05-22T00:04:58,25,65,0,90
2022-05-22T00:15:12,25,65,0,90
2022-05-22T00:25:27,25,65,0,90
2022-05-22T00:35:53,25,65,0,90
2022-05-22T00:46:07,25,65,0,90
2022-05-22T00:56:19,25,65,0,90
2022-05-22T01:06:32,25,65,0,90
2022-05-22T01:16:45,25,65,0,90
2022-05-22T01:26:58,25,65,0,90
2022-05-22T01:37:10,25,65,0,90
2022-05-22T01:47:23,25,65,0,90
2022-05-22T01:57:36,25,65,0,90
2022-05-22T02:07:49,25,65,0,90
2022-05-22T02:18:02,25,65,0,90
2022-05-22T02:28:16,25,65,0,90
2022-05-22T02:38:33,25,65,0,90
2022-05-22T02:48:49,25,65,0,90
2022-05-22T02:59:04,25,65,0,90
2022-05-22T03:10:15,25,65,0,90
2022-05-22T03:20:30,25,65,0,90
2022-05-22T03:30:46,25,65,0,90
2022-05-22T03:41:11,25,65,0,90
2022-05-22T03:51:26,25,65,0,90
2022-05-22T04:01:41,25,65,0,90
2022-05-22T04:22:37,25,65,0,90
2022-05-22T04:33:07,25,65,0,90
2022-05-22T04:43:23,25,65,0,90
2022-05-22T04:53:39,25,65,0,90
2022-05-22T05:03:55,25,65,0,90
2022-05-22T05:14:11,25,65,0,90
2022-05-22T05:24:26,26,64,0,90
2022-05-22T05:34:41,26,64,0,90
2022-05-22T05:44:56,26,64,0,90
2022-05-22T05:55:13,26,64,0,90
2022-05-22T06:05:28,26,64,0,90
2022-05-22T06:15:43,26,64,0,90
2022-05-22T06:25:58,26,64,0,90
2022-05-22T06:36:13,26,64,0,90
2022-05-22T06:46:28,26,64,0,90
2022-05-22T06:56:41,26,64,0,90
2022-05-22T07:06:55,26,64,0,90
2022-05-22T07:17:08,26,64,0,90
2022-05-22T07:27:22,26,64,0,90
2022-05-22T07:37:35,26,64,0,90
2022-05-22T07:47:48,26,64,0,90
2022-05-22T07:58:01,26,64,0,90
2022-05-22T08:08:14,26,64,0,90
2022-05-22T08:18:27,26,64,0,90
2022-05-22T08:28:40,26,64,0,90
2022-05-22T08:38:54,26,64,0,90
2022-05-22T08:49:07,26,64,0,90
2022-05-22T08:59:19,26,64,0,90
2022-05-22T09:09:32,26,64,0,90
2022-05-22T09:19:46,27,63,0,90
2022-05-22T09:29:59,27,63,0,90
