time,enrolled,available,waitlisted,total
2022-05-20T04:32:47,0,336,0,336
2022-05-20T04:43:03,0,336,0,336
2022-05-20T04:53:20,0,336,0,336
2022-05-20T05:03:36,0,336,0,336
2022-05-20T05:13:52,0,336,0,336
2022-05-20T05:24:07,0,336,0,336
2022-05-20T05:34:23,0,336,0,336
2022-05-20T05:44:38,0,336,0,336
2022-05-20T05:54:54,0,336,0,336
2022-05-20T06:05:10,0,336,0,336
2022-05-20T06:15:24,0,336,0,336
2022-05-20T06:25:40,0,336,0,336
2022-05-20T06:35:55,0,336,0,336
2022-05-20T06:46:09,0,336,0,336
2022-05-20T06:56:22,0,336,0,336
2022-05-20T07:06:39,0,336,0,336
2022-05-20T07:16:53,0,336,0,336
2022-05-20T07:27:06,0,336,0,336
2022-05-20T07:37:20,0,336,0,336
2022-05-20T07:47:34,0,336,0,336
2022-05-20T07:57:48,0,336,0,336
2022-05-20T08:08:02,0,336,0,336
2022-05-20T08:18:17,0,336,0,336
2022-05-20T08:28:32,0,336,0,336
2022-05-20T08:38:47,0,336,0,336
2022-05-20T08:49:02,0,336,0,336
2022-05-20T08:59:17,0,336,0,336
2022-05-20T09:09:44,0,336,0,336
2022-05-20T09:20:00,0,336,0,336
2022-05-20T09:30:16,0,336,0,336
2022-05-20T09:40:32,0,336,0,336
2022-05-20T09:50:48,0,336,0,336
2022-05-20T10:01:04,0,336,0,336
2022-05-20T10:11:21,0,336,0,336
2022-05-20T10:21:36,0,336,0,336
2022-05-20T10:31:52,0,336,0,336
2022-05-20T10:42:07,0,336,0,336
2022-05-20T10:52:36,0,336,0,336
2022-05-20T11:02:53,1,335,0,336
2022-05-20T11:13:09,1,335,0,336
2022-05-20T11:23:25,1,335,0,336
2022-05-20T11:33:41,1,335,0,336
2022-05-20T11:43:57,1,335,0,336
2022-05-20T11:54:27,1,335,0,336
2022-05-20T12:04:43,1,335,0,336
2022-05-20T12:14:58,1,335,0,336
2022-05-20T12:25:13,1,335,0,336
2022-05-20T12:35:28,1,335,0,336
2022-05-20T12:45:44,3,333,0,336
2022-05-20T12:56:00,4,332,0,336
2022-05-20T13:06:27,5,331,0,336
2022-05-20T13:16:43,5,331,0,336
2022-05-20T13:26:59,5,331,0,336
2022-05-20T13:37:16,5,331,0,336
2022-05-20T13:47:32,6,330,0,336
2022-05-20T13:57:48,8,328,0,336
2022-05-20T14:08:14,8,328,0,336
2022-05-20T14:18:29,8,328,0,336
2022-05-20T14:28:45,8,328,0,336
2022-05-20T14:39:01,8,328,0,336
2022-05-20T14:49:16,8,328,0,336
2022-05-20T14:59:32,8,328,0,336
2022-05-20T15:09:58,8,328,0,336
2022-05-20T15:20:13,8,328,0,336
2022-05-20T15:30:29,8,328,0,336
2022-05-20T15:40:43,9,327,0,336
2022-05-20T15:50:58,9,327,0,336
2022-05-20T16:01:14,9,327,0,336
2022-05-20T16:11:28,9,327,0,336
2022-05-20T16:21:54,9,327,0,336
2022-05-20T16:32:09,10,326,0,336
2022-05-20T16:42:23,11,325,0,336
2022-05-20T16:52:37,11,325,0,336
2022-05-20T17:02:51,11,325,0,336
2022-05-20T17:13:06,11,325,0,336
2022-05-20T17:23:19,11,325,0,336
2022-05-20T17:33:33,11,325,0,336
2022-05-20T17:43:48,11,325,0,336
2022-05-20T17:54:02,11,325,0,336
2022-05-20T18:04:16,11,325,0,336
2022-05-20T18:14:39,11,325,0,336
2022-05-20T18:24:52,11,325,0,336
2022-05-20T18:35:05,11,325,0,336
2022-05-20T18:45:18,11,325,0,336
2022-05-20T18:55:32,11,325,0,336
2022-05-20T19:05:46,11,325,0,336
2022-05-20T19:16:00,11,325,0,336
2022-05-20T19:26:14,11,325,0,336
2022-05-20T19:36:28,11,325,0,336
2022-05-20T19:46:42,12,324,0,336
2022-05-20T19:57:06,12,324,0,336
2022-05-20T20:07:19,12,324,0,336
2022-05-20T20:17:33,12,324,0,336
2022-05-20T20:27:47,12,324,0,336
2022-05-20T20:38:00,12,324,0,336
2022-05-20T20:48:14,12,324,0,336
2022-05-20T20:58:27,12,324,0,336
2022-05-20T21:08:41,12,324,0,336
2022-05-20T21:18:54,12,324,0,336
2022-05-20T21:29:19,12,324,0,336
2022-05-20T21:39:32,12,324,0,336
2022-05-20T21:49:46,12,324,0,336
2022-05-20T22:00:00,12,324,0,336
2022-05-20T22:10:14,12,324,0,336
2022-05-20T22:20:29,12,324,0,336
2022-05-20T22:30:43,12,324,0,336
2022-05-20T22:40:56,12,324,0,336
2022-05-20T22:51:09,12,324,0,336
2022-05-20T23:01:23,12,324,0,336
2022-05-20T23:11:37,12,324,0,336
2022-05-20T23:22:02,12,324,0,336
2022-05-20T23:32:15,12,324,0,336
2022-05-20T23:42:29,12,324,0,336
2022-05-20T23:52:42,12,324,0,336
2022-05-21T00:02:57,12,324,0,336
2022-05-21T00:13:12,12,324,0,336
2022-05-21T00:23:29,12,324,0,336
2022-05-21T00:33:45,12,324,0,336
2022-05-21T00:44:00,12,324,0,336
2022-05-21T00:54:16,12,324,0,336
2022-05-21T01:04:31,12,324,0,336
2022-05-21T01:14:47,12,324,0,336
2022-05-21T01:25:01,12,324,0,336
2022-05-21T01:35:17,12,324,0,336
2022-05-21T01:45:32,12,324,0,336
2022-05-21T01:55:46,12,324,0,336
2022-05-21T02:06:10,12,324,0,336
2022-05-21T02:16:24,12,324,0,336
2022-05-21T02:26:37,12,324,0,336
2022-05-21T02:36:51,12,324,0,336
2022-05-21T02:47:04,12,324,0,336
2022-05-21T02:57:16,12,324,0,336
2022-05-21T03:07:29,12,324,0,336
2022-05-21T03:17:45,12,324,0,336
2022-05-21T03:28:04,12,324,0,336
2022-05-21T03:38:19,12,324,0,336
2022-05-21T03:48:35,12,324,0,336
2022-05-21T03:58:50,12,324,0,336
2022-05-21T04:09:05,12,324,0,336
2022-05-21T04:24:26,12,324,0,336
2022-05-21T04:35:51,12,324,0,336
2022-05-21T04:46:23,12,324,0,336
2022-05-21T04:56:38,12,324,0,336
2022-05-21T05:06:54,12,324,0,336
2022-05-21T05:17:10,12,324,0,336
2022-05-21T05:27:25,12,324,0,336
2022-05-21T05:37:42,12,324,0,336
2022-05-21T05:47:57,12,324,0,336
2022-05-21T05:58:13,12,324,0,336
2022-05-21T06:08:29,12,324,0,336
2022-05-21T06:18:43,12,324,0,336
2022-05-21T06:29:00,12,324,0,336
2022-05-21T06:39:15,12,324,0,336
2022-05-21T06:49:31,12,324,0,336
2022-05-21T06:59:46,12,324,0,336
2022-05-21T07:10:01,12,324,0,336
2022-05-21T07:20:17,12,324,0,336
2022-05-21T07:30:32,12,324,0,336
2022-05-21T07:40:47,12,324,0,336
2022-05-21T07:51:01,12,324,0,336
2022-05-21T08:01:16,12,324,0,336
2022-05-21T08:11:31,12,324,0,336
2022-05-21T08:21:47,12,324,0,336
2022-05-21T08:32:02,12,324,0,336
2022-05-21T08:42:17,12,324,0,336
2022-05-21T08:52:53,12,324,0,336
2022-05-21T09:03:07,12,324,0,336
2022-05-21T09:13:20,12,324,0,336
2022-05-21T09:23:33,12,324,0,336
2022-05-21T09:33:46,12,324,0,336
