time,enrolled,available,waitlisted,total
2022-05-20T04:33:00,0,30,0,30
2022-05-20T04:43:17,0,30,0,30
2022-05-20T04:53:33,0,30,0,30
2022-05-20T05:03:50,0,30,0,30
2022-05-20T05:14:05,0,30,0,30
2022-05-20T05:24:20,0,30,0,30
2022-05-20T05:34:36,0,30,0,30
2022-05-20T05:44:52,0,30,0,30
2022-05-20T05:55:07,0,30,0,30
2022-05-20T06:05:23,0,30,0,30
2022-05-20T06:15:37,0,30,0,30
2022-05-20T06:25:54,0,30,0,30
2022-05-20T06:36:08,0,30,0,30
2022-05-20T06:46:22,0,30,0,30
2022-05-20T06:56:35,0,30,0,30
2022-05-20T07:06:52,0,30,0,30
2022-05-20T07:17:06,0,30,0,30
2022-05-20T07:27:19,0,30,0,30
2022-05-20T07:37:33,0,30,0,30
2022-05-20T07:47:48,0,30,0,30
2022-05-20T07:58:02,0,30,0,30
2022-05-20T08:08:16,0,30,0,30
2022-05-20T08:18:30,0,30,0,30
2022-05-20T08:28:46,0,30,0,30
2022-05-20T08:39:00,0,30,0,30
2022-05-20T08:49:15,0,30,0,30
2022-05-20T08:59:30,0,30,0,30
2022-05-20T09:09:57,0,30,0,30
2022-05-20T09:20:13,0,30,0,30
2022-05-20T09:30:29,0,30,0,30
2022-05-20T09:40:45,0,30,0,30
2022-05-20T09:51:01,0,30,0,30
2022-05-20T10:01:17,0,30,0,30
2022-05-20T10:11:34,0,30,0,30
2022-05-20T10:21:49,0,30,0,30
2022-05-20T10:32:05,0,30,0,30
2022-05-20T10:42:21,0,30,0,30
2022-05-20T10:52:50,0,30,0,30
2022-05-20T11:03:06,0,30,0,30
2022-05-20T11:13:22,0,30,0,30
2022-05-20T11:23:39,0,30,0,30
2022-05-20T11:33:54,0,30,0,30
2022-05-20T11:44:10,0,30,0,30
2022-05-20T11:54:40,0,30,0,30
2022-05-20T12:04:56,0,30,0,30
2022-05-20T12:15:11,0,30,0,30
2022-05-20T12:25:26,0,30,0,30
2022-05-20T12:35:41,0,30,0,30
2022-05-20T12:45:57,0,30,0,30
2022-05-20T12:56:13,0,30,0,30
2022-05-20T13:06:40,0,30,0,30
2022-05-20T13:16:56,0,30,0,30
2022-05-20T13:27:12,0,30,0,30
2022-05-20T13:37:29,0,30,0,30
2022-05-20T13:47:45,0,30,0,30
2022-05-20T13:58:01,0,30,0,30
2022-05-20T14:08:28,0,30,0,30
2022-05-20T14:18:43,0,30,0,30
2022-05-20T14:28:59,0,30,0,30
2022-05-20T14:39:14,0,30,0,30
2022-05-20T14:49:30,0,30,0,30
2022-05-20T14:59:45,0,30,0,30
2022-05-20T15:10:11,0,30,0,30
2022-05-20T15:20:26,0,30,0,30
2022-05-20T15:30:42,0,30,0,30
2022-05-20T15:40:57,0,30,0,30
2022-05-20T15:51:12,0,30,0,30
2022-05-20T16:01:27,0,30,0,30
2022-05-20T16:11:42,0,30,0,30
2022-05-20T16:22:07,0,30,0,30
2022-05-20T16:32:22,0,30,0,30
2022-05-20T16:42:36,0,30,0,30
2022-05-20T16:52:50,0,30,0,30
2022-05-20T17:03:05,0,30,0,30
2022-05-20T17:13:19,0,30,0,30
2022-05-20T17:23:33,0,30,0,30
2022-05-20T17:33:47,0,30,0,30
2022-05-20T17:44:01,0,30,0,30
2022-05-20T17:54:15,0,30,0,30
2022-05-20T18:04:29,0,30,0,30
2022-05-20T18:14:52,0,30,0,30
2022-05-20T18:25:05,0,30,0,30
2022-05-20T18:35:19,0,30,0,30
2022-05-20T18:45:32,0,30,0,30
2022-05-20T18:55:45,0,30,0,30
2022-05-20T19:05:59,0,30,0,30
2022-05-20T19:16:13,0,30,0,30
2022-05-20T19:26:28,0,30,0,30
2022-05-20T19:36:41,0,30,0,30
2022-05-20T19:46:56,0,30,0,30
2022-05-20T19:57:19,0,30,0,30
2022-05-20T20:07:33,0,30,0,30
2022-05-20T20:17:46,0,30,0,30
2022-05-20T20:28:00,0,30,0,30
2022-05-20T20:38:13,0,30,0,30
2022-05-20T20:48:27,0,30,0,30
2022-05-20T20:58:40,0,30,0,30
2022-05-20T21:08:54,0,30,0,30
2022-05-20T21:19:08,0,30,0,30
2022-05-20T21:29:32,0,30,0,30
2022-05-20T21:39:45,0,30,0,30
2022-05-20T21:49:59,0,30,0,30
2022-05-20T22:00:14,0,30,0,30
2022-05-20T22:10:27,0,30,0,30
