time,enrolled,available,waitlisted,total
2022-05-20T04:33:02,0,125,0,125
2022-05-20T04:43:19,0,125,0,125
2022-05-20T04:53:36,0,125,0,125
2022-05-20T05:03:52,0,125,0,125
2022-05-20T05:14:07,0,125,0,125
2022-05-20T05:24:22,0,125,0,125
2022-05-20T05:34:38,0,125,0,125
2022-05-20T05:44:54,0,125,0,125
2022-05-20T05:55:10,0,125,0,125
2022-05-20T06:05:25,0,125,0,125
2022-05-20T06:15:40,0,125,0,125
2022-05-20T06:25:56,0,125,0,125
2022-05-20T06:36:10,0,125,0,125
2022-05-20T06:46:24,0,125,0,125
2022-05-20T06:56:38,0,125,0,125
2022-05-20T07:06:54,0,125,0,125
2022-05-20T07:17:08,0,125,0,125
2022-05-20T07:27:21,0,125,0,125
2022-05-20T07:37:35,0,125,0,125
2022-05-20T07:47:50,0,125,0,125
2022-05-20T07:58:04,0,125,0,125
2022-05-20T08:08:18,0,125,0,125
2022-05-20T08:18:32,0,125,0,125
2022-05-20T08:28:48,0,125,0,125
2022-05-20T08:39:02,0,125,0,125
2022-05-20T08:49:17,0,125,0,125
2022-05-20T08:59:32,0,125,0,125
2022-05-20T09:09:59,0,125,0,125
2022-05-20T09:20:15,0,125,0,125
2022-05-20T09:30:31,0,125,0,125
2022-05-20T09:40:47,0,125,0,125
2022-05-20T09:51:03,0,125,0,125
2022-05-20T10:01:19,0,125,0,125
2022-05-20T10:11:36,0,125,0,125
2022-05-20T10:21:51,0,125,0,125
2022-05-20T10:32:07,0,125,0,125
2022-05-20T10:42:23,0,125,0,125
2022-05-20T10:52:52,0,125,0,125
2022-05-20T11:03:08,0,125,0,125
2022-05-20T11:13:24,0,125,0,125
2022-05-20T11:23:41,0,125,0,125
2022-05-20T11:33:56,0,125,0,125
2022-05-20T11:44:12,0,125,0,125
2022-05-20T11:54:42,0,125,0,125
2022-05-20T12:04:58,0,125,0,125
2022-05-20T12:15:13,0,125,0,125
2022-05-20T12:25:29,0,125,0,125
2022-05-20T12:35:43,0,125,0,125
2022-05-20T12:45:59,0,125,0,125
2022-05-20T12:56:15,0,125,0,125
2022-05-20T13:06:42,0,125,0,125
2022-05-20T13:16:58,0,125,0,125
2022-05-20T13:27:14,0,125,0,125
2022-05-20T13:37:32,0,125,0,125
2022-05-20T13:47:48,0,125,0,125
2022-05-20T13:58:03,0,125,0,125
2022-05-20T14:08:30,0,125,0,125
2022-05-20T14:18:45,0,125,0,125
2022-05-20T14:29:01,0,125,0,125
2022-05-20T14:39:16,0,125,0,125
2022-05-20T14:49:32,0,125,0,125
2022-05-20T14:59:47,0,125,0,125
2022-05-20T15:10:13,0,125,0,125
2022-05-20T15:20:28,0,125,0,125
2022-05-20T15:30:44,0,125,0,125
2022-05-20T15:40:59,0,125,0,125
2022-05-20T15:51:14,0,125,0,125
2022-05-20T16:01:29,0,125,0,125
2022-05-20T16:11:44,0,125,0,125
2022-05-20T16:22:09,0,125,0,125
2022-05-20T16:32:24,0,125,0,125
2022-05-20T16:42:38,0,125,0,125
2022-05-20T16:52:52,0,125,0,125
2022-05-20T17:03:07,0,125,0,125
2022-05-20T17:13:21,0,125,0,125
2022-05-20T17:23:35,0,125,0,125
2022-05-20T17:33:49,0,125,0,125
2022-05-20T17:44:03,0,125,0,125
2022-05-20T17:54:17,0,125,0,125
2022-05-20T18:04:31,0,125,0,125
2022-05-20T18:14:54,0,125,0,125
2022-05-20T18:25:07,0,125,0,125
2022-05-20T18:35:21,0,125,0,125
2022-05-20T18:45:34,0,125,0,125
2022-05-20T18:55:47,0,125,0,125
2022-05-20T19:06:01,0,125,0,125
2022-05-20T19:16:16,0,125,0,125
2022-05-20T19:26:30,0,125,0,125
2022-05-20T19:36:43,0,125,0,125
2022-05-20T19:46:58,0,125,0,125
2022-05-20T19:57:21,0,125,0,125
2022-05-20T20:07:35,0,125,0,125
2022-05-20T20:17:48,0,125,0,125
2022-05-20T20:28:02,0,125,0,125
2022-05-20T20:38:16,0,125,0,125
2022-05-20T20:48:29,0,125,0,125
2022-05-20T20:58:42,0,125,0,125
2022-05-20T21:08:56,0,125,0,125
2022-05-20T21:19:10,0,125,0,125
2022-05-20T21:29:34,1,124,0,125
2022-05-20T21:39:47,0,125,0,125
2022-05-20T21:50:01,0,125,0,125
2022-05-20T22:00:16,0,125,0,125
2022-05-20T22:10:29,0,125,0,125
2022-05-20T22:20:44,0,125,0,125
2022-05-20T22:30:58,0,125,0,125
