time,enrolled,available,waitlisted,total
2022-05-18T04:36:36,0,75,0,75
2022-05-18T04:46:47,0,75,0,75
2022-05-18T04:56:57,0,75,0,75
2022-05-18T05:07:09,0,75,0,75
2022-05-18T05:17:18,0,75,0,75
2022-05-18T05:27:30,0,75,0,75
2022-05-18T05:37:40,0,75,0,75
2022-05-18T05:47:49,0,75,0,75
2022-05-18T05:58:00,0,75,0,75
2022-05-18T06:08:13,0,75,0,75
2022-05-18T06:18:21,0,75,0,75
2022-05-18T06:28:29,0,75,0,75
2022-05-18T06:38:37,0,75,0,75
2022-05-18T06:48:45,0,75,0,75
2022-05-18T06:58:52,0,75,0,75
2022-05-18T07:09:02,0,75,0,75
2022-05-18T07:19:09,0,75,0,75
2022-05-18T07:29:17,0,75,0,75
2022-05-18T07:39:25,0,75,0,75
2022-05-18T07:49:33,0,75,0,75
2022-05-18T07:59:41,0,75,0,75
2022-05-18T08:09:49,0,75,0,75
2022-05-18T08:19:57,0,75,0,75
2022-05-18T08:30:06,0,75,0,75
2022-05-18T08:40:15,0,75,0,75
2022-05-18T08:50:24,0,75,0,75
2022-05-18T09:00:33,0,75,0,75
2022-05-18T09:10:54,0,75,0,75
2022-05-18T09:21:03,0,75,0,75
2022-05-18T09:31:12,0,75,0,75
2022-05-18T09:41:21,0,75,0,75
2022-05-18T09:51:30,0,75,0,75
2022-05-18T10:01:42,0,75,0,75
2022-05-18T10:11:54,0,75,0,75
2022-05-18T10:22:05,0,75,0,75
2022-05-18T10:32:15,0,75,0,75
2022-05-18T10:42:38,0,75,0,75
2022-05-18T10:52:48,0,75,0,75
2022-05-18T11:02:58,0,75,0,75
2022-05-18T11:13:08,0,75,0,75
2022-05-18T11:23:17,0,75,0,75
2022-05-18T11:33:26,0,75,0,75
2022-05-18T11:43:34,0,75,0,75
2022-05-18T11:53:54,0,75,0,75
2022-05-18T12:04:02,0,75,0,75
2022-05-18T12:14:11,0,75,0,75
2022-05-18T12:24:19,0,75,0,75
2022-05-18T12:34:30,0,75,0,75
2022-05-18T12:44:40,0,75,0,75
2022-05-18T12:54:50,0,75,0,75
2022-05-18T13:05:00,0,75,0,75
2022-05-18T13:15:21,0,75,0,75
2022-05-18T13:25:31,0,75,0,75
2022-05-18T13:35:42,0,75,0,75
2022-05-18T13:45:53,0,75,0,75
2022-05-18T13:56:04,0,75,0,75
2022-05-18T14:06:14,0,75,0,75
2022-05-18T14:16:24,0,75,0,75
2022-05-18T14:26:46,0,75,0,75
2022-05-18T14:36:57,0,75,0,75
2022-05-18T14:47:07,0,75,0,75
2022-05-18T14:57:17,0,75,0,75
