time,enrolled,available,waitlisted,total
2022-05-20T04:33:10,0,60,0,60
2022-05-20T04:43:27,0,60,0,60
2022-05-20T04:53:43,0,60,0,60
2022-05-20T05:04:00,0,60,0,60
2022-05-20T05:14:15,0,60,0,60
2022-05-20T05:24:30,0,60,0,60
2022-05-20T05:34:46,0,60,0,60
2022-05-20T05:45:02,0,60,0,60
2022-05-20T05:55:17,0,60,0,60
2022-05-20T06:05:33,0,60,0,60
2022-05-20T06:15:47,0,60,0,60
2022-05-20T06:26:04,0,60,0,60
2022-05-20T06:36:18,0,60,0,60
2022-05-20T06:46:32,0,60,0,60
2022-05-20T06:56:45,0,60,0,60
2022-05-20T07:07:02,0,60,0,60
2022-05-20T07:17:16,0,60,0,60
2022-05-20T07:27:29,0,60,0,60
2022-05-20T07:37:43,0,60,0,60
2022-05-20T07:47:58,0,60,0,60
2022-05-20T07:58:12,0,60,0,60
2022-05-20T08:08:26,0,60,0,60
2022-05-20T08:18:40,0,60,0,60
2022-05-20T08:28:56,0,60,0,60
2022-05-20T08:39:10,0,60,0,60
2022-05-20T08:49:25,0,60,0,60
2022-05-20T08:59:40,0,60,0,60
2022-05-20T09:10:07,0,60,0,60
2022-05-20T09:20:23,0,60,0,60
2022-05-20T09:30:39,0,60,0,60
2022-05-20T09:40:55,0,60,0,60
2022-05-20T09:51:11,0,60,0,60
2022-05-20T10:01:27,0,60,0,60
2022-05-20T10:11:44,0,60,0,60
2022-05-20T10:21:59,0,60,0,60
2022-05-20T10:32:15,0,60,0,60
2022-05-20T10:42:31,0,60,0,60
2022-05-20T10:53:00,0,60,0,60
2022-05-20T11:03:16,0,60,0,60
2022-05-20T11:13:32,0,60,0,60
2022-05-20T11:23:49,0,60,0,60
2022-05-20T11:34:04,0,60,0,60
2022-05-20T11:44:20,0,60,0,60
2022-05-20T11:54:50,0,60,0,60
2022-05-20T12:05:06,0,60,0,60
2022-05-20T12:15:21,0,60,0,60
2022-05-20T12:25:36,0,60,0,60
2022-05-20T12:35:51,0,60,0,60
2022-05-20T12:46:07,1,59,0,60
2022-05-20T12:56:23,2,58,0,60
2022-05-20T13:06:50,2,58,0,60
2022-05-20T13:17:06,2,58,0,60
2022-05-20T13:27:22,2,58,0,60
2022-05-20T13:37:39,2,58,0,60
2022-05-20T13:47:55,2,58,0,60
2022-05-20T13:58:11,2,58,0,60
2022-05-20T14:08:38,2,58,0,60
2022-05-20T14:18:53,2,58,0,60
2022-05-20T14:29:09,3,57,0,60
2022-05-20T14:39:24,3,57,0,60
2022-05-20T14:49:40,3,57,0,60
2022-05-20T14:59:55,3,57,0,60
2022-05-20T15:10:21,3,57,0,60
2022-05-20T15:20:36,3,57,0,60
2022-05-20T15:30:52,3,57,0,60
2022-05-20T15:41:07,3,57,0,60
2022-05-20T15:51:22,3,57,0,60
2022-05-20T16:01:37,3,57,0,60
2022-05-20T16:11:52,3,57,0,60
2022-05-20T16:22:17,3,57,0,60
2022-05-20T16:32:32,3,57,0,60
2022-05-20T16:42:46,3,57,0,60
2022-05-20T16:53:00,3,57,0,60
2022-05-20T17:03:15,3,57,0,60
2022-05-20T17:13:29,3,57,0,60
2022-05-20T17:23:43,3,57,0,60
2022-05-20T17:33:57,3,57,0,60
2022-05-20T17:44:11,3,57,0,60
2022-05-20T17:54:25,3,57,0,60
2022-05-20T18:04:39,3,57,0,60
2022-05-20T18:15:02,3,57,0,60
2022-05-20T18:25:15,3,57,0,60
2022-05-20T18:35:29,3,57,0,60
2022-05-20T18:45:42,3,57,0,60
2022-05-20T18:55:55,3,57,0,60
