time,enrolled,available,waitlisted,total
2022-05-20T04:33:25,0,40,0,40
2022-05-20T04:43:41,0,40,0,40
2022-05-20T04:53:58,0,40,0,40
2022-05-20T05:04:14,0,40,0,40
2022-05-20T05:14:30,0,40,0,40
2022-05-20T05:24:45,0,40,0,40
2022-05-20T05:35:01,0,40,0,40
2022-05-20T05:45:16,0,40,0,40
2022-05-20T05:55:32,0,40,0,40
2022-05-20T06:05:48,0,40,0,40
2022-05-20T06:16:02,0,40,0,40
2022-05-20T06:26:18,0,40,0,40
2022-05-20T06:36:33,0,40,0,40
2022-05-20T06:46:47,0,40,0,40
2022-05-20T06:57:00,0,40,0,40
2022-05-20T07:07:17,0,40,0,40
2022-05-20T07:17:31,0,40,0,40
2022-05-20T07:27:44,0,40,0,40
2022-05-20T07:37:58,0,40,0,40
2022-05-20T07:48:13,0,40,0,40
2022-05-20T07:58:26,0,40,0,40
2022-05-20T08:08:40,0,40,0,40
2022-05-20T08:18:55,0,40,0,40
2022-05-20T08:29:10,0,40,0,40
2022-05-20T08:39:25,0,40,0,40
2022-05-20T08:49:40,0,40,0,40
2022-05-20T08:59:55,0,40,0,40
2022-05-20T09:10:22,0,40,0,40
2022-05-20T09:20:38,0,40,0,40
2022-05-20T09:30:54,0,40,0,40
2022-05-20T09:41:10,0,40,0,40
2022-05-20T09:51:26,0,40,0,40
2022-05-20T10:01:42,0,40,0,40
2022-05-20T10:11:59,0,40,0,40
2022-05-20T10:22:14,0,40,0,40
2022-05-20T10:32:30,0,40,0,40
2022-05-20T10:42:45,2,38,0,40
2022-05-20T10:53:15,2,38,0,40
2022-05-20T11:03:31,2,38,0,40
2022-05-20T11:13:47,2,38,0,40
2022-05-20T11:24:03,2,38,0,40
2022-05-20T11:34:19,2,38,0,40
2022-05-20T11:44:35,3,37,0,40
2022-05-20T11:55:05,3,37,0,40
2022-05-20T12:05:21,3,37,0,40
2022-05-20T12:15:36,3,37,0,40
2022-05-20T12:25:51,3,37,0,40
2022-05-20T12:36:06,3,37,0,40
2022-05-20T12:46:22,3,37,0,40
2022-05-20T12:56:38,3,37,0,40
2022-05-20T13:07:05,3,37,0,40
2022-05-20T13:17:21,3,37,0,40
2022-05-20T13:27:37,3,37,0,40
2022-05-20T13:37:54,3,37,0,40
2022-05-20T13:48:10,4,36,0,40
2022-05-20T13:58:26,4,36,0,40
2022-05-20T14:08:52,4,36,0,40
2022-05-20T14:19:07,4,36,0,40
2022-05-20T14:29:23,4,36,0,40
2022-05-20T14:39:39,4,36,0,40
2022-05-20T14:49:54,4,36,0,40
2022-05-20T15:00:10,4,36,0,40
2022-05-20T15:10:36,4,36,0,40
2022-05-20T15:20:51,4,36,0,40
2022-05-20T15:31:07,4,36,0,40
2022-05-20T15:41:21,4,36,0,40
2022-05-20T15:51:37,4,36,0,40
2022-05-20T16:01:51,4,36,0,40
2022-05-20T16:12:06,4,36,0,40
2022-05-20T16:22:32,4,36,0,40
2022-05-20T16:32:47,4,36,0,40
2022-05-20T16:43:01,4,36,0,40
2022-05-20T16:53:15,4,36,0,40
2022-05-20T17:03:29,4,36,0,40
2022-05-20T17:13:44,4,36,0,40
2022-05-20T17:23:57,4,36,0,40
2022-05-20T17:34:11,4,36,0,40
2022-05-20T17:44:26,4,36,0,40
2022-05-20T17:54:40,4,36,0,40
2022-05-20T18:04:54,4,36,0,40
2022-05-20T18:15:16,4,36,0,40
2022-05-20T18:25:30,4,36,0,40
2022-05-20T18:35:43,4,36,0,40
2022-05-20T18:45:56,4,36,0,40
2022-05-20T18:56:10,4,36,0,40
2022-05-20T19:06:24,4,36,0,40
2022-05-20T19:16:38,4,36,0,40
2022-05-20T19:26:52,4,36,0,40
2022-05-20T19:37:06,5,35,0,40
2022-05-20T19:47:20,5,35,0,40
2022-05-20T19:57:44,5,35,0,40
2022-05-20T20:07:57,5,35,0,40
2022-05-20T20:18:11,5,35,0,40
2022-05-20T20:28:25,5,35,0,40
2022-05-20T20:38:38,5,35,0,40
2022-05-20T20:48:52,5,35,0,40
2022-05-20T20:59:05,5,35,0,40
2022-05-20T21:09:19,5,35,0,40
2022-05-20T21:19:32,5,35,0,40
2022-05-20T21:29:57,5,35,0,40
2022-05-20T21:40:10,5,35,0,40
2022-05-20T21:50:24,5,35,0,40
2022-05-20T22:00:38,5,35,0,40
2022-05-20T22:10:52,5,35,0,40
2022-05-20T22:21:07,5,35,0,40
2022-05-20T22:31:21,5,35,0,40
2022-05-20T22:41:34,5,35,0,40
2022-05-20T22:51:47,5,35,0,40
2022-05-20T23:02:01,5,35,0,40
2022-05-20T23:12:26,5,35,0,40
2022-05-20T23:22:40,5,35,0,40
2022-05-20T23:32:53,5,35,0,40
2022-05-20T23:43:07,5,35,0,40
2022-05-20T23:53:20,5,35,0,40
2022-05-21T00:03:35,5,35,0,40
2022-05-21T00:13:51,5,35,0,40
