time,enrolled,available,waitlisted,total
2022-05-20T04:33:36,0,120,0,120
2022-05-20T04:43:53,0,120,0,120
2022-05-20T04:54:09,0,120,0,120
2022-05-20T05:04:26,0,120,0,120
2022-05-20T05:14:41,0,120,0,120
2022-05-20T05:24:56,0,120,0,120
2022-05-20T05:35:12,0,120,0,120
2022-05-20T05:45:28,0,120,0,120
2022-05-20T05:55:43,0,120,0,120
2022-05-20T06:05:59,0,120,0,120
2022-05-20T06:16:13,0,120,0,120
2022-05-20T06:26:30,0,120,0,120
2022-05-20T06:36:44,0,120,0,120
2022-05-20T06:46:58,0,120,0,120
2022-05-20T06:57:11,0,120,0,120
2022-05-20T07:07:28,0,120,0,120
2022-05-20T07:17:42,0,120,0,120
2022-05-20T07:27:55,0,120,0,120
2022-05-20T07:38:09,0,120,0,120
2022-05-20T07:48:24,0,120,0,120
2022-05-20T07:58:37,0,120,0,120
2022-05-20T08:08:52,0,120,0,120
2022-05-20T08:19:06,0,120,0,120
2022-05-20T08:29:22,0,120,0,120
2022-05-20T08:39:36,0,120,0,120
2022-05-20T08:49:51,0,120,0,120
2022-05-20T09:00:06,0,120,0,120
2022-05-20T09:10:33,0,120,0,120
2022-05-20T09:20:49,0,120,0,120
2022-05-20T09:31:05,0,120,0,120
2022-05-20T09:41:21,0,120,0,120
2022-05-20T09:51:37,0,120,0,120
2022-05-20T10:01:53,0,120,0,120
2022-05-20T10:12:10,0,120,0,120
2022-05-20T10:22:25,0,120,0,120
2022-05-20T10:32:41,1,119,0,120
2022-05-20T10:42:57,1,119,0,120
2022-05-20T10:53:26,1,119,0,120
2022-05-20T11:03:42,1,119,0,120
2022-05-20T11:13:58,1,119,0,120
2022-05-20T11:24:15,1,119,0,120
2022-05-20T11:34:30,1,119,0,120
2022-05-20T11:44:46,1,119,0,120
2022-05-20T11:55:16,1,119,0,120
2022-05-20T12:05:32,1,119,0,120
2022-05-20T12:15:47,1,119,0,120
2022-05-20T12:26:02,1,119,0,120
2022-05-20T12:36:17,1,119,0,120
2022-05-20T12:46:33,1,119,0,120
2022-05-20T12:56:49,1,119,0,120
2022-05-20T13:07:16,1,119,0,120
2022-05-20T13:17:32,1,119,0,120
2022-05-20T13:27:48,1,119,0,120
2022-05-20T13:38:05,1,119,0,120
2022-05-20T13:48:21,1,119,0,120
2022-05-20T13:58:37,1,119,0,120
2022-05-20T14:09:03,1,119,0,120
2022-05-20T14:19:19,1,119,0,120
2022-05-20T14:29:35,1,119,0,120
2022-05-20T14:39:50,1,119,0,120
2022-05-20T14:50:05,1,119,0,120
2022-05-20T15:00:21,1,119,0,120
2022-05-20T15:10:47,1,119,0,120
2022-05-20T15:21:02,1,119,0,120
2022-05-20T15:31:18,1,119,0,120
2022-05-20T15:41:33,1,119,0,120
2022-05-20T15:51:48,1,119,0,120
2022-05-20T16:02:03,1,119,0,120
2022-05-20T16:12:17,1,119,0,120
2022-05-20T16:22:43,1,119,0,120
2022-05-20T16:32:58,1,119,0,120
2022-05-20T16:43:12,1,119,0,120
2022-05-20T16:53:26,1,119,0,120
2022-05-20T17:03:41,1,119,0,120
2022-05-20T17:13:55,1,119,0,120
2022-05-20T17:24:08,1,119,0,120
2022-05-20T17:34:22,1,119,0,120
2022-05-20T17:44:37,1,119,0,120
2022-05-20T17:54:51,1,119,0,120
2022-05-20T18:05:05,1,119,0,120
2022-05-20T18:15:28,1,119,0,120
2022-05-20T18:25:41,1,119,0,120
2022-05-20T18:35:54,1,119,0,120
2022-05-20T18:46:08,1,119,0,120
2022-05-20T18:56:21,1,119,0,120
2022-05-20T19:06:35,1,119,0,120
2022-05-20T19:16:49,1,119,0,120
2022-05-20T19:27:03,1,119,0,120
2022-05-20T19:37:17,1,119,0,120
2022-05-20T19:47:31,1,119,0,120
2022-05-20T19:57:55,1,119,0,120
2022-05-20T20:08:08,1,119,0,120
2022-05-20T20:18:22,1,119,0,120
2022-05-20T20:28:36,1,119,0,120
2022-05-20T20:38:49,1,119,0,120
2022-05-20T20:49:03,1,119,0,120
2022-05-20T20:59:16,1,119,0,120
2022-05-20T21:09:30,1,119,0,120
2022-05-20T21:19:44,1,119,0,120
2022-05-20T21:30:08,1,119,0,120
2022-05-20T21:40:21,1,119,0,120
2022-05-20T21:50:35,1,119,0,120
2022-05-20T22:00:49,1,119,0,120
2022-05-20T22:11:03,1,119,0,120
2022-05-20T22:21:18,1,119,0,120
2022-05-20T22:31:32,1,119,0,120
2022-05-20T22:41:45,1,119,0,120
2022-05-20T22:51:58,1,119,0,120
2022-05-20T23:02:12,1,119,0,120
2022-05-20T23:12:37,1,119,0,120
2022-05-20T23:22:51,1,119,0,120
2022-05-20T23:33:04,1,119,0,120
2022-05-20T23:43:18,1,119,0,120
2022-05-20T23:53:31,1,119,0,120
2022-05-21T00:03:46,1,119,0,120
2022-05-21T00:14:02,1,119,0,120
2022-05-21T00:24:18,1,119,0,120
2022-05-21T00:34:34,1,119,0,120
2022-05-21T00:44:50,1,119,0,120
2022-05-21T00:55:05,1,119,0,120
2022-05-21T01:05:20,1,119,0,120
2022-05-21T01:15:36,1,119,0,120
2022-05-21T01:25:50,1,119,0,120
2022-05-21T01:36:06,1,119,0,120
2022-05-21T01:46:21,1,119,0,120
2022-05-21T01:56:35,1,119,0,120
2022-05-21T02:06:59,1,119,0,120
2022-05-21T02:17:13,1,119,0,120
2022-05-21T02:27:26,1,119,0,120
2022-05-21T02:37:40,1,119,0,120
2022-05-21T02:47:53,1,119,0,120
2022-05-21T02:58:05,1,119,0,120
2022-05-21T03:08:18,1,119,0,120
2022-05-21T03:18:38,1,119,0,120
2022-05-21T03:28:53,1,119,0,120
2022-05-21T03:39:08,1,119,0,120
2022-05-21T03:49:24,1,119,0,120
2022-05-21T03:59:39,1,119,0,120
2022-05-21T04:09:55,1,119,0,120
2022-05-21T04:25:15,1,119,0,120
2022-05-21T04:36:40,1,119,0,120
2022-05-21T04:47:12,1,119,0,120
2022-05-21T04:57:28,1,119,0,120
2022-05-21T05:07:43,1,119,0,120
2022-05-21T05:17:59,1,119,0,120
2022-05-21T05:28:15,1,119,0,120
2022-05-21T05:38:31,1,119,0,120
2022-05-21T05:48:47,1,119,0,120
2022-05-21T05:59:02,1,119,0,120
2022-05-21T06:09:18,1,119,0,120
2022-05-21T06:19:32,1,119,0,120
2022-05-21T06:29:49,1,119,0,120
2022-05-21T06:40:04,1,119,0,120
2022-05-21T06:50:20,1,119,0,120
2022-05-21T07:00:35,1,119,0,120
2022-05-21T07:10:51,1,119,0,120
2022-05-21T07:21:06,1,119,0,120
2022-05-21T07:31:21,1,119,0,120
