time,enrolled,available,waitlisted,total
2022-05-20T04:33:27,0,360,0,360
2022-05-20T04:43:44,0,360,0,360
2022-05-20T04:54:00,0,360,0,360
2022-05-20T05:04:17,0,360,0,360
2022-05-20T05:14:32,0,360,0,360
2022-05-20T05:24:47,0,360,0,360
2022-05-20T05:35:03,0,360,0,360
2022-05-20T05:45:19,0,360,0,360
2022-05-20T05:55:34,0,360,0,360
2022-05-20T06:05:50,0,360,0,360
2022-05-20T06:16:04,0,360,0,360
2022-05-20T06:26:21,0,360,0,360
2022-05-20T06:36:35,0,360,0,360
2022-05-20T06:46:49,0,360,0,360
2022-05-20T06:57:02,0,360,0,360
2022-05-20T07:07:19,0,360,0,360
2022-05-20T07:17:33,0,360,0,360
2022-05-20T07:27:46,0,360,0,360
2022-05-20T07:38:00,0,360,0,360
2022-05-20T07:48:15,0,360,0,360
2022-05-20T07:58:28,0,360,0,360
2022-05-20T08:08:43,0,360,0,360
2022-05-20T08:18:57,0,360,0,360
2022-05-20T08:29:13,0,360,0,360
2022-05-20T08:39:27,0,360,0,360
2022-05-20T08:49:42,0,360,0,360
2022-05-20T08:59:57,0,360,0,360
2022-05-20T09:10:24,0,360,0,360
2022-05-20T09:20:40,0,360,0,360
2022-05-20T09:30:56,0,360,0,360
2022-05-20T09:41:12,0,360,0,360
2022-05-20T09:51:28,0,360,0,360
2022-05-20T10:01:44,0,360,0,360
2022-05-20T10:12:01,0,360,0,360
2022-05-20T10:22:16,0,360,0,360
2022-05-20T10:32:32,0,360,0,360
2022-05-20T10:42:48,0,360,0,360
2022-05-20T10:53:17,1,359,0,360
2022-05-20T11:03:33,1,359,0,360
2022-05-20T11:13:49,2,358,0,360
2022-05-20T11:24:06,2,358,0,360
2022-05-20T11:34:21,2,358,0,360
2022-05-20T11:44:37,3,357,0,360
2022-05-20T11:55:07,4,356,0,360
2022-05-20T12:05:23,4,356,0,360
2022-05-20T12:15:38,4,356,0,360
2022-05-20T12:25:53,4,356,0,360
2022-05-20T12:36:08,4,356,0,360
2022-05-20T12:46:24,5,355,0,360
2022-05-20T12:56:40,5,355,0,360
2022-05-20T13:07:07,7,353,0,360
2022-05-20T13:17:23,7,353,0,360
2022-05-20T13:27:39,10,350,0,360
2022-05-20T13:37:56,10,350,0,360
2022-05-20T13:48:12,11,349,0,360
2022-05-20T13:58:28,12,348,0,360
2022-05-20T14:08:54,12,348,0,360
2022-05-20T14:19:10,12,348,0,360
2022-05-20T14:29:26,12,348,0,360
2022-05-20T14:39:41,12,348,0,360
2022-05-20T14:49:56,12,348,0,360
2022-05-20T15:00:12,12,348,0,360
2022-05-20T15:10:38,13,347,0,360
2022-05-20T15:20:53,13,347,0,360
2022-05-20T15:31:09,13,347,0,360
2022-05-20T15:41:24,13,347,0,360
2022-05-20T15:51:39,13,347,0,360
2022-05-20T16:01:54,14,346,0,360
2022-05-20T16:12:09,14,346,0,360
2022-05-20T16:22:34,14,346,0,360
2022-05-20T16:32:49,15,345,0,360
2022-05-20T16:43:03,15,345,0,360
2022-05-20T16:53:17,15,345,0,360
2022-05-20T17:03:32,15,345,0,360
2022-05-20T17:13:46,15,345,0,360
2022-05-20T17:23:59,15,345,0,360
2022-05-20T17:34:13,15,345,0,360
2022-05-20T17:44:28,16,344,0,360
2022-05-20T17:54:42,16,344,0,360
2022-05-20T18:04:56,16,344,0,360
2022-05-20T18:15:19,16,344,0,360
2022-05-20T18:25:32,16,344,0,360
2022-05-20T18:35:45,16,344,0,360
2022-05-20T18:45:59,16,344,0,360
2022-05-20T18:56:12,16,344,0,360
2022-05-20T19:06:26,16,344,0,360
2022-05-20T19:16:40,16,344,0,360
2022-05-20T19:26:54,16,344,0,360
2022-05-20T19:37:08,16,344,0,360
2022-05-20T19:47:22,17,343,0,360
2022-05-20T19:57:46,17,343,0,360
2022-05-20T20:07:59,17,343,0,360
2022-05-20T20:18:13,17,343,0,360
2022-05-20T20:28:27,17,343,0,360
2022-05-20T20:38:40,17,343,0,360
2022-05-20T20:48:54,17,343,0,360
2022-05-20T20:59:07,17,343,0,360
2022-05-20T21:09:21,17,343,0,360
2022-05-20T21:19:35,17,343,0,360
2022-05-20T21:29:59,17,343,0,360
2022-05-20T21:40:12,17,343,0,360
2022-05-20T21:50:26,17,343,0,360
2022-05-20T22:00:40,17,343,0,360
2022-05-20T22:10:54,17,343,0,360
2022-05-20T22:21:09,17,343,0,360
2022-05-20T22:31:23,17,343,0,360
2022-05-20T22:41:36,17,343,0,360
2022-05-20T22:51:49,17,343,0,360
2022-05-20T23:02:03,17,343,0,360
2022-05-20T23:12:28,17,343,0,360
2022-05-20T23:22:42,17,343,0,360
2022-05-20T23:32:55,17,343,0,360
2022-05-20T23:43:09,17,343,0,360
2022-05-20T23:53:22,17,343,0,360
2022-05-21T00:03:37,17,343,0,360
2022-05-21T00:13:53,17,343,0,360
2022-05-21T00:24:09,17,343,0,360
2022-05-21T00:34:25,17,343,0,360
2022-05-21T00:44:41,17,343,0,360
2022-05-21T00:54:56,17,343,0,360
2022-05-21T01:05:11,17,343,0,360
2022-05-21T01:15:27,17,343,0,360
2022-05-21T01:25:41,17,343,0,360
2022-05-21T01:35:57,17,343,0,360
2022-05-21T01:46:12,17,343,0,360
2022-05-21T01:56:26,17,343,0,360
2022-05-21T02:06:50,17,343,0,360
2022-05-21T02:17:04,17,343,0,360
2022-05-21T02:27:17,17,343,0,360
2022-05-21T02:37:31,17,343,0,360
2022-05-21T02:47:44,17,343,0,360
2022-05-21T02:57:56,17,343,0,360
2022-05-21T03:08:09,17,343,0,360
2022-05-21T03:18:29,17,343,0,360
2022-05-21T03:28:44,17,343,0,360
2022-05-21T03:38:59,17,343,0,360
2022-05-21T03:49:15,17,343,0,360
2022-05-21T03:59:30,17,343,0,360
2022-05-21T04:09:45,17,343,0,360
