time,enrolled,available,waitlisted,total
2022-05-18T04:36:56,0,120,0,120
2022-05-18T04:47:06,0,120,0,120
2022-05-18T04:57:16,0,120,0,120
2022-05-18T05:07:28,0,120,0,120
2022-05-18T05:17:37,0,120,0,120
2022-05-18T05:27:49,0,120,0,120
2022-05-18T05:37:59,0,120,0,120
2022-05-18T05:48:08,0,120,0,120
2022-05-18T05:58:19,0,120,0,120
2022-05-18T06:08:32,0,120,0,120
2022-05-18T06:18:40,0,120,0,120
2022-05-18T06:28:48,0,120,0,120
2022-05-18T06:38:56,0,120,0,120
2022-05-18T06:49:04,0,120,0,120
2022-05-18T06:59:11,0,120,0,120
2022-05-18T07:09:21,0,120,0,120
2022-05-18T07:19:28,0,120,0,120
2022-05-18T07:29:36,0,120,0,120
2022-05-18T07:39:44,0,120,0,120
2022-05-18T07:49:52,0,120,0,120
2022-05-18T08:00:00,0,120,0,120
2022-05-18T08:10:08,0,120,0,120
2022-05-18T08:20:16,0,120,0,120
2022-05-18T08:30:25,0,120,0,120
2022-05-18T08:40:34,0,120,0,120
2022-05-18T08:50:43,0,120,0,120
2022-05-18T09:00:52,0,120,0,120
2022-05-18T09:11:14,0,120,0,120
2022-05-18T09:21:22,0,120,0,120
2022-05-18T09:31:32,0,120,0,120
2022-05-18T09:41:40,0,120,0,120
2022-05-18T09:51:49,0,120,0,120
2022-05-18T10:02:01,0,120,0,120
2022-05-18T10:12:13,0,120,0,120
2022-05-18T10:22:24,0,120,0,120
2022-05-18T10:32:34,0,120,0,120
2022-05-18T10:42:57,0,120,0,120
2022-05-18T10:53:07,0,120,0,120
2022-05-18T11:03:17,0,120,0,120
2022-05-18T11:13:27,0,120,0,120
2022-05-18T11:23:36,0,120,0,120
2022-05-18T11:33:45,0,120,0,120
2022-05-18T11:43:53,0,120,0,120
2022-05-18T11:54:13,0,120,0,120
2022-05-18T12:04:21,0,120,0,120
2022-05-18T12:14:30,0,120,0,120
2022-05-18T12:24:38,0,120,0,120
2022-05-18T12:34:49,0,120,0,120
2022-05-18T12:44:59,0,120,0,120
2022-05-18T12:55:09,0,120,0,120
2022-05-18T13:05:20,0,120,0,120
2022-05-18T13:15:40,0,120,0,120
2022-05-18T13:25:50,0,120,0,120
2022-05-18T13:36:01,0,120,0,120
2022-05-18T13:46:12,0,120,0,120
2022-05-18T13:56:23,0,120,0,120
2022-05-18T14:06:33,0,120,0,120
2022-05-18T14:16:43,0,120,0,120
2022-05-18T14:27:05,0,120,0,120
2022-05-18T14:37:16,0,120,0,120
