time,enrolled,available,waitlisted,total
2022-05-20T04:33:45,0,44,0,44
2022-05-20T04:44:02,0,44,0,44
2022-05-20T04:54:18,0,44,0,44
2022-05-20T05:04:35,0,44,0,44
2022-05-20T05:14:50,0,44,0,44
2022-05-20T05:25:05,0,44,0,44
2022-05-20T05:35:21,0,44,0,44
2022-05-20T05:45:36,0,44,0,44
2022-05-20T05:55:52,0,44,0,44
2022-05-20T06:06:08,0,44,0,44
2022-05-20T06:16:22,0,44,0,44
2022-05-20T06:26:39,0,44,0,44
2022-05-20T06:36:53,0,44,0,44
2022-05-20T06:47:07,0,44,0,44
2022-05-20T06:57:20,0,44,0,44
2022-05-20T07:07:37,0,44,0,44
2022-05-20T07:17:51,0,44,0,44
2022-05-20T07:28:04,0,44,0,44
2022-05-20T07:38:18,0,44,0,44
2022-05-20T07:48:33,0,44,0,44
2022-05-20T07:58:46,0,44,0,44
2022-05-20T08:09:00,0,44,0,44
2022-05-20T08:19:15,0,44,0,44
2022-05-20T08:29:31,0,44,0,44
2022-05-20T08:39:45,0,44,0,44
2022-05-20T08:50:00,0,44,0,44
2022-05-20T09:00:15,0,44,0,44
2022-05-20T09:10:42,0,44,0,44
2022-05-20T09:20:58,0,44,0,44
2022-05-20T09:31:14,0,44,0,44
2022-05-20T09:41:30,0,44,0,44
2022-05-20T09:51:46,0,44,0,44
2022-05-20T10:02:02,0,44,0,44
2022-05-20T10:12:19,0,44,0,44
2022-05-20T10:22:34,0,44,0,44
2022-05-20T10:32:50,0,44,0,44
2022-05-20T10:43:06,0,44,0,44
2022-05-20T10:53:35,0,44,0,44
2022-05-20T11:03:51,0,44,0,44
2022-05-20T11:14:07,0,44,0,44
2022-05-20T11:24:24,0,44,0,44
2022-05-20T11:34:39,0,44,0,44
2022-05-20T11:44:55,0,44,0,44
2022-05-20T11:55:25,0,44,0,44
2022-05-20T12:05:41,0,44,0,44
2022-05-20T12:15:56,0,44,0,44
2022-05-20T12:26:11,0,44,0,44
2022-05-20T12:36:26,0,44,0,44
2022-05-20T12:46:42,0,44,0,44
2022-05-20T12:56:58,1,43,0,44
2022-05-20T13:07:25,1,43,0,44
2022-05-20T13:17:41,1,43,0,44
2022-05-20T13:27:57,1,43,0,44
2022-05-20T13:38:14,1,43,0,44
2022-05-20T13:48:30,2,42,0,44
2022-05-20T13:58:46,3,41,0,44
2022-05-20T14:09:12,4,40,0,44
2022-05-20T14:19:28,4,40,0,44
2022-05-20T14:29:43,4,40,0,44
2022-05-20T14:39:59,4,40,0,44
2022-05-20T14:50:14,4,40,0,44
2022-05-20T15:00:30,4,40,0,44
2022-05-20T15:10:56,4,40,0,44
2022-05-20T15:21:11,4,40,0,44
2022-05-20T15:31:27,4,40,0,44
2022-05-20T15:41:42,4,40,0,44
2022-05-20T15:51:57,4,40,0,44
2022-05-20T16:02:12,4,40,0,44
2022-05-20T16:12:26,4,40,0,44
2022-05-20T16:22:52,4,40,0,44
2022-05-20T16:33:07,4,40,0,44
2022-05-20T16:43:21,4,40,0,44
2022-05-20T16:53:35,4,40,0,44
2022-05-20T17:03:50,4,40,0,44
2022-05-20T17:14:04,4,40,0,44
2022-05-20T17:24:17,4,40,0,44
2022-05-20T17:34:31,4,40,0,44
2022-05-20T17:44:46,4,40,0,44
2022-05-20T17:55:00,4,40,0,44
2022-05-20T18:05:14,4,40,0,44
2022-05-20T18:15:36,4,40,0,44
2022-05-20T18:25:50,4,40,0,44
2022-05-20T18:36:03,4,40,0,44
2022-05-20T18:46:17,4,40,0,44
2022-05-20T18:56:30,4,40,0,44
2022-05-20T19:06:44,4,40,0,44
2022-05-20T19:16:58,4,40,0,44
2022-05-20T19:27:12,4,40,0,44
2022-05-20T19:37:26,4,40,0,44
2022-05-20T19:47:40,4,40,0,44
2022-05-20T19:58:04,4,40,0,44
2022-05-20T20:08:17,4,40,0,44
2022-05-20T20:18:31,4,40,0,44
2022-05-20T20:28:45,4,40,0,44
2022-05-20T20:38:58,4,40,0,44
2022-05-20T20:49:12,4,40,0,44
2022-05-20T20:59:25,4,40,0,44
2022-05-20T21:09:39,4,40,0,44
2022-05-20T21:19:52,4,40,0,44
2022-05-20T21:30:17,4,40,0,44
2022-05-20T21:40:30,4,40,0,44
2022-05-20T21:50:44,4,40,0,44
2022-05-20T22:00:58,4,40,0,44
2022-05-20T22:11:12,4,40,0,44
2022-05-20T22:21:27,4,40,0,44
2022-05-20T22:31:41,4,40,0,44
2022-05-20T22:41:54,4,40,0,44
2022-05-20T22:52:07,4,40,0,44
2022-05-20T23:02:21,4,40,0,44
2022-05-20T23:12:46,4,40,0,44
2022-05-20T23:23:00,4,40,0,44
2022-05-20T23:33:13,4,40,0,44
2022-05-20T23:43:27,4,40,0,44
2022-05-20T23:53:40,4,40,0,44
2022-05-21T00:03:55,4,40,0,44
2022-05-21T00:14:11,4,40,0,44
2022-05-21T00:24:27,4,40,0,44
2022-05-21T00:34:43,4,40,0,44
2022-05-21T00:44:59,4,40,0,44
2022-05-21T00:55:14,4,40,0,44
2022-05-21T01:05:29,4,40,0,44
2022-05-21T01:15:45,4,40,0,44
2022-05-21T01:25:59,4,40,0,44
2022-05-21T01:36:15,4,40,0,44
2022-05-21T01:46:30,4,40,0,44
2022-05-21T01:56:44,4,40,0,44
2022-05-21T02:07:08,4,40,0,44
2022-05-21T02:17:22,4,40,0,44
2022-05-21T02:27:35,4,40,0,44
2022-05-21T02:37:49,4,40,0,44
2022-05-21T02:48:02,4,40,0,44
2022-05-21T02:58:14,4,40,0,44
2022-05-21T03:08:27,4,40,0,44
2022-05-21T03:18:47,4,40,0,44
2022-05-21T03:29:02,4,40,0,44
2022-05-21T03:39:17,4,40,0,44
2022-05-21T03:49:33,4,40,0,44
2022-05-21T03:59:48,4,40,0,44
2022-05-21T04:25:24,4,40,0,44
2022-05-21T04:36:49,4,40,0,44
2022-05-21T04:47:21,4,40,0,44
2022-05-21T04:57:36,4,40,0,44
2022-05-21T05:07:52,4,40,0,44
2022-05-21T05:18:08,4,40,0,44
2022-05-21T05:28:24,4,40,0,44
2022-05-21T05:38:40,4,40,0,44
2022-05-21T05:48:56,4,40,0,44
2022-05-21T05:59:11,4,40,0,44
2022-05-21T06:09:27,4,40,0,44
2022-05-21T06:19:41,4,40,0,44
2022-05-21T06:29:58,4,40,0,44
2022-05-21T06:40:13,4,40,0,44
2022-05-21T06:50:29,4,40,0,44
2022-05-21T07:00:44,4,40,0,44
2022-05-21T07:11:00,4,40,0,44
2022-05-21T07:21:15,4,40,0,44
2022-05-21T07:31:30,4,40,0,44
2022-05-21T07:41:45,4,40,0,44
2022-05-21T07:51:59,4,40,0,44
2022-05-21T08:02:14,4,40,0,44
2022-05-21T08:12:29,4,40,0,44
2022-05-21T08:22:46,4,40,0,44
2022-05-21T08:33:01,4,40,0,44
2022-05-21T08:43:15,4,40,0,44
2022-05-21T08:53:51,4,40,0,44
2022-05-21T09:04:05,4,40,0,44
2022-05-21T09:14:18,4,40,0,44
2022-05-21T09:24:31,4,40,0,44
2022-05-21T09:34:44,4,40,0,44
2022-05-21T09:44:57,4,40,0,44
2022-05-21T09:55:10,4,40,0,44
2022-05-21T10:05:24,4,40,0,44
2022-05-21T10:15:37,4,40,0,44
2022-05-21T10:25:50,4,40,0,44
2022-05-21T10:36:03,4,40,0,44
2022-05-21T10:46:16,4,40,0,44
2022-05-21T10:56:30,4,40,0,44
2022-05-21T11:06:43,4,40,0,44
2022-05-21T11:17:08,4,40,0,44
2022-05-21T11:27:22,4,40,0,44
2022-05-21T11:37:36,4,40,0,44
2022-05-21T11:47:49,4,40,0,44
2022-05-21T11:58:02,4,40,0,44
2022-05-21T12:08:17,4,40,0,44
2022-05-21T12:18:31,4,40,0,44
2022-05-21T12:28:44,4,40,0,44
2022-05-21T12:39:18,4,40,0,44
2022-05-21T12:49:31,4,40,0,44
2022-05-21T12:59:44,4,40,0,44
2022-05-21T13:09:58,4,40,0,44
2022-05-21T13:20:12,4,40,0,44
2022-05-21T13:30:25,4,40,0,44
2022-05-21T13:40:38,4,40,0,44
2022-05-21T13:50:52,4,40,0,44
2022-05-21T14:01:05,4,40,0,44
2022-05-21T14:11:18,4,40,0,44
2022-05-21T14:21:42,4,40,0,44
2022-05-21T14:31:55,4,40,0,44
2022-05-21T14:42:09,4,40,0,44
2022-05-21T14:52:24,4,40,0,44
2022-05-21T15:02:38,4,40,0,44
2022-05-21T15:12:52,4,40,0,44
2022-05-21T15:23:05,4,40,0,44
2022-05-21T15:33:29,4,40,0,44
2022-05-21T15:43:43,4,40,0,44
2022-05-21T15:53:56,4,40,0,44
2022-05-21T16:04:09,4,40,0,44
2022-05-21T16:14:23,4,40,0,44
2022-05-21T16:24:36,4,40,0,44
2022-05-21T16:34:50,4,40,0,44
2022-05-21T16:45:03,4,40,0,44
2022-05-21T16:55:17,4,40,0,44
2022-05-21T17:05:49,4,40,0,44
2022-05-21T17:16:03,4,40,0,44
2022-05-21T17:26:17,4,40,0,44
2022-05-21T17:36:30,4,40,0,44
2022-05-21T17:46:43,4,40,0,44
2022-05-21T17:56:56,4,40,0,44
2022-05-21T18:07:10,4,40,0,44
2022-05-21T18:17:23,4,40,0,44
2022-05-21T18:27:37,4,40,0,44
2022-05-21T18:37:51,4,40,0,44
2022-05-21T18:48:32,4,40,0,44
2022-05-21T18:58:45,4,40,0,44
2022-05-21T19:08:59,4,40,0,44
2022-05-21T19:19:12,4,40,0,44
2022-05-21T19:29:25,4,40,0,44
2022-05-21T19:39:39,4,40,0,44
2022-05-21T19:49:54,4,40,0,44
2022-05-21T20:00:08,4,40,0,44
2022-05-21T20:10:22,4,40,0,44
2022-05-21T20:20:36,5,39,0,44
2022-05-21T20:31:00,5,39,0,44
2022-05-21T20:41:14,5,39,0,44
2022-05-21T20:51:28,5,39,0,44
2022-05-21T21:01:41,5,39,0,44
2022-05-21T21:11:55,5,39,0,44
2022-05-21T21:22:08,5,39,0,44
2022-05-21T21:32:22,5,39,0,44
2022-05-21T21:42:35,5,39,0,44
2022-05-21T21:52:48,5,39,0,44
2022-05-21T22:03:02,5,39,0,44
2022-05-21T22:13:37,5,39,0,44
2022-05-21T22:23:51,5,39,0,44
2022-05-21T22:34:04,5,39,0,44
2022-05-21T22:44:18,5,39,0,44
2022-05-21T22:54:30,5,39,0,44
2022-05-21T23:04:44,5,39,0,44
2022-05-21T23:14:58,5,39,0,44
2022-05-21T23:25:11,5,39,0,44
2022-05-21T23:35:24,5,39,0,44
2022-05-21T23:45:36,5,39,0,44
2022-05-21T23:55:50,5,39,0,44
2022-05-22T00:06:04,5,39,0,44
2022-05-22T00:16:19,5,39,0,44
2022-05-22T00:26:33,5,39,0,44
2022-05-22T00:36:59,5,39,0,44
2022-05-22T00:47:12,5,39,0,44
2022-05-22T00:57:25,5,39,0,44
2022-05-22T01:07:38,5,39,0,44
2022-05-22T01:17:51,5,39,0,44
2022-05-22T01:28:03,5,39,0,44
2022-05-22T01:38:16,5,39,0,44
2022-05-22T01:48:29,5,39,0,44
2022-05-22T01:58:42,5,39,0,44
2022-05-22T02:08:55,5,39,0,44
2022-05-22T02:19:08,5,39,0,44
2022-05-22T02:29:23,5,39,0,44
2022-05-22T02:39:39,5,39,0,44
2022-05-22T02:49:55,5,39,0,44
2022-05-22T03:00:10,5,39,0,44
2022-05-22T03:11:21,5,39,0,44
2022-05-22T03:21:36,5,39,0,44
2022-05-22T03:31:52,5,39,0,44
2022-05-22T03:42:17,5,39,0,44
2022-05-22T03:52:32,5,39,0,44
2022-05-22T04:02:47,5,39,0,44
2022-05-22T04:23:57,5,39,0,44
2022-05-22T04:34:13,5,39,0,44
2022-05-22T04:44:29,5,39,0,44
2022-05-22T04:54:45,5,39,0,44
2022-05-22T05:05:01,5,39,0,44
2022-05-22T05:15:17,5,39,0,44
2022-05-22T05:25:32,5,39,0,44
2022-05-22T05:35:47,5,39,0,44
2022-05-22T05:46:03,5,39,0,44
2022-05-22T05:56:19,5,39,0,44
2022-05-22T06:06:34,5,39,0,44
2022-05-22T06:16:49,5,39,0,44
2022-05-22T06:27:04,5,39,0,44
2022-05-22T06:37:19,5,39,0,44
2022-05-22T06:47:34,5,39,0,44
2022-05-22T06:57:47,5,39,0,44
2022-05-22T07:08:01,5,39,0,44
2022-05-22T07:18:14,5,39,0,44
2022-05-22T07:28:27,5,39,0,44
2022-05-22T07:38:41,5,39,0,44
2022-05-22T07:48:54,5,39,0,44
2022-05-22T07:59:07,5,39,0,44
2022-05-22T08:09:20,5,39,0,44
2022-05-22T08:19:33,5,39,0,44
2022-05-22T08:29:46,5,39,0,44
2022-05-22T08:39:59,5,39,0,44
2022-05-22T08:50:12,5,39,0,44
2022-05-22T09:00:25,5,39,0,44
2022-05-22T09:10:38,5,39,0,44
2022-05-22T09:20:52,5,39,0,44
2022-05-22T09:31:05,5,39,0,44
2022-05-22T09:41:18,5,39,0,44
2022-05-22T09:51:31,5,39,0,44
2022-05-22T10:01:44,5,39,0,44
2022-05-22T10:11:57,5,39,0,44
2022-05-22T10:22:11,5,39,0,44
2022-05-22T10:32:25,5,39,0,44
2022-05-22T10:42:39,5,39,0,44
2022-05-22T10:52:53,5,39,0,44
2022-05-22T11:03:06,5,39,0,44
2022-05-22T11:13:27,5,39,0,44
2022-05-22T11:23:40,5,39,0,44
2022-05-22T11:33:53,5,39,0,44
2022-05-22T11:44:07,5,39,0,44
2022-05-22T11:54:21,5,39,0,44
2022-05-22T12:04:34,5,39,0,44
2022-05-22T12:14:47,5,39,0,44
2022-05-22T12:25:01,5,39,0,44
2022-05-22T12:35:14,5,39,0,44
2022-05-22T12:45:27,5,39,0,44
2022-05-22T12:55:40,5,39,0,44
2022-05-22T13:05:53,5,39,0,44
2022-05-22T13:16:06,5,39,0,44
2022-05-22T13:26:28,5,39,0,44
2022-05-22T13:36:41,5,39,0,44
2022-05-22T13:46:54,5,39,0,44
2022-05-22T13:57:08,5,39,0,44
2022-05-22T14:07:24,5,39,0,44
2022-05-22T14:17:37,5,39,0,44
2022-05-22T14:27:50,5,39,0,44
2022-05-22T14:38:03,5,39,0,44
2022-05-22T14:48:16,5,39,0,44
2022-05-22T14:58:29,5,39,0,44
2022-05-22T15:08:42,5,39,0,44
2022-05-22T15:18:56,5,39,0,44
2022-05-22T15:29:09,5,39,0,44
2022-05-22T15:39:23,5,39,0,44
2022-05-22T15:49:47,5,39,0,44
2022-05-22T16:00:01,5,39,0,44
2022-05-22T16:10:14,5,39,0,44
2022-05-22T16:20:28,5,39,0,44
2022-05-22T16:30:41,5,39,0,44
2022-05-22T16:40:55,5,39,0,44
2022-05-22T16:51:08,5,39,0,44
2022-05-22T17:01:21,5,39,0,44
2022-05-22T17:11:35,5,39,0,44
2022-05-22T17:21:48,5,39,0,44
2022-05-22T17:32:02,5,39,0,44
2022-05-22T17:42:15,5,39,0,44
2022-05-22T17:52:39,5,39,0,44
2022-05-22T18:02:52,5,39,0,44
2022-05-22T18:13:05,5,39,0,44
2022-05-22T18:23:18,5,39,0,44
2022-05-22T18:33:31,5,39,0,44
2022-05-22T18:43:45,5,39,0,44
2022-05-22T18:53:59,5,39,0,44
2022-05-22T19:04:13,5,39,0,44
2022-05-22T19:14:26,5,39,0,44
2022-05-22T19:24:41,5,39,0,44
2022-05-22T19:34:54,5,39,0,44
2022-05-22T19:45:07,5,39,0,44
2022-05-22T19:55:21,5,39,0,44
2022-05-22T20:05:45,5,39,0,44
2022-05-22T20:15:58,5,39,0,44
2022-05-22T20:26:13,5,39,0,44
