time,enrolled,available,waitlisted,total
2022-05-20T04:33:39,0,120,0,120
2022-05-20T04:43:55,0,120,0,120
2022-05-20T04:54:12,0,120,0,120
2022-05-20T05:04:28,0,120,0,120
2022-05-20T05:14:44,0,120,0,120
2022-05-20T05:24:59,0,120,0,120
2022-05-20T05:35:15,0,120,0,120
2022-05-20T05:45:30,0,120,0,120
2022-05-20T05:55:46,0,120,0,120
2022-05-20T06:06:02,0,120,0,120
2022-05-20T06:16:16,0,120,0,120
2022-05-20T06:26:32,0,120,0,120
2022-05-20T06:36:47,0,120,0,120
2022-05-20T06:47:01,0,120,0,120
2022-05-20T06:57:14,0,120,0,120
2022-05-20T07:07:31,0,120,0,120
2022-05-20T07:17:44,0,120,0,120
2022-05-20T07:27:58,0,120,0,120
2022-05-20T07:38:12,0,120,0,120
2022-05-20T07:48:26,0,120,0,120
2022-05-20T07:58:40,0,120,0,120
2022-05-20T08:08:54,0,120,0,120
2022-05-20T08:19:08,0,120,0,120
2022-05-20T08:29:24,0,120,0,120
2022-05-20T08:39:39,0,120,0,120
2022-05-20T08:49:54,0,120,0,120
2022-05-20T09:00:08,0,120,0,120
2022-05-20T09:10:36,0,120,0,120
2022-05-20T09:20:52,0,120,0,120
2022-05-20T09:31:08,0,120,0,120
2022-05-20T09:41:24,0,120,0,120
2022-05-20T09:51:39,0,120,0,120
2022-05-20T10:01:56,0,120,0,120
2022-05-20T10:12:12,0,120,0,120
2022-05-20T10:22:28,0,120,0,120
2022-05-20T10:32:44,1,119,0,120
2022-05-20T10:42:59,1,119,0,120
2022-05-20T10:53:28,1,119,0,120
2022-05-20T11:03:45,1,119,0,120
2022-05-20T11:14:01,1,119,0,120
2022-05-20T11:24:17,1,119,0,120
2022-05-20T11:34:33,1,119,0,120
2022-05-20T11:44:49,1,119,0,120
2022-05-20T11:55:18,1,119,0,120
2022-05-20T12:05:35,1,119,0,120
2022-05-20T12:15:50,1,119,0,120
2022-05-20T12:26:05,1,119,0,120
2022-05-20T12:36:20,1,119,0,120
2022-05-20T12:46:36,1,119,0,120
2022-05-20T12:56:52,1,119,0,120
2022-05-20T13:07:18,1,119,0,120
2022-05-20T13:17:35,1,119,0,120
2022-05-20T13:27:51,1,119,0,120
2022-05-20T13:38:08,1,119,0,120
2022-05-20T13:48:24,2,118,0,120
2022-05-20T13:58:40,2,118,0,120
2022-05-20T14:09:06,2,118,0,120
2022-05-20T14:19:21,2,118,0,120
2022-05-20T14:29:37,2,118,0,120
2022-05-20T14:39:52,2,118,0,120
2022-05-20T14:50:08,2,118,0,120
2022-05-20T15:00:23,2,118,0,120
2022-05-20T15:10:49,2,118,0,120
2022-05-20T15:21:05,2,118,0,120
2022-05-20T15:31:20,2,118,0,120
2022-05-20T15:41:35,3,117,0,120
2022-05-20T15:51:50,3,117,0,120
2022-05-20T16:02:05,3,117,0,120
2022-05-20T16:12:20,3,117,0,120
2022-05-20T16:22:46,3,117,0,120
2022-05-20T16:33:00,3,117,0,120
2022-05-20T16:43:14,3,117,0,120
2022-05-20T16:53:29,3,117,0,120
2022-05-20T17:03:43,3,117,0,120
2022-05-20T17:13:58,3,117,0,120
2022-05-20T17:24:11,3,117,0,120
2022-05-20T17:34:25,3,117,0,120
2022-05-20T17:44:39,3,117,0,120
2022-05-20T17:54:53,3,117,0,120
2022-05-20T18:05:07,3,117,0,120
2022-05-20T18:15:30,3,117,0,120
2022-05-20T18:25:44,3,117,0,120
2022-05-20T18:35:57,3,117,0,120
2022-05-20T18:46:10,3,117,0,120
2022-05-20T18:56:24,3,117,0,120
2022-05-20T19:06:38,3,117,0,120
2022-05-20T19:16:52,3,117,0,120
2022-05-20T19:27:06,3,117,0,120
2022-05-20T19:37:19,3,117,0,120
2022-05-20T19:47:34,3,117,0,120
2022-05-20T19:57:58,3,117,0,120
2022-05-20T20:08:11,3,117,0,120
2022-05-20T20:18:25,3,117,0,120
2022-05-20T20:28:39,3,117,0,120
