time,enrolled,available,waitlisted,total
2022-05-31T08:47:58,0,1,0,1
2022-05-31T08:58:29,0,1,0,1
2022-05-31T09:09:03,0,1,0,1
2022-05-31T09:19:30,0,1,0,1
2022-05-31T09:29:56,0,1,0,1
2022-05-31T09:40:24,0,1,0,1
2022-05-31T09:50:50,0,1,0,1
2022-05-31T10:01:16,0,1,0,1
2022-05-31T10:11:55,0,1,0,1
2022-05-31T10:22:19,0,1,0,1
2022-05-31T10:32:43,0,1,0,1
2022-05-31T10:43:06,0,1,0,1
2022-05-31T10:53:27,0,1,0,1
2022-05-31T11:04:08,0,1,0,1
2022-05-31T11:14:30,0,1,0,1
2022-05-31T11:24:52,0,1,0,1
2022-05-31T11:35:14,0,1,0,1
2022-05-31T11:45:36,0,1,0,1
2022-05-31T11:56:10,0,1,0,1
2022-05-31T12:06:31,0,1,0,1
2022-05-31T12:16:53,0,1,0,1
2022-05-31T12:27:14,0,1,0,1
2022-05-31T12:37:36,0,1,0,1
2022-05-31T12:48:09,0,1,0,1
2022-05-31T12:58:30,0,1,0,1
2022-05-31T13:08:53,0,1,0,1
2022-05-31T13:19:15,0,1,0,1
2022-05-31T13:29:47,0,1,0,1
2022-05-31T13:40:10,0,1,0,1
2022-05-31T13:50:33,0,1,0,1
2022-05-31T14:00:56,0,1,0,1
2022-05-31T14:11:21,0,1,0,1
2022-05-31T14:22:03,0,1,0,1
2022-05-31T14:32:26,0,1,0,1
2022-05-31T14:42:48,0,1,0,1
2022-05-31T14:53:10,0,1,0,1
2022-05-31T15:03:33,0,1,0,1
2022-05-31T15:14:07,0,1,0,1
2022-05-31T15:24:29,0,1,0,1
2022-05-31T15:34:51,0,1,0,1
2022-05-31T15:45:13,0,1,0,1
2022-05-31T15:55:35,0,1,0,1
2022-05-31T16:06:07,0,1,0,1
2022-05-31T16:16:29,0,1,0,1
2022-05-31T16:26:51,0,1,0,1
2022-05-31T16:37:12,0,1,0,1
2022-05-31T16:47:33,0,1,0,1
2022-05-31T16:58:05,0,1,0,1
2022-05-31T17:08:27,0,1,0,1
2022-05-31T17:18:48,0,1,0,1
2022-05-31T17:29:09,0,1,0,1
2022-05-31T17:39:29,0,1,0,1
2022-05-31T17:49:49,0,1,0,1
2022-05-31T18:00:20,0,1,0,1
2022-05-31T18:10:42,0,1,0,1
2022-05-31T18:21:02,0,1,0,1
2022-05-31T18:31:23,0,1,0,1
2022-05-31T18:41:43,0,1,0,1
2022-05-31T18:52:05,0,1,0,1
2022-05-31T19:02:38,0,1,0,1
2022-05-31T19:12:58,0,1,0,1
2022-05-31T19:23:19,0,1,0,1
2022-05-31T19:33:39,0,1,0,1
2022-05-31T19:43:59,0,1,0,1
2022-05-31T19:54:19,0,1,0,1
2022-05-31T20:04:52,0,1,0,1
2022-05-31T20:15:13,0,1,0,1
2022-05-31T20:25:33,0,1,0,1
2022-05-31T20:35:53,0,1,0,1
2022-05-31T20:46:12,0,1,0,1
2022-05-31T20:56:32,0,1,0,1
2022-05-31T21:07:03,0,1,0,1
2022-05-31T21:17:22,0,1,0,1
2022-05-31T21:27:42,0,1,0,1
2022-05-31T21:38:01,0,1,0,1
2022-05-31T21:48:42,0,1,0,1
2022-05-31T21:59:01,0,1,0,1
2022-05-31T22:09:22,0,1,0,1
2022-05-31T22:19:41,0,1,0,1
2022-05-31T22:30:00,0,1,0,1
2022-05-31T22:40:20,0,1,0,1
2022-05-31T22:50:39,0,1,0,1
2022-05-31T23:01:11,0,1,0,1
2022-05-31T23:11:30,0,1,0,1
2022-05-31T23:21:49,0,1,0,1
2022-05-31T23:32:09,0,1,0,1
2022-05-31T23:42:29,0,1,0,1
2022-05-31T23:52:48,0,1,0,1
2022-06-01T00:03:12,0,1,0,1
2022-06-01T00:13:45,0,1,0,1
2022-06-01T00:24:06,0,1,0,1
2022-06-01T00:34:26,0,1,0,1
2022-06-01T00:44:49,0,1,0,1
2022-06-01T00:55:11,0,1,0,1
2022-06-01T01:05:32,0,1,0,1
2022-06-01T01:15:53,0,1,0,1
2022-06-01T01:26:13,0,1,0,1
2022-06-01T01:36:32,0,1,0,1
2022-06-01T01:46:52,0,1,0,1
2022-06-01T01:57:13,0,1,0,1
2022-06-01T02:07:33,0,1,0,1
2022-06-01T02:18:06,0,1,0,1
2022-06-01T02:28:33,0,1,0,1
2022-06-01T02:38:54,0,1,0,1
2022-06-01T02:49:14,0,1,0,1
2022-06-01T02:59:34,0,1,0,1
2022-06-01T03:09:53,0,1,0,1
2022-06-01T03:20:12,0,1,0,1
2022-06-01T03:30:31,0,1,0,1
2022-06-01T03:40:51,0,1,0,1
2022-06-01T03:51:11,0,1,0,1
2022-06-01T04:01:31,0,1,0,1
2022-06-01T04:11:52,0,1,0,1
2022-06-01T04:36:42,0,1,0,1
2022-06-01T04:47:02,0,1,0,1
2022-06-01T04:57:23,0,1,0,1
2022-06-01T05:07:46,0,1,0,1
2022-06-01T05:19:31,0,1,0,1
2022-06-01T05:30:11,0,1,0,1
2022-06-01T05:40:33,0,1,0,1
2022-06-01T05:50:55,0,1,0,1
2022-06-01T06:01:17,0,1,0,1
2022-06-01T06:11:37,0,1,0,1
2022-06-01T06:21:58,0,1,0,1
2022-06-01T06:32:18,0,1,0,1
2022-06-01T06:42:37,0,1,0,1
2022-06-01T06:52:56,0,1,0,1
2022-06-01T07:03:16,0,1,0,1
2022-06-01T07:13:35,0,1,0,1
2022-06-01T07:23:54,0,1,0,1
2022-06-01T07:34:14,0,1,0,1
2022-06-01T07:44:34,0,1,0,1
2022-06-01T07:54:58,0,1,0,1
2022-06-01T08:05:18,0,1,0,1
2022-06-01T08:15:39,0,1,0,1
2022-06-01T08:26:12,0,1,0,1
2022-06-01T08:36:33,0,1,0,1
2022-06-01T08:46:54,0,1,0,1
2022-06-01T08:57:15,0,1,0,1
2022-06-01T09:07:36,0,1,0,1
2022-06-01T09:17:59,0,1,0,1
2022-06-01T09:28:21,0,1,0,1
2022-06-01T09:38:43,0,1,0,1
2022-06-01T09:49:06,0,1,0,1
2022-06-01T09:59:28,0,1,0,1
2022-06-01T10:09:51,0,1,0,1
2022-06-01T10:20:25,0,1,0,1
2022-06-01T10:30:49,0,1,0,1
2022-06-01T10:41:12,0,1,0,1
2022-06-01T10:51:34,0,1,0,1
2022-06-01T11:02:01,0,1,0,1
2022-06-01T11:12:30,0,1,0,1
2022-06-01T11:22:57,0,1,0,1
2022-06-01T11:33:36,0,1,0,1
2022-06-01T11:44:03,0,1,0,1
2022-06-01T11:54:31,0,1,0,1
2022-06-01T12:05:01,0,1,0,1
2022-06-01T12:15:32,0,1,0,1
2022-06-01T12:26:04,0,1,0,1
2022-06-01T12:36:47,0,1,0,1
2022-06-01T12:47:21,0,1,0,1
2022-06-01T12:57:57,0,1,0,1
2022-06-01T13:08:29,0,1,0,1
2022-06-01T13:19:01,0,1,0,1
2022-06-01T13:29:44,0,1,0,1
2022-06-01T13:40:14,0,1,0,1
2022-06-01T13:50:44,0,1,0,1
2022-06-01T14:01:15,0,1,0,1
2022-06-01T14:11:46,0,1,0,1
2022-06-01T14:22:14,0,1,0,1
2022-06-01T14:32:53,0,1,0,1
2022-06-01T14:43:20,0,1,0,1
2022-06-01T14:53:44,0,1,0,1
2022-06-01T15:04:09,0,1,0,1
2022-06-01T15:14:33,0,1,0,1
2022-06-01T15:25:11,0,1,0,1
2022-06-01T15:35:34,0,1,0,1
2022-06-01T15:45:59,0,1,0,1
2022-06-01T15:56:22,0,1,0,1
2022-06-01T16:06:46,0,1,0,1
2022-06-01T16:17:23,0,1,0,1
2022-06-01T16:27:47,0,1,0,1
2022-06-01T16:38:10,0,1,0,1
2022-06-01T16:48:34,0,1,0,1
2022-06-01T16:58:57,0,1,0,1
2022-06-01T17:09:35,0,1,0,1
2022-06-01T17:19:59,0,1,0,1
2022-06-01T17:30:22,0,1,0,1
2022-06-01T17:40:43,0,1,0,1
2022-06-01T17:51:19,0,1,0,1
2022-06-01T18:01:44,0,1,0,1
2022-06-01T18:12:07,0,1,0,1
2022-06-01T18:22:30,0,1,0,1
2022-06-01T18:32:54,0,1,0,1
2022-06-01T18:43:16,0,1,0,1
2022-06-01T18:53:51,0,1,0,1
2022-06-01T19:04:13,0,1,0,1
2022-06-01T19:14:35,0,1,0,1
2022-06-01T19:24:58,0,1,0,1
2022-06-01T19:35:21,0,1,0,1
2022-06-01T19:45:55,0,1,0,1
2022-06-01T19:56:17,0,1,0,1
2022-06-01T20:06:39,0,1,0,1
2022-06-01T20:17:02,0,1,0,1
2022-06-01T20:27:24,0,1,0,1
2022-06-01T20:37:59,0,1,0,1
2022-06-01T20:48:21,0,1,0,1
2022-06-01T20:58:43,0,1,0,1
2022-06-01T21:09:04,0,1,0,1
2022-06-01T21:19:37,0,1,0,1
2022-06-01T21:29:59,0,1,0,1
2022-06-01T21:40:21,0,1,0,1
2022-06-01T21:50:43,0,1,0,1
2022-06-01T22:01:04,0,1,0,1
2022-06-01T22:11:28,0,1,0,1
2022-06-01T22:22:03,0,1,0,1
2022-06-01T22:32:24,0,1,0,1
2022-06-01T22:42:45,0,1,0,1
2022-06-01T22:53:06,0,1,0,1
2022-06-01T23:03:27,0,1,0,1
2022-06-01T23:13:49,0,1,0,1
2022-06-01T23:24:22,0,1,0,1
2022-06-01T23:34:43,0,1,0,1
2022-06-01T23:45:04,0,1,0,1
2022-06-01T23:55:25,0,1,0,1
2022-06-02T00:05:47,0,1,0,1
2022-06-02T00:16:12,0,1,0,1
2022-06-02T00:26:46,0,1,0,1
2022-06-02T00:37:09,0,1,0,1
2022-06-02T00:47:32,0,1,0,1
2022-06-02T00:57:54,0,1,0,1
2022-06-02T01:08:17,0,1,0,1
2022-06-02T01:18:38,0,1,0,1
2022-06-02T01:29:01,0,1,0,1
2022-06-02T01:39:23,0,1,0,1
2022-06-02T01:49:44,0,1,0,1
2022-06-02T02:00:08,0,1,0,1
2022-06-02T02:10:37,0,1,0,1
2022-06-02T02:21:01,0,1,0,1
2022-06-02T02:31:36,0,1,0,1
2022-06-02T02:42:00,0,1,0,1
2022-06-02T02:52:24,0,1,0,1
2022-06-02T03:02:48,0,1,0,1
2022-06-02T03:13:10,0,1,0,1
2022-06-02T03:23:35,0,1,0,1
2022-06-02T03:34:02,0,1,0,1
2022-06-02T03:44:29,0,1,0,1
2022-06-02T03:54:55,0,1,0,1
2022-06-02T04:08:00,0,1,0,1
2022-06-02T04:39:56,0,1,0,1
2022-06-02T04:50:26,0,1,0,1
2022-06-02T05:00:56,0,1,0,1
2022-06-02T05:11:26,0,1,0,1
2022-06-02T05:21:55,0,1,0,1
2022-06-02T05:32:21,0,1,0,1
2022-06-02T05:42:48,0,1,0,1
2022-06-02T05:53:15,0,1,0,1
2022-06-02T06:03:38,0,1,0,1
2022-06-02T06:14:01,0,1,0,1
2022-06-02T06:24:23,0,1,0,1
