time,enrolled,available,waitlisted,total
2022-05-18T04:37:45,0,110,0,110
2022-05-18T04:47:55,0,110,0,110
2022-05-18T04:58:05,0,110,0,110
2022-05-18T05:08:17,0,110,0,110
2022-05-18T05:18:26,0,110,0,110
2022-05-18T05:28:39,0,110,0,110
2022-05-18T05:38:48,0,110,0,110
2022-05-18T05:48:57,0,110,0,110
2022-05-18T05:59:08,0,110,0,110
2022-05-18T06:09:21,0,110,0,110
2022-05-18T06:19:29,0,110,0,110
2022-05-18T06:29:37,0,110,0,110
2022-05-18T06:39:45,0,110,0,110
2022-05-18T06:49:53,0,110,0,110
2022-05-18T07:00:00,0,110,0,110
2022-05-18T07:10:10,0,110,0,110
2022-05-18T07:20:17,0,110,0,110
2022-05-18T07:30:25,0,110,0,110
2022-05-18T07:40:33,0,110,0,110
2022-05-18T07:50:41,0,110,0,110
2022-05-18T08:00:49,0,110,0,110
2022-05-18T08:10:57,0,110,0,110
2022-05-18T08:21:05,0,110,0,110
2022-05-18T08:31:14,0,110,0,110
2022-05-18T08:41:23,0,110,0,110
2022-05-18T08:51:32,0,110,0,110
2022-05-18T09:01:42,0,110,0,110
2022-05-18T09:12:02,0,110,0,110
2022-05-18T09:22:11,0,110,0,110
2022-05-18T09:32:21,0,110,0,110
2022-05-18T09:42:29,0,110,0,110
2022-05-18T09:52:39,0,110,0,110
2022-05-18T10:02:50,0,110,0,110
2022-05-18T10:13:02,0,110,0,110
2022-05-18T10:23:13,0,110,0,110
2022-05-18T10:33:23,0,110,0,110
2022-05-18T10:43:46,0,110,0,110
2022-05-18T10:53:56,0,110,0,110
2022-05-18T11:04:06,0,110,0,110
2022-05-18T11:14:16,0,110,0,110
2022-05-18T11:24:25,0,110,0,110
2022-05-18T11:34:34,0,110,0,110
2022-05-18T11:44:42,0,110,0,110
2022-05-18T11:55:02,0,110,0,110
2022-05-18T12:05:10,0,110,0,110
2022-05-18T12:15:19,0,110,0,110
2022-05-18T12:25:27,0,110,0,110
2022-05-18T12:35:38,0,110,0,110
2022-05-18T12:45:48,0,110,0,110
2022-05-18T12:55:58,0,110,0,110
2022-05-18T13:06:09,0,110,0,110
2022-05-18T13:16:30,0,110,0,110
2022-05-18T13:26:39,0,110,0,110
