time,enrolled,available,waitlisted,total
2022-05-20T04:34:23,0,140,0,140
2022-05-20T04:44:39,0,140,0,140
2022-05-20T04:54:56,0,140,0,140
2022-05-20T05:05:12,0,140,0,140
2022-05-20T05:15:28,0,140,0,140
2022-05-20T05:25:43,0,140,0,140
2022-05-20T05:35:58,0,140,0,140
2022-05-20T05:46:14,0,140,0,140
2022-05-20T05:56:30,0,140,0,140
2022-05-20T06:06:45,0,140,0,140
2022-05-20T06:17:00,0,140,0,140
2022-05-20T06:27:16,0,140,0,140
2022-05-20T06:37:30,0,140,0,140
2022-05-20T06:47:44,0,140,0,140
2022-05-20T06:57:58,0,140,0,140
2022-05-20T07:08:14,0,140,0,140
2022-05-20T07:18:28,0,140,0,140
2022-05-20T07:28:42,0,140,0,140
2022-05-20T07:38:55,0,140,0,140
2022-05-20T07:49:10,0,140,0,140
2022-05-20T07:59:24,0,140,0,140
2022-05-20T08:09:38,0,140,0,140
2022-05-20T08:19:52,0,140,0,140
2022-05-20T08:30:08,0,140,0,140
2022-05-20T08:40:23,0,140,0,140
2022-05-20T08:50:37,0,140,0,140
2022-05-20T09:00:52,0,140,0,140
2022-05-20T09:11:20,0,140,0,140
2022-05-20T09:21:36,0,140,0,140
2022-05-20T09:31:52,1,139,0,140
2022-05-20T09:42:07,1,139,0,140
2022-05-20T09:52:23,1,139,0,140
2022-05-20T10:02:40,1,139,0,140
2022-05-20T10:12:56,1,139,0,140
2022-05-20T10:23:11,1,139,0,140
2022-05-20T10:33:28,1,139,0,140
2022-05-20T10:43:43,1,139,0,140
2022-05-20T10:54:12,1,139,0,140
2022-05-20T11:04:29,1,139,0,140
2022-05-20T11:14:45,2,138,0,140
2022-05-20T11:25:01,2,138,0,140
2022-05-20T11:35:17,2,138,0,140
2022-05-20T11:45:33,2,138,0,140
2022-05-20T11:56:02,2,138,0,140
2022-05-20T12:06:18,2,138,0,140
2022-05-20T12:16:34,2,138,0,140
2022-05-20T12:26:49,2,138,0,140
2022-05-20T12:37:04,2,138,0,140
2022-05-20T12:47:19,2,138,0,140
2022-05-20T12:57:35,2,138,0,140
2022-05-20T13:08:02,3,137,0,140
2022-05-20T13:18:19,3,137,0,140
2022-05-20T13:28:35,3,137,0,140
2022-05-20T13:38:52,3,137,0,140
2022-05-20T13:49:08,3,137,0,140
2022-05-20T13:59:23,3,137,0,140
2022-05-20T14:09:50,3,137,0,140
2022-05-20T14:20:05,3,137,0,140
2022-05-20T14:30:21,3,137,0,140
2022-05-20T14:40:36,4,136,0,140
2022-05-20T14:50:52,4,136,0,140
2022-05-20T15:01:07,4,136,0,140
2022-05-20T15:11:33,4,136,0,140
2022-05-20T15:21:49,4,136,0,140
2022-05-20T15:32:04,4,136,0,140
2022-05-20T15:42:19,4,136,0,140
2022-05-20T15:52:34,4,136,0,140
2022-05-20T16:02:49,4,136,0,140
2022-05-20T16:13:04,4,136,0,140
2022-05-20T16:23:29,4,136,0,140
2022-05-20T16:33:44,4,136,0,140
2022-05-20T16:43:58,4,136,0,140
2022-05-20T16:54:12,4,136,0,140
2022-05-20T17:04:27,4,136,0,140
2022-05-20T17:14:41,4,136,0,140
2022-05-20T17:24:55,4,136,0,140
2022-05-20T17:35:09,4,136,0,140
2022-05-20T17:45:23,4,136,0,140
2022-05-20T17:55:37,4,136,0,140
2022-05-20T18:05:51,4,136,0,140
2022-05-20T18:16:14,4,136,0,140
2022-05-20T18:26:27,4,136,0,140
2022-05-20T18:36:41,4,136,0,140
2022-05-20T18:46:54,4,136,0,140
2022-05-20T18:57:08,4,136,0,140
2022-05-20T19:07:22,4,136,0,140
2022-05-20T19:17:36,4,136,0,140
2022-05-20T19:27:50,4,136,0,140
2022-05-20T19:38:03,4,136,0,140
2022-05-20T19:48:18,4,136,0,140
2022-05-20T19:58:41,4,136,0,140
2022-05-20T20:08:55,4,136,0,140
2022-05-20T20:19:08,4,136,0,140
2022-05-20T20:29:22,4,136,0,140
2022-05-20T20:39:36,4,136,0,140
2022-05-20T20:49:49,4,136,0,140
2022-05-20T21:00:03,4,136,0,140
2022-05-20T21:10:16,4,136,0,140
2022-05-20T21:20:30,4,136,0,140
2022-05-20T21:30:54,4,136,0,140
2022-05-20T21:41:08,4,136,0,140
2022-05-20T21:51:21,4,136,0,140
2022-05-20T22:01:36,4,136,0,140
2022-05-20T22:11:49,4,136,0,140
2022-05-20T22:22:05,4,136,0,140
2022-05-20T22:32:18,4,136,0,140
2022-05-20T22:42:31,4,136,0,140
2022-05-20T22:52:45,4,136,0,140
2022-05-20T23:02:58,4,136,0,140
2022-05-20T23:13:24,4,136,0,140
2022-05-20T23:23:37,4,136,0,140
2022-05-20T23:33:51,4,136,0,140
2022-05-20T23:44:04,4,136,0,140
2022-05-20T23:54:17,4,136,0,140
2022-05-21T00:04:32,4,136,0,140
2022-05-21T00:14:48,4,136,0,140
2022-05-21T00:25:04,4,136,0,140
2022-05-21T00:35:20,4,136,0,140
2022-05-21T00:45:36,4,136,0,140
2022-05-21T00:55:52,4,136,0,140
2022-05-21T01:06:07,4,136,0,140
2022-05-21T01:16:22,4,136,0,140
2022-05-21T01:26:36,4,136,0,140
2022-05-21T01:36:52,4,136,0,140
2022-05-21T01:47:07,4,136,0,140
2022-05-21T01:57:22,4,136,0,140
2022-05-21T02:07:46,4,136,0,140
2022-05-21T02:17:59,4,136,0,140
2022-05-21T02:28:13,4,136,0,140
2022-05-21T02:38:26,4,136,0,140
