time,enrolled,available,waitlisted,total
2022-05-18T04:38:03,0,25,0,25
2022-05-18T04:48:13,0,25,0,25
2022-05-18T04:58:23,0,25,0,25
2022-05-18T05:08:35,0,25,0,25
2022-05-18T05:18:44,0,25,0,25
2022-05-18T05:28:56,0,25,0,25
2022-05-18T05:39:06,0,25,0,25
2022-05-18T05:49:15,0,25,0,25
2022-05-18T05:59:26,0,25,0,25
2022-05-18T06:09:39,0,25,0,25
2022-05-18T06:19:47,0,25,0,25
2022-05-18T06:29:55,0,25,0,25
2022-05-18T06:40:03,0,25,0,25
2022-05-18T06:50:11,0,25,0,25
2022-05-18T07:00:18,0,25,0,25
2022-05-18T07:10:28,0,25,0,25
2022-05-18T07:20:35,0,25,0,25
2022-05-18T07:30:43,0,25,0,25
2022-05-18T07:40:51,0,25,0,25
2022-05-18T07:50:59,0,25,0,25
2022-05-18T08:01:07,0,25,0,25
2022-05-18T08:11:15,0,25,0,25
2022-05-18T08:21:23,0,25,0,25
2022-05-18T08:31:32,0,25,0,25
2022-05-18T08:41:41,0,25,0,25
2022-05-18T08:51:50,0,25,0,25
2022-05-18T09:02:00,0,25,0,25
2022-05-18T09:12:20,0,25,0,25
2022-05-18T09:22:29,0,25,0,25
2022-05-18T09:32:39,0,25,0,25
2022-05-18T09:42:47,0,25,0,25
2022-05-18T09:52:57,0,25,0,25
2022-05-18T10:03:09,0,25,0,25
2022-05-18T10:13:20,0,25,0,25
2022-05-18T10:23:31,0,25,0,25
2022-05-18T10:33:41,0,25,0,25
2022-05-18T10:44:04,0,25,0,25
2022-05-18T10:54:14,0,25,0,25
2022-05-18T11:04:24,0,25,0,25
2022-05-18T11:14:34,0,25,0,25
2022-05-18T11:24:43,0,25,0,25
2022-05-18T11:34:52,0,25,0,25
2022-05-18T11:45:00,0,25,0,25
2022-05-18T11:55:20,0,25,0,25
2022-05-18T12:05:28,0,25,0,25
2022-05-18T12:15:37,0,25,0,25
2022-05-18T12:25:45,0,25,0,25
2022-05-18T12:35:56,0,25,0,25
2022-05-18T12:46:06,0,25,0,25
2022-05-18T12:56:16,0,25,0,25
2022-05-18T13:06:27,0,25,0,25
2022-05-18T13:16:47,0,25,0,25
2022-05-18T13:26:57,0,25,0,25
2022-05-18T13:37:08,0,25,0,25
2022-05-18T13:47:19,0,25,0,25
2022-05-18T13:57:30,0,25,0,25
2022-05-18T14:07:40,0,25,0,25
2022-05-18T14:17:51,0,25,0,25
2022-05-18T14:28:12,0,25,0,25
2022-05-18T14:38:23,0,25,0,25
2022-05-18T14:48:33,0,25,0,25
2022-05-18T14:58:43,0,25,0,25
2022-05-18T15:08:55,0,25,0,25
2022-05-18T15:19:06,0,25,0,25
2022-05-18T15:29:16,0,25,0,25
2022-05-18T15:39:38,0,25,0,25
2022-05-18T15:49:48,0,25,0,25
2022-05-18T15:59:59,0,25,0,25
2022-05-18T16:10:10,0,25,0,25
2022-05-18T16:20:21,0,25,0,25
2022-05-18T16:30:31,0,25,0,25
2022-05-18T16:40:41,0,25,0,25
2022-05-18T16:50:51,0,25,0,25
2022-05-18T17:01:11,0,25,0,25
2022-05-18T17:11:21,0,25,0,25
2022-05-18T17:21:31,0,25,0,25
2022-05-18T17:31:40,0,25,0,25
2022-05-18T17:41:50,0,25,0,25
2022-05-18T17:51:59,0,25,0,25
2022-05-18T18:02:08,0,25,0,25
2022-05-18T18:12:17,0,25,0,25
2022-05-18T18:22:28,0,25,0,25
2022-05-18T18:32:38,0,25,0,25
2022-05-18T18:42:57,0,25,0,25
2022-05-18T18:53:06,0,25,0,25
2022-05-18T19:03:15,0,25,0,25
2022-05-18T19:13:24,0,25,0,25
2022-05-18T19:23:33,0,25,0,25
2022-05-18T19:33:42,0,25,0,25
2022-05-18T19:43:51,0,25,0,25
2022-05-18T19:54:00,0,25,0,25
2022-05-18T20:04:09,0,25,0,25
2022-05-18T20:14:18,0,25,0,25
2022-05-18T20:24:38,0,25,0,25
2022-05-18T20:34:46,0,25,0,25
2022-05-18T20:44:55,0,25,0,25
2022-05-18T20:55:04,0,25,0,25
2022-05-18T21:05:15,0,25,0,25
2022-05-18T21:15:23,0,25,0,25
2022-05-18T21:25:32,0,25,0,25
2022-05-18T21:35:41,0,25,0,25
2022-05-18T21:45:50,0,25,0,25
2022-05-18T21:56:09,0,25,0,25
