time,enrolled,available,waitlisted,total
2022-05-20T04:34:40,0,25,0,25
2022-05-20T04:44:56,0,25,0,25
2022-05-20T04:55:13,0,25,0,25
2022-05-20T05:05:29,0,25,0,25
2022-05-20T05:15:44,0,25,0,25
2022-05-20T05:26:00,0,25,0,25
2022-05-20T05:36:15,0,25,0,25
2022-05-20T05:46:31,0,25,0,25
2022-05-20T05:56:47,0,25,0,25
2022-05-20T06:07:02,0,25,0,25
2022-05-20T06:17:16,0,25,0,25
2022-05-20T06:27:33,0,25,0,25
2022-05-20T06:37:47,0,25,0,25
2022-05-20T06:48:01,0,25,0,25
2022-05-20T06:58:15,0,25,0,25
2022-05-20T07:08:31,0,25,0,25
2022-05-20T07:18:45,0,25,0,25
2022-05-20T07:28:58,0,25,0,25
2022-05-20T07:39:12,0,25,0,25
2022-05-20T07:49:27,0,25,0,25
2022-05-20T07:59:41,0,25,0,25
2022-05-20T08:09:55,0,25,0,25
2022-05-20T08:20:09,0,25,0,25
2022-05-20T08:30:25,0,25,0,25
2022-05-20T08:40:40,0,25,0,25
2022-05-20T08:50:54,0,25,0,25
2022-05-20T09:01:09,0,25,0,25
2022-05-20T09:11:37,0,25,0,25
2022-05-20T09:21:53,0,25,0,25
2022-05-20T09:32:08,0,25,0,25
2022-05-20T09:42:24,0,25,0,25
2022-05-20T09:52:40,0,25,0,25
2022-05-20T10:02:57,1,24,0,25
2022-05-20T10:13:13,1,24,0,25
2022-05-20T10:23:28,1,24,0,25
2022-05-20T10:33:45,1,24,0,25
2022-05-20T10:44:00,1,24,0,25
2022-05-20T10:54:29,1,24,0,25
2022-05-20T11:04:46,1,24,0,25
2022-05-20T11:15:02,1,24,0,25
2022-05-20T11:25:18,1,24,0,25
2022-05-20T11:35:33,1,24,0,25
2022-05-20T11:45:50,1,24,0,25
2022-05-20T11:56:19,1,24,0,25
2022-05-20T12:06:35,1,24,0,25
2022-05-20T12:16:50,1,24,0,25
2022-05-20T12:27:06,1,24,0,25
2022-05-20T12:37:21,1,24,0,25
2022-05-20T12:47:36,1,24,0,25
2022-05-20T12:57:52,1,24,0,25
2022-05-20T13:08:19,1,24,0,25
2022-05-20T13:18:36,1,24,0,25
2022-05-20T13:28:52,1,24,0,25
2022-05-20T13:39:09,1,24,0,25
2022-05-20T13:49:25,1,24,0,25
2022-05-20T13:59:40,1,24,0,25
2022-05-20T14:10:07,1,24,0,25
2022-05-20T14:20:22,1,24,0,25
2022-05-20T14:30:38,1,24,0,25
2022-05-20T14:40:53,1,24,0,25
2022-05-20T14:51:09,1,24,0,25
2022-05-20T15:01:24,1,24,0,25
2022-05-20T15:11:50,1,24,0,25
2022-05-20T15:22:05,1,24,0,25
2022-05-20T15:32:21,1,24,0,25
2022-05-20T15:42:36,1,24,0,25
2022-05-20T15:52:51,1,24,0,25
2022-05-20T16:03:06,1,24,0,25
2022-05-20T16:13:21,1,24,0,25
2022-05-20T16:23:46,1,24,0,25
2022-05-20T16:34:01,1,24,0,25
2022-05-20T16:44:15,1,24,0,25
2022-05-20T16:54:29,1,24,0,25
2022-05-20T17:04:44,1,24,0,25
2022-05-20T17:14:58,1,24,0,25
2022-05-20T17:25:12,1,24,0,25
2022-05-20T17:35:26,1,24,0,25
2022-05-20T17:45:40,1,24,0,25
2022-05-20T17:55:54,1,24,0,25
2022-05-20T18:06:08,1,24,0,25
2022-05-20T18:16:31,1,24,0,25
2022-05-20T18:26:44,1,24,0,25
2022-05-20T18:36:58,1,24,0,25
2022-05-20T18:47:11,2,23,0,25
2022-05-20T18:57:24,2,23,0,25
2022-05-20T19:07:38,2,23,0,25
2022-05-20T19:17:52,2,23,0,25
2022-05-20T19:28:06,2,23,0,25
2022-05-20T19:38:20,2,23,0,25
2022-05-20T19:48:35,2,23,0,25
2022-05-20T19:58:58,2,23,0,25
2022-05-20T20:09:12,2,23,0,25
2022-05-20T20:19:25,2,23,0,25
2022-05-20T20:29:39,2,23,0,25
2022-05-20T20:39:52,2,23,0,25
2022-05-20T20:50:06,2,23,0,25
2022-05-20T21:00:19,2,23,0,25
2022-05-20T21:10:33,2,23,0,25
2022-05-20T21:20:47,2,23,0,25
2022-05-20T21:31:11,2,23,0,25
2022-05-20T21:41:25,2,23,0,25
2022-05-20T21:51:38,2,23,0,25
2022-05-20T22:01:53,2,23,0,25
2022-05-20T22:12:06,2,23,0,25
2022-05-20T22:22:21,2,23,0,25
2022-05-20T22:32:35,2,23,0,25
2022-05-20T22:42:48,2,23,0,25
2022-05-20T22:53:02,2,23,0,25
2022-05-20T23:03:15,2,23,0,25
2022-05-20T23:13:41,2,23,0,25
2022-05-20T23:23:54,2,23,0,25
2022-05-20T23:34:07,2,23,0,25
2022-05-20T23:44:21,2,23,0,25
2022-05-20T23:54:34,2,23,0,25
2022-05-21T00:04:49,2,23,0,25
2022-05-21T00:15:05,2,23,0,25
2022-05-21T00:25:21,2,23,0,25
2022-05-21T00:35:37,2,23,0,25
2022-05-21T00:45:53,2,23,0,25
2022-05-21T00:56:09,2,23,0,25
2022-05-21T01:06:24,2,23,0,25
2022-05-21T01:16:39,2,23,0,25
2022-05-21T01:26:53,2,23,0,25
2022-05-21T01:37:09,2,23,0,25
2022-05-21T01:47:24,2,23,0,25
2022-05-21T01:57:38,2,23,0,25
2022-05-21T02:08:03,2,23,0,25
2022-05-21T02:18:16,2,23,0,25
2022-05-21T02:28:30,2,23,0,25
2022-05-21T02:38:43,2,23,0,25
2022-05-21T02:48:56,2,23,0,25
2022-05-21T02:59:08,2,23,0,25
2022-05-21T03:09:22,2,23,0,25
2022-05-21T03:19:41,2,23,0,25
2022-05-21T03:29:56,2,23,0,25
2022-05-21T03:40:12,2,23,0,25
