time,enrolled,available,waitlisted,total
2022-05-18T04:38:11,0,56,0,56
2022-05-18T04:48:21,0,56,0,56
2022-05-18T04:58:31,0,56,0,56
2022-05-18T05:08:43,0,56,0,56
2022-05-18T05:18:52,0,56,0,56
2022-05-18T05:29:04,0,56,0,56
2022-05-18T05:39:14,0,56,0,56
2022-05-18T05:49:23,0,56,0,56
2022-05-18T05:59:34,0,56,0,56
2022-05-18T06:09:47,0,56,0,56
2022-05-18T06:19:55,0,56,0,56
2022-05-18T06:30:03,0,56,0,56
2022-05-18T06:40:11,0,56,0,56
2022-05-18T06:50:19,0,56,0,56
2022-05-18T07:00:26,0,56,0,56
2022-05-18T07:10:35,0,56,0,56
2022-05-18T07:20:43,0,56,0,56
2022-05-18T07:30:51,0,56,0,56
2022-05-18T07:40:59,0,56,0,56
2022-05-18T07:51:07,0,56,0,56
2022-05-18T08:01:15,0,56,0,56
2022-05-18T08:11:23,0,56,0,56
2022-05-18T08:21:31,0,56,0,56
2022-05-18T08:31:40,0,56,0,56
2022-05-18T08:41:49,0,56,0,56
2022-05-18T08:51:58,0,56,0,56
2022-05-18T09:02:08,0,56,0,56
2022-05-18T09:12:28,0,56,0,56
2022-05-18T09:22:37,0,56,0,56
2022-05-18T09:32:46,0,56,0,56
2022-05-18T09:42:55,0,56,0,56
2022-05-18T09:53:05,0,56,0,56
2022-05-18T10:03:17,0,56,0,56
2022-05-18T10:13:28,0,56,0,56
2022-05-18T10:23:39,0,56,0,56
2022-05-18T10:33:49,0,56,0,56
2022-05-18T10:44:12,0,56,0,56
2022-05-18T10:54:22,0,56,0,56
2022-05-18T11:04:32,0,56,0,56
2022-05-18T11:14:42,0,56,0,56
2022-05-18T11:24:51,0,56,0,56
2022-05-18T11:35:00,0,56,0,56
2022-05-18T11:45:08,0,56,0,56
2022-05-18T11:55:28,0,56,0,56
2022-05-18T12:05:36,0,56,0,56
2022-05-18T12:15:45,0,56,0,56
2022-05-18T12:25:53,0,56,0,56
2022-05-18T12:36:04,0,56,0,56
2022-05-18T12:46:14,0,56,0,56
2022-05-18T12:56:24,0,56,0,56
2022-05-18T13:06:35,0,56,0,56
2022-05-18T13:16:55,0,56,0,56
2022-05-18T13:27:05,0,56,0,56
2022-05-18T13:37:16,0,56,0,56
2022-05-18T13:47:27,0,56,0,56
2022-05-18T13:57:38,0,56,0,56
2022-05-18T14:07:48,0,56,0,56
2022-05-18T14:17:58,0,56,0,56
2022-05-18T14:28:20,0,56,0,56
2022-05-18T14:38:31,0,56,0,56
2022-05-18T14:48:41,0,56,0,56
2022-05-18T14:58:51,0,56,0,56
2022-05-18T15:09:03,0,56,0,56
2022-05-18T15:19:14,0,56,0,56
2022-05-18T15:29:24,0,56,0,56
2022-05-18T15:39:46,0,56,0,56
2022-05-18T15:49:56,0,56,0,56
2022-05-18T16:00:07,0,56,0,56
2022-05-18T16:10:18,0,56,0,56
2022-05-18T16:20:29,0,56,0,56
2022-05-18T16:30:39,0,56,0,56
2022-05-18T16:40:49,0,56,0,56
2022-05-18T16:50:59,0,56,0,56
2022-05-18T17:01:19,0,56,0,56
2022-05-18T17:11:29,0,56,0,56
2022-05-18T17:21:39,0,56,0,56
2022-05-18T17:31:48,0,56,0,56
2022-05-18T17:41:57,0,56,0,56
2022-05-18T17:52:07,0,56,0,56
2022-05-18T18:02:16,0,56,0,56
2022-05-18T18:12:25,0,56,0,56
2022-05-18T18:22:36,0,56,0,56
2022-05-18T18:32:46,0,56,0,56
2022-05-18T18:43:05,0,56,0,56
2022-05-18T18:53:14,0,56,0,56
2022-05-18T19:03:23,0,56,0,56
2022-05-18T19:13:32,0,56,0,56
2022-05-18T19:23:41,0,56,0,56
2022-05-18T19:33:50,0,56,0,56
2022-05-18T19:43:59,0,56,0,56
2022-05-18T19:54:08,0,56,0,56
2022-05-18T20:04:17,0,56,0,56
2022-05-18T20:14:37,0,56,0,56
2022-05-18T20:24:46,0,56,0,56
2022-05-18T20:34:54,0,56,0,56
2022-05-18T20:45:03,0,56,0,56
2022-05-18T20:55:12,0,56,0,56
2022-05-18T21:05:23,0,56,0,56
2022-05-18T21:15:31,0,56,0,56
2022-05-18T21:25:40,0,56,0,56
2022-05-18T21:35:49,0,56,0,56
2022-05-18T21:45:58,0,56,0,56
2022-05-18T21:56:17,0,56,0,56
2022-05-18T22:06:26,0,56,0,56
2022-05-18T22:16:35,0,56,0,56
2022-05-18T22:26:44,0,56,0,56
2022-05-18T22:36:53,0,56,0,56
2022-05-18T22:47:02,0,56,0,56
2022-05-18T22:57:11,0,56,0,56
2022-05-18T23:07:21,0,56,0,56
2022-05-18T23:17:30,0,56,0,56
2022-05-18T23:27:42,0,56,0,56
2022-05-18T23:38:03,0,56,0,56
2022-05-18T23:48:12,0,56,0,56
2022-05-18T23:58:20,0,56,0,56
2022-05-19T00:08:32,0,56,0,56
2022-05-19T00:18:44,0,56,0,56
2022-05-19T00:28:57,0,56,0,56
2022-05-19T00:39:13,0,56,0,56
2022-05-19T00:49:25,0,56,0,56
2022-05-19T00:59:35,0,56,0,56
2022-05-19T01:09:45,0,56,0,56
2022-05-19T01:19:55,0,56,0,56
2022-05-19T01:30:04,0,56,0,56
2022-05-19T01:40:14,0,56,0,56
2022-05-19T01:50:24,0,56,0,56
2022-05-19T02:00:44,0,56,0,56
2022-05-19T02:10:54,0,56,0,56
2022-05-19T02:21:03,0,56,0,56
2022-05-19T02:31:11,0,56,0,56
2022-05-19T02:41:20,0,56,0,56
2022-05-19T02:51:27,0,56,0,56
2022-05-19T03:01:36,0,56,0,56
2022-05-19T03:11:45,0,56,0,56
2022-05-19T03:21:57,0,56,0,56
2022-05-19T03:32:16,0,56,0,56
2022-05-19T03:42:28,0,56,0,56
2022-05-19T03:52:38,0,56,0,56
2022-05-19T04:02:49,0,56,0,56
2022-05-19T04:28:59,0,56,0,56
2022-05-19T04:40:34,0,56,0,56
2022-05-19T04:50:46,0,56,0,56
2022-05-19T05:00:57,0,56,0,56
2022-05-19T05:11:10,0,56,0,56
2022-05-19T05:21:21,0,56,0,56
2022-05-19T05:31:32,0,56,0,56
2022-05-19T05:41:42,0,56,0,56
2022-05-19T05:51:53,0,56,0,56
2022-05-19T06:02:04,0,56,0,56
2022-05-19T06:12:15,0,56,0,56
2022-05-19T06:22:26,0,56,0,56
2022-05-19T06:32:37,0,56,0,56
2022-05-19T06:42:48,0,56,0,56
2022-05-19T06:52:58,0,56,0,56
2022-05-19T07:03:12,0,56,0,56
2022-05-19T07:13:23,0,56,0,56
2022-05-19T07:23:33,0,56,0,56
2022-05-19T07:33:42,0,56,0,56
2022-05-19T07:43:52,0,56,0,56
2022-05-19T07:54:01,0,56,0,56
2022-05-19T08:04:10,0,56,0,56
2022-05-19T08:14:19,0,56,0,56
2022-05-19T08:24:28,0,56,0,56
2022-05-19T08:34:38,0,56,0,56
2022-05-19T08:44:50,0,56,0,56
2022-05-19T08:55:00,0,56,0,56
2022-05-19T09:05:27,0,56,0,56
2022-05-19T09:15:37,0,56,0,56
2022-05-19T09:25:47,0,56,0,56
2022-05-19T09:35:58,0,56,0,56
2022-05-19T09:46:10,0,56,0,56
2022-05-19T09:56:21,0,56,0,56
2022-05-19T10:06:32,0,56,0,56
2022-05-19T10:16:44,0,56,0,56
2022-05-19T10:26:55,0,56,0,56
2022-05-19T10:37:13,0,56,0,56
2022-05-19T10:47:26,0,56,0,56
2022-05-19T10:57:38,0,56,0,56
2022-05-19T11:07:52,0,56,0,56
2022-05-19T11:18:18,0,56,0,56
2022-05-19T11:28:31,0,56,0,56
2022-05-19T11:38:43,0,56,0,56
2022-05-19T11:48:55,0,56,0,56
2022-05-19T11:59:07,0,56,0,56
2022-05-19T12:09:19,0,56,0,56
2022-05-19T12:19:31,0,56,0,56
2022-05-19T12:29:43,0,56,0,56
2022-05-19T12:39:56,0,56,0,56
2022-05-19T12:50:28,0,56,0,56
2022-05-19T13:00:42,0,56,0,56
2022-05-19T13:10:56,0,56,0,56
2022-05-19T13:21:11,0,56,0,56
2022-05-19T13:31:25,0,56,0,56
2022-05-19T13:41:39,0,56,0,56
2022-05-19T13:52:04,0,56,0,56
2022-05-19T14:02:19,0,56,0,56
2022-05-19T14:12:35,0,56,0,56
2022-05-19T14:22:51,0,56,0,56
2022-05-19T14:33:06,0,56,0,56
2022-05-19T14:43:24,0,56,0,56
2022-05-19T14:53:41,0,56,0,56
2022-05-19T15:04:17,0,56,0,56
2022-05-19T15:14:33,0,56,0,56
2022-05-19T15:24:51,0,56,0,56
2022-05-19T15:35:10,0,56,0,56
2022-05-19T15:45:28,0,56,0,56
2022-05-19T15:55:46,0,56,0,56
2022-05-19T16:06:05,0,56,0,56
2022-05-19T16:16:23,0,56,0,56
2022-05-19T16:26:41,0,56,0,56
2022-05-19T16:37:12,0,56,0,56
2022-05-19T16:47:29,0,56,0,56
2022-05-19T16:57:46,0,56,0,56
2022-05-19T17:08:04,0,56,0,56
2022-05-19T17:18:22,0,56,0,56
2022-05-19T17:28:37,0,56,0,56
2022-05-19T17:38:54,0,56,0,56
2022-05-19T17:49:09,0,56,0,56
2022-05-19T17:59:45,0,56,0,56
2022-05-19T18:10:01,0,56,0,56
2022-05-19T18:20:16,0,56,0,56
2022-05-19T18:30:31,0,56,0,56
2022-05-19T18:40:46,0,56,0,56
2022-05-19T18:51:02,0,56,0,56
2022-05-19T19:01:25,0,56,0,56
2022-05-19T19:11:50,0,56,0,56
2022-05-19T19:22:17,0,56,0,56
2022-05-19T19:32:56,0,56,0,56
2022-05-19T19:43:26,0,56,0,56
2022-05-19T19:53:50,0,56,0,56
2022-05-19T20:04:17,0,56,0,56
2022-05-19T20:14:42,0,56,0,56
2022-05-19T20:25:12,0,56,0,56
2022-05-19T20:35:28,0,56,0,56
2022-05-19T20:45:47,0,56,0,56
2022-05-19T20:56:09,0,56,0,56
2022-05-19T21:06:32,0,56,0,56
2022-05-19T21:16:54,0,56,0,56
2022-05-19T21:27:17,0,56,0,56
2022-05-19T21:37:40,0,56,0,56
2022-05-19T21:48:02,0,56,0,56
2022-05-19T21:58:35,0,56,0,56
2022-05-19T22:08:57,0,56,0,56
2022-05-19T22:19:16,0,56,0,56
2022-05-19T22:29:35,0,56,0,56
2022-05-19T22:39:53,0,56,0,56
2022-05-19T22:50:08,0,56,0,56
2022-05-19T23:00:22,0,56,0,56
2022-05-19T23:10:37,0,56,0,56
2022-05-19T23:20:53,0,56,0,56
2022-05-19T23:31:32,0,56,0,56
2022-05-19T23:41:46,0,56,0,56
2022-05-19T23:52:00,0,56,0,56
2022-05-20T00:02:17,0,56,0,56
2022-05-20T00:12:37,0,56,0,56
2022-05-20T00:22:53,0,56,0,56
2022-05-20T00:33:08,0,56,0,56
2022-05-20T00:43:23,0,56,0,56
2022-05-20T00:53:40,0,56,0,56
2022-05-20T01:03:56,0,56,0,56
2022-05-20T01:14:12,0,56,0,56
2022-05-20T01:24:38,0,56,0,56
2022-05-20T01:34:52,0,56,0,56
2022-05-20T01:45:07,0,56,0,56
2022-05-20T01:55:22,0,56,0,56
2022-05-20T02:05:37,0,56,0,56
2022-05-20T02:15:52,0,56,0,56
2022-05-20T02:26:15,0,56,0,56
2022-05-20T02:36:31,0,56,0,56
2022-05-20T02:46:46,0,56,0,56
2022-05-20T02:57:00,0,56,0,56
2022-05-20T03:07:15,0,56,0,56
2022-05-20T03:17:29,0,56,0,56
2022-05-20T03:27:43,0,56,0,56
2022-05-20T03:37:57,0,56,0,56
2022-05-20T03:48:13,0,56,0,56
2022-05-20T03:58:28,0,56,0,56
2022-05-20T04:34:47,0,56,0,56
2022-05-20T04:45:04,0,56,0,56
2022-05-20T04:55:21,0,56,0,56
2022-05-20T05:05:37,0,56,0,56
2022-05-20T05:15:52,0,56,0,56
2022-05-20T05:26:07,0,56,0,56
2022-05-20T05:36:23,0,56,0,56
2022-05-20T05:46:39,0,56,0,56
2022-05-20T05:56:55,0,56,0,56
2022-05-20T06:07:10,0,56,0,56
2022-05-20T06:17:24,0,56,0,56
2022-05-20T06:27:41,0,56,0,56
2022-05-20T06:37:55,0,56,0,56
2022-05-20T06:48:09,0,56,0,56
2022-05-20T06:58:23,0,56,0,56
2022-05-20T07:08:39,0,56,0,56
2022-05-20T07:18:53,0,56,0,56
2022-05-20T07:29:06,0,56,0,56
2022-05-20T07:39:20,0,56,0,56
2022-05-20T07:49:35,0,56,0,56
2022-05-20T07:59:49,0,56,0,56
2022-05-20T08:10:03,0,56,0,56
2022-05-20T08:20:17,0,56,0,56
2022-05-20T08:30:33,0,56,0,56
2022-05-20T08:40:47,0,56,0,56
2022-05-20T08:51:02,0,56,0,56
2022-05-20T09:01:17,0,56,0,56
2022-05-20T09:11:45,0,56,0,56
2022-05-20T09:22:01,0,56,0,56
2022-05-20T09:32:16,0,56,0,56
2022-05-20T09:42:32,0,56,0,56
2022-05-20T09:52:48,0,56,0,56
2022-05-20T10:03:05,0,56,0,56
2022-05-20T10:13:21,0,56,0,56
2022-05-20T10:23:36,0,56,0,56
2022-05-20T10:33:52,0,56,0,56
2022-05-20T10:44:08,0,56,0,56
2022-05-20T10:54:37,0,56,0,56
2022-05-20T11:04:54,0,56,0,56
2022-05-20T11:15:10,1,55,0,56
2022-05-20T11:25:26,1,55,0,56
2022-05-20T11:35:41,1,55,0,56
2022-05-20T11:45:58,2,54,0,56
2022-05-20T11:56:27,2,54,0,56
2022-05-20T12:06:43,2,54,0,56
2022-05-20T12:16:58,2,54,0,56
2022-05-20T12:27:14,2,54,0,56
2022-05-20T12:37:29,2,54,0,56
2022-05-20T12:47:44,2,54,0,56
2022-05-20T12:58:00,2,54,0,56
2022-05-20T13:08:27,2,54,0,56
2022-05-20T13:18:44,2,54,0,56
2022-05-20T13:29:00,2,54,0,56
2022-05-20T13:39:17,2,54,0,56
2022-05-20T13:49:33,2,54,0,56
2022-05-20T13:59:48,2,54,0,56
2022-05-20T14:10:15,2,54,0,56
2022-05-20T14:20:30,3,53,0,56
2022-05-20T14:30:46,3,53,0,56
2022-05-20T14:41:01,3,53,0,56
2022-05-20T14:51:17,5,51,0,56
2022-05-20T15:01:32,5,51,0,56
2022-05-20T15:11:58,5,51,0,56
2022-05-20T15:22:13,5,51,0,56
2022-05-20T15:32:29,5,51,0,56
2022-05-20T15:42:44,5,51,0,56
2022-05-20T15:52:59,6,50,0,56
2022-05-20T16:03:14,6,50,0,56
2022-05-20T16:13:29,6,50,0,56
2022-05-20T16:23:54,6,50,0,56
2022-05-20T16:34:09,6,50,0,56
2022-05-20T16:44:23,6,50,0,56
2022-05-20T16:54:37,6,50,0,56
2022-05-20T17:04:52,6,50,0,56
2022-05-20T17:15:06,6,50,0,56
2022-05-20T17:25:20,6,50,0,56
2022-05-20T17:35:34,6,50,0,56
2022-05-20T17:45:48,6,50,0,56
2022-05-20T17:56:02,6,50,0,56
2022-05-20T18:06:16,6,50,0,56
2022-05-20T18:16:39,6,50,0,56
2022-05-20T18:26:52,6,50,0,56
2022-05-20T18:37:05,6,50,0,56
2022-05-20T18:47:19,6,50,0,56
2022-05-20T18:57:32,6,50,0,56
2022-05-20T19:07:46,6,50,0,56
2022-05-20T19:18:00,6,50,0,56
2022-05-20T19:28:14,6,50,0,56
2022-05-20T19:38:28,6,50,0,56
2022-05-20T19:48:42,6,50,0,56
2022-05-20T19:59:06,6,50,0,56
2022-05-20T20:09:20,6,50,0,56
2022-05-20T20:19:33,6,50,0,56
2022-05-20T20:29:47,6,50,0,56
2022-05-20T20:40:00,6,50,0,56
2022-05-20T20:50:14,6,50,0,56
2022-05-20T21:00:27,6,50,0,56
2022-05-20T21:10:41,6,50,0,56
2022-05-20T21:20:55,6,50,0,56
2022-05-20T21:31:19,6,50,0,56
2022-05-20T21:41:32,6,50,0,56
2022-05-20T21:51:46,6,50,0,56
2022-05-20T22:02:00,6,50,0,56
2022-05-20T22:12:14,6,50,0,56
2022-05-20T22:22:29,6,50,0,56
2022-05-20T22:32:43,6,50,0,56
2022-05-20T22:42:56,6,50,0,56
2022-05-20T22:53:09,6,50,0,56
2022-05-20T23:03:23,6,50,0,56
2022-05-20T23:13:48,6,50,0,56
2022-05-20T23:24:02,6,50,0,56
2022-05-20T23:34:15,6,50,0,56
2022-05-20T23:44:29,6,50,0,56
2022-05-20T23:54:42,6,50,0,56
2022-05-21T00:04:57,6,50,0,56
2022-05-21T00:15:13,6,50,0,56
2022-05-21T00:25:29,6,50,0,56
2022-05-21T00:35:45,6,50,0,56
2022-05-21T00:46:01,6,50,0,56
2022-05-21T00:56:17,6,50,0,56
2022-05-21T01:06:31,6,50,0,56
2022-05-21T01:16:47,6,50,0,56
2022-05-21T01:27:01,6,50,0,56
2022-05-21T01:37:17,6,50,0,56
2022-05-21T01:47:32,6,50,0,56
2022-05-21T01:57:46,6,50,0,56
2022-05-21T02:08:10,6,50,0,56
2022-05-21T02:18:24,6,50,0,56
2022-05-21T02:28:37,6,50,0,56
2022-05-21T02:38:51,6,50,0,56
2022-05-21T02:49:04,6,50,0,56
2022-05-21T02:59:16,6,50,0,56
2022-05-21T03:09:29,6,50,0,56
2022-05-21T03:19:49,6,50,0,56
2022-05-21T03:30:04,6,50,0,56
2022-05-21T03:40:20,6,50,0,56
2022-05-21T03:50:35,6,50,0,56
2022-05-21T04:00:50,6,50,0,56
2022-05-21T04:26:27,6,50,0,56
2022-05-21T04:37:51,6,50,0,56
2022-05-21T04:48:23,6,50,0,56
2022-05-21T04:58:39,6,50,0,56
2022-05-21T05:08:54,6,50,0,56
2022-05-21T05:19:10,6,50,0,56
2022-05-21T05:29:26,6,50,0,56
2022-05-21T05:39:42,6,50,0,56
2022-05-21T05:49:58,6,50,0,56
2022-05-21T06:00:14,6,50,0,56
2022-05-21T06:10:29,6,50,0,56
2022-05-21T06:20:45,6,50,0,56
2022-05-21T06:31:00,6,50,0,56
2022-05-21T06:41:16,6,50,0,56
2022-05-21T06:51:31,6,50,0,56
2022-05-21T07:01:47,6,50,0,56
2022-05-21T07:12:02,6,50,0,56
2022-05-21T07:22:17,6,50,0,56
2022-05-21T07:32:32,6,50,0,56
2022-05-21T07:42:48,6,50,0,56
2022-05-21T07:53:02,6,50,0,56
2022-05-21T08:03:17,6,50,0,56
2022-05-21T08:13:34,6,50,0,56
2022-05-21T08:23:48,6,50,0,56
2022-05-21T08:34:03,6,50,0,56
2022-05-21T08:44:17,6,50,0,56
2022-05-21T08:54:53,6,50,0,56
2022-05-21T09:05:07,6,50,0,56
2022-05-21T09:15:20,6,50,0,56
2022-05-21T09:25:33,6,50,0,56
2022-05-21T09:35:46,6,50,0,56
2022-05-21T09:45:59,6,50,0,56
2022-05-21T09:56:12,6,50,0,56
2022-05-21T10:06:26,6,50,0,56
2022-05-21T10:16:39,6,50,0,56
2022-05-21T10:26:52,6,50,0,56
2022-05-21T10:37:05,6,50,0,56
2022-05-21T10:47:19,6,50,0,56
2022-05-21T10:57:32,6,50,0,56
2022-05-21T11:07:46,6,50,0,56
2022-05-21T11:18:10,6,50,0,56
2022-05-21T11:28:24,6,50,0,56
2022-05-21T11:38:38,6,50,0,56
2022-05-21T11:48:51,6,50,0,56
2022-05-21T11:59:05,6,50,0,56
2022-05-21T12:09:19,6,50,0,56
2022-05-21T12:19:33,6,50,0,56
2022-05-21T12:29:46,6,50,0,56
2022-05-21T12:40:20,6,50,0,56
2022-05-21T12:50:33,6,50,0,56
2022-05-21T13:00:47,6,50,0,56
2022-05-21T13:11:00,6,50,0,56
