time,enrolled,available,waitlisted,total
2022-05-20T04:34:59,0,60,0,60
2022-05-20T04:45:16,0,60,0,60
2022-05-20T04:55:32,0,60,0,60
2022-05-20T05:05:49,0,60,0,60
2022-05-20T05:16:04,0,60,0,60
2022-05-20T05:26:19,0,60,0,60
2022-05-20T05:36:35,0,60,0,60
2022-05-20T05:46:50,0,60,0,60
2022-05-20T05:57:06,0,60,0,60
2022-05-20T06:07:22,0,60,0,60
2022-05-20T06:17:36,0,60,0,60
2022-05-20T06:27:52,0,60,0,60
2022-05-20T06:38:07,0,60,0,60
2022-05-20T06:48:21,0,60,0,60
2022-05-20T06:58:34,0,60,0,60
2022-05-20T07:08:51,0,60,0,60
2022-05-20T07:19:04,0,60,0,60
2022-05-20T07:29:18,0,60,0,60
2022-05-20T07:39:32,0,60,0,60
2022-05-20T07:49:46,0,60,0,60
2022-05-20T08:00:00,0,60,0,60
2022-05-20T08:10:14,0,60,0,60
2022-05-20T08:20:29,0,60,0,60
2022-05-20T08:30:45,0,60,0,60
2022-05-20T08:40:59,0,60,0,60
2022-05-20T08:51:14,0,60,0,60
2022-05-20T09:01:29,0,60,0,60
2022-05-20T09:11:57,0,60,0,60
2022-05-20T09:22:12,0,60,0,60
2022-05-20T09:32:28,0,60,0,60
2022-05-20T09:42:44,0,60,0,60
2022-05-20T09:53:00,0,60,0,60
2022-05-20T10:03:17,1,59,0,60
2022-05-20T10:13:33,1,59,0,60
2022-05-20T10:23:48,2,58,0,60
2022-05-20T10:34:04,2,58,0,60
2022-05-20T10:44:20,2,58,0,60
2022-05-20T10:54:49,2,58,0,60
2022-05-20T11:05:05,2,58,0,60
2022-05-20T11:15:21,3,57,0,60
2022-05-20T11:25:38,3,57,0,60
2022-05-20T11:35:53,3,57,0,60
2022-05-20T11:46:09,3,57,0,60
2022-05-20T11:56:39,3,57,0,60
2022-05-20T12:06:55,3,57,0,60
2022-05-20T12:17:10,3,57,0,60
2022-05-20T12:27:25,3,57,0,60
2022-05-20T12:37:40,3,57,0,60
2022-05-20T12:47:56,3,57,0,60
2022-05-20T12:58:12,3,57,0,60
2022-05-20T13:08:39,3,57,0,60
2022-05-20T13:18:55,3,57,0,60
2022-05-20T13:29:11,3,57,0,60
2022-05-20T13:39:28,3,57,0,60
2022-05-20T13:49:44,3,57,0,60
2022-05-20T14:00:00,3,57,0,60
2022-05-20T14:10:26,3,57,0,60
2022-05-20T14:20:42,5,55,0,60
2022-05-20T14:30:57,5,55,0,60
2022-05-20T14:41:13,6,54,0,60
2022-05-20T14:51:28,7,53,0,60
2022-05-20T15:01:44,7,53,0,60
2022-05-20T15:12:10,7,53,0,60
2022-05-20T15:22:25,7,53,0,60
2022-05-20T15:32:41,7,53,0,60
2022-05-20T15:42:55,7,53,0,60
2022-05-20T15:53:10,7,53,0,60
2022-05-20T16:03:26,7,53,0,60
2022-05-20T16:13:40,7,53,0,60
2022-05-20T16:24:06,7,53,0,60
2022-05-20T16:34:20,7,53,0,60
2022-05-20T16:44:35,7,53,0,60
2022-05-20T16:54:49,7,53,0,60
2022-05-20T17:05:03,7,53,0,60
2022-05-20T17:15:18,8,52,0,60
2022-05-20T17:25:31,8,52,0,60
2022-05-20T17:35:45,8,52,0,60
2022-05-20T17:46:00,8,52,0,60
2022-05-20T17:56:13,8,52,0,60
2022-05-20T18:06:27,8,52,0,60
2022-05-20T18:16:50,8,52,0,60
2022-05-20T18:27:04,8,52,0,60
2022-05-20T18:37:17,8,52,0,60
2022-05-20T18:47:30,8,52,0,60
2022-05-20T18:57:44,8,52,0,60
2022-05-20T19:07:58,8,52,0,60
2022-05-20T19:18:12,8,52,0,60
2022-05-20T19:28:26,8,52,0,60
2022-05-20T19:38:39,8,52,0,60
2022-05-20T19:48:54,8,52,0,60
2022-05-20T19:59:18,8,52,0,60
2022-05-20T20:09:31,8,52,0,60
2022-05-20T20:19:45,8,52,0,60
2022-05-20T20:29:59,8,52,0,60
2022-05-20T20:40:12,8,52,0,60
2022-05-20T20:50:26,8,52,0,60
2022-05-20T21:00:39,8,52,0,60
2022-05-20T21:10:53,8,52,0,60
2022-05-20T21:21:06,8,52,0,60
2022-05-20T21:31:31,8,52,0,60
2022-05-20T21:41:44,8,52,0,60
2022-05-20T21:51:58,8,52,0,60
2022-05-20T22:02:12,8,52,0,60
2022-05-20T22:12:26,8,52,0,60
2022-05-20T22:22:41,8,52,0,60
2022-05-20T22:32:54,8,52,0,60
2022-05-20T22:43:08,8,52,0,60
2022-05-20T22:53:21,8,52,0,60
2022-05-20T23:03:35,8,52,0,60
2022-05-20T23:14:00,8,52,0,60
2022-05-20T23:24:13,8,52,0,60
2022-05-20T23:34:27,8,52,0,60
2022-05-20T23:44:41,8,52,0,60
2022-05-20T23:54:54,8,52,0,60
2022-05-21T00:05:09,8,52,0,60
2022-05-21T00:15:25,8,52,0,60
2022-05-21T00:25:41,8,52,0,60
2022-05-21T00:35:57,8,52,0,60
2022-05-21T00:46:12,8,52,0,60
2022-05-21T00:56:28,8,52,0,60
2022-05-21T01:06:43,8,52,0,60
2022-05-21T01:16:59,8,52,0,60
2022-05-21T01:27:13,8,52,0,60
2022-05-21T01:37:29,8,52,0,60
2022-05-21T01:47:44,8,52,0,60
2022-05-21T01:57:58,8,52,0,60
2022-05-21T02:08:22,8,52,0,60
2022-05-21T02:18:36,8,52,0,60
2022-05-21T02:28:49,8,52,0,60
2022-05-21T02:39:02,8,52,0,60
2022-05-21T02:49:15,8,52,0,60
2022-05-21T02:59:28,8,52,0,60
2022-05-21T03:09:41,8,52,0,60
2022-05-21T03:20:01,8,52,0,60
2022-05-21T03:30:15,8,52,0,60
2022-05-21T03:40:31,8,52,0,60
2022-05-21T03:50:47,8,52,0,60
2022-05-21T04:01:02,8,52,0,60
2022-05-21T04:26:38,8,52,0,60
2022-05-21T04:38:03,8,52,0,60
2022-05-21T04:48:35,8,52,0,60
2022-05-21T04:58:50,8,52,0,60
2022-05-21T05:09:06,8,52,0,60
2022-05-21T05:19:22,8,52,0,60
2022-05-21T05:29:38,8,52,0,60
2022-05-21T05:39:54,8,52,0,60
2022-05-21T05:50:10,8,52,0,60
2022-05-21T06:00:25,8,52,0,60
2022-05-21T06:10:41,8,52,0,60
2022-05-21T06:20:57,8,52,0,60
2022-05-21T06:31:12,8,52,0,60
2022-05-21T06:41:27,8,52,0,60
2022-05-21T06:51:43,8,52,0,60
2022-05-21T07:01:58,8,52,0,60
2022-05-21T07:12:14,8,52,0,60
2022-05-21T07:22:29,8,52,0,60
2022-05-21T07:32:44,8,52,0,60
2022-05-21T07:42:59,8,52,0,60
2022-05-21T07:53:13,8,52,0,60
2022-05-21T08:03:28,8,52,0,60
2022-05-21T08:13:45,8,52,0,60
2022-05-21T08:23:59,8,52,0,60
2022-05-21T08:34:14,8,52,0,60
2022-05-21T08:44:29,8,52,0,60
2022-05-21T08:55:05,8,52,0,60
2022-05-21T09:05:19,8,52,0,60
2022-05-21T09:15:32,8,52,0,60
2022-05-21T09:25:45,8,52,0,60
2022-05-21T09:35:57,8,52,0,60
2022-05-21T09:46:11,9,51,0,60
2022-05-21T09:56:24,9,51,0,60
2022-05-21T10:06:38,9,51,0,60
2022-05-21T10:16:51,9,51,0,60
2022-05-21T10:27:04,9,51,0,60
2022-05-21T10:37:17,9,51,0,60
2022-05-21T10:47:30,9,51,0,60
2022-05-21T10:57:43,9,51,0,60
2022-05-21T11:07:57,9,51,0,60
2022-05-21T11:18:22,9,51,0,60
