time,enrolled,available,waitlisted,total
2022-05-20T04:35:01,0,35,0,35
2022-05-20T04:45:17,0,35,0,35
2022-05-20T04:55:34,0,35,0,35
2022-05-20T05:05:50,0,35,0,35
2022-05-20T05:16:06,0,35,0,35
2022-05-20T05:26:21,0,35,0,35
2022-05-20T05:36:36,0,35,0,35
2022-05-20T05:46:52,0,35,0,35
2022-05-20T05:57:08,0,35,0,35
2022-05-20T06:07:23,0,35,0,35
2022-05-20T06:17:38,0,35,0,35
2022-05-20T06:27:54,0,35,0,35
2022-05-20T06:38:08,0,35,0,35
2022-05-20T06:48:22,0,35,0,35
2022-05-20T06:58:36,0,35,0,35
2022-05-20T07:08:52,0,35,0,35
2022-05-20T07:19:06,0,35,0,35
2022-05-20T07:29:19,0,35,0,35
2022-05-20T07:39:34,0,35,0,35
2022-05-20T07:49:48,0,35,0,35
2022-05-20T08:00:02,0,35,0,35
2022-05-20T08:10:16,0,35,0,35
2022-05-20T08:20:30,0,35,0,35
2022-05-20T08:30:46,0,35,0,35
2022-05-20T08:41:01,0,35,0,35
2022-05-20T08:51:15,0,35,0,35
2022-05-20T09:01:30,0,35,0,35
2022-05-20T09:11:58,0,35,0,35
2022-05-20T09:22:14,0,35,0,35
2022-05-20T09:32:30,0,35,0,35
2022-05-20T09:42:46,0,35,0,35
2022-05-20T09:53:01,0,35,0,35
2022-05-20T10:03:18,0,35,0,35
2022-05-20T10:13:34,0,35,0,35
2022-05-20T10:23:49,0,35,0,35
2022-05-20T10:34:06,0,35,0,35
2022-05-20T10:44:21,0,35,0,35
2022-05-20T10:54:50,0,35,0,35
2022-05-20T11:05:07,0,35,0,35
2022-05-20T11:15:23,0,35,0,35
2022-05-20T11:25:39,0,35,0,35
2022-05-20T11:35:55,0,35,0,35
2022-05-20T11:46:11,0,35,0,35
2022-05-20T11:56:40,0,35,0,35
2022-05-20T12:06:56,0,35,0,35
2022-05-20T12:17:12,0,35,0,35
2022-05-20T12:27:27,0,35,0,35
2022-05-20T12:37:42,0,35,0,35
2022-05-20T12:47:57,0,35,0,35
2022-05-20T12:58:13,0,35,0,35
2022-05-20T13:08:40,0,35,0,35
2022-05-20T13:18:57,0,35,0,35
2022-05-20T13:29:13,0,35,0,35
2022-05-20T13:39:30,0,35,0,35
2022-05-20T13:49:46,0,35,0,35
2022-05-20T14:00:02,0,35,0,35
2022-05-20T14:10:28,0,35,0,35
2022-05-20T14:20:43,0,35,0,35
2022-05-20T14:30:59,0,35,0,35
2022-05-20T14:41:14,0,35,0,35
2022-05-20T14:51:30,0,35,0,35
2022-05-20T15:01:45,0,35,0,35
2022-05-20T15:12:11,1,34,0,35
2022-05-20T15:22:27,0,35,0,35
2022-05-20T15:32:42,0,35,0,35
2022-05-20T15:42:57,0,35,0,35
2022-05-20T15:53:12,0,35,0,35
2022-05-20T16:03:27,0,35,0,35
2022-05-20T16:13:42,0,35,0,35
2022-05-20T16:24:07,0,35,0,35
2022-05-20T16:34:22,0,35,0,35
2022-05-20T16:44:36,0,35,0,35
2022-05-20T16:54:50,0,35,0,35
2022-05-20T17:05:05,0,35,0,35
2022-05-20T17:15:19,0,35,0,35
2022-05-20T17:25:33,0,35,0,35
2022-05-20T17:35:47,0,35,0,35
2022-05-20T17:46:01,0,35,0,35
2022-05-20T17:56:15,0,35,0,35
2022-05-20T18:06:29,0,35,0,35
2022-05-20T18:16:52,0,35,0,35
2022-05-20T18:27:05,0,35,0,35
2022-05-20T18:37:19,0,35,0,35
2022-05-20T18:47:32,0,35,0,35
2022-05-20T18:57:45,0,35,0,35
2022-05-20T19:08:00,0,35,0,35
2022-05-20T19:18:14,0,35,0,35
2022-05-20T19:28:28,0,35,0,35
2022-05-20T19:38:41,0,35,0,35
2022-05-20T19:48:56,0,35,0,35
2022-05-20T19:59:19,0,35,0,35
2022-05-20T20:09:33,0,35,0,35
2022-05-20T20:19:46,0,35,0,35
2022-05-20T20:30:00,0,35,0,35
2022-05-20T20:40:13,0,35,0,35
2022-05-20T20:50:27,0,35,0,35
2022-05-20T21:00:41,0,35,0,35
2022-05-20T21:10:54,0,35,0,35
2022-05-20T21:21:08,0,35,0,35
2022-05-20T21:31:32,0,35,0,35
2022-05-20T21:41:46,0,35,0,35
2022-05-20T21:51:59,0,35,0,35
2022-05-20T22:02:14,0,35,0,35
2022-05-20T22:12:27,0,35,0,35
2022-05-20T22:22:42,0,35,0,35
2022-05-20T22:32:56,0,35,0,35
2022-05-20T22:43:09,0,35,0,35
2022-05-20T22:53:23,0,35,0,35
2022-05-20T23:03:36,0,35,0,35
2022-05-20T23:14:02,0,35,0,35
2022-05-20T23:24:15,0,35,0,35
