time,enrolled,available,waitlisted,total
2022-05-18T04:38:30,0,10,0,10
2022-05-18T04:48:40,0,10,0,10
2022-05-18T04:58:50,0,10,0,10
2022-05-18T05:09:02,0,10,0,10
2022-05-18T05:19:11,0,10,0,10
2022-05-18T05:29:23,0,10,0,10
2022-05-18T05:39:33,0,10,0,10
2022-05-18T05:49:43,0,10,0,10
2022-05-18T05:59:53,0,10,0,10
2022-05-18T06:10:06,0,10,0,10
2022-05-18T06:20:14,0,10,0,10
2022-05-18T06:30:22,0,10,0,10
2022-05-18T06:40:30,0,10,0,10
2022-05-18T06:50:38,0,10,0,10
2022-05-18T07:00:45,0,10,0,10
2022-05-18T07:10:55,0,10,0,10
2022-05-18T07:21:02,0,10,0,10
2022-05-18T07:31:10,0,10,0,10
2022-05-18T07:41:18,0,10,0,10
2022-05-18T07:51:26,0,10,0,10
2022-05-18T08:01:34,0,10,0,10
2022-05-18T08:11:42,0,10,0,10
2022-05-18T08:21:50,0,10,0,10
2022-05-18T08:31:59,0,10,0,10
2022-05-18T08:42:08,0,10,0,10
2022-05-18T08:52:17,0,10,0,10
2022-05-18T09:02:27,0,10,0,10
2022-05-18T09:12:47,0,10,0,10
2022-05-18T09:22:56,0,10,0,10
2022-05-18T09:33:05,0,10,0,10
2022-05-18T09:43:14,0,10,0,10
2022-05-18T09:53:24,0,10,0,10
2022-05-18T10:03:36,0,10,0,10
2022-05-18T10:13:47,0,10,0,10
2022-05-18T10:23:58,0,10,0,10
2022-05-18T10:34:08,0,10,0,10
2022-05-18T10:44:31,0,10,0,10
2022-05-18T10:54:41,0,10,0,10
2022-05-18T11:04:51,0,10,0,10
2022-05-18T11:15:01,0,10,0,10
2022-05-18T11:25:10,0,10,0,10
2022-05-18T11:35:19,0,10,0,10
2022-05-18T11:45:27,0,10,0,10
2022-05-18T11:55:47,0,10,0,10
2022-05-18T12:05:55,0,10,0,10
2022-05-18T12:16:04,0,10,0,10
2022-05-18T12:26:12,0,10,0,10
2022-05-18T12:36:23,0,10,0,10
2022-05-18T12:46:33,0,10,0,10
2022-05-18T12:56:43,0,10,0,10
2022-05-18T13:06:54,0,10,0,10
2022-05-18T13:17:15,0,10,0,10
2022-05-18T13:27:24,0,10,0,10
2022-05-18T13:37:35,0,10,0,10
2022-05-18T13:47:46,0,10,0,10
2022-05-18T13:57:57,0,10,0,10
2022-05-18T14:08:07,0,10,0,10
2022-05-18T14:18:17,0,10,0,10
2022-05-18T14:28:39,0,10,0,10
2022-05-18T14:38:50,0,10,0,10
2022-05-18T14:49:00,0,10,0,10
2022-05-18T14:59:10,0,10,0,10
2022-05-18T15:09:22,0,10,0,10
2022-05-18T15:19:33,0,10,0,10
2022-05-18T15:29:43,0,10,0,10
2022-05-18T15:40:05,0,10,0,10
2022-05-18T15:50:15,0,10,0,10
2022-05-18T16:00:26,0,10,0,10
2022-05-18T16:10:37,0,10,0,10
2022-05-18T16:20:48,0,10,0,10
2022-05-18T16:30:58,0,10,0,10
2022-05-18T16:41:08,0,10,0,10
2022-05-18T16:51:18,0,10,0,10
2022-05-18T17:01:38,0,10,0,10
2022-05-18T17:11:48,0,10,0,10
2022-05-18T17:21:58,0,10,0,10
2022-05-18T17:32:07,0,10,0,10
2022-05-18T17:42:16,0,10,0,10
2022-05-18T17:52:26,0,10,0,10
2022-05-18T18:02:35,0,10,0,10
2022-05-18T18:12:44,0,10,0,10
2022-05-18T18:22:55,0,10,0,10
2022-05-18T18:33:04,0,10,0,10
2022-05-18T18:43:24,0,10,0,10
2022-05-18T18:53:33,0,10,0,10
2022-05-18T19:03:42,0,10,0,10
2022-05-18T19:13:51,0,10,0,10
2022-05-18T19:24:00,0,10,0,10
2022-05-18T19:34:09,0,10,0,10
2022-05-18T19:44:18,0,10,0,10
2022-05-18T19:54:27,0,10,0,10
2022-05-18T20:04:36,0,10,0,10
2022-05-18T20:14:56,0,10,0,10
2022-05-18T20:25:05,0,10,0,10
2022-05-18T20:35:13,0,10,0,10
2022-05-18T20:45:22,0,10,0,10
2022-05-18T20:55:31,0,10,0,10
2022-05-18T21:05:42,0,10,0,10
2022-05-18T21:15:50,0,10,0,10
2022-05-18T21:25:59,0,10,0,10
2022-05-18T21:36:08,0,10,0,10
2022-05-18T21:46:17,0,10,0,10
2022-05-18T21:56:36,0,10,0,10
2022-05-18T22:06:45,0,10,0,10
2022-05-18T22:16:54,0,10,0,10
2022-05-18T22:27:03,0,10,0,10
2022-05-18T22:37:12,0,10,0,10
2022-05-18T22:47:21,0,10,0,10
2022-05-18T22:57:30,0,10,0,10
2022-05-18T23:07:40,0,10,0,10
2022-05-18T23:17:49,0,10,0,10
2022-05-18T23:28:01,0,10,0,10
2022-05-18T23:38:22,0,10,0,10
2022-05-18T23:48:31,0,10,0,10
2022-05-18T23:58:39,0,10,0,10
2022-05-19T00:08:51,0,10,0,10
2022-05-19T00:19:03,0,10,0,10
2022-05-19T00:29:16,0,10,0,10
2022-05-19T00:39:32,0,10,0,10
2022-05-19T00:49:44,0,10,0,10
2022-05-19T00:59:54,0,10,0,10
2022-05-19T01:10:04,0,10,0,10
2022-05-19T01:20:14,0,10,0,10
2022-05-19T01:30:23,0,10,0,10
2022-05-19T01:40:33,0,10,0,10
2022-05-19T01:50:43,0,10,0,10
2022-05-19T02:01:03,0,10,0,10
2022-05-19T02:11:13,0,10,0,10
2022-05-19T02:21:22,0,10,0,10
2022-05-19T02:31:30,0,10,0,10
2022-05-19T02:41:38,0,10,0,10
2022-05-19T02:51:47,0,10,0,10
2022-05-19T03:01:55,0,10,0,10
2022-05-19T03:12:04,0,10,0,10
2022-05-19T03:22:16,0,10,0,10
2022-05-19T03:32:36,0,10,0,10
2022-05-19T03:42:47,0,10,0,10
2022-05-19T03:52:57,0,10,0,10
2022-05-19T04:03:08,0,10,0,10
2022-05-19T04:29:39,0,10,0,10
2022-05-19T04:40:53,0,10,0,10
2022-05-19T04:51:05,0,10,0,10
2022-05-19T05:01:17,0,10,0,10
2022-05-19T05:11:29,0,10,0,10
2022-05-19T05:21:40,0,10,0,10
2022-05-19T05:31:51,0,10,0,10
2022-05-19T05:42:01,0,10,0,10
2022-05-19T05:52:12,0,10,0,10
2022-05-19T06:02:23,0,10,0,10
2022-05-19T06:12:34,0,10,0,10
2022-05-19T06:22:45,0,10,0,10
2022-05-19T06:32:56,0,10,0,10
2022-05-19T06:43:07,0,10,0,10
2022-05-19T06:53:18,0,10,0,10
2022-05-19T07:03:31,0,10,0,10
2022-05-19T07:13:42,0,10,0,10
2022-05-19T07:23:52,0,10,0,10
2022-05-19T07:34:01,0,10,0,10
2022-05-19T07:44:11,0,10,0,10
2022-05-19T07:54:20,0,10,0,10
2022-05-19T08:04:29,0,10,0,10
2022-05-19T08:14:38,0,10,0,10
2022-05-19T08:24:47,0,10,0,10
2022-05-19T08:34:57,0,10,0,10
2022-05-19T08:45:09,0,10,0,10
2022-05-19T08:55:19,0,10,0,10
2022-05-19T09:05:46,0,10,0,10
2022-05-19T09:15:56,0,10,0,10
2022-05-19T09:26:06,0,10,0,10
2022-05-19T09:36:17,0,10,0,10
2022-05-19T09:46:29,0,10,0,10
2022-05-19T09:56:40,0,10,0,10
2022-05-19T10:06:51,0,10,0,10
2022-05-19T10:17:03,0,10,0,10
2022-05-19T10:27:15,0,10,0,10
2022-05-19T10:37:32,0,10,0,10
2022-05-19T10:47:45,0,10,0,10
2022-05-19T10:57:57,0,10,0,10
2022-05-19T11:08:11,0,10,0,10
2022-05-19T11:18:37,0,10,0,10
2022-05-19T11:28:50,0,10,0,10
2022-05-19T11:39:02,0,10,0,10
2022-05-19T11:49:14,0,10,0,10
2022-05-19T11:59:26,0,10,0,10
2022-05-19T12:09:38,0,10,0,10
2022-05-19T12:19:50,0,10,0,10
2022-05-19T12:30:02,0,10,0,10
2022-05-19T12:40:15,0,10,0,10
2022-05-19T12:50:49,0,10,0,10
2022-05-19T13:01:03,0,10,0,10
2022-05-19T13:11:17,0,10,0,10
2022-05-19T13:21:32,0,10,0,10
2022-05-19T13:31:46,0,10,0,10
2022-05-19T13:42:00,0,10,0,10
2022-05-19T13:52:25,0,10,0,10
2022-05-19T14:02:40,0,10,0,10
2022-05-19T14:12:56,0,10,0,10
2022-05-19T14:23:11,0,10,0,10
2022-05-19T14:33:27,0,10,0,10
2022-05-19T14:43:45,0,10,0,10
2022-05-19T14:54:01,0,10,0,10
2022-05-19T15:04:37,0,10,0,10
2022-05-19T15:14:54,0,10,0,10
2022-05-19T15:25:12,0,10,0,10
2022-05-19T15:35:31,0,10,0,10
2022-05-19T15:45:49,0,10,0,10
2022-05-19T15:56:07,0,10,0,10
2022-05-19T16:06:26,0,10,0,10
2022-05-19T16:16:44,0,10,0,10
2022-05-19T16:27:02,0,10,0,10
2022-05-19T16:37:32,0,10,0,10
2022-05-19T16:47:50,0,10,0,10
2022-05-19T16:58:07,0,10,0,10
2022-05-19T17:08:24,0,10,0,10
2022-05-19T17:18:42,0,10,0,10
2022-05-19T17:28:58,0,10,0,10
2022-05-19T17:39:15,0,10,0,10
2022-05-19T17:49:30,0,10,0,10
2022-05-19T18:00:05,0,10,0,10
2022-05-19T18:10:21,0,10,0,10
2022-05-19T18:20:36,0,10,0,10
2022-05-19T18:30:52,0,10,0,10
2022-05-19T18:41:07,0,10,0,10
2022-05-19T18:51:23,0,10,0,10
2022-05-19T19:01:46,0,10,0,10
2022-05-19T19:12:11,0,10,0,10
2022-05-19T19:22:38,0,10,0,10
2022-05-19T19:33:17,0,10,0,10
2022-05-19T19:43:47,0,10,0,10
2022-05-19T19:54:11,0,10,0,10
2022-05-19T20:04:38,0,10,0,10
2022-05-19T20:15:03,0,10,0,10
2022-05-19T20:25:32,0,10,0,10
2022-05-19T20:35:48,0,10,0,10
2022-05-19T20:46:07,0,10,0,10
2022-05-19T20:56:30,0,10,0,10
2022-05-19T21:06:53,0,10,0,10
2022-05-19T21:17:15,0,10,0,10
2022-05-19T21:27:38,0,10,0,10
2022-05-19T21:38:01,0,10,0,10
2022-05-19T21:48:23,0,10,0,10
2022-05-19T21:58:55,0,10,0,10
2022-05-19T22:09:18,0,10,0,10
2022-05-19T22:19:37,0,10,0,10
2022-05-19T22:29:55,0,10,0,10
2022-05-19T22:40:14,0,10,0,10
2022-05-19T22:50:28,0,10,0,10
2022-05-19T23:00:42,0,10,0,10
2022-05-19T23:10:57,0,10,0,10
2022-05-19T23:21:14,0,10,0,10
2022-05-19T23:31:53,0,10,0,10
2022-05-19T23:42:07,0,10,0,10
2022-05-19T23:52:21,0,10,0,10
2022-05-20T00:02:37,0,10,0,10
2022-05-20T00:12:57,0,10,0,10
2022-05-20T00:23:13,0,10,0,10
2022-05-20T00:33:28,0,10,0,10
2022-05-20T00:43:44,0,10,0,10
2022-05-20T00:54:00,0,10,0,10
2022-05-20T01:04:17,0,10,0,10
2022-05-20T01:14:33,0,10,0,10
2022-05-20T01:24:59,0,10,0,10
2022-05-20T01:35:13,0,10,0,10
2022-05-20T01:45:27,0,10,0,10
2022-05-20T01:55:43,0,10,0,10
2022-05-20T02:05:57,0,10,0,10
2022-05-20T02:16:13,0,10,0,10
2022-05-20T02:26:36,0,10,0,10
2022-05-20T02:36:52,0,10,0,10
2022-05-20T02:47:06,0,10,0,10
2022-05-20T02:57:21,0,10,0,10
2022-05-20T03:07:36,0,10,0,10
2022-05-20T03:17:49,0,10,0,10
2022-05-20T03:28:03,0,10,0,10
2022-05-20T03:38:18,0,10,0,10
2022-05-20T03:48:33,0,10,0,10
2022-05-20T03:58:49,0,10,0,10
2022-05-20T04:35:08,0,10,0,10
2022-05-20T04:45:25,0,10,0,10
2022-05-20T04:55:41,0,10,0,10
2022-05-20T05:05:58,0,10,0,10
2022-05-20T05:16:13,0,10,0,10
2022-05-20T05:26:28,0,10,0,10
2022-05-20T05:36:44,0,10,0,10
2022-05-20T05:46:59,0,10,0,10
2022-05-20T05:57:15,0,10,0,10
2022-05-20T06:07:31,0,10,0,10
2022-05-20T06:17:45,0,10,0,10
2022-05-20T06:28:01,0,10,0,10
2022-05-20T06:38:16,0,10,0,10
2022-05-20T06:48:30,0,10,0,10
2022-05-20T06:58:43,0,10,0,10
2022-05-20T07:09:00,0,10,0,10
2022-05-20T07:19:13,0,10,0,10
2022-05-20T07:29:27,0,10,0,10
2022-05-20T07:39:41,0,10,0,10
2022-05-20T07:49:55,0,10,0,10
2022-05-20T08:00:09,0,10,0,10
2022-05-20T08:10:23,0,10,0,10
2022-05-20T08:20:38,0,10,0,10
2022-05-20T08:30:54,0,10,0,10
2022-05-20T08:41:08,0,10,0,10
2022-05-20T08:51:23,0,10,0,10
2022-05-20T09:01:38,0,10,0,10
2022-05-20T09:12:06,0,10,0,10
2022-05-20T09:22:21,0,10,0,10
2022-05-20T09:32:37,0,10,0,10
2022-05-20T09:42:53,0,10,0,10
2022-05-20T09:53:09,0,10,0,10
2022-05-20T10:03:26,0,10,0,10
2022-05-20T10:13:42,0,10,0,10
2022-05-20T10:23:57,0,10,0,10
2022-05-20T10:34:13,0,10,0,10
2022-05-20T10:44:29,0,10,0,10
2022-05-20T10:54:58,0,10,0,10
2022-05-20T11:05:14,0,10,0,10
2022-05-20T11:15:30,0,10,0,10
2022-05-20T11:25:47,0,10,0,10
2022-05-20T11:36:02,0,10,0,10
2022-05-20T11:46:18,0,10,0,10
2022-05-20T11:56:48,0,10,0,10
2022-05-20T12:07:04,0,10,0,10
2022-05-20T12:17:19,0,10,0,10
2022-05-20T12:27:34,0,10,0,10
2022-05-20T12:37:49,0,10,0,10
2022-05-20T12:48:05,0,10,0,10
2022-05-20T12:58:21,0,10,0,10
2022-05-20T13:08:48,0,10,0,10
2022-05-20T13:19:04,0,10,0,10
2022-05-20T13:29:20,0,10,0,10
2022-05-20T13:39:37,0,10,0,10
2022-05-20T13:49:53,0,10,0,10
2022-05-20T14:00:09,0,10,0,10
2022-05-20T14:10:35,0,10,0,10
2022-05-20T14:20:51,0,10,0,10
2022-05-20T14:31:07,0,10,0,10
2022-05-20T14:41:22,0,10,0,10
2022-05-20T14:51:37,0,10,0,10
2022-05-20T15:01:53,0,10,0,10
2022-05-20T15:12:19,0,10,0,10
2022-05-20T15:22:34,0,10,0,10
2022-05-20T15:32:50,0,10,0,10
2022-05-20T15:43:04,0,10,0,10
2022-05-20T15:53:19,0,10,0,10
2022-05-20T16:03:35,0,10,0,10
2022-05-20T16:13:49,0,10,0,10
2022-05-20T16:24:15,0,10,0,10
2022-05-20T16:34:29,0,10,0,10
2022-05-20T16:44:43,0,10,0,10
2022-05-20T16:54:58,0,10,0,10
2022-05-20T17:05:12,0,10,0,10
2022-05-20T17:15:27,0,10,0,10
2022-05-20T17:25:40,0,10,0,10
2022-05-20T17:35:54,0,10,0,10
2022-05-20T17:46:09,0,10,0,10
2022-05-20T17:56:23,0,10,0,10
2022-05-20T18:06:36,0,10,0,10
2022-05-20T18:16:59,0,10,0,10
2022-05-20T18:27:13,0,10,0,10
2022-05-20T18:37:26,0,10,0,10
2022-05-20T18:47:39,0,10,0,10
2022-05-20T18:57:53,0,10,0,10
2022-05-20T19:08:07,0,10,0,10
2022-05-20T19:18:21,0,10,0,10
2022-05-20T19:28:35,0,10,0,10
2022-05-20T19:38:48,0,10,0,10
2022-05-20T19:49:03,0,10,0,10
2022-05-20T19:59:27,0,10,0,10
2022-05-20T20:09:40,0,10,0,10
2022-05-20T20:19:54,0,10,0,10
2022-05-20T20:30:08,0,10,0,10
2022-05-20T20:40:21,0,10,0,10
2022-05-20T20:50:34,0,10,0,10
2022-05-20T21:00:48,0,10,0,10
2022-05-20T21:11:02,0,10,0,10
2022-05-20T21:21:15,0,10,0,10
2022-05-20T21:31:40,0,10,0,10
2022-05-20T21:41:53,0,10,0,10
2022-05-20T21:52:06,0,10,0,10
2022-05-20T22:02:21,0,10,0,10
2022-05-20T22:12:35,0,10,0,10
2022-05-20T22:22:50,0,10,0,10
2022-05-20T22:33:03,0,10,0,10
2022-05-20T22:43:16,0,10,0,10
2022-05-20T22:53:30,0,10,0,10
2022-05-20T23:03:44,0,10,0,10
2022-05-20T23:14:09,0,10,0,10
2022-05-20T23:24:22,0,10,0,10
2022-05-20T23:34:36,0,10,0,10
2022-05-20T23:44:50,0,10,0,10
2022-05-20T23:55:03,0,10,0,10
2022-05-21T00:05:18,0,10,0,10
2022-05-21T00:15:34,0,10,0,10
2022-05-21T00:25:50,0,10,0,10
2022-05-21T00:36:06,0,10,0,10
2022-05-21T00:46:21,0,10,0,10
2022-05-21T00:56:37,0,10,0,10
