time,enrolled,available,waitlisted,total
2022-05-20T04:35:10,0,200,0,200
2022-05-20T04:45:26,0,200,0,200
2022-05-20T04:55:43,0,200,0,200
2022-05-20T05:05:59,0,200,0,200
2022-05-20T05:16:14,0,200,0,200
2022-05-20T05:26:30,0,200,0,200
2022-05-20T05:36:45,0,200,0,200
2022-05-20T05:47:01,0,200,0,200
2022-05-20T05:57:17,0,200,0,200
2022-05-20T06:07:32,0,200,0,200
2022-05-20T06:17:47,0,200,0,200
2022-05-20T06:28:03,0,200,0,200
2022-05-20T06:38:17,0,200,0,200
2022-05-20T06:48:31,0,200,0,200
2022-05-20T06:58:45,0,200,0,200
2022-05-20T07:09:01,0,200,0,200
2022-05-20T07:19:15,0,200,0,200
2022-05-20T07:29:28,0,200,0,200
2022-05-20T07:39:42,0,200,0,200
2022-05-20T07:49:57,0,200,0,200
2022-05-20T08:00:11,0,200,0,200
2022-05-20T08:10:25,0,200,0,200
2022-05-20T08:20:39,0,200,0,200
2022-05-20T08:30:55,0,200,0,200
2022-05-20T08:41:10,0,200,0,200
2022-05-20T08:51:24,0,200,0,200
2022-05-20T09:01:39,0,200,0,200
2022-05-20T09:12:07,0,200,0,200
2022-05-20T09:22:23,0,200,0,200
2022-05-20T09:32:39,0,200,0,200
2022-05-20T09:42:54,0,200,0,200
2022-05-20T09:53:10,0,200,0,200
2022-05-20T10:03:27,0,200,0,200
2022-05-20T10:13:43,0,200,0,200
2022-05-20T10:23:58,0,200,0,200
2022-05-20T10:34:15,0,200,0,200
2022-05-20T10:44:30,0,200,0,200
2022-05-20T10:54:59,0,200,0,200
2022-05-20T11:05:16,0,200,0,200
2022-05-20T11:15:32,0,200,0,200
2022-05-20T11:25:48,0,200,0,200
2022-05-20T11:36:04,0,200,0,200
2022-05-20T11:46:20,0,200,0,200
2022-05-20T11:56:49,0,200,0,200
2022-05-20T12:07:05,0,200,0,200
2022-05-20T12:17:21,0,200,0,200
2022-05-20T12:27:36,0,200,0,200
2022-05-20T12:37:51,0,200,0,200
2022-05-20T12:48:06,0,200,0,200
2022-05-20T12:58:22,0,200,0,200
2022-05-20T13:08:49,0,200,0,200
2022-05-20T13:19:06,0,200,0,200
2022-05-20T13:29:22,0,200,0,200
2022-05-20T13:39:39,0,200,0,200
2022-05-20T13:49:55,0,200,0,200
2022-05-20T14:00:11,0,200,0,200
2022-05-20T14:10:37,0,200,0,200
2022-05-20T14:20:52,0,200,0,200
2022-05-20T14:31:08,0,200,0,200
2022-05-20T14:41:23,0,200,0,200
2022-05-20T14:51:39,0,200,0,200
2022-05-20T15:01:54,0,200,0,200
2022-05-20T15:12:20,0,200,0,200
2022-05-20T15:22:36,0,200,0,200
2022-05-20T15:32:51,0,200,0,200
2022-05-20T15:43:06,0,200,0,200
2022-05-20T15:53:21,0,200,0,200
2022-05-20T16:03:36,0,200,0,200
2022-05-20T16:13:51,0,200,0,200
2022-05-20T16:24:16,0,200,0,200
2022-05-20T16:34:31,0,200,0,200
2022-05-20T16:44:45,0,200,0,200
2022-05-20T16:54:59,0,200,0,200
2022-05-20T17:05:14,0,200,0,200
2022-05-20T17:15:28,0,200,0,200
2022-05-20T17:25:42,0,200,0,200
2022-05-20T17:35:56,0,200,0,200
2022-05-20T17:46:10,0,200,0,200
2022-05-20T17:56:24,0,200,0,200
2022-05-20T18:06:38,0,200,0,200
2022-05-20T18:17:01,0,200,0,200
2022-05-20T18:27:14,0,200,0,200
2022-05-20T18:37:28,0,200,0,200
2022-05-20T18:47:41,0,200,0,200
2022-05-20T18:57:54,0,200,0,200
2022-05-20T19:08:09,0,200,0,200
2022-05-20T19:18:23,0,200,0,200
2022-05-20T19:28:36,0,200,0,200
2022-05-20T19:38:50,0,200,0,200
2022-05-20T19:49:04,0,200,0,200
2022-05-20T19:59:28,0,200,0,200
2022-05-20T20:09:42,0,200,0,200
2022-05-20T20:19:55,0,200,0,200
2022-05-20T20:30:09,0,200,0,200
2022-05-20T20:40:22,0,200,0,200
2022-05-20T20:50:36,0,200,0,200
2022-05-20T21:00:49,0,200,0,200
2022-05-20T21:11:03,0,200,0,200
2022-05-20T21:21:17,0,200,0,200
2022-05-20T21:31:41,0,200,0,200
2022-05-20T21:41:55,0,200,0,200
2022-05-20T21:52:08,0,200,0,200
2022-05-20T22:02:23,0,200,0,200
2022-05-20T22:12:36,0,200,0,200
2022-05-20T22:22:51,0,200,0,200
2022-05-20T22:33:05,0,200,0,200
2022-05-20T22:43:18,0,200,0,200
2022-05-20T22:53:32,0,200,0,200
2022-05-20T23:03:45,0,200,0,200
2022-05-20T23:14:10,0,200,0,200
2022-05-20T23:24:24,0,200,0,200
2022-05-20T23:34:37,0,200,0,200
2022-05-20T23:44:51,0,200,0,200
2022-05-20T23:55:04,0,200,0,200
2022-05-21T00:05:19,0,200,0,200
2022-05-21T00:15:35,0,200,0,200
2022-05-21T00:25:51,0,200,0,200
2022-05-21T00:36:07,0,200,0,200
2022-05-21T00:46:23,0,200,0,200
2022-05-21T00:56:39,0,200,0,200
2022-05-21T01:06:54,0,200,0,200
2022-05-21T01:17:09,0,200,0,200
2022-05-21T01:27:23,0,200,0,200
2022-05-21T01:37:39,0,200,0,200
2022-05-21T01:47:54,0,200,0,200
2022-05-21T01:58:19,0,200,0,200
2022-05-21T02:08:33,0,200,0,200
2022-05-21T02:18:46,0,200,0,200
2022-05-21T02:29:00,0,200,0,200
2022-05-21T02:39:13,0,200,0,200
2022-05-21T02:49:26,0,200,0,200
2022-05-21T02:59:38,0,200,0,200
2022-05-21T03:09:52,0,200,0,200
2022-05-21T03:20:11,0,200,0,200
2022-05-21T03:30:26,0,200,0,200
2022-05-21T03:40:42,0,200,0,200
2022-05-21T03:50:57,0,200,0,200
2022-05-21T04:01:13,0,200,0,200
2022-05-21T04:26:49,0,200,0,200
2022-05-21T04:38:14,0,200,0,200
2022-05-21T04:48:45,0,200,0,200
2022-05-21T04:59:01,0,200,0,200
2022-05-21T05:09:16,0,200,0,200
2022-05-21T05:19:33,0,200,0,200
2022-05-21T05:29:48,0,200,0,200
2022-05-21T05:40:04,0,200,0,200
2022-05-21T05:50:20,0,200,0,200
2022-05-21T06:00:36,0,200,0,200
2022-05-21T06:10:51,0,200,0,200
2022-05-21T06:21:08,0,200,0,200
2022-05-21T06:31:22,0,200,0,200
2022-05-21T06:41:38,0,200,0,200
2022-05-21T06:51:54,0,200,0,200
2022-05-21T07:02:09,0,200,0,200
2022-05-21T07:12:24,0,200,0,200
2022-05-21T07:22:40,0,200,0,200
2022-05-21T07:32:54,0,200,0,200
2022-05-21T07:43:10,0,200,0,200
2022-05-21T07:53:24,0,200,0,200
2022-05-21T08:03:39,0,200,0,200
2022-05-21T08:13:56,0,200,0,200
2022-05-21T08:24:10,0,200,0,200
2022-05-21T08:34:25,0,200,0,200
2022-05-21T08:44:39,0,200,0,200
2022-05-21T08:55:15,0,200,0,200
2022-05-21T09:05:30,0,200,0,200
2022-05-21T09:15:42,0,200,0,200
2022-05-21T09:25:55,0,200,0,200
2022-05-21T09:36:08,0,200,0,200
2022-05-21T09:46:21,0,200,0,200
2022-05-21T09:56:34,0,200,0,200
2022-05-21T10:06:48,0,200,0,200
2022-05-21T10:17:01,0,200,0,200
2022-05-21T10:27:14,0,200,0,200
2022-05-21T10:37:27,0,200,0,200
2022-05-21T10:47:41,0,200,0,200
2022-05-21T10:57:54,0,200,0,200
2022-05-21T11:08:08,0,200,0,200
2022-05-21T11:18:32,0,200,0,200
2022-05-21T11:28:46,0,200,0,200
2022-05-21T11:39:00,0,200,0,200
2022-05-21T11:49:14,0,200,0,200
2022-05-21T11:59:27,0,200,0,200
2022-05-21T12:09:42,0,200,0,200
2022-05-21T12:19:55,0,200,0,200
2022-05-21T12:30:08,0,200,0,200
2022-05-21T12:40:42,0,200,0,200
2022-05-21T12:50:55,0,200,0,200
2022-05-21T13:01:09,0,200,0,200
2022-05-21T13:11:22,0,200,0,200
2022-05-21T13:21:36,0,200,0,200
2022-05-21T13:31:49,0,200,0,200
2022-05-21T13:42:03,0,200,0,200
2022-05-21T13:52:16,0,200,0,200
2022-05-21T14:02:29,0,200,0,200
2022-05-21T14:12:53,0,200,0,200
2022-05-21T14:23:06,0,200,0,200
2022-05-21T14:33:20,0,200,0,200
2022-05-21T14:43:33,0,200,0,200
2022-05-21T14:53:48,0,200,0,200
2022-05-21T15:04:03,0,200,0,200
2022-05-21T15:14:16,0,200,0,200
2022-05-21T15:24:39,0,200,0,200
2022-05-21T15:34:54,0,200,0,200
2022-05-21T15:45:07,0,200,0,200
2022-05-21T15:55:20,0,200,0,200
2022-05-21T16:05:34,0,200,0,200
2022-05-21T16:15:47,0,200,0,200
2022-05-21T16:26:01,0,200,0,200
2022-05-21T16:36:14,0,200,0,200
2022-05-21T16:46:27,0,200,0,200
2022-05-21T16:56:41,0,200,0,200
2022-05-21T17:07:13,0,200,0,200
2022-05-21T17:17:27,0,200,0,200
2022-05-21T17:27:41,0,200,0,200
2022-05-21T17:37:54,0,200,0,200
2022-05-21T17:48:07,0,200,0,200
2022-05-21T17:58:20,0,200,0,200
2022-05-21T18:08:34,0,200,0,200
2022-05-21T18:18:47,0,200,0,200
2022-05-21T18:29:01,0,200,0,200
2022-05-21T18:39:15,0,200,0,200
2022-05-21T18:49:56,0,200,0,200
2022-05-21T19:00:09,0,200,0,200
2022-05-21T19:10:23,0,200,0,200
2022-05-21T19:20:36,0,200,0,200
2022-05-21T19:30:49,0,200,0,200
2022-05-21T19:41:04,0,200,0,200
2022-05-21T19:51:18,0,200,0,200
2022-05-21T20:01:33,0,200,0,200
2022-05-21T20:11:47,0,200,0,200
2022-05-21T20:22:00,0,200,0,200
2022-05-21T20:32:24,0,200,0,200
2022-05-21T20:42:39,0,200,0,200
2022-05-21T20:52:52,0,200,0,200
2022-05-21T21:03:06,0,200,0,200
2022-05-21T21:13:19,0,200,0,200
2022-05-21T21:23:32,0,200,0,200
2022-05-21T21:33:46,0,200,0,200
2022-05-21T21:43:59,0,200,0,200
2022-05-21T21:54:12,0,200,0,200
2022-05-21T22:04:26,0,200,0,200
2022-05-21T22:15:02,0,200,0,200
2022-05-21T22:25:16,0,200,0,200
2022-05-21T22:35:29,0,200,0,200
2022-05-21T22:45:42,0,200,0,200
2022-05-21T22:55:55,0,200,0,200
2022-05-21T23:06:08,0,200,0,200
2022-05-21T23:16:22,0,200,0,200
2022-05-21T23:26:35,0,200,0,200
2022-05-21T23:36:48,0,200,0,200
2022-05-21T23:47:01,0,200,0,200
2022-05-21T23:57:14,0,200,0,200
2022-05-22T00:07:28,0,200,0,200
2022-05-22T00:17:43,0,200,0,200
2022-05-22T00:27:57,0,200,0,200
2022-05-22T00:38:23,0,200,0,200
2022-05-22T00:48:36,0,200,0,200
2022-05-22T00:58:49,0,200,0,200
2022-05-22T01:09:02,0,200,0,200
2022-05-22T01:19:15,0,200,0,200
2022-05-22T01:29:28,0,200,0,200
2022-05-22T01:39:40,0,200,0,200
2022-05-22T01:49:53,0,200,0,200
2022-05-22T02:00:06,0,200,0,200
2022-05-22T02:10:19,0,200,0,200
2022-05-22T02:20:32,0,200,0,200
2022-05-22T02:30:48,0,200,0,200
2022-05-22T02:41:04,0,200,0,200
2022-05-22T02:51:19,0,200,0,200
2022-05-22T03:01:43,0,200,0,200
2022-05-22T03:12:46,0,200,0,200
2022-05-22T03:23:01,0,200,0,200
2022-05-22T03:33:17,0,200,0,200
2022-05-22T03:43:42,0,200,0,200
2022-05-22T03:53:57,0,200,0,200
2022-05-22T04:04:11,0,200,0,200
2022-05-22T04:25:21,0,200,0,200
2022-05-22T04:35:38,0,200,0,200
2022-05-22T04:45:54,0,200,0,200
2022-05-22T04:56:09,0,200,0,200
2022-05-22T05:06:25,0,200,0,200
2022-05-22T05:16:42,0,200,0,200
2022-05-22T05:26:57,0,200,0,200
2022-05-22T05:37:12,0,200,0,200
2022-05-22T05:47:27,0,200,0,200
2022-05-22T05:57:43,0,200,0,200
2022-05-22T06:07:59,0,200,0,200
2022-05-22T06:18:13,0,200,0,200
2022-05-22T06:28:29,0,200,0,200
2022-05-22T06:38:44,0,200,0,200
2022-05-22T06:48:58,0,200,0,200
2022-05-22T06:59:12,0,200,0,200
2022-05-22T07:09:25,0,200,0,200
2022-05-22T07:19:39,0,200,0,200
2022-05-22T07:29:52,0,200,0,200
2022-05-22T07:40:05,0,200,0,200
2022-05-22T07:50:18,0,200,0,200
2022-05-22T08:00:31,0,200,0,200
2022-05-22T08:10:44,0,200,0,200
2022-05-22T08:20:57,0,200,0,200
2022-05-22T08:31:11,0,200,0,200
2022-05-22T08:41:24,0,200,0,200
2022-05-22T08:51:36,0,200,0,200
2022-05-22T09:01:49,0,200,0,200
2022-05-22T09:12:02,0,200,0,200
2022-05-22T09:22:16,0,200,0,200
2022-05-22T09:32:29,0,200,0,200
2022-05-22T09:42:43,0,200,0,200
2022-05-22T09:52:55,0,200,0,200
2022-05-22T10:03:09,0,200,0,200
2022-05-22T10:13:22,0,200,0,200
2022-05-22T10:23:36,0,200,0,200
2022-05-22T10:33:50,0,200,0,200
2022-05-22T10:44:04,0,200,0,200
2022-05-22T10:54:17,0,200,0,200
2022-05-22T11:04:31,0,200,0,200
2022-05-22T11:14:51,0,200,0,200
2022-05-22T11:25:04,0,200,0,200
2022-05-22T11:35:18,0,200,0,200
2022-05-22T11:45:32,0,200,0,200
2022-05-22T11:55:45,0,200,0,200
2022-05-22T12:05:58,0,200,0,200
2022-05-22T12:16:12,0,200,0,200
2022-05-22T12:26:25,0,200,0,200
2022-05-22T12:36:38,0,200,0,200
2022-05-22T12:46:51,0,200,0,200
2022-05-22T12:57:04,0,200,0,200
2022-05-22T13:07:17,0,200,0,200
2022-05-22T13:17:30,0,200,0,200
2022-05-22T13:27:52,0,200,0,200
2022-05-22T13:38:05,0,200,0,200
2022-05-22T13:48:19,0,200,0,200
2022-05-22T13:58:32,0,200,0,200
2022-05-22T14:08:48,0,200,0,200
2022-05-22T14:19:01,0,200,0,200
2022-05-22T14:29:14,0,200,0,200
2022-05-22T14:39:27,0,200,0,200
2022-05-22T14:49:40,0,200,0,200
2022-05-22T14:59:53,0,200,0,200
2022-05-22T15:10:06,0,200,0,200
2022-05-22T15:20:20,0,200,0,200
2022-05-22T15:30:34,0,200,0,200
2022-05-22T15:40:47,0,200,0,200
2022-05-22T15:51:12,0,200,0,200
2022-05-22T16:01:25,0,200,0,200
2022-05-22T16:11:39,0,200,0,200
2022-05-22T16:21:52,0,200,0,200
2022-05-22T16:32:06,0,200,0,200
2022-05-22T16:42:19,0,200,0,200
2022-05-22T16:52:32,0,200,0,200
2022-05-22T17:02:46,0,200,0,200
2022-05-22T17:13:00,0,200,0,200
2022-05-22T17:23:13,0,200,0,200
2022-05-22T17:33:26,0,200,0,200
2022-05-22T17:43:50,0,200,0,200
2022-05-22T17:54:03,0,200,0,200
2022-05-22T18:04:16,0,200,0,200
2022-05-22T18:14:29,0,200,0,200
2022-05-22T18:24:42,0,200,0,200
2022-05-22T18:34:56,0,200,0,200
2022-05-22T18:45:10,0,200,0,200
2022-05-22T18:55:23,0,200,0,200
2022-05-22T19:05:37,0,200,0,200
2022-05-22T19:15:52,0,200,0,200
2022-05-22T19:26:06,0,200,0,200
2022-05-22T19:36:18,0,200,0,200
2022-05-22T19:46:32,0,200,0,200
2022-05-22T19:56:45,0,200,0,200
2022-05-22T20:07:09,0,200,0,200
2022-05-22T20:17:23,0,200,0,200
2022-05-22T20:27:37,0,200,0,200
2022-05-22T20:37:52,0,200,0,200
2022-05-22T20:48:05,0,200,0,200
2022-05-22T20:58:18,0,200,0,200
2022-05-22T21:08:31,0,200,0,200
2022-05-22T21:18:45,0,200,0,200
2022-05-22T21:28:58,0,200,0,200
2022-05-22T21:39:21,0,200,0,200
2022-05-22T21:49:35,0,200,0,200
2022-05-22T21:59:49,0,200,0,200
2022-05-22T22:10:03,0,200,0,200
2022-05-22T22:20:18,0,200,0,200
2022-05-22T22:30:32,0,200,0,200
2022-05-22T22:40:46,0,200,0,200
2022-05-22T22:50:59,0,200,0,200
2022-05-22T23:01:24,0,200,0,200
2022-05-22T23:11:38,0,200,0,200
2022-05-22T23:21:52,0,200,0,200
2022-05-22T23:32:06,0,200,0,200
2022-05-22T23:42:19,0,200,0,200
2022-05-22T23:52:35,0,200,0,200
2022-05-23T00:02:49,0,200,0,200
2022-05-23T00:13:07,0,200,0,200
2022-05-23T00:23:23,0,200,0,200
2022-05-23T00:33:38,0,200,0,200
2022-05-23T00:43:52,0,200,0,200
2022-05-23T00:54:07,0,200,0,200
2022-05-23T01:04:21,0,200,0,200
2022-05-23T01:14:49,0,200,0,200
2022-05-23T01:25:04,0,200,0,200
2022-05-23T01:35:19,0,200,0,200
2022-05-23T01:45:33,0,200,0,200
2022-05-23T01:55:47,0,200,0,200
2022-05-23T02:18:39,0,200,0,200
2022-05-23T02:28:53,0,200,0,200
2022-05-23T02:39:08,0,200,0,200
2022-05-23T02:49:22,0,200,0,200
2022-05-23T02:59:38,0,200,0,200
2022-05-23T03:09:53,0,200,0,200
2022-05-23T03:20:10,0,200,0,200
2022-05-23T03:30:31,0,200,0,200
2022-05-23T03:40:46,0,200,0,200
2022-05-23T03:51:00,0,200,0,200
2022-05-23T04:01:15,0,200,0,200
2022-05-23T04:23:44,0,200,0,200
2022-05-23T04:35:10,0,200,0,200
2022-05-23T04:45:43,0,200,0,200
2022-05-23T04:56:00,0,200,0,200
2022-05-23T05:06:16,0,200,0,200
2022-05-23T05:16:32,0,200,0,200
2022-05-23T05:26:47,0,200,0,200
2022-05-23T05:37:04,0,200,0,200
2022-05-23T05:47:19,0,200,0,200
2022-05-23T05:57:35,0,200,0,200
