time,enrolled,available,waitlisted,total
2022-05-18T04:38:36,0,50,0,50
2022-05-18T04:48:46,0,50,0,50
2022-05-18T04:58:56,0,50,0,50
2022-05-18T05:09:07,0,50,0,50
2022-05-18T05:19:17,0,50,0,50
2022-05-18T05:29:29,0,50,0,50
2022-05-18T05:39:38,0,50,0,50
2022-05-18T05:49:48,0,50,0,50
2022-05-18T05:59:58,0,50,0,50
2022-05-18T06:10:11,0,50,0,50
2022-05-18T06:20:19,0,50,0,50
2022-05-18T06:30:28,0,50,0,50
2022-05-18T06:40:35,0,50,0,50
2022-05-18T06:50:43,0,50,0,50
2022-05-18T07:00:50,0,50,0,50
2022-05-18T07:11:00,0,50,0,50
2022-05-18T07:21:07,0,50,0,50
2022-05-18T07:31:15,0,50,0,50
2022-05-18T07:41:23,0,50,0,50
2022-05-18T07:51:31,0,50,0,50
2022-05-18T08:01:39,0,50,0,50
2022-05-18T08:11:47,0,50,0,50
2022-05-18T08:21:55,0,50,0,50
2022-05-18T08:32:04,0,50,0,50
2022-05-18T08:42:13,0,50,0,50
2022-05-18T08:52:23,0,50,0,50
2022-05-18T09:02:32,0,50,0,50
2022-05-18T09:12:53,0,50,0,50
2022-05-18T09:23:02,0,50,0,50
2022-05-18T09:33:11,0,50,0,50
2022-05-18T09:43:20,0,50,0,50
2022-05-18T09:53:29,0,50,0,50
2022-05-18T10:03:41,0,50,0,50
2022-05-18T10:13:52,0,50,0,50
2022-05-18T10:24:03,0,50,0,50
2022-05-18T10:34:14,0,50,0,50
2022-05-18T10:44:36,0,50,0,50
2022-05-18T10:54:46,0,50,0,50
2022-05-18T11:04:56,0,50,0,50
2022-05-18T11:15:06,0,50,0,50
2022-05-18T11:25:15,0,50,0,50
2022-05-18T11:35:24,0,50,0,50
2022-05-18T11:45:33,0,50,0,50
2022-05-18T11:55:52,0,50,0,50
2022-05-18T12:06:01,0,50,0,50
2022-05-18T12:16:09,0,50,0,50
2022-05-18T12:26:17,0,50,0,50
2022-05-18T12:36:28,0,50,0,50
2022-05-18T12:46:38,0,50,0,50
2022-05-18T12:56:48,0,50,0,50
2022-05-18T13:06:59,0,50,0,50
2022-05-18T13:17:20,0,50,0,50
2022-05-18T13:27:29,0,50,0,50
2022-05-18T13:37:40,0,50,0,50
2022-05-18T13:47:51,0,50,0,50
2022-05-18T13:58:02,0,50,0,50
2022-05-18T14:08:12,0,50,0,50
2022-05-18T14:18:23,0,50,0,50
2022-05-18T14:28:44,0,50,0,50
2022-05-18T14:38:55,0,50,0,50
2022-05-18T14:49:05,0,50,0,50
2022-05-18T14:59:16,0,50,0,50
2022-05-18T15:09:28,0,50,0,50
2022-05-18T15:19:38,0,50,0,50
2022-05-18T15:29:49,0,50,0,50
2022-05-18T15:40:10,0,50,0,50
2022-05-18T15:50:20,0,50,0,50
2022-05-18T16:00:31,0,50,0,50
2022-05-18T16:10:42,0,50,0,50
2022-05-18T16:20:53,0,50,0,50
2022-05-18T16:31:03,0,50,0,50
2022-05-18T16:41:13,0,50,0,50
2022-05-18T16:51:23,0,50,0,50
2022-05-18T17:01:43,0,50,0,50
2022-05-18T17:11:53,0,50,0,50
2022-05-18T17:22:03,0,50,0,50
