time,enrolled,available,waitlisted,total
2022-05-20T04:35:17,1,19,0,20
2022-05-20T04:45:33,1,19,0,20
2022-05-20T04:55:50,1,19,0,20
2022-05-20T05:06:06,1,19,0,20
2022-05-20T05:16:21,1,19,0,20
2022-05-20T05:26:37,1,19,0,20
2022-05-20T05:36:52,1,19,0,20
2022-05-20T05:47:08,1,19,0,20
2022-05-20T05:57:24,1,19,0,20
2022-05-20T06:07:39,1,19,0,20
2022-05-20T06:17:53,1,19,0,20
2022-05-20T06:28:10,1,19,0,20
2022-05-20T06:38:24,1,19,0,20
2022-05-20T06:48:38,1,19,0,20
2022-05-20T06:58:52,1,19,0,20
2022-05-20T07:09:08,1,19,0,20
2022-05-20T07:19:22,1,19,0,20
2022-05-20T07:29:35,1,19,0,20
2022-05-20T07:39:49,1,19,0,20
2022-05-20T07:50:04,1,19,0,20
2022-05-20T08:00:18,1,19,0,20
2022-05-20T08:10:32,1,19,0,20
2022-05-20T08:20:46,1,19,0,20
2022-05-20T08:31:02,1,19,0,20
2022-05-20T08:41:16,1,19,0,20
2022-05-20T08:51:31,1,19,0,20
2022-05-20T09:01:46,1,19,0,20
2022-05-20T09:12:14,1,19,0,20
2022-05-20T09:22:30,1,19,0,20
2022-05-20T09:32:45,1,19,0,20
2022-05-20T09:43:01,1,19,0,20
2022-05-20T09:53:17,1,19,0,20
2022-05-20T10:03:34,1,19,0,20
2022-05-20T10:13:50,1,19,0,20
2022-05-20T10:24:05,1,19,0,20
2022-05-20T10:34:22,1,19,0,20
2022-05-20T10:44:37,1,19,0,20
2022-05-20T10:55:06,1,19,0,20
2022-05-20T11:05:23,1,19,0,20
2022-05-20T11:15:39,1,19,0,20
2022-05-20T11:25:55,1,19,0,20
2022-05-20T11:36:11,1,19,0,20
2022-05-20T11:46:27,1,19,0,20
2022-05-20T11:56:56,1,19,0,20
2022-05-20T12:07:12,1,19,0,20
2022-05-20T12:17:27,1,19,0,20
2022-05-20T12:27:43,1,19,0,20
2022-05-20T12:37:58,1,19,0,20
2022-05-20T12:48:13,1,19,0,20
2022-05-20T12:58:29,1,19,0,20
2022-05-20T13:08:56,1,19,0,20
2022-05-20T13:19:13,1,19,0,20
2022-05-20T13:29:29,1,19,0,20
2022-05-20T13:39:46,1,19,0,20
