time,enrolled,available,waitlisted,total
2022-05-20T04:35:21,0,15,0,15
2022-05-20T04:45:38,0,15,0,15
2022-05-20T04:55:55,0,15,0,15
2022-05-20T05:06:11,0,15,0,15
2022-05-20T05:16:26,0,15,0,15
2022-05-20T05:26:41,0,15,0,15
2022-05-20T05:36:57,0,15,0,15
2022-05-20T05:47:13,0,15,0,15
2022-05-20T05:57:28,0,15,0,15
2022-05-20T06:07:44,0,15,0,15
2022-05-20T06:17:58,0,15,0,15
2022-05-20T06:28:15,0,15,0,15
2022-05-20T06:38:29,0,15,0,15
2022-05-20T06:48:43,0,15,0,15
2022-05-20T06:58:56,0,15,0,15
2022-05-20T07:09:13,0,15,0,15
2022-05-20T07:19:26,0,15,0,15
2022-05-20T07:29:40,0,15,0,15
2022-05-20T07:39:54,0,15,0,15
2022-05-20T07:50:08,0,15,0,15
2022-05-20T08:00:22,0,15,0,15
2022-05-20T08:10:37,0,15,0,15
2022-05-20T08:20:51,0,15,0,15
2022-05-20T08:31:07,0,15,0,15
2022-05-20T08:41:21,0,15,0,15
2022-05-20T08:51:36,0,15,0,15
2022-05-20T09:01:51,0,15,0,15
2022-05-20T09:12:19,0,15,0,15
2022-05-20T09:22:35,0,15,0,15
2022-05-20T09:32:50,0,15,0,15
2022-05-20T09:43:06,0,15,0,15
2022-05-20T09:53:22,0,15,0,15
2022-05-20T10:03:39,0,15,0,15
2022-05-20T10:13:55,0,15,0,15
2022-05-20T10:24:10,0,15,0,15
2022-05-20T10:34:26,0,15,0,15
2022-05-20T10:44:42,0,15,0,15
2022-05-20T10:55:11,0,15,0,15
2022-05-20T11:05:27,0,15,0,15
2022-05-20T11:15:44,0,15,0,15
2022-05-20T11:26:00,0,15,0,15
2022-05-20T11:36:15,0,15,0,15
2022-05-20T11:46:31,0,15,0,15
2022-05-20T11:57:01,0,15,0,15
2022-05-20T12:07:17,0,15,0,15
2022-05-20T12:17:32,0,15,0,15
2022-05-20T12:27:47,0,15,0,15
2022-05-20T12:38:02,0,15,0,15
2022-05-20T12:48:18,0,15,0,15
2022-05-20T12:58:34,0,15,0,15
2022-05-20T13:09:01,0,15,0,15
2022-05-20T13:19:17,0,15,0,15
2022-05-20T13:29:33,0,15,0,15
2022-05-20T13:39:50,0,15,0,15
2022-05-20T13:50:07,0,15,0,15
2022-05-20T14:00:22,0,15,0,15
2022-05-20T14:10:49,0,15,0,15
2022-05-20T14:21:04,0,15,0,15
2022-05-20T14:31:20,0,15,0,15
2022-05-20T14:41:35,0,15,0,15
2022-05-20T14:51:51,0,15,0,15
2022-05-20T15:02:06,0,15,0,15
2022-05-20T15:12:32,0,15,0,15
2022-05-20T15:22:47,0,15,0,15
2022-05-20T15:33:03,0,15,0,15
2022-05-20T15:43:18,0,15,0,15
2022-05-20T15:53:33,0,15,0,15
2022-05-20T16:03:48,0,15,0,15
2022-05-20T16:14:03,0,15,0,15
2022-05-20T16:24:28,0,15,0,15
2022-05-20T16:34:42,0,15,0,15
2022-05-20T16:44:57,0,15,0,15
2022-05-20T16:55:11,0,15,0,15
2022-05-20T17:05:26,0,15,0,15
2022-05-20T17:15:40,0,15,0,15
2022-05-20T17:25:53,0,15,0,15
2022-05-20T17:36:07,0,15,0,15
2022-05-20T17:46:22,0,15,0,15
2022-05-20T17:56:36,0,15,0,15
2022-05-20T18:06:50,0,15,0,15
2022-05-20T18:17:12,0,15,0,15
2022-05-20T18:27:26,0,15,0,15
2022-05-20T18:37:39,0,15,0,15
2022-05-20T18:47:52,0,15,0,15
2022-05-20T18:58:06,0,15,0,15
2022-05-20T19:08:20,0,15,0,15
2022-05-20T19:18:34,0,15,0,15
2022-05-20T19:28:48,0,15,0,15
2022-05-20T19:39:01,0,15,0,15
2022-05-20T19:49:16,0,15,0,15
2022-05-20T19:59:40,0,15,0,15
2022-05-20T20:09:53,0,15,0,15
2022-05-20T20:20:07,0,15,0,15
2022-05-20T20:30:21,0,15,0,15
2022-05-20T20:40:34,0,15,0,15
2022-05-20T20:50:48,0,15,0,15
2022-05-20T21:01:01,0,15,0,15
2022-05-20T21:11:15,0,15,0,15
2022-05-20T21:21:28,0,15,0,15
2022-05-20T21:31:53,0,15,0,15
2022-05-20T21:42:06,0,15,0,15
2022-05-20T21:52:20,0,15,0,15
2022-05-20T22:02:34,0,15,0,15
2022-05-20T22:12:48,0,15,0,15
2022-05-20T22:23:03,0,15,0,15
2022-05-20T22:33:16,0,15,0,15
2022-05-20T22:43:30,0,15,0,15
2022-05-20T22:53:43,0,15,0,15
2022-05-20T23:03:57,0,15,0,15
2022-05-20T23:14:22,0,15,0,15
2022-05-20T23:24:35,0,15,0,15
2022-05-20T23:34:49,0,15,0,15
2022-05-20T23:45:03,0,15,0,15
2022-05-20T23:55:16,0,15,0,15
2022-05-21T00:05:31,0,15,0,15
2022-05-21T00:15:47,0,15,0,15
2022-05-21T00:26:03,0,15,0,15
2022-05-21T00:36:19,0,15,0,15
2022-05-21T00:46:35,0,15,0,15
2022-05-21T00:56:50,0,15,0,15
2022-05-21T01:07:05,0,15,0,15
2022-05-21T01:17:21,0,15,0,15
2022-05-21T01:27:35,0,15,0,15
2022-05-21T01:37:51,0,15,0,15
2022-05-21T01:48:06,0,15,0,15
2022-05-21T01:58:30,0,15,0,15
2022-05-21T02:08:44,0,15,0,15
2022-05-21T02:18:58,0,15,0,15
2022-05-21T02:29:11,0,15,0,15
2022-05-21T02:39:24,0,15,0,15
2022-05-21T02:49:37,0,15,0,15
2022-05-21T02:59:50,0,15,0,15
2022-05-21T03:10:03,0,15,0,15
