time,enrolled,available,waitlisted,total
2022-05-20T04:35:25,0,20,0,20
2022-05-20T04:45:42,0,20,0,20
2022-05-20T04:55:58,0,20,0,20
2022-05-20T05:06:15,0,20,0,20
2022-05-20T05:16:30,0,20,0,20
2022-05-20T05:26:45,0,20,0,20
2022-05-20T05:37:01,0,20,0,20
2022-05-20T05:47:16,0,20,0,20
2022-05-20T05:57:32,0,20,0,20
2022-05-20T06:07:48,0,20,0,20
2022-05-20T06:18:02,0,20,0,20
2022-05-20T06:28:18,0,20,0,20
2022-05-20T06:38:33,0,20,0,20
2022-05-20T06:48:46,0,20,0,20
2022-05-20T06:59:00,0,20,0,20
2022-05-20T07:09:17,0,20,0,20
2022-05-20T07:19:30,0,20,0,20
2022-05-20T07:29:44,0,20,0,20
2022-05-20T07:39:58,0,20,0,20
2022-05-20T07:50:12,0,20,0,20
2022-05-20T08:00:26,0,20,0,20
2022-05-20T08:10:40,0,20,0,20
2022-05-20T08:20:55,0,20,0,20
2022-05-20T08:31:10,0,20,0,20
2022-05-20T08:41:25,0,20,0,20
2022-05-20T08:51:39,0,20,0,20
2022-05-20T09:01:55,0,20,0,20
2022-05-20T09:12:22,0,20,0,20
2022-05-20T09:22:38,0,20,0,20
2022-05-20T09:32:54,0,20,0,20
2022-05-20T09:43:10,0,20,0,20
2022-05-20T09:53:26,0,20,0,20
2022-05-20T10:03:43,0,20,0,20
2022-05-20T10:13:58,0,20,0,20
2022-05-20T10:24:14,0,20,0,20
2022-05-20T10:34:30,0,20,0,20
2022-05-20T10:44:46,0,20,0,20
2022-05-20T10:55:15,0,20,0,20
2022-05-20T11:05:31,0,20,0,20
2022-05-20T11:15:47,0,20,0,20
2022-05-20T11:26:04,0,20,0,20
2022-05-20T11:36:19,0,20,0,20
2022-05-20T11:46:35,0,20,0,20
2022-05-20T11:57:05,0,20,0,20
2022-05-20T12:07:21,0,20,0,20
2022-05-20T12:17:36,0,20,0,20
2022-05-20T12:27:51,0,20,0,20
2022-05-20T12:38:06,0,20,0,20
2022-05-20T12:48:22,0,20,0,20
2022-05-20T12:58:38,0,20,0,20
2022-05-20T13:09:05,0,20,0,20
2022-05-20T13:19:21,0,20,0,20
2022-05-20T13:29:37,0,20,0,20
2022-05-20T13:39:54,0,20,0,20
2022-05-20T13:50:10,0,20,0,20
2022-05-20T14:00:26,0,20,0,20
2022-05-20T14:10:52,0,20,0,20
2022-05-20T14:21:07,0,20,0,20
2022-05-20T14:31:24,0,20,0,20
2022-05-20T14:41:39,0,20,0,20
2022-05-20T14:51:54,0,20,0,20
2022-05-20T15:02:10,0,20,0,20
2022-05-20T15:12:36,0,20,0,20
