time,enrolled,available,waitlisted,total
2022-05-18T04:38:59,0,60,0,60
2022-05-18T04:49:09,0,60,0,60
2022-05-18T04:59:19,0,60,0,60
2022-05-18T05:09:30,0,60,0,60
2022-05-18T05:19:40,0,60,0,60
2022-05-18T05:29:52,0,60,0,60
2022-05-18T05:40:01,0,60,0,60
2022-05-18T05:50:11,0,60,0,60
2022-05-18T06:00:22,0,60,0,60
2022-05-18T06:10:34,0,60,0,60
2022-05-18T06:20:42,0,60,0,60
2022-05-18T06:30:51,0,60,0,60
2022-05-18T06:40:58,0,60,0,60
2022-05-18T06:51:06,0,60,0,60
2022-05-18T07:01:13,0,60,0,60
2022-05-18T07:11:23,0,60,0,60
2022-05-18T07:21:31,0,60,0,60
2022-05-18T07:31:38,0,60,0,60
2022-05-18T07:41:47,0,60,0,60
2022-05-18T07:51:55,0,60,0,60
2022-05-18T08:02:03,0,60,0,60
2022-05-18T08:12:10,0,60,0,60
2022-05-18T08:22:19,0,60,0,60
2022-05-18T08:32:28,0,60,0,60
2022-05-18T08:42:37,0,60,0,60
2022-05-18T08:52:46,0,60,0,60
2022-05-18T09:02:55,0,60,0,60
2022-05-18T09:13:16,0,60,0,60
2022-05-18T09:23:25,0,60,0,60
2022-05-18T09:33:34,0,60,0,60
2022-05-18T09:43:43,0,60,0,60
2022-05-18T09:53:52,0,60,0,60
2022-05-18T10:04:04,0,60,0,60
2022-05-18T10:14:16,0,60,0,60
2022-05-18T10:24:27,0,60,0,60
2022-05-18T10:34:37,0,60,0,60
2022-05-18T10:44:59,0,60,0,60
2022-05-18T10:55:09,0,60,0,60
2022-05-18T11:05:20,0,60,0,60
2022-05-18T11:15:29,0,60,0,60
2022-05-18T11:25:38,0,60,0,60
2022-05-18T11:35:47,0,60,0,60
2022-05-18T11:45:56,0,60,0,60
2022-05-18T11:56:15,0,60,0,60
2022-05-18T12:06:24,0,60,0,60
2022-05-18T12:16:32,0,60,0,60
2022-05-18T12:26:42,0,60,0,60
2022-05-18T12:36:52,0,60,0,60
2022-05-18T12:47:02,0,60,0,60
2022-05-18T12:57:13,0,60,0,60
2022-05-18T13:07:23,0,60,0,60
2022-05-18T13:17:44,0,60,0,60
2022-05-18T13:27:54,0,60,0,60
2022-05-18T13:38:05,0,60,0,60
2022-05-18T13:48:15,0,60,0,60
2022-05-18T13:58:26,0,60,0,60
2022-05-18T14:08:37,0,60,0,60
2022-05-18T14:18:47,0,60,0,60
2022-05-18T14:29:09,0,60,0,60
2022-05-18T14:39:19,0,60,0,60
2022-05-18T14:49:29,0,60,0,60
2022-05-18T14:59:40,0,60,0,60
2022-05-18T15:09:52,0,60,0,60
2022-05-18T15:20:03,0,60,0,60
2022-05-18T15:30:13,0,60,0,60
2022-05-18T15:40:34,0,60,0,60
2022-05-18T15:50:45,0,60,0,60
2022-05-18T16:00:55,0,60,0,60
2022-05-18T16:11:07,0,60,0,60
2022-05-18T16:21:18,0,60,0,60
2022-05-18T16:31:27,0,60,0,60
2022-05-18T16:41:37,0,60,0,60
2022-05-18T16:51:47,0,60,0,60
2022-05-18T17:02:07,0,60,0,60
2022-05-18T17:12:18,0,60,0,60
2022-05-18T17:22:27,0,60,0,60
2022-05-18T17:32:37,0,60,0,60
2022-05-18T17:42:46,0,60,0,60
2022-05-18T17:52:55,0,60,0,60
2022-05-18T18:03:04,0,60,0,60
2022-05-18T18:13:14,0,60,0,60
2022-05-18T18:23:24,0,60,0,60
2022-05-18T18:33:45,0,60,0,60
2022-05-18T18:43:54,0,60,0,60
2022-05-18T18:54:02,0,60,0,60
2022-05-18T19:04:11,0,60,0,60
2022-05-18T19:14:20,0,60,0,60
2022-05-18T19:24:29,0,60,0,60
2022-05-18T19:34:38,0,60,0,60
2022-05-18T19:44:48,0,60,0,60
2022-05-18T19:54:57,0,60,0,60
2022-05-18T20:05:06,0,60,0,60
2022-05-18T20:15:25,0,60,0,60
2022-05-18T20:25:34,0,60,0,60
2022-05-18T20:35:43,0,60,0,60
2022-05-18T20:45:52,0,60,0,60
2022-05-18T20:56:00,0,60,0,60
2022-05-18T21:06:11,0,60,0,60
2022-05-18T21:16:20,0,60,0,60
2022-05-18T21:26:29,0,60,0,60
2022-05-18T21:36:37,0,60,0,60
2022-05-18T21:46:47,0,60,0,60
2022-05-18T21:57:05,0,60,0,60
2022-05-18T22:07:14,0,60,0,60
2022-05-18T22:17:23,0,60,0,60
2022-05-18T22:27:32,0,60,0,60
2022-05-18T22:37:41,0,60,0,60
2022-05-18T22:47:50,0,60,0,60
2022-05-18T22:57:59,0,60,0,60
2022-05-18T23:08:09,0,60,0,60
2022-05-18T23:18:19,0,60,0,60
2022-05-18T23:28:31,0,60,0,60
2022-05-18T23:38:51,0,60,0,60
2022-05-18T23:49:00,0,60,0,60
2022-05-18T23:59:09,0,60,0,60
2022-05-19T00:09:21,0,60,0,60
2022-05-19T00:19:33,0,60,0,60
2022-05-19T00:29:46,0,60,0,60
2022-05-19T00:40:02,0,60,0,60
2022-05-19T00:50:13,0,60,0,60
2022-05-19T01:00:24,0,60,0,60
2022-05-19T01:10:33,0,60,0,60
2022-05-19T01:20:44,0,60,0,60
2022-05-19T01:30:53,0,60,0,60
2022-05-19T01:41:02,0,60,0,60
2022-05-19T01:51:13,0,60,0,60
2022-05-19T02:01:32,0,60,0,60
2022-05-19T02:11:43,0,60,0,60
2022-05-19T02:21:52,0,60,0,60
2022-05-19T02:32:00,0,60,0,60
2022-05-19T02:42:08,0,60,0,60
2022-05-19T02:52:16,0,60,0,60
2022-05-19T03:02:24,0,60,0,60
2022-05-19T03:12:34,0,60,0,60
2022-05-19T03:22:46,0,60,0,60
2022-05-19T03:33:05,0,60,0,60
2022-05-19T03:43:16,0,60,0,60
2022-05-19T03:53:27,0,60,0,60
2022-05-19T04:03:37,0,60,0,60
2022-05-19T04:30:40,0,60,0,60
2022-05-19T04:41:23,0,60,0,60
2022-05-19T04:51:35,0,60,0,60
2022-05-19T05:01:47,0,60,0,60
2022-05-19T05:11:59,0,60,0,60
2022-05-19T05:22:10,0,60,0,60
2022-05-19T05:32:21,0,60,0,60
2022-05-19T05:42:31,0,60,0,60
2022-05-19T05:52:41,0,60,0,60
2022-05-19T06:02:53,0,60,0,60
2022-05-19T06:13:03,0,60,0,60
2022-05-19T06:23:15,0,60,0,60
2022-05-19T06:33:26,0,60,0,60
2022-05-19T06:43:37,0,60,0,60
2022-05-19T06:53:47,0,60,0,60
2022-05-19T07:04:01,0,60,0,60
2022-05-19T07:14:12,0,60,0,60
2022-05-19T07:24:21,0,60,0,60
2022-05-19T07:34:31,0,60,0,60
2022-05-19T07:44:40,0,60,0,60
2022-05-19T07:54:49,0,60,0,60
2022-05-19T08:04:58,0,60,0,60
2022-05-19T08:15:08,0,60,0,60
2022-05-19T08:25:17,0,60,0,60
2022-05-19T08:35:27,0,60,0,60
2022-05-19T08:45:38,0,60,0,60
2022-05-19T08:55:48,0,60,0,60
2022-05-19T09:06:15,0,60,0,60
2022-05-19T09:16:25,0,60,0,60
2022-05-19T09:26:36,0,60,0,60
2022-05-19T09:36:47,0,60,0,60
2022-05-19T09:46:58,0,60,0,60
2022-05-19T09:57:09,0,60,0,60
2022-05-19T10:07:21,0,60,0,60
2022-05-19T10:17:32,0,60,0,60
2022-05-19T10:27:44,0,60,0,60
2022-05-19T10:38:01,0,60,0,60
2022-05-19T10:48:14,0,60,0,60
2022-05-19T10:58:27,0,60,0,60
2022-05-19T11:08:41,0,60,0,60
2022-05-19T11:19:07,0,60,0,60
2022-05-19T11:29:19,0,60,0,60
2022-05-19T11:39:31,0,60,0,60
2022-05-19T11:49:44,0,60,0,60
2022-05-19T11:59:55,0,60,0,60
2022-05-19T12:10:07,0,60,0,60
2022-05-19T12:20:19,0,60,0,60
2022-05-19T12:30:31,0,60,0,60
2022-05-19T12:40:44,0,60,0,60
2022-05-19T12:51:18,0,60,0,60
2022-05-19T13:01:33,0,60,0,60
2022-05-19T13:11:47,0,60,0,60
2022-05-19T13:22:01,0,60,0,60
2022-05-19T13:32:15,0,60,0,60
2022-05-19T13:42:30,0,60,0,60
2022-05-19T13:52:54,0,60,0,60
2022-05-19T14:03:10,0,60,0,60
2022-05-19T14:13:25,0,60,0,60
2022-05-19T14:23:41,0,60,0,60
2022-05-19T14:33:57,0,60,0,60
2022-05-19T14:44:14,0,60,0,60
2022-05-19T14:54:31,0,60,0,60
2022-05-19T15:05:07,0,60,0,60
2022-05-19T15:15:24,0,60,0,60
2022-05-19T15:25:42,0,60,0,60
2022-05-19T15:36:00,0,60,0,60
2022-05-19T15:46:19,0,60,0,60
2022-05-19T15:56:37,0,60,0,60
2022-05-19T16:06:55,0,60,0,60
2022-05-19T16:17:13,0,60,0,60
2022-05-19T16:27:31,0,60,0,60
2022-05-19T16:38:02,0,60,0,60
2022-05-19T16:48:19,0,60,0,60
2022-05-19T16:58:37,0,60,0,60
2022-05-19T17:08:54,0,60,0,60
2022-05-19T17:19:12,0,60,0,60
2022-05-19T17:29:27,0,60,0,60
2022-05-19T17:39:44,0,60,0,60
2022-05-19T17:49:59,0,60,0,60
2022-05-19T18:00:35,0,60,0,60
2022-05-19T18:10:51,0,60,0,60
2022-05-19T18:21:06,0,60,0,60
2022-05-19T18:31:21,0,60,0,60
2022-05-19T18:41:36,0,60,0,60
2022-05-19T18:51:53,0,60,0,60
2022-05-19T19:02:16,0,60,0,60
2022-05-19T19:12:41,0,60,0,60
2022-05-19T19:23:08,0,60,0,60
2022-05-19T19:33:47,0,60,0,60
2022-05-19T19:44:17,0,60,0,60
2022-05-19T19:54:41,0,60,0,60
2022-05-19T20:05:08,0,60,0,60
2022-05-19T20:15:33,0,60,0,60
2022-05-19T20:26:02,0,60,0,60
2022-05-19T20:36:18,0,60,0,60
2022-05-19T20:46:37,0,60,0,60
2022-05-19T20:56:59,0,60,0,60
2022-05-19T21:07:23,0,60,0,60
2022-05-19T21:17:45,0,60,0,60
2022-05-19T21:28:08,0,60,0,60
2022-05-19T21:38:31,0,60,0,60
2022-05-19T21:48:53,0,60,0,60
2022-05-19T21:59:25,0,60,0,60
2022-05-19T22:09:48,0,60,0,60
2022-05-19T22:20:07,0,60,0,60
2022-05-19T22:30:25,0,60,0,60
2022-05-19T22:40:44,0,60,0,60
2022-05-19T22:50:58,0,60,0,60
2022-05-19T23:01:12,0,60,0,60
2022-05-19T23:11:27,0,60,0,60
2022-05-19T23:21:43,0,60,0,60
2022-05-19T23:32:22,0,60,0,60
2022-05-19T23:42:36,0,60,0,60
2022-05-19T23:52:50,0,60,0,60
