time,enrolled,available,waitlisted,total
2022-05-20T04:35:38,0,50,0,50
2022-05-20T04:45:55,0,50,0,50
2022-05-20T04:56:12,0,50,0,50
2022-05-20T05:06:28,0,50,0,50
2022-05-20T05:16:43,0,50,0,50
2022-05-20T05:26:58,0,50,0,50
2022-05-20T05:37:14,0,50,0,50
2022-05-20T05:47:30,0,50,0,50
2022-05-20T05:57:45,0,50,0,50
2022-05-20T06:08:01,0,50,0,50
2022-05-20T06:18:15,0,50,0,50
2022-05-20T06:28:32,0,50,0,50
2022-05-20T06:38:46,0,50,0,50
2022-05-20T06:48:59,0,50,0,50
2022-05-20T06:59:13,0,50,0,50
2022-05-20T07:09:30,0,50,0,50
2022-05-20T07:19:43,0,50,0,50
2022-05-20T07:29:57,0,50,0,50
2022-05-20T07:40:11,0,50,0,50
2022-05-20T07:50:25,0,50,0,50
2022-05-20T08:00:39,0,50,0,50
2022-05-20T08:10:53,0,50,0,50
2022-05-20T08:21:08,0,50,0,50
2022-05-20T08:31:24,0,50,0,50
2022-05-20T08:41:38,0,50,0,50
2022-05-20T08:51:53,0,50,0,50
2022-05-20T09:02:08,0,50,0,50
2022-05-20T09:12:36,0,50,0,50
2022-05-20T09:22:52,0,50,0,50
2022-05-20T09:33:07,0,50,0,50
2022-05-20T09:43:23,0,50,0,50
2022-05-20T09:53:39,1,49,0,50
2022-05-20T10:03:56,1,49,0,50
2022-05-20T10:14:12,2,48,0,50
2022-05-20T10:24:27,2,48,0,50
2022-05-20T10:34:43,2,48,0,50
2022-05-20T10:44:59,2,48,0,50
2022-05-20T10:55:28,2,48,0,50
2022-05-20T11:05:44,2,48,0,50
2022-05-20T11:16:00,2,48,0,50
2022-05-20T11:26:17,2,48,0,50
2022-05-20T11:36:32,2,48,0,50
2022-05-20T11:46:48,2,48,0,50
2022-05-20T11:57:18,2,48,0,50
2022-05-20T12:07:34,2,48,0,50
2022-05-20T12:17:49,2,48,0,50
2022-05-20T12:28:04,2,48,0,50
2022-05-20T12:38:19,2,48,0,50
2022-05-20T12:48:35,2,48,0,50
2022-05-20T12:58:51,2,48,0,50
2022-05-20T13:09:18,2,48,0,50
2022-05-20T13:19:34,2,48,0,50
2022-05-20T13:29:50,2,48,0,50
2022-05-20T13:40:08,2,48,0,50
2022-05-20T13:50:23,2,48,0,50
2022-05-20T14:00:39,2,48,0,50
2022-05-20T14:11:05,2,48,0,50
2022-05-20T14:21:21,2,48,0,50
2022-05-20T14:31:37,2,48,0,50
2022-05-20T14:41:52,2,48,0,50
2022-05-20T14:52:07,2,48,0,50
2022-05-20T15:02:23,2,48,0,50
2022-05-20T15:12:49,2,48,0,50
2022-05-20T15:23:04,3,47,0,50
2022-05-20T15:33:20,3,47,0,50
2022-05-20T15:43:35,3,47,0,50
2022-05-20T15:53:49,3,47,0,50
2022-05-20T16:04:05,3,47,0,50
2022-05-20T16:14:19,3,47,0,50
2022-05-20T16:24:45,3,47,0,50
2022-05-20T16:34:59,3,47,0,50
2022-05-20T16:45:14,3,47,0,50
2022-05-20T16:55:28,3,47,0,50
2022-05-20T17:05:43,3,47,0,50
2022-05-20T17:15:57,3,47,0,50
2022-05-20T17:26:10,3,47,0,50
2022-05-20T17:36:24,3,47,0,50
2022-05-20T17:46:39,3,47,0,50
2022-05-20T17:56:53,3,47,0,50
2022-05-20T18:07:06,3,47,0,50
2022-05-20T18:17:29,3,47,0,50
2022-05-20T18:27:43,3,47,0,50
2022-05-20T18:37:56,3,47,0,50
2022-05-20T18:48:09,3,47,0,50
2022-05-20T18:58:23,3,47,0,50
2022-05-20T19:08:37,3,47,0,50
2022-05-20T19:18:51,3,47,0,50
2022-05-20T19:29:05,3,47,0,50
2022-05-20T19:39:20,3,47,0,50
2022-05-20T19:49:33,3,47,0,50
2022-05-20T19:59:57,3,47,0,50
2022-05-20T20:10:10,3,47,0,50
2022-05-20T20:20:24,3,47,0,50
2022-05-20T20:30:38,3,47,0,50
2022-05-20T20:40:51,3,47,0,50
2022-05-20T20:51:05,3,47,0,50
2022-05-20T21:01:18,3,47,0,50
2022-05-20T21:11:32,3,47,0,50
2022-05-20T21:21:45,3,47,0,50
2022-05-20T21:32:10,3,47,0,50
2022-05-20T21:42:23,3,47,0,50
2022-05-20T21:52:37,3,47,0,50
2022-05-20T22:02:51,3,47,0,50
2022-05-20T22:13:05,3,47,0,50
2022-05-20T22:23:20,3,47,0,50
2022-05-20T22:33:33,3,47,0,50
2022-05-20T22:43:46,3,47,0,50
2022-05-20T22:54:00,3,47,0,50
2022-05-20T23:04:14,3,47,0,50
2022-05-20T23:14:39,3,47,0,50
2022-05-20T23:24:52,3,47,0,50
2022-05-20T23:35:06,3,47,0,50
2022-05-20T23:45:20,3,47,0,50
2022-05-20T23:55:33,3,47,0,50
2022-05-21T00:05:48,3,47,0,50
2022-05-21T00:16:04,3,47,0,50
2022-05-21T00:26:20,4,46,0,50
2022-05-21T00:36:36,4,46,0,50
2022-05-21T00:46:52,4,46,0,50
2022-05-21T00:57:07,4,46,0,50
2022-05-21T01:07:22,4,46,0,50
2022-05-21T01:17:38,4,46,0,50
2022-05-21T01:27:52,4,46,0,50
2022-05-21T01:38:08,4,46,0,50
2022-05-21T01:48:23,4,46,0,50
2022-05-21T01:58:47,4,46,0,50
2022-05-21T02:09:01,4,46,0,50
2022-05-21T02:19:15,4,46,0,50
2022-05-21T02:29:28,4,46,0,50
2022-05-21T02:39:41,4,46,0,50
2022-05-21T02:49:54,4,46,0,50
2022-05-21T03:00:07,4,46,0,50
2022-05-21T03:10:20,4,46,0,50
2022-05-21T03:20:40,4,46,0,50
2022-05-21T03:30:54,4,46,0,50
2022-05-21T03:41:10,4,46,0,50
2022-05-21T03:51:26,4,46,0,50
2022-05-21T04:01:41,4,46,0,50
2022-05-21T04:27:17,4,46,0,50
2022-05-21T04:38:42,4,46,0,50
2022-05-21T04:49:14,4,46,0,50
2022-05-21T04:59:29,4,46,0,50
2022-05-21T05:09:45,4,46,0,50
2022-05-21T05:20:01,4,46,0,50
2022-05-21T05:30:17,4,46,0,50
2022-05-21T05:40:33,4,46,0,50
2022-05-21T05:50:49,4,46,0,50
2022-05-21T06:01:04,4,46,0,50
2022-05-21T06:11:20,4,46,0,50
2022-05-21T06:21:36,4,46,0,50
2022-05-21T06:31:51,4,46,0,50
2022-05-21T06:42:06,4,46,0,50
2022-05-21T06:52:22,4,46,0,50
2022-05-21T07:02:37,4,46,0,50
2022-05-21T07:12:53,4,46,0,50
2022-05-21T07:23:08,4,46,0,50
2022-05-21T07:33:23,4,46,0,50
2022-05-21T07:43:38,4,46,0,50
2022-05-21T07:53:52,4,46,0,50
2022-05-21T08:04:07,4,46,0,50
2022-05-21T08:14:24,4,46,0,50
2022-05-21T08:24:38,4,46,0,50
2022-05-21T08:34:53,4,46,0,50
2022-05-21T08:45:08,4,46,0,50
2022-05-21T08:55:44,4,46,0,50
2022-05-21T09:05:58,4,46,0,50
2022-05-21T09:16:11,4,46,0,50
2022-05-21T09:26:24,4,46,0,50
2022-05-21T09:36:36,4,46,0,50
2022-05-21T09:46:50,5,45,0,50
2022-05-21T09:57:03,5,45,0,50
2022-05-21T10:07:17,5,45,0,50
2022-05-21T10:17:30,5,45,0,50
2022-05-21T10:27:43,5,45,0,50
2022-05-21T10:37:56,5,45,0,50
2022-05-21T10:48:09,5,45,0,50
2022-05-21T10:58:22,5,45,0,50
2022-05-21T11:08:36,5,45,0,50
2022-05-21T11:19:01,5,45,0,50
2022-05-21T11:29:15,5,45,0,50
2022-05-21T11:39:29,5,45,0,50
2022-05-21T11:49:42,5,45,0,50
