time,enrolled,available,waitlisted,total
2022-05-20T04:35:55,0,15,0,15
2022-05-20T04:46:11,0,15,0,15
2022-05-20T04:56:28,0,15,0,15
2022-05-20T05:06:44,0,15,0,15
2022-05-20T05:16:59,0,15,0,15
2022-05-20T05:27:15,0,15,0,15
2022-05-20T05:37:30,0,15,0,15
2022-05-20T05:47:46,0,15,0,15
2022-05-20T05:58:02,0,15,0,15
2022-05-20T06:08:17,0,15,0,15
2022-05-20T06:18:31,0,15,0,15
2022-05-20T06:28:48,0,15,0,15
2022-05-20T06:39:02,0,15,0,15
2022-05-20T06:49:16,0,15,0,15
2022-05-20T06:59:29,0,15,0,15
2022-05-20T07:09:46,0,15,0,15
2022-05-20T07:20:00,0,15,0,15
2022-05-20T07:30:13,0,15,0,15
2022-05-20T07:40:27,0,15,0,15
2022-05-20T07:50:42,0,15,0,15
2022-05-20T08:00:56,0,15,0,15
2022-05-20T08:11:10,0,15,0,15
2022-05-20T08:21:24,0,15,0,15
2022-05-20T08:31:40,0,15,0,15
2022-05-20T08:41:54,0,15,0,15
2022-05-20T08:52:09,0,15,0,15
2022-05-20T09:02:24,0,15,0,15
2022-05-20T09:12:52,0,15,0,15
2022-05-20T09:23:08,0,15,0,15
2022-05-20T09:33:23,0,15,0,15
2022-05-20T09:43:39,0,15,0,15
2022-05-20T09:53:55,0,15,0,15
2022-05-20T10:04:12,0,15,0,15
2022-05-20T10:14:28,0,15,0,15
2022-05-20T10:24:43,0,15,0,15
2022-05-20T10:35:00,0,15,0,15
2022-05-20T10:45:15,0,15,0,15
2022-05-20T10:55:44,0,15,0,15
2022-05-20T11:06:01,0,15,0,15
2022-05-20T11:16:17,0,15,0,15
2022-05-20T11:26:33,0,15,0,15
2022-05-20T11:36:49,0,15,0,15
2022-05-20T11:47:05,0,15,0,15
2022-05-20T11:57:34,0,15,0,15
2022-05-20T12:07:50,0,15,0,15
2022-05-20T12:18:05,0,15,0,15
2022-05-20T12:28:21,0,15,0,15
2022-05-20T12:38:36,0,15,0,15
2022-05-20T12:48:51,0,15,0,15
2022-05-20T12:59:07,0,15,0,15
2022-05-20T13:09:34,0,15,0,15
2022-05-20T13:19:51,0,15,0,15
2022-05-20T13:30:07,0,15,0,15
2022-05-20T13:40:24,0,15,0,15
2022-05-20T13:50:40,0,15,0,15
2022-05-20T14:00:56,0,15,0,15
2022-05-20T14:11:22,0,15,0,15
2022-05-20T14:21:37,0,15,0,15
2022-05-20T14:31:53,0,15,0,15
2022-05-20T14:42:08,0,15,0,15
2022-05-20T14:52:24,0,15,0,15
2022-05-20T15:02:39,0,15,0,15
2022-05-20T15:13:05,0,15,0,15
2022-05-20T15:23:21,0,15,0,15
