time,enrolled,available,waitlisted,total
2022-05-20T04:35:57,0,22,0,22
2022-05-20T04:46:14,0,22,0,22
2022-05-20T04:56:31,0,22,0,22
2022-05-20T05:06:47,0,22,0,22
2022-05-20T05:17:02,0,22,0,22
2022-05-20T05:27:17,0,22,0,22
2022-05-20T05:37:33,0,22,0,22
2022-05-20T05:47:49,0,22,0,22
2022-05-20T05:58:04,0,22,0,22
2022-05-20T06:08:20,0,22,0,22
2022-05-20T06:18:34,0,22,0,22
2022-05-20T06:28:50,0,22,0,22
2022-05-20T06:39:05,0,22,0,22
2022-05-20T06:49:18,0,22,0,22
2022-05-20T06:59:32,0,22,0,22
2022-05-20T07:09:49,0,22,0,22
2022-05-20T07:20:02,0,22,0,22
2022-05-20T07:30:16,0,22,0,22
2022-05-20T07:40:30,0,22,0,22
2022-05-20T07:50:44,0,22,0,22
2022-05-20T08:00:58,0,22,0,22
2022-05-20T08:11:12,0,22,0,22
2022-05-20T08:21:27,0,22,0,22
2022-05-20T08:31:43,0,22,0,22
2022-05-20T08:41:57,0,22,0,22
2022-05-20T08:52:12,0,22,0,22
2022-05-20T09:02:27,0,22,0,22
2022-05-20T09:12:55,0,22,0,22
2022-05-20T09:23:11,0,22,0,22
2022-05-20T09:33:26,0,22,0,22
2022-05-20T09:43:42,0,22,0,22
2022-05-20T09:53:58,0,22,0,22
2022-05-20T10:04:15,0,22,0,22
2022-05-20T10:14:31,0,22,0,22
2022-05-20T10:24:46,0,22,0,22
2022-05-20T10:35:02,0,22,0,22
2022-05-20T10:45:18,0,22,0,22
2022-05-20T10:55:47,0,22,0,22
2022-05-20T11:06:03,0,22,0,22
2022-05-20T11:16:20,0,22,0,22
2022-05-20T11:26:36,1,21,0,22
2022-05-20T11:36:51,1,21,0,22
2022-05-20T11:47:07,1,21,0,22
2022-05-20T11:57:37,1,21,0,22
2022-05-20T12:07:53,1,21,0,22
2022-05-20T12:18:08,1,21,0,22
2022-05-20T12:28:23,1,21,0,22
2022-05-20T12:38:39,1,21,0,22
2022-05-20T12:48:54,1,21,0,22
2022-05-20T12:59:10,1,21,0,22
2022-05-20T13:09:37,1,21,0,22
2022-05-20T13:19:53,1,21,0,22
2022-05-20T13:30:10,1,21,0,22
2022-05-20T13:40:27,1,21,0,22
2022-05-20T13:50:42,1,21,0,22
2022-05-20T14:00:58,1,21,0,22
2022-05-20T14:11:24,1,21,0,22
2022-05-20T14:21:40,1,21,0,22
2022-05-20T14:31:56,3,19,0,22
2022-05-20T14:42:11,3,19,0,22
2022-05-20T14:52:26,3,19,0,22
2022-05-20T15:02:42,3,19,0,22
2022-05-20T15:13:08,3,19,0,22
2022-05-20T15:23:23,3,19,0,22
2022-05-20T15:33:39,3,19,0,22
2022-05-20T15:43:54,3,19,0,22
2022-05-20T15:54:08,3,19,0,22
2022-05-20T16:04:24,3,19,0,22
2022-05-20T16:14:38,3,19,0,22
2022-05-20T16:25:04,3,19,0,22
2022-05-20T16:35:18,3,19,0,22
2022-05-20T16:45:32,3,19,0,22
2022-05-20T16:55:47,3,19,0,22
2022-05-20T17:06:01,3,19,0,22
2022-05-20T17:16:16,3,19,0,22
2022-05-20T17:26:29,3,19,0,22
2022-05-20T17:36:43,3,19,0,22
2022-05-20T17:46:58,3,19,0,22
2022-05-20T17:57:12,3,19,0,22
2022-05-20T18:07:25,3,19,0,22
2022-05-20T18:17:48,3,19,0,22
2022-05-20T18:28:02,3,19,0,22
2022-05-20T18:38:15,3,19,0,22
2022-05-20T18:48:28,3,19,0,22
2022-05-20T18:58:42,3,19,0,22
2022-05-20T19:08:56,3,19,0,22
2022-05-20T19:19:10,3,19,0,22
2022-05-20T19:29:24,3,19,0,22
2022-05-20T19:39:39,3,19,0,22
2022-05-20T19:49:52,3,19,0,22
2022-05-20T20:00:16,3,19,0,22
2022-05-20T20:10:29,3,19,0,22
2022-05-20T20:20:43,3,19,0,22
2022-05-20T20:30:57,3,19,0,22
2022-05-20T20:41:10,3,19,0,22
2022-05-20T20:51:23,3,19,0,22
2022-05-20T21:01:37,3,19,0,22
2022-05-20T21:11:51,3,19,0,22
2022-05-20T21:22:04,3,19,0,22
2022-05-20T21:32:29,3,19,0,22
2022-05-20T21:42:42,3,19,0,22
2022-05-20T21:52:56,3,19,0,22
2022-05-20T22:03:10,3,19,0,22
2022-05-20T22:13:24,3,19,0,22
2022-05-20T22:23:39,3,19,0,22
