time,enrolled,available,waitlisted,total
2022-05-20T04:36:03,0,60,0,60
2022-05-20T04:46:20,0,60,0,60
2022-05-20T04:56:36,0,60,0,60
2022-05-20T05:06:53,0,60,0,60
2022-05-20T05:17:08,0,60,0,60
2022-05-20T05:27:23,0,60,0,60
2022-05-20T05:37:39,0,60,0,60
2022-05-20T05:47:54,0,60,0,60
2022-05-20T05:58:10,0,60,0,60
2022-05-20T06:08:26,0,60,0,60
2022-05-20T06:18:40,0,60,0,60
2022-05-20T06:28:57,0,60,0,60
2022-05-20T06:39:11,0,60,0,60
2022-05-20T06:49:24,0,60,0,60
2022-05-20T06:59:38,0,60,0,60
2022-05-20T07:09:54,0,60,0,60
2022-05-20T07:20:08,0,60,0,60
2022-05-20T07:30:22,0,60,0,60
2022-05-20T07:40:36,0,60,0,60
2022-05-20T07:50:50,0,60,0,60
2022-05-20T08:01:04,0,60,0,60
2022-05-20T08:11:18,0,60,0,60
2022-05-20T08:21:33,0,60,0,60
2022-05-20T08:31:49,0,60,0,60
2022-05-20T08:42:03,0,60,0,60
2022-05-20T08:52:17,0,60,0,60
2022-05-20T09:02:33,0,60,0,60
2022-05-20T09:13:00,0,60,0,60
2022-05-20T09:23:16,0,60,0,60
2022-05-20T09:33:32,0,60,0,60
2022-05-20T09:43:48,0,60,0,60
2022-05-20T09:54:04,0,60,0,60
2022-05-20T10:04:21,0,60,0,60
2022-05-20T10:14:37,0,60,0,60
2022-05-20T10:24:52,0,60,0,60
2022-05-20T10:35:08,0,60,0,60
2022-05-20T10:45:24,0,60,0,60
2022-05-20T10:55:52,0,60,0,60
2022-05-20T11:06:09,0,60,0,60
2022-05-20T11:16:25,0,60,0,60
2022-05-20T11:26:41,0,60,0,60
2022-05-20T11:36:57,0,60,0,60
2022-05-20T11:47:13,0,60,0,60
2022-05-20T11:57:43,0,60,0,60
2022-05-20T12:07:59,0,60,0,60
2022-05-20T12:18:14,0,60,0,60
2022-05-20T12:28:29,0,60,0,60
2022-05-20T12:38:44,0,60,0,60
2022-05-20T12:49:00,2,58,0,60
2022-05-20T12:59:16,2,58,0,60
2022-05-20T13:09:43,2,58,0,60
2022-05-20T13:19:59,2,58,0,60
2022-05-20T13:30:15,2,58,0,60
2022-05-20T13:40:32,2,58,0,60
2022-05-20T13:50:48,4,56,0,60
2022-05-20T14:01:04,5,55,0,60
2022-05-20T14:11:30,6,54,0,60
2022-05-20T14:21:46,6,54,0,60
2022-05-20T14:32:02,6,54,0,60
2022-05-20T14:42:17,6,54,0,60
2022-05-20T14:52:32,6,54,0,60
2022-05-20T15:02:48,6,54,0,60
2022-05-20T15:13:14,6,54,0,60
2022-05-20T15:23:29,6,54,0,60
2022-05-20T15:33:44,6,54,0,60
2022-05-20T15:43:59,6,54,0,60
2022-05-20T15:54:14,6,54,0,60
2022-05-20T16:04:29,6,54,0,60
2022-05-20T16:14:44,6,54,0,60
2022-05-20T16:25:10,6,54,0,60
2022-05-20T16:35:24,6,54,0,60
2022-05-20T16:45:38,6,54,0,60
2022-05-20T16:55:53,6,54,0,60
2022-05-20T17:06:07,6,54,0,60
2022-05-20T17:16:22,6,54,0,60
2022-05-20T17:26:35,6,54,0,60
2022-05-20T17:36:49,6,54,0,60
2022-05-20T17:47:03,6,54,0,60
2022-05-20T17:57:17,6,54,0,60
2022-05-20T18:07:31,6,54,0,60
2022-05-20T18:17:54,6,54,0,60
2022-05-20T18:28:08,6,54,0,60
2022-05-20T18:38:21,6,54,0,60
2022-05-20T18:48:34,6,54,0,60
2022-05-20T18:58:48,6,54,0,60
2022-05-20T19:09:02,6,54,0,60
2022-05-20T19:19:16,6,54,0,60
2022-05-20T19:29:30,6,54,0,60
2022-05-20T19:39:45,6,54,0,60
2022-05-20T19:49:58,6,54,0,60
2022-05-20T20:00:21,6,54,0,60
2022-05-20T20:10:35,6,54,0,60
2022-05-20T20:20:49,6,54,0,60
2022-05-20T20:31:02,6,54,0,60
2022-05-20T20:41:16,6,54,0,60
2022-05-20T20:51:29,6,54,0,60
2022-05-20T21:01:43,6,54,0,60
2022-05-20T21:11:56,6,54,0,60
2022-05-20T21:22:10,6,54,0,60
2022-05-20T21:32:34,6,54,0,60
2022-05-20T21:42:48,6,54,0,60
2022-05-20T21:53:01,6,54,0,60
2022-05-20T22:03:16,6,54,0,60
2022-05-20T22:13:29,6,54,0,60
2022-05-20T22:23:45,6,54,0,60
2022-05-20T22:33:58,6,54,0,60
2022-05-20T22:44:11,6,54,0,60
2022-05-20T22:54:25,6,54,0,60
2022-05-20T23:04:39,6,54,0,60
2022-05-20T23:15:04,6,54,0,60
2022-05-20T23:25:17,6,54,0,60
2022-05-20T23:35:31,6,54,0,60
2022-05-20T23:45:44,6,54,0,60
2022-05-20T23:55:58,6,54,0,60
2022-05-21T00:06:13,6,54,0,60
2022-05-21T00:16:29,6,54,0,60
2022-05-21T00:26:45,6,54,0,60
2022-05-21T00:37:01,6,54,0,60
2022-05-21T00:47:16,6,54,0,60
2022-05-21T00:57:32,6,54,0,60
2022-05-21T01:07:47,6,54,0,60
2022-05-21T01:18:03,6,54,0,60
2022-05-21T01:28:17,6,54,0,60
2022-05-21T01:38:33,6,54,0,60
2022-05-21T01:48:48,6,54,0,60
2022-05-21T01:59:12,6,54,0,60
2022-05-21T02:09:26,6,54,0,60
2022-05-21T02:19:39,6,54,0,60
2022-05-21T02:29:53,6,54,0,60
2022-05-21T02:40:06,6,54,0,60
2022-05-21T02:50:19,6,54,0,60
2022-05-21T03:00:32,6,54,0,60
2022-05-21T03:10:45,6,54,0,60
2022-05-21T03:21:05,6,54,0,60
2022-05-21T03:31:19,6,54,0,60
2022-05-21T03:41:35,6,54,0,60
2022-05-21T03:51:50,6,54,0,60
2022-05-21T04:02:06,6,54,0,60
2022-05-21T04:27:42,6,54,0,60
2022-05-21T04:39:07,6,54,0,60
2022-05-21T04:49:38,6,54,0,60
2022-05-21T04:59:54,6,54,0,60
2022-05-21T05:10:10,6,54,0,60
2022-05-21T05:20:26,6,54,0,60
2022-05-21T05:30:41,6,54,0,60
2022-05-21T05:40:58,6,54,0,60
2022-05-21T05:51:14,6,54,0,60
2022-05-21T06:01:29,6,54,0,60
2022-05-21T06:11:44,6,54,0,60
2022-05-21T06:22:01,6,54,0,60
2022-05-21T06:32:16,6,54,0,60
2022-05-21T06:42:31,6,54,0,60
2022-05-21T06:52:47,6,54,0,60
2022-05-21T07:03:02,6,54,0,60
2022-05-21T07:13:17,6,54,0,60
2022-05-21T07:23:33,6,54,0,60
2022-05-21T07:33:48,6,54,0,60
2022-05-21T07:44:03,6,54,0,60
2022-05-21T07:54:17,6,54,0,60
2022-05-21T08:04:32,6,54,0,60
2022-05-21T08:14:49,6,54,0,60
2022-05-21T08:25:03,6,54,0,60
2022-05-21T08:35:18,6,54,0,60
2022-05-21T08:45:33,6,54,0,60
2022-05-21T08:56:09,6,54,0,60
2022-05-21T09:06:23,6,54,0,60
2022-05-21T09:16:35,6,54,0,60
2022-05-21T09:26:48,6,54,0,60
2022-05-21T09:37:01,6,54,0,60
2022-05-21T09:47:15,6,54,0,60
2022-05-21T09:57:28,6,54,0,60
2022-05-21T10:07:41,6,54,0,60
2022-05-21T10:17:54,6,54,0,60
2022-05-21T10:28:08,6,54,0,60
2022-05-21T10:38:21,6,54,0,60
2022-05-21T10:48:34,6,54,0,60
2022-05-21T10:58:47,6,54,0,60
2022-05-21T11:09:01,6,54,0,60
2022-05-21T11:19:25,6,54,0,60
2022-05-21T11:29:40,6,54,0,60
2022-05-21T11:39:53,6,54,0,60
2022-05-21T11:50:07,6,54,0,60
2022-05-21T12:00:20,6,54,0,60
2022-05-21T12:10:35,6,54,0,60
2022-05-21T12:20:49,6,54,0,60
2022-05-21T12:31:02,6,54,0,60
2022-05-21T12:41:35,6,54,0,60
2022-05-21T12:51:48,6,54,0,60
2022-05-21T13:02:02,6,54,0,60
2022-05-21T13:12:16,6,54,0,60
2022-05-21T13:22:29,6,54,0,60
2022-05-21T13:32:43,6,54,0,60
2022-05-21T13:42:56,6,54,0,60
2022-05-21T13:53:09,6,54,0,60
2022-05-21T14:03:22,6,54,0,60
2022-05-21T14:13:46,6,54,0,60
2022-05-21T14:23:59,6,54,0,60
2022-05-21T14:34:13,6,54,0,60
2022-05-21T14:44:26,6,54,0,60
2022-05-21T14:54:42,6,54,0,60
2022-05-21T15:04:56,6,54,0,60
2022-05-21T15:15:09,6,54,0,60
2022-05-21T15:25:32,6,54,0,60
2022-05-21T15:35:47,6,54,0,60
2022-05-21T15:46:00,6,54,0,60
2022-05-21T15:56:13,6,54,0,60
2022-05-21T16:06:27,6,54,0,60
2022-05-21T16:16:40,6,54,0,60
2022-05-21T16:26:54,6,54,0,60
2022-05-21T16:37:07,6,54,0,60
2022-05-21T16:47:21,6,54,0,60
2022-05-21T16:57:34,6,54,0,60
2022-05-21T17:08:06,6,54,0,60
2022-05-21T17:18:20,6,54,0,60
2022-05-21T17:28:34,6,54,0,60
2022-05-21T17:38:47,6,54,0,60
2022-05-21T17:49:01,6,54,0,60
2022-05-21T17:59:14,6,54,0,60
2022-05-21T18:09:27,6,54,0,60
2022-05-21T18:19:41,6,54,0,60
2022-05-21T18:29:54,6,54,0,60
2022-05-21T18:40:08,6,54,0,60
2022-05-21T18:50:49,6,54,0,60
2022-05-21T19:01:03,6,54,0,60
2022-05-21T19:11:16,6,54,0,60
2022-05-21T19:21:29,6,54,0,60
2022-05-21T19:31:43,6,54,0,60
2022-05-21T19:41:57,6,54,0,60
2022-05-21T19:52:11,6,54,0,60
2022-05-21T20:02:26,6,54,0,60
2022-05-21T20:12:40,6,54,0,60
2022-05-21T20:22:53,6,54,0,60
2022-05-21T20:33:18,6,54,0,60
2022-05-21T20:43:32,6,54,0,60
2022-05-21T20:53:45,6,54,0,60
2022-05-21T21:03:59,6,54,0,60
2022-05-21T21:14:12,6,54,0,60
2022-05-21T21:24:25,6,54,0,60
2022-05-21T21:34:39,6,54,0,60
2022-05-21T21:44:53,6,54,0,60
2022-05-21T21:55:06,7,53,0,60
2022-05-21T22:05:19,6,54,0,60
2022-05-21T22:15:55,6,54,0,60
2022-05-21T22:26:09,6,54,0,60
2022-05-21T22:36:22,6,54,0,60
2022-05-21T22:46:35,6,54,0,60
2022-05-21T22:56:48,6,54,0,60
2022-05-21T23:07:02,6,54,0,60
2022-05-21T23:17:15,6,54,0,60
2022-05-21T23:27:29,6,54,0,60
2022-05-21T23:37:41,6,54,0,60
2022-05-21T23:47:54,6,54,0,60
2022-05-21T23:58:07,6,54,0,60
2022-05-22T00:08:21,6,54,0,60
2022-05-22T00:18:37,6,54,0,60
2022-05-22T00:28:50,6,54,0,60
2022-05-22T00:39:17,6,54,0,60
2022-05-22T00:49:30,6,54,0,60
2022-05-22T00:59:42,6,54,0,60
2022-05-22T01:09:55,6,54,0,60
2022-05-22T01:20:08,6,54,0,60
2022-05-22T01:30:21,6,54,0,60
2022-05-22T01:40:33,6,54,0,60
2022-05-22T01:50:46,6,54,0,60
2022-05-22T02:00:59,6,54,0,60
2022-05-22T02:11:12,6,54,0,60
2022-05-22T02:21:25,6,54,0,60
2022-05-22T02:31:41,6,54,0,60
2022-05-22T02:41:57,6,54,0,60
2022-05-22T02:52:12,6,54,0,60
2022-05-22T03:02:56,6,54,0,60
2022-05-22T03:13:39,6,54,0,60
2022-05-22T03:23:54,6,54,0,60
2022-05-22T03:34:10,6,54,0,60
2022-05-22T03:44:35,6,54,0,60
2022-05-22T03:54:50,6,54,0,60
2022-05-22T04:05:04,6,54,0,60
2022-05-22T04:26:15,6,54,0,60
2022-05-22T04:36:31,6,54,0,60
2022-05-22T04:46:47,6,54,0,60
2022-05-22T04:57:03,6,54,0,60
2022-05-22T05:07:19,6,54,0,60
2022-05-22T05:17:35,6,54,0,60
2022-05-22T05:27:50,6,54,0,60
2022-05-22T05:38:05,6,54,0,60
2022-05-22T05:48:21,6,54,0,60
2022-05-22T05:58:37,6,54,0,60
2022-05-22T06:08:52,6,54,0,60
2022-05-22T06:19:07,6,54,0,60
2022-05-22T06:29:22,6,54,0,60
2022-05-22T06:39:37,6,54,0,60
2022-05-22T06:49:51,6,54,0,60
2022-05-22T07:00:05,6,54,0,60
2022-05-22T07:10:18,6,54,0,60
2022-05-22T07:20:32,6,54,0,60
2022-05-22T07:30:45,6,54,0,60
2022-05-22T07:40:58,6,54,0,60
2022-05-22T07:51:11,6,54,0,60
2022-05-22T08:01:25,6,54,0,60
2022-05-22T08:11:37,6,54,0,60
2022-05-22T08:21:50,6,54,0,60
2022-05-22T08:32:04,6,54,0,60
2022-05-22T08:42:17,6,54,0,60
2022-05-22T08:52:29,6,54,0,60
2022-05-22T09:02:42,6,54,0,60
2022-05-22T09:12:56,6,54,0,60
2022-05-22T09:23:09,6,54,0,60
2022-05-22T09:33:22,6,54,0,60
2022-05-22T09:43:36,6,54,0,60
2022-05-22T09:53:49,6,54,0,60
2022-05-22T10:04:02,6,54,0,60
2022-05-22T10:14:15,6,54,0,60
