time,enrolled,available,waitlisted,total
2022-05-20T04:26:55,0,171,0,171
2022-05-20T04:37:34,0,171,0,171
2022-05-20T04:47:51,0,171,0,171
2022-05-20T04:58:07,0,171,0,171
2022-05-20T05:08:24,0,171,0,171
2022-05-20T05:18:39,0,171,0,171
2022-05-20T05:28:54,0,171,0,171
2022-05-20T05:39:10,0,171,0,171
2022-05-20T05:49:26,0,171,0,171
2022-05-20T05:59:42,0,171,0,171
2022-05-20T06:09:56,0,171,0,171
2022-05-20T06:20:11,0,171,0,171
2022-05-20T06:30:27,0,171,0,171
2022-05-20T06:40:41,0,171,0,171
2022-05-20T06:50:55,0,171,0,171
2022-05-20T07:01:11,0,171,0,171
2022-05-20T07:11:25,0,171,0,171
2022-05-20T07:21:39,0,171,0,171
2022-05-20T07:31:52,0,171,0,171
2022-05-20T07:42:07,0,171,0,171
2022-05-20T07:52:21,0,171,0,171
2022-05-20T08:02:35,0,171,0,171
2022-05-20T08:12:49,0,171,0,171
2022-05-20T08:23:04,0,171,0,171
2022-05-20T08:33:19,0,171,0,171
2022-05-20T08:43:34,0,171,0,171
2022-05-20T08:53:48,0,171,0,171
2022-05-20T09:04:04,0,171,0,171
2022-05-20T09:14:31,0,171,0,171
2022-05-20T09:24:47,0,171,0,171
2022-05-20T09:35:03,0,171,0,171
2022-05-20T09:45:19,0,171,0,171
2022-05-20T09:55:35,0,171,0,171
2022-05-20T10:05:52,1,170,0,171
2022-05-20T10:16:07,1,170,0,171
2022-05-20T10:26:23,1,170,0,171
2022-05-20T10:36:39,2,169,0,171
2022-05-20T10:46:55,2,169,0,171
2022-05-20T10:57:24,2,169,0,171
2022-05-20T11:07:40,2,169,0,171
2022-05-20T11:17:57,4,167,0,171
2022-05-20T11:28:12,6,165,0,171
2022-05-20T11:38:28,8,163,0,171
2022-05-20T11:48:45,9,162,0,171
2022-05-20T11:59:14,11,160,0,171
2022-05-20T12:09:30,13,158,0,171
2022-05-20T12:19:45,13,158,0,171
2022-05-20T12:30:00,13,158,0,171
2022-05-20T12:40:15,14,157,0,171
2022-05-20T12:50:31,14,157,0,171
2022-05-20T13:00:58,14,157,0,171
2022-05-20T13:11:14,14,157,0,171
2022-05-20T13:21:31,14,157,0,171
2022-05-20T13:31:47,14,157,0,171
2022-05-20T13:42:04,14,157,0,171
2022-05-20T13:52:19,14,157,0,171
2022-05-20T14:02:35,14,157,0,171
2022-05-20T14:13:01,15,156,0,171
2022-05-20T14:23:17,15,156,0,171
2022-05-20T14:33:32,16,155,0,171
2022-05-20T14:43:48,16,155,0,171
2022-05-20T14:54:03,16,155,0,171
2022-05-20T15:04:19,15,156,0,171
2022-05-20T15:14:45,16,155,0,171
2022-05-20T15:25:00,16,155,0,171
2022-05-20T15:35:15,16,155,0,171
2022-05-20T15:45:30,16,155,0,171
2022-05-20T15:55:45,16,155,0,171
2022-05-20T16:06:00,16,155,0,171
2022-05-20T16:16:15,16,155,0,171
2022-05-20T16:26:41,16,155,0,171
2022-05-20T16:36:55,16,155,0,171
2022-05-20T16:47:09,16,155,0,171
2022-05-20T16:57:23,16,155,0,171
2022-05-20T17:07:38,16,155,0,171
2022-05-20T17:17:52,16,155,0,171
2022-05-20T17:28:06,16,155,0,171
2022-05-20T17:38:20,16,155,0,171
2022-05-20T17:48:34,16,155,0,171
2022-05-20T17:58:48,16,155,0,171
2022-05-20T18:09:02,16,155,0,171
2022-05-20T18:19:25,16,155,0,171
2022-05-20T18:29:38,16,155,0,171
2022-05-20T18:39:51,16,155,0,171
2022-05-20T18:50:05,16,155,0,171
2022-05-20T19:00:18,16,155,0,171
2022-05-20T19:10:33,16,155,0,171
2022-05-20T19:20:47,16,155,0,171
2022-05-20T19:31:00,16,155,0,171
2022-05-20T19:41:15,17,154,0,171
2022-05-20T19:51:28,17,154,0,171
2022-05-20T20:01:52,17,154,0,171
2022-05-20T20:12:06,17,154,0,171
2022-05-20T20:22:19,17,154,0,171
2022-05-20T20:32:33,18,153,0,171
2022-05-20T20:42:46,18,153,0,171
2022-05-20T20:53:00,19,152,0,171
2022-05-20T21:03:13,19,152,0,171
2022-05-20T21:13:27,21,150,0,171
2022-05-20T21:23:41,21,150,0,171
2022-05-20T21:34:05,21,150,0,171
2022-05-20T21:44:18,21,150,0,171
2022-05-20T21:54:32,21,150,0,171
2022-05-20T22:04:47,21,150,0,171
2022-05-20T22:15:00,21,150,0,171
2022-05-20T22:25:15,21,150,0,171
2022-05-20T22:35:29,21,150,0,171
2022-05-20T22:45:42,21,150,0,171
2022-05-20T22:55:55,21,150,0,171
2022-05-20T23:06:10,21,150,0,171
2022-05-20T23:16:34,21,150,0,171
2022-05-20T23:26:48,22,149,0,171
2022-05-20T23:37:01,22,149,0,171
2022-05-20T23:47:15,22,149,0,171
2022-05-20T23:57:28,22,149,0,171
2022-05-21T00:07:44,22,149,0,171
2022-05-21T00:18:00,22,149,0,171
2022-05-21T00:28:16,22,149,0,171
2022-05-21T00:38:32,22,149,0,171
2022-05-21T00:48:48,22,149,0,171
2022-05-21T00:59:03,22,149,0,171
2022-05-21T01:09:18,22,149,0,171
2022-05-21T01:19:33,22,149,0,171
2022-05-21T01:29:48,22,149,0,171
2022-05-21T01:40:04,22,149,0,171
2022-05-21T01:50:19,22,149,0,171
