time,enrolled,available,waitlisted,total
2022-05-20T04:27:02,0,175,0,175
2022-05-20T04:37:42,0,175,0,175
2022-05-20T04:47:59,0,175,0,175
2022-05-20T04:58:15,0,175,0,175
2022-05-20T05:08:31,0,175,0,175
2022-05-20T05:18:46,0,175,0,175
2022-05-20T05:29:02,0,175,0,175
2022-05-20T05:39:18,0,175,0,175
2022-05-20T05:49:33,0,175,0,175
2022-05-20T05:59:49,0,175,0,175
2022-05-20T06:10:04,0,175,0,175
2022-05-20T06:20:18,0,175,0,175
2022-05-20T06:30:35,0,175,0,175
2022-05-20T06:40:49,0,175,0,175
2022-05-20T06:51:02,0,175,0,175
2022-05-20T07:01:19,0,175,0,175
2022-05-20T07:11:33,0,175,0,175
2022-05-20T07:21:46,0,175,0,175
2022-05-20T07:32:00,0,175,0,175
2022-05-20T07:42:14,0,175,0,175
2022-05-20T07:52:28,0,175,0,175
2022-05-20T08:02:42,0,175,0,175
2022-05-20T08:12:56,0,175,0,175
2022-05-20T08:23:11,0,175,0,175
2022-05-20T08:33:27,0,175,0,175
2022-05-20T08:43:41,0,175,0,175
2022-05-20T08:53:56,0,175,0,175
2022-05-20T09:04:11,0,175,0,175
2022-05-20T09:14:39,0,175,0,175
2022-05-20T09:24:55,0,175,0,175
2022-05-20T09:35:10,0,175,0,175
2022-05-20T09:45:26,0,175,0,175
2022-05-20T09:55:43,0,175,0,175
2022-05-20T10:05:59,0,175,0,175
2022-05-20T10:16:15,0,175,0,175
2022-05-20T10:26:30,0,175,0,175
2022-05-20T10:36:47,0,175,0,175
2022-05-20T10:47:02,0,175,0,175
2022-05-20T10:57:31,0,175,0,175
2022-05-20T11:07:48,0,175,0,175
2022-05-20T11:18:04,0,175,0,175
2022-05-20T11:28:20,0,175,0,175
2022-05-20T11:38:36,0,175,0,175
2022-05-20T11:48:52,0,175,0,175
2022-05-20T11:59:21,0,175,0,175
2022-05-20T12:09:37,0,175,0,175
2022-05-20T12:19:52,0,175,0,175
2022-05-20T12:30:07,0,175,0,175
2022-05-20T12:40:23,0,175,0,175
2022-05-20T12:50:38,0,175,0,175
2022-05-20T13:01:05,0,175,0,175
2022-05-20T13:11:22,0,175,0,175
2022-05-20T13:21:38,0,175,0,175
2022-05-20T13:31:54,1,174,0,175
2022-05-20T13:42:11,1,174,0,175
2022-05-20T13:52:27,1,174,0,175
2022-05-20T14:02:43,1,174,0,175
2022-05-20T14:13:09,1,174,0,175
2022-05-20T14:23:24,1,174,0,175
2022-05-20T14:33:40,1,174,0,175
2022-05-20T14:43:55,1,174,0,175
2022-05-20T14:54:11,1,174,0,175
2022-05-20T15:04:26,1,174,0,175
2022-05-20T15:14:52,1,174,0,175
2022-05-20T15:25:08,1,174,0,175
2022-05-20T15:35:23,1,174,0,175
2022-05-20T15:45:38,1,174,0,175
2022-05-20T15:55:52,1,174,0,175
2022-05-20T16:06:08,1,174,0,175
2022-05-20T16:16:22,1,174,0,175
2022-05-20T16:26:48,1,174,0,175
2022-05-20T16:37:02,1,174,0,175
2022-05-20T16:47:16,1,174,0,175
2022-05-20T16:57:31,1,174,0,175
2022-05-20T17:07:46,1,174,0,175
2022-05-20T17:18:00,1,174,0,175
2022-05-20T17:28:13,1,174,0,175
2022-05-20T17:38:27,1,174,0,175
2022-05-20T17:48:42,1,174,0,175
2022-05-20T17:58:55,1,174,0,175
2022-05-20T18:09:09,1,174,0,175
2022-05-20T18:19:32,1,174,0,175
2022-05-20T18:29:46,1,174,0,175
2022-05-20T18:39:59,1,174,0,175
2022-05-20T18:50:12,1,174,0,175
2022-05-20T19:00:26,1,174,0,175
2022-05-20T19:10:40,1,174,0,175
2022-05-20T19:20:54,1,174,0,175
2022-05-20T19:31:08,1,174,0,175
2022-05-20T19:41:23,1,174,0,175
2022-05-20T19:51:36,1,174,0,175
2022-05-20T20:02:00,1,174,0,175
2022-05-20T20:12:13,1,174,0,175
2022-05-20T20:22:27,1,174,0,175
2022-05-20T20:32:41,1,174,0,175
2022-05-20T20:42:54,1,174,0,175
2022-05-20T20:53:07,1,174,0,175
2022-05-20T21:03:21,1,174,0,175
2022-05-20T21:13:35,1,174,0,175
2022-05-20T21:23:49,1,174,0,175
2022-05-20T21:34:12,1,174,0,175
2022-05-20T21:44:26,1,174,0,175
2022-05-20T21:54:40,1,174,0,175
2022-05-20T22:04:54,1,174,0,175
2022-05-20T22:15:08,1,174,0,175
2022-05-20T22:25:23,1,174,0,175
2022-05-20T22:35:36,1,174,0,175
2022-05-20T22:45:49,1,174,0,175
2022-05-20T22:56:03,1,174,0,175
2022-05-20T23:06:17,1,174,0,175
2022-05-20T23:16:42,1,174,0,175
2022-05-20T23:26:55,1,174,0,175
2022-05-20T23:37:09,1,174,0,175
2022-05-20T23:47:22,1,174,0,175
2022-05-20T23:57:36,1,174,0,175
2022-05-21T00:07:51,1,174,0,175
2022-05-21T00:18:07,1,174,0,175
2022-05-21T00:28:23,1,174,0,175
2022-05-21T00:38:39,1,174,0,175
2022-05-21T00:48:55,1,174,0,175
2022-05-21T00:59:10,1,174,0,175
2022-05-21T01:09:25,1,174,0,175
2022-05-21T01:19:41,1,174,0,175
2022-05-21T01:29:55,1,174,0,175
2022-05-21T01:40:11,1,174,0,175
2022-05-21T01:50:26,1,174,0,175
2022-05-21T02:00:50,1,174,0,175
2022-05-21T02:11:04,1,174,0,175
2022-05-21T02:21:18,1,174,0,175
2022-05-21T02:31:31,1,174,0,175
2022-05-21T02:41:44,1,174,0,175
2022-05-21T02:51:57,1,174,0,175
2022-05-21T03:02:10,1,174,0,175
2022-05-21T03:12:24,1,174,0,175
2022-05-21T03:22:43,1,174,0,175
2022-05-21T03:32:58,1,174,0,175
2022-05-21T03:43:14,1,174,0,175
2022-05-21T03:53:29,1,174,0,175
2022-05-21T04:03:44,1,174,0,175
2022-05-21T04:19:04,1,174,0,175
2022-05-21T04:29:21,1,174,0,175
2022-05-21T04:41:01,1,174,0,175
2022-05-21T04:51:17,1,174,0,175
2022-05-21T05:01:33,1,174,0,175
2022-05-21T05:11:48,1,174,0,175
2022-05-21T05:22:04,1,174,0,175
2022-05-21T05:32:20,1,174,0,175
2022-05-21T05:42:36,1,174,0,175
2022-05-21T05:52:52,1,174,0,175
2022-05-21T06:03:08,1,174,0,175
2022-05-21T06:13:23,1,174,0,175
2022-05-21T06:23:39,1,174,0,175
2022-05-21T06:33:54,1,174,0,175
2022-05-21T06:44:10,1,174,0,175
2022-05-21T06:54:25,1,174,0,175
2022-05-21T07:04:41,1,174,0,175
2022-05-21T07:14:56,1,174,0,175
2022-05-21T07:25:11,1,174,0,175
2022-05-21T07:35:26,1,174,0,175
2022-05-21T07:45:41,1,174,0,175
2022-05-21T07:55:56,1,174,0,175
2022-05-21T08:06:11,1,174,0,175
2022-05-21T08:16:27,1,174,0,175
2022-05-21T08:26:42,1,174,0,175
2022-05-21T08:36:56,1,174,0,175
2022-05-21T08:47:33,1,174,0,175
2022-05-21T08:57:47,1,174,0,175
2022-05-21T09:08:01,1,174,0,175
2022-05-21T09:18:13,1,174,0,175
2022-05-21T09:28:26,1,174,0,175
2022-05-21T09:38:39,1,174,0,175
2022-05-21T09:48:53,1,174,0,175
2022-05-21T09:59:06,1,174,0,175
2022-05-21T10:09:19,1,174,0,175
2022-05-21T10:19:33,1,174,0,175
2022-05-21T10:29:46,1,174,0,175
2022-05-21T10:39:59,1,174,0,175
2022-05-21T10:50:12,1,174,0,175
2022-05-21T11:00:25,1,174,0,175
2022-05-21T11:10:39,1,174,0,175
2022-05-21T11:21:04,1,174,0,175
2022-05-21T11:31:18,1,174,0,175
2022-05-21T11:41:32,1,174,0,175
