time,enrolled,available,waitlisted,total
2022-05-18T04:30:46,0,65,0,65
2022-05-18T04:41:20,0,65,0,65
2022-05-18T04:51:30,0,65,0,65
2022-05-18T05:01:41,0,65,0,65
2022-05-18T05:11:51,0,65,0,65
2022-05-18T05:22:01,0,65,0,65
2022-05-18T05:32:13,0,65,0,65
2022-05-18T05:42:22,0,65,0,65
2022-05-18T05:52:33,0,65,0,65
2022-05-18T06:02:44,0,65,0,65
2022-05-18T06:12:55,0,65,0,65
2022-05-18T06:23:03,0,65,0,65
2022-05-18T06:33:11,0,65,0,65
2022-05-18T06:43:19,0,65,0,65
2022-05-18T06:53:26,0,65,0,65
2022-05-18T07:03:35,0,65,0,65
2022-05-18T07:13:43,0,65,0,65
2022-05-18T07:23:51,0,65,0,65
2022-05-18T07:33:59,0,65,0,65
2022-05-18T07:44:07,0,65,0,65
2022-05-18T07:54:15,0,65,0,65
2022-05-18T08:04:23,0,65,0,65
2022-05-18T08:14:31,0,65,0,65
2022-05-18T08:24:39,0,65,0,65
2022-05-18T08:34:48,0,65,0,65
2022-05-18T08:44:58,0,65,0,65
2022-05-18T08:55:06,0,65,0,65
2022-05-18T09:05:16,0,65,0,65
2022-05-18T09:15:37,0,65,0,65
2022-05-18T09:25:46,0,65,0,65
2022-05-18T09:35:55,0,65,0,65
2022-05-18T09:46:04,0,65,0,65
2022-05-18T09:56:14,0,65,0,65
2022-05-18T10:06:26,0,65,0,65
2022-05-18T10:16:37,0,65,0,65
2022-05-18T10:26:48,0,65,0,65
2022-05-18T10:37:11,0,65,0,65
2022-05-18T10:47:20,0,65,0,65
2022-05-18T10:57:30,0,65,0,65
2022-05-18T11:07:41,0,65,0,65
2022-05-18T11:17:50,0,65,0,65
2022-05-18T11:27:59,0,65,0,65
2022-05-18T11:38:08,0,65,0,65
2022-05-18T11:48:17,0,65,0,65
2022-05-18T11:58:36,0,65,0,65
2022-05-18T12:08:44,0,65,0,65
2022-05-18T12:18:52,0,65,0,65
2022-05-18T12:29:03,0,65,0,65
2022-05-18T12:39:13,0,65,0,65
2022-05-18T12:49:23,0,65,0,65
2022-05-18T12:59:34,0,65,0,65
2022-05-18T13:09:54,0,65,0,65
2022-05-18T13:20:05,0,65,0,65
2022-05-18T13:30:14,0,65,0,65
2022-05-18T13:40:26,0,65,0,65
2022-05-18T13:50:36,0,65,0,65
2022-05-18T14:00:47,0,65,0,65
2022-05-18T14:10:58,0,65,0,65
2022-05-18T14:21:08,0,65,0,65
2022-05-18T14:31:30,0,65,0,65
2022-05-18T14:41:40,0,65,0,65
2022-05-18T14:51:50,0,65,0,65
2022-05-18T15:02:01,0,65,0,65
2022-05-18T15:12:13,0,65,0,65
2022-05-18T15:22:24,0,65,0,65
2022-05-18T15:32:34,0,65,0,65
2022-05-18T15:42:55,0,65,0,65
2022-05-18T15:53:06,0,65,0,65
2022-05-18T16:03:17,0,65,0,65
2022-05-18T16:13:28,0,65,0,65
2022-05-18T16:23:39,0,65,0,65
2022-05-18T16:33:49,0,65,0,65
2022-05-18T16:43:58,0,65,0,65
2022-05-18T16:54:08,0,65,0,65
2022-05-18T17:04:28,0,65,0,65
2022-05-18T17:14:39,0,65,0,65
2022-05-18T17:24:48,0,65,0,65
2022-05-18T17:34:58,0,65,0,65
2022-05-18T17:45:07,0,65,0,65
2022-05-18T17:55:16,0,65,0,65
2022-05-18T18:05:25,0,65,0,65
2022-05-18T18:15:35,0,65,0,65
2022-05-18T18:25:46,0,65,0,65
2022-05-18T18:36:06,0,65,0,65
2022-05-18T18:46:14,0,65,0,65
2022-05-18T18:56:23,0,65,0,65
2022-05-18T19:06:32,0,65,0,65
2022-05-18T19:16:41,0,65,0,65
2022-05-18T19:26:50,0,65,0,65
2022-05-18T19:36:59,0,65,0,65
2022-05-18T19:47:09,0,65,0,65
2022-05-18T19:57:18,0,65,0,65
2022-05-18T20:07:26,0,65,0,65
2022-05-18T20:17:46,0,65,0,65
2022-05-18T20:27:55,0,65,0,65
2022-05-18T20:38:04,0,65,0,65
2022-05-18T20:48:13,0,65,0,65
2022-05-18T20:58:21,0,65,0,65
2022-05-18T21:08:32,0,65,0,65
2022-05-18T21:18:41,0,65,0,65
2022-05-18T21:28:50,0,65,0,65
2022-05-18T21:38:58,0,65,0,65
2022-05-18T21:49:07,0,65,0,65
2022-05-18T21:59:26,0,65,0,65
2022-05-18T22:09:35,0,65,0,65
2022-05-18T22:19:44,0,65,0,65
2022-05-18T22:29:53,0,65,0,65
2022-05-18T22:40:02,0,65,0,65
2022-05-18T22:50:11,0,65,0,65
2022-05-18T23:00:20,0,65,0,65
2022-05-18T23:10:30,0,65,0,65
2022-05-18T23:20:40,0,65,0,65
2022-05-18T23:31:03,0,65,0,65
2022-05-18T23:41:12,0,65,0,65
2022-05-18T23:51:21,0,65,0,65
2022-05-19T00:01:30,0,65,0,65
2022-05-19T00:11:42,0,65,0,65
2022-05-19T00:21:54,0,65,0,65
2022-05-19T00:32:09,0,65,0,65
2022-05-19T00:42:24,0,65,0,65
2022-05-19T00:52:35,0,65,0,65
2022-05-19T01:02:45,0,65,0,65
2022-05-19T01:12:55,0,65,0,65
2022-05-19T01:23:04,0,65,0,65
2022-05-19T01:33:14,0,65,0,65
2022-05-19T01:43:23,0,65,0,65
2022-05-19T01:53:34,0,65,0,65
2022-05-19T02:03:54,0,65,0,65
2022-05-19T02:14:04,0,65,0,65
2022-05-19T02:24:12,0,65,0,65
2022-05-19T02:34:21,0,65,0,65
2022-05-19T02:44:29,0,65,0,65
2022-05-19T02:54:37,0,65,0,65
2022-05-19T03:04:45,0,65,0,65
2022-05-19T03:14:56,0,65,0,65
2022-05-19T03:25:16,0,65,0,65
2022-05-19T03:35:27,0,65,0,65
2022-05-19T03:45:38,0,65,0,65
2022-05-19T03:55:48,0,65,0,65
2022-05-19T04:05:59,0,65,0,65
2022-05-19T04:21:57,0,65,0,65
2022-05-19T04:33:18,0,65,0,65
2022-05-19T04:43:45,0,65,0,65
2022-05-19T04:53:56,0,65,0,65
2022-05-19T05:04:09,0,65,0,65
2022-05-19T05:14:20,0,65,0,65
2022-05-19T05:24:31,0,65,0,65
2022-05-19T05:34:42,0,65,0,65
2022-05-19T05:44:52,0,65,0,65
2022-05-19T05:55:03,0,65,0,65
2022-05-19T06:05:14,0,65,0,65
2022-05-19T06:15:25,0,65,0,65
2022-05-19T06:25:36,0,65,0,65
2022-05-19T06:35:47,0,65,0,65
2022-05-19T06:45:58,0,65,0,65
2022-05-19T06:56:08,0,65,0,65
2022-05-19T07:06:23,0,65,0,65
2022-05-19T07:16:33,0,65,0,65
2022-05-19T07:26:42,0,65,0,65
2022-05-19T07:36:52,0,65,0,65
2022-05-19T07:47:01,0,65,0,65
2022-05-19T07:57:10,0,65,0,65
2022-05-19T08:07:19,0,65,0,65
2022-05-19T08:17:28,0,65,0,65
2022-05-19T08:27:38,0,65,0,65
2022-05-19T08:37:48,0,65,0,65
2022-05-19T08:47:59,0,65,0,65
2022-05-19T08:58:09,0,65,0,65
2022-05-19T09:08:36,0,65,0,65
