time,enrolled,available,waitlisted,total
2022-05-20T04:27:39,0,44,0,44
2022-05-20T04:38:18,0,44,0,44
2022-05-20T04:48:35,0,44,0,44
2022-05-20T04:58:51,0,44,0,44
2022-05-20T05:09:07,0,44,0,44
2022-05-20T05:19:22,0,44,0,44
2022-05-20T05:29:38,0,44,0,44
2022-05-20T05:39:54,0,44,0,44
2022-05-20T05:50:09,0,44,0,44
2022-05-20T06:00:25,0,44,0,44
2022-05-20T06:10:40,0,44,0,44
2022-05-20T06:20:54,0,44,0,44
2022-05-20T06:31:11,0,44,0,44
2022-05-20T06:41:25,0,44,0,44
2022-05-20T06:51:38,0,44,0,44
2022-05-20T07:01:55,0,44,0,44
2022-05-20T07:12:09,0,44,0,44
2022-05-20T07:22:22,0,44,0,44
2022-05-20T07:32:36,0,44,0,44
2022-05-20T07:42:50,0,44,0,44
2022-05-20T07:53:04,0,44,0,44
2022-05-20T08:03:18,0,44,0,44
2022-05-20T08:13:32,0,44,0,44
2022-05-20T08:23:47,0,44,0,44
2022-05-20T08:34:03,0,44,0,44
2022-05-20T08:44:17,0,44,0,44
2022-05-20T08:54:32,0,44,0,44
2022-05-20T09:04:47,0,44,0,44
2022-05-20T09:15:15,0,44,0,44
2022-05-20T09:25:31,0,44,0,44
2022-05-20T09:35:46,1,43,0,44
2022-05-20T09:46:03,1,43,0,44
2022-05-20T09:56:19,1,43,0,44
2022-05-20T10:06:35,1,43,0,44
2022-05-20T10:16:51,3,41,0,44
2022-05-20T10:27:06,4,40,0,44
2022-05-20T10:37:23,4,40,0,44
2022-05-20T10:47:38,4,40,0,44
2022-05-20T10:58:07,4,40,0,44
2022-05-20T11:08:24,4,40,0,44
2022-05-20T11:18:40,4,40,0,44
2022-05-20T11:28:56,4,40,0,44
2022-05-20T11:39:12,4,40,0,44
2022-05-20T11:49:28,4,40,0,44
2022-05-20T11:59:57,4,40,0,44
2022-05-20T12:10:13,4,40,0,44
2022-05-20T12:20:28,4,40,0,44
2022-05-20T12:30:43,4,40,0,44
2022-05-20T12:40:59,4,40,0,44
2022-05-20T12:51:14,4,40,0,44
2022-05-20T13:01:41,4,40,0,44
2022-05-20T13:11:58,4,40,0,44
2022-05-20T13:22:14,4,40,0,44
2022-05-20T13:32:30,4,40,0,44
2022-05-20T13:42:47,4,40,0,44
2022-05-20T13:53:03,4,40,0,44
2022-05-20T14:03:19,4,40,0,44
2022-05-20T14:13:45,4,40,0,44
2022-05-20T14:24:00,4,40,0,44
2022-05-20T14:34:16,4,40,0,44
2022-05-20T14:44:31,4,40,0,44
2022-05-20T14:54:47,4,40,0,44
2022-05-20T15:05:13,4,40,0,44
2022-05-20T15:15:28,4,40,0,44
2022-05-20T15:25:44,4,40,0,44
2022-05-20T15:35:59,4,40,0,44
2022-05-20T15:46:14,4,40,0,44
2022-05-20T15:56:28,4,40,0,44
2022-05-20T16:06:44,4,40,0,44
2022-05-20T16:16:58,4,40,0,44
2022-05-20T16:27:24,4,40,0,44
2022-05-20T16:37:38,4,40,0,44
2022-05-20T16:47:52,4,40,0,44
2022-05-20T16:58:07,4,40,0,44
2022-05-20T17:08:21,4,40,0,44
2022-05-20T17:18:35,4,40,0,44
2022-05-20T17:28:49,4,40,0,44
