time,enrolled,available,waitlisted,total
2022-05-18T04:30:58,0,213,0,213
2022-05-18T04:41:32,0,213,0,213
2022-05-18T04:51:42,0,213,0,213
2022-05-18T05:01:53,0,213,0,213
2022-05-18T05:12:03,0,213,0,213
2022-05-18T05:22:14,0,213,0,213
2022-05-18T05:32:25,0,213,0,213
2022-05-18T05:42:34,0,213,0,213
2022-05-18T05:52:44,0,213,0,213
2022-05-18T06:02:55,0,213,0,213
2022-05-18T06:13:06,0,213,0,213
2022-05-18T06:23:15,0,213,0,213
2022-05-18T06:33:23,0,213,0,213
2022-05-18T06:43:30,0,213,0,213
2022-05-18T06:53:38,0,213,0,213
2022-05-18T07:03:46,0,213,0,213
2022-05-18T07:13:55,0,213,0,213
2022-05-18T07:24:03,0,213,0,213
2022-05-18T07:34:10,0,213,0,213
2022-05-18T07:44:19,0,213,0,213
2022-05-18T07:54:27,0,213,0,213
2022-05-18T08:04:35,0,213,0,213
2022-05-18T08:14:42,0,213,0,213
2022-05-18T08:24:51,0,213,0,213
2022-05-18T08:35:00,0,213,0,213
2022-05-18T08:45:09,0,213,0,213
2022-05-18T08:55:18,0,213,0,213
2022-05-18T09:05:28,0,213,0,213
2022-05-18T09:15:48,0,213,0,213
2022-05-18T09:25:57,0,213,0,213
2022-05-18T09:36:06,0,213,0,213
2022-05-18T09:46:15,0,213,0,213
2022-05-18T09:56:25,0,213,0,213
2022-05-18T10:06:37,0,213,0,213
2022-05-18T10:16:48,0,213,0,213
2022-05-18T10:27:00,0,213,0,213
2022-05-18T10:37:22,0,213,0,213
2022-05-18T10:47:32,0,213,0,213
2022-05-18T10:57:42,0,213,0,213
2022-05-18T11:07:53,0,213,0,213
2022-05-18T11:18:02,0,213,0,213
2022-05-18T11:28:11,0,213,0,213
2022-05-18T11:38:20,0,213,0,213
2022-05-18T11:48:28,0,213,0,213
2022-05-18T11:58:47,0,213,0,213
2022-05-18T12:08:56,0,213,0,213
2022-05-18T12:19:04,0,213,0,213
2022-05-18T12:29:15,0,213,0,213
2022-05-18T12:39:25,0,213,0,213
2022-05-18T12:49:35,0,213,0,213
2022-05-18T12:59:45,0,213,0,213
2022-05-18T13:10:06,0,213,0,213
2022-05-18T13:20:16,0,213,0,213
2022-05-18T13:30:26,0,213,0,213
2022-05-18T13:40:37,0,213,0,213
2022-05-18T13:50:48,0,213,0,213
2022-05-18T14:00:59,0,213,0,213
2022-05-18T14:11:09,0,213,0,213
2022-05-18T14:21:20,0,213,0,213
2022-05-18T14:31:41,0,213,0,213
2022-05-18T14:41:52,0,213,0,213
2022-05-18T14:52:02,0,213,0,213
2022-05-18T15:02:13,0,213,0,213
2022-05-18T15:12:25,0,213,0,213
2022-05-18T15:22:35,0,213,0,213
2022-05-18T15:32:46,0,213,0,213
2022-05-18T15:43:07,0,213,0,213
2022-05-18T15:53:18,0,213,0,213
2022-05-18T16:03:29,0,213,0,213
2022-05-18T16:13:40,0,213,0,213
2022-05-18T16:23:50,0,213,0,213
2022-05-18T16:34:00,0,213,0,213
2022-05-18T16:44:10,0,213,0,213
2022-05-18T16:54:20,0,213,0,213
2022-05-18T17:04:40,0,213,0,213
2022-05-18T17:14:51,0,213,0,213
2022-05-18T17:25:00,0,213,0,213
2022-05-18T17:35:09,0,213,0,213
2022-05-18T17:45:19,0,213,0,213
2022-05-18T17:55:28,0,213,0,213
2022-05-18T18:05:37,0,213,0,213
2022-05-18T18:15:46,0,213,0,213
2022-05-18T18:25:57,0,213,0,213
2022-05-18T18:36:17,0,213,0,213
2022-05-18T18:46:26,0,213,0,213
2022-05-18T18:56:35,0,213,0,213
2022-05-18T19:06:44,0,213,0,213
2022-05-18T19:16:53,0,213,0,213
2022-05-18T19:27:02,0,213,0,213
2022-05-18T19:37:11,0,213,0,213
2022-05-18T19:47:20,0,213,0,213
2022-05-18T19:57:29,0,213,0,213
2022-05-18T20:07:38,0,213,0,213
2022-05-18T20:17:58,0,213,0,213
2022-05-18T20:28:06,0,213,0,213
2022-05-18T20:38:15,0,213,0,213
2022-05-18T20:48:24,0,213,0,213
2022-05-18T20:58:33,0,213,0,213
2022-05-18T21:08:43,0,213,0,213
2022-05-18T21:18:52,0,213,0,213
2022-05-18T21:29:01,0,213,0,213
2022-05-18T21:39:10,0,213,0,213
2022-05-18T21:49:19,0,213,0,213
2022-05-18T21:59:38,0,213,0,213
2022-05-18T22:09:47,0,213,0,213
2022-05-18T22:19:56,0,213,0,213
2022-05-18T22:30:05,0,213,0,213
2022-05-18T22:40:14,0,213,0,213
2022-05-18T22:50:22,0,213,0,213
2022-05-18T23:00:32,0,213,0,213
2022-05-18T23:10:42,0,213,0,213
2022-05-18T23:20:51,0,213,0,213
2022-05-18T23:31:15,0,213,0,213
2022-05-18T23:41:24,0,213,0,213
2022-05-18T23:51:32,0,213,0,213
2022-05-19T00:01:41,0,213,0,213
2022-05-19T00:11:54,0,213,0,213
2022-05-19T00:22:06,0,213,0,213
2022-05-19T00:32:20,0,213,0,213
2022-05-19T00:42:35,0,213,0,213
2022-05-19T00:52:46,0,213,0,213
2022-05-19T01:02:57,0,213,0,213
2022-05-19T01:13:06,0,213,0,213
2022-05-19T01:23:16,0,213,0,213
2022-05-19T01:33:25,0,213,0,213
2022-05-19T01:43:35,0,213,0,213
2022-05-19T01:53:46,0,213,0,213
2022-05-19T02:04:06,0,213,0,213
2022-05-19T02:14:15,0,213,0,213
2022-05-19T02:24:24,0,213,0,213
2022-05-19T02:34:32,0,213,0,213
2022-05-19T02:44:40,0,213,0,213
2022-05-19T02:54:48,0,213,0,213
2022-05-19T03:04:56,0,213,0,213
2022-05-19T03:15:07,0,213,0,213
2022-05-19T03:25:27,0,213,0,213
2022-05-19T03:35:38,0,213,0,213
2022-05-19T03:45:49,0,213,0,213
2022-05-19T03:55:59,0,213,0,213
2022-05-19T04:06:11,0,213,0,213
2022-05-19T04:22:09,0,213,0,213
2022-05-19T04:33:30,0,213,0,213
2022-05-19T04:43:57,0,213,0,213
2022-05-19T04:54:08,0,213,0,213
2022-05-19T05:04:20,0,213,0,213
2022-05-19T05:14:32,0,213,0,213
2022-05-19T05:24:43,0,213,0,213
2022-05-19T05:34:54,0,213,0,213
2022-05-19T05:45:03,0,213,0,213
2022-05-19T05:55:15,0,213,0,213
2022-05-19T06:05:26,0,213,0,213
2022-05-19T06:15:37,0,213,0,213
2022-05-19T06:25:48,0,213,0,213
2022-05-19T06:35:59,0,213,0,213
2022-05-19T06:46:10,0,213,0,213
2022-05-19T06:56:20,0,213,0,213
2022-05-19T07:06:34,0,213,0,213
2022-05-19T07:16:45,0,213,0,213
2022-05-19T07:26:54,0,213,0,213
2022-05-19T07:37:04,0,213,0,213
2022-05-19T07:47:13,0,213,0,213
2022-05-19T07:57:22,0,213,0,213
2022-05-19T08:07:31,0,213,0,213
2022-05-19T08:17:40,0,213,0,213
2022-05-19T08:27:50,0,213,0,213
2022-05-19T08:38:00,0,213,0,213
2022-05-19T08:48:11,0,213,0,213
2022-05-19T08:58:21,0,213,0,213
2022-05-19T09:08:48,0,213,0,213
2022-05-19T09:18:58,0,213,0,213
2022-05-19T09:29:08,0,213,0,213
2022-05-19T09:39:20,0,213,0,213
2022-05-19T09:49:31,0,213,0,213
2022-05-19T09:59:43,0,213,0,213
2022-05-19T10:09:54,0,213,0,213
2022-05-19T10:20:05,0,213,0,213
2022-05-19T10:30:18,0,213,0,213
2022-05-19T10:40:35,0,213,0,213
2022-05-19T10:50:48,0,213,0,213
2022-05-19T11:01:00,0,213,0,213
2022-05-19T11:11:14,0,213,0,213
2022-05-19T11:21:40,0,213,0,213
2022-05-19T11:31:53,0,213,0,213
2022-05-19T11:42:05,0,213,0,213
2022-05-19T11:52:17,0,213,0,213
2022-05-19T12:02:29,0,213,0,213
2022-05-19T12:12:40,0,213,0,213
2022-05-19T12:22:53,0,213,0,213
2022-05-19T12:33:05,0,213,0,213
2022-05-19T12:43:38,0,213,0,213
2022-05-19T12:53:52,0,213,0,213
2022-05-19T13:04:06,0,213,0,213
2022-05-19T13:14:20,0,213,0,213
2022-05-19T13:24:35,0,213,0,213
2022-05-19T13:34:49,0,213,0,213
2022-05-19T13:45:03,0,213,0,213
2022-05-19T13:55:28,0,213,0,213
2022-05-19T14:05:44,0,213,0,213
2022-05-19T14:16:00,0,213,0,213
2022-05-19T14:26:15,0,213,0,213
2022-05-19T14:36:32,0,213,0,213
2022-05-19T14:46:49,0,213,0,213
2022-05-19T14:57:06,0,213,0,213
2022-05-19T15:07:41,0,213,0,213
2022-05-19T15:17:59,0,213,0,213
2022-05-19T15:28:17,0,213,0,213
2022-05-19T15:38:35,0,213,0,213
2022-05-19T15:48:54,0,213,0,213
2022-05-19T15:59:12,0,213,0,213
2022-05-19T16:09:30,0,213,0,213
2022-05-19T16:19:47,0,213,0,213
2022-05-19T16:30:06,0,213,0,213
2022-05-19T16:40:37,0,213,0,213
2022-05-19T16:50:54,0,213,0,213
2022-05-19T17:01:11,0,213,0,213
2022-05-19T17:11:28,0,213,0,213
2022-05-19T17:21:46,0,213,0,213
2022-05-19T17:32:02,0,213,0,213
2022-05-19T17:42:18,0,213,0,213
2022-05-19T17:52:33,0,213,0,213
2022-05-19T18:03:09,0,213,0,213
2022-05-19T18:13:24,0,213,0,213
2022-05-19T18:23:40,0,213,0,213
2022-05-19T18:33:55,0,213,0,213
2022-05-19T18:44:10,0,213,0,213
2022-05-19T18:54:28,0,213,0,213
2022-05-19T19:04:52,0,213,0,213
2022-05-19T19:15:18,0,213,0,213
2022-05-19T19:25:56,0,213,0,213
2022-05-19T19:36:25,0,213,0,213
2022-05-19T19:46:53,0,213,0,213
2022-05-19T19:57:17,0,213,0,213
2022-05-19T20:07:45,0,213,0,213
2022-05-19T20:18:08,0,213,0,213
2022-05-19T20:28:36,0,213,0,213
2022-05-19T20:38:53,0,213,0,213
2022-05-19T20:49:13,0,213,0,213
2022-05-19T20:59:35,0,213,0,213
2022-05-19T21:09:59,0,213,0,213
2022-05-19T21:20:21,0,213,0,213
2022-05-19T21:30:44,0,213,0,213
2022-05-19T21:41:06,0,213,0,213
2022-05-19T21:51:29,0,213,0,213
2022-05-19T22:02:01,0,213,0,213
2022-05-19T22:12:23,0,213,0,213
2022-05-19T22:22:42,0,213,0,213
2022-05-19T22:33:00,0,213,0,213
2022-05-19T22:43:17,0,213,0,213
2022-05-19T22:53:31,0,213,0,213
2022-05-19T23:03:46,0,213,0,213
2022-05-19T23:14:01,0,213,0,213
2022-05-19T23:24:18,0,213,0,213
2022-05-19T23:34:56,0,213,0,213
2022-05-19T23:45:10,0,213,0,213
2022-05-19T23:55:24,0,213,0,213
2022-05-20T00:05:41,0,213,0,213
2022-05-20T00:16:01,0,213,0,213
2022-05-20T00:26:17,0,213,0,213
2022-05-20T00:36:32,0,213,0,213
2022-05-20T00:46:48,0,213,0,213
2022-05-20T00:57:04,0,213,0,213
2022-05-20T01:07:20,0,213,0,213
2022-05-20T01:17:38,0,213,0,213
2022-05-20T01:28:02,0,213,0,213
2022-05-20T01:38:16,0,213,0,213
2022-05-20T01:48:31,0,213,0,213
2022-05-20T01:58:46,0,213,0,213
2022-05-20T02:09:00,0,213,0,213
2022-05-20T02:19:17,0,213,0,213
2022-05-20T02:29:39,0,213,0,213
2022-05-20T02:39:55,0,213,0,213
2022-05-20T02:50:10,0,213,0,213
2022-05-20T03:00:24,0,213,0,213
2022-05-20T03:10:39,0,213,0,213
2022-05-20T03:20:53,0,213,0,213
2022-05-20T03:31:07,0,213,0,213
2022-05-20T03:41:22,0,213,0,213
2022-05-20T03:51:37,0,213,0,213
2022-05-20T04:02:33,0,213,0,213
2022-05-20T04:27:33,0,213,0,213
2022-05-20T04:38:12,0,213,0,213
2022-05-20T04:48:29,0,213,0,213
2022-05-20T04:58:45,0,213,0,213
2022-05-20T05:09:02,0,213,0,213
2022-05-20T05:19:16,0,213,0,213
2022-05-20T05:29:32,0,213,0,213
2022-05-20T05:39:48,0,213,0,213
2022-05-20T05:50:03,0,213,0,213
2022-05-20T06:00:19,0,213,0,213
2022-05-20T06:10:34,0,213,0,213
2022-05-20T06:20:48,0,213,0,213
2022-05-20T06:31:05,0,213,0,213
2022-05-20T06:41:19,0,213,0,213
2022-05-20T06:51:32,0,213,0,213
2022-05-20T07:01:49,0,213,0,213
2022-05-20T07:12:03,0,213,0,213
2022-05-20T07:22:16,0,213,0,213
2022-05-20T07:32:30,0,213,0,213
2022-05-20T07:42:44,0,213,0,213
2022-05-20T07:52:58,0,213,0,213
2022-05-20T08:03:12,0,213,0,213
2022-05-20T08:13:27,0,213,0,213
2022-05-20T08:23:41,0,213,0,213
2022-05-20T08:33:57,0,213,0,213
2022-05-20T08:44:11,0,213,0,213
2022-05-20T08:54:26,0,213,0,213
2022-05-20T09:04:41,0,213,0,213
2022-05-20T09:15:09,0,213,0,213
