time,enrolled,available,waitlisted,total
2022-05-18T04:39:27,0,9999,0,9999
2022-05-18T04:49:37,0,9999,0,9999
2022-05-18T04:59:47,0,9999,0,9999
2022-05-18T05:09:58,0,9999,0,9999
2022-05-18T05:20:08,0,9999,0,9999
2022-05-18T05:30:20,0,9999,0,9999
2022-05-18T05:40:29,0,9999,0,9999
2022-05-18T05:50:39,0,9999,0,9999
2022-05-18T06:00:50,0,9999,0,9999
2022-05-18T06:11:02,0,9999,0,9999
2022-05-18T06:21:10,0,9999,0,9999
2022-05-18T06:31:19,0,9999,0,9999
2022-05-18T06:41:26,0,9999,0,9999
2022-05-18T06:51:34,0,9999,0,9999
2022-05-18T07:01:41,0,9999,0,9999
2022-05-18T07:11:51,0,9999,0,9999
2022-05-18T07:21:59,0,9999,0,9999
2022-05-18T07:32:06,0,9999,0,9999
2022-05-18T07:42:15,0,9999,0,9999
2022-05-18T07:52:23,0,9999,0,9999
2022-05-18T08:02:30,0,9999,0,9999
2022-05-18T08:12:38,0,9999,0,9999
2022-05-18T08:22:46,0,9999,0,9999
2022-05-18T08:32:56,0,9999,0,9999
2022-05-18T08:43:05,0,9999,0,9999
2022-05-18T08:53:14,0,9999,0,9999
2022-05-18T09:03:23,0,9999,0,9999
2022-05-18T09:13:44,0,9999,0,9999
2022-05-18T09:23:53,0,9999,0,9999
2022-05-18T09:34:02,0,9999,0,9999
2022-05-18T09:44:11,0,9999,0,9999
2022-05-18T09:54:21,0,9999,0,9999
2022-05-18T10:04:32,0,9999,0,9999
2022-05-18T10:14:44,0,9999,0,9999
2022-05-18T10:24:55,0,9999,0,9999
2022-05-18T10:35:05,0,9999,0,9999
2022-05-18T10:45:27,0,9999,0,9999
2022-05-18T10:55:37,0,9999,0,9999
2022-05-18T11:05:48,0,9999,0,9999
2022-05-18T11:15:57,0,9999,0,9999
2022-05-18T11:26:06,0,9999,0,9999
2022-05-18T11:36:15,0,9999,0,9999
2022-05-18T11:46:24,0,9999,0,9999
2022-05-18T11:56:43,0,9999,0,9999
2022-05-18T12:06:52,0,9999,0,9999
2022-05-18T12:17:00,0,9999,0,9999
2022-05-18T12:27:10,0,9999,0,9999
2022-05-18T12:37:20,0,9999,0,9999
2022-05-18T12:47:30,0,9999,0,9999
2022-05-18T12:57:41,0,9999,0,9999
2022-05-18T13:07:51,0,9999,0,9999
2022-05-18T13:18:12,0,9999,0,9999
2022-05-18T13:28:22,0,9999,0,9999
2022-05-18T13:38:33,0,9999,0,9999
2022-05-18T13:48:43,0,9999,0,9999
2022-05-18T13:58:54,0,9999,0,9999
2022-05-18T14:09:05,0,9999,0,9999
2022-05-18T14:19:15,0,9999,0,9999
2022-05-18T14:29:37,0,9999,0,9999
