time,enrolled,available,waitlisted,total
2022-05-20T04:28:19,0,0,0,0
2022-05-20T04:38:58,0,0,0,0
2022-05-20T04:49:15,0,0,0,0
2022-05-20T04:59:31,0,0,0,0
2022-05-20T05:09:47,0,0,0,0
2022-05-20T05:20:02,0,0,0,0
2022-05-20T05:30:18,0,0,0,0
2022-05-20T05:40:34,0,0,0,0
2022-05-20T05:50:49,0,0,0,0
2022-05-20T06:01:05,0,0,0,0
2022-05-20T06:11:20,0,0,0,0
2022-05-20T06:21:36,0,0,0,0
2022-05-20T06:31:51,0,0,0,0
2022-05-20T06:42:05,0,0,0,0
2022-05-20T06:52:18,0,0,0,0
2022-05-20T07:02:35,0,0,0,0
2022-05-20T07:12:49,0,0,0,0
2022-05-20T07:23:02,0,0,0,0
2022-05-20T07:33:16,0,0,0,0
2022-05-20T07:43:30,0,0,0,0
2022-05-20T07:53:44,0,0,0,0
2022-05-20T08:03:58,0,0,0,0
2022-05-20T08:14:12,0,0,0,0
2022-05-20T08:24:28,0,0,0,0
2022-05-20T08:34:43,0,0,0,0
2022-05-20T08:44:57,0,0,0,0
2022-05-20T08:55:12,0,0,0,0
2022-05-20T09:05:27,0,0,0,0
2022-05-20T09:15:55,0,0,0,0
2022-05-20T09:26:11,0,0,0,0
2022-05-20T09:36:27,0,0,0,0
2022-05-20T09:46:43,0,0,0,0
2022-05-20T09:56:59,0,0,0,0
2022-05-20T10:07:16,0,0,0,0
2022-05-20T10:17:31,0,0,0,0
2022-05-20T10:27:47,0,0,0,0
2022-05-20T10:38:03,0,0,0,0
2022-05-20T10:48:19,0,0,0,0
2022-05-20T10:58:47,0,0,0,0
2022-05-20T11:09:04,0,0,0,0
2022-05-20T11:19:20,0,0,0,0
2022-05-20T11:29:36,0,0,0,0
2022-05-20T11:39:52,0,0,0,0
2022-05-20T11:50:08,0,0,0,0
2022-05-20T12:00:37,0,0,0,0
2022-05-20T12:10:53,0,0,0,0
2022-05-20T12:21:09,0,0,0,0
2022-05-20T12:31:24,0,0,0,0
2022-05-20T12:41:39,0,0,0,0
2022-05-20T12:51:55,0,0,0,0
2022-05-20T13:02:22,0,0,0,0
2022-05-20T13:12:38,0,0,0,0
2022-05-20T13:22:54,0,0,0,0
2022-05-20T13:33:10,0,0,0,0
2022-05-20T13:43:27,0,0,0,0
2022-05-20T13:53:43,0,0,0,0
2022-05-20T14:03:59,0,0,0,0
2022-05-20T14:14:25,0,0,0,0
2022-05-20T14:24:40,0,0,0,0
2022-05-20T14:34:56,0,0,0,0
2022-05-20T14:45:11,0,0,0,0
2022-05-20T14:55:27,0,0,0,0
2022-05-20T15:05:53,0,0,0,0
2022-05-20T15:16:08,0,0,0,0
2022-05-20T15:26:24,0,0,0,0
2022-05-20T15:36:39,0,0,0,0
2022-05-20T15:46:54,0,0,0,0
2022-05-20T15:57:09,0,0,0,0
2022-05-20T16:07:24,0,0,0,0
2022-05-20T16:17:39,0,0,0,0
2022-05-20T16:28:04,0,0,0,0
2022-05-20T16:38:18,0,0,0,0
2022-05-20T16:48:32,0,0,0,0
2022-05-20T16:58:47,0,0,0,0
2022-05-20T17:09:01,0,0,0,0
2022-05-20T17:19:15,0,0,0,0
2022-05-20T17:29:29,0,0,0,0
2022-05-20T17:39:43,0,0,0,0
2022-05-20T17:49:58,0,0,0,0
2022-05-20T18:00:11,0,0,0,0
2022-05-20T18:10:34,0,0,0,0
2022-05-20T18:20:48,0,0,0,0
2022-05-20T18:31:01,0,0,0,0
2022-05-20T18:41:15,0,0,0,0
2022-05-20T18:51:28,0,0,0,0
2022-05-20T19:01:42,0,0,0,0
2022-05-20T19:11:56,0,0,0,0
2022-05-20T19:22:10,0,0,0,0
2022-05-20T19:32:24,0,0,0,0
2022-05-20T19:42:38,0,0,0,0
2022-05-20T19:52:52,0,0,0,0
2022-05-20T20:03:15,0,0,0,0
2022-05-20T20:13:29,0,0,0,0
2022-05-20T20:23:43,0,0,0,0
2022-05-20T20:33:56,0,0,0,0
2022-05-20T20:44:09,0,0,0,0
2022-05-20T20:54:23,0,0,0,0
2022-05-20T21:04:37,0,0,0,0
2022-05-20T21:14:51,0,0,0,0
2022-05-20T21:25:15,0,0,0,0
2022-05-20T21:35:28,0,0,0,0
2022-05-20T21:45:42,0,0,0,0
2022-05-20T21:55:56,0,0,0,0
2022-05-20T22:06:10,0,0,0,0
2022-05-20T22:16:24,0,0,0,0
2022-05-20T22:26:39,0,0,0,0
2022-05-20T22:36:52,0,0,0,0
