time,enrolled,available,waitlisted,total
2022-05-20T04:28:34,0,196,0,196
2022-05-20T04:39:13,0,196,0,196
2022-05-20T04:49:30,0,196,0,196
2022-05-20T04:59:46,0,196,0,196
2022-05-20T05:10:02,0,196,0,196
2022-05-20T05:20:17,0,196,0,196
2022-05-20T05:30:33,0,196,0,196
2022-05-20T05:40:49,0,196,0,196
2022-05-20T05:51:04,0,196,0,196
2022-05-20T06:01:20,0,196,0,196
2022-05-20T06:11:35,0,196,0,196
2022-05-20T06:21:51,0,196,0,196
2022-05-20T06:32:06,0,196,0,196
2022-05-20T06:42:20,0,196,0,196
2022-05-20T06:52:33,0,196,0,196
2022-05-20T07:02:50,0,196,0,196
2022-05-20T07:13:03,0,196,0,196
2022-05-20T07:23:17,0,196,0,196
2022-05-20T07:33:30,0,196,0,196
2022-05-20T07:43:45,0,196,0,196
2022-05-20T07:53:59,0,196,0,196
2022-05-20T08:04:13,0,196,0,196
2022-05-20T08:14:27,0,196,0,196
2022-05-20T08:24:43,0,196,0,196
2022-05-20T08:34:58,0,196,0,196
2022-05-20T08:45:12,0,196,0,196
2022-05-20T08:55:27,0,196,0,196
2022-05-20T09:05:42,0,196,0,196
2022-05-20T09:16:10,0,196,0,196
2022-05-20T09:26:26,0,196,0,196
2022-05-20T09:36:41,0,196,0,196
2022-05-20T09:46:58,0,196,0,196
2022-05-20T09:57:14,0,196,0,196
2022-05-20T10:07:30,0,196,0,196
2022-05-20T10:17:46,0,196,0,196
2022-05-20T10:28:01,0,196,0,196
2022-05-20T10:38:18,0,196,0,196
2022-05-20T10:48:33,0,196,0,196
2022-05-20T10:59:02,0,196,0,196
2022-05-20T11:09:19,1,195,0,196
2022-05-20T11:19:35,1,195,0,196
2022-05-20T11:29:51,1,195,0,196
2022-05-20T11:40:07,2,194,0,196
2022-05-20T11:50:23,2,194,0,196
2022-05-20T12:00:52,2,194,0,196
2022-05-20T12:11:08,3,193,0,196
2022-05-20T12:21:23,3,193,0,196
2022-05-20T12:31:38,4,192,0,196
2022-05-20T12:41:54,4,192,0,196
2022-05-20T12:52:09,4,192,0,196
2022-05-20T13:02:36,4,192,0,196
2022-05-20T13:12:53,4,192,0,196
2022-05-20T13:23:09,4,192,0,196
2022-05-20T13:33:25,4,192,0,196
2022-05-20T13:43:42,4,192,0,196
2022-05-20T13:53:58,4,192,0,196
2022-05-20T14:04:14,4,192,0,196
2022-05-20T14:14:40,5,191,0,196
2022-05-20T14:24:55,5,191,0,196
2022-05-20T14:35:11,5,191,0,196
2022-05-20T14:45:27,6,190,0,196
2022-05-20T14:55:42,6,190,0,196
2022-05-20T15:06:08,6,190,0,196
2022-05-20T15:16:23,6,190,0,196
2022-05-20T15:26:38,6,190,0,196
2022-05-20T15:36:54,6,190,0,196
2022-05-20T15:47:09,6,190,0,196
2022-05-20T15:57:23,7,189,0,196
2022-05-20T16:07:39,7,189,0,196
2022-05-20T16:17:53,7,189,0,196
2022-05-20T16:28:19,7,189,0,196
2022-05-20T16:38:33,7,189,0,196
2022-05-20T16:48:47,7,189,0,196
2022-05-20T16:59:02,7,189,0,196
2022-05-20T17:09:16,7,189,0,196
2022-05-20T17:19:30,7,189,0,196
2022-05-20T17:29:44,7,189,0,196
2022-05-20T17:39:58,7,189,0,196
2022-05-20T17:50:12,7,189,0,196
2022-05-20T18:00:26,7,189,0,196
2022-05-20T18:10:49,7,189,0,196
2022-05-20T18:21:03,7,189,0,196
2022-05-20T18:31:16,7,189,0,196
2022-05-20T18:41:30,7,189,0,196
2022-05-20T18:51:43,7,189,0,196
2022-05-20T19:01:57,7,189,0,196
2022-05-20T19:12:11,7,189,0,196
2022-05-20T19:22:25,7,189,0,196
2022-05-20T19:32:38,7,189,0,196
2022-05-20T19:42:53,7,189,0,196
2022-05-20T19:53:06,8,188,0,196
2022-05-20T20:03:30,8,188,0,196
2022-05-20T20:13:44,8,188,0,196
2022-05-20T20:23:57,8,188,0,196
2022-05-20T20:34:11,8,188,0,196
2022-05-20T20:44:24,8,188,0,196
2022-05-20T20:54:38,8,188,0,196
2022-05-20T21:04:51,8,188,0,196
2022-05-20T21:15:05,8,188,0,196
2022-05-20T21:25:30,8,188,0,196
2022-05-20T21:35:43,8,188,0,196
2022-05-20T21:45:56,8,188,0,196
2022-05-20T21:56:11,8,188,0,196
2022-05-20T22:06:25,8,188,0,196
2022-05-20T22:16:38,8,188,0,196
2022-05-20T22:26:53,8,188,0,196
2022-05-20T22:37:07,8,188,0,196
2022-05-20T22:47:20,8,188,0,196
2022-05-20T22:57:33,8,188,0,196
2022-05-20T23:07:48,8,188,0,196
2022-05-20T23:18:12,8,188,0,196
2022-05-20T23:28:26,8,188,0,196
2022-05-20T23:38:40,8,188,0,196
2022-05-20T23:48:53,9,187,0,196
2022-05-20T23:59:06,9,187,0,196
2022-05-21T00:09:22,9,187,0,196
2022-05-21T00:19:39,9,187,0,196
2022-05-21T00:29:54,9,187,0,196
2022-05-21T00:40:10,9,187,0,196
2022-05-21T00:50:26,9,187,0,196
2022-05-21T01:00:41,9,187,0,196
2022-05-21T01:10:57,9,187,0,196
2022-05-21T01:21:12,9,187,0,196
2022-05-21T01:31:26,9,187,0,196
2022-05-21T01:41:42,9,187,0,196
2022-05-21T01:51:57,9,187,0,196
2022-05-21T02:02:21,9,187,0,196
2022-05-21T02:12:35,9,187,0,196
2022-05-21T02:22:48,9,187,0,196
2022-05-21T02:33:02,9,187,0,196
2022-05-21T02:43:15,9,187,0,196
2022-05-21T02:53:27,9,187,0,196
2022-05-21T03:03:40,9,187,0,196
2022-05-21T03:13:55,9,187,0,196
2022-05-21T03:24:14,9,187,0,196
2022-05-21T03:34:29,9,187,0,196
2022-05-21T03:44:45,9,187,0,196
2022-05-21T03:55:00,9,187,0,196
2022-05-21T04:05:15,9,187,0,196
