time,enrolled,available,waitlisted,total
2022-05-20T04:28:36,0,146,0,146
2022-05-20T04:39:15,0,146,0,146
2022-05-20T04:49:32,0,146,0,146
2022-05-20T04:59:48,0,146,0,146
2022-05-20T05:10:04,0,146,0,146
2022-05-20T05:20:19,0,146,0,146
2022-05-20T05:30:34,0,146,0,146
2022-05-20T05:40:50,0,146,0,146
2022-05-20T05:51:06,0,146,0,146
2022-05-20T06:01:22,0,146,0,146
2022-05-20T06:11:36,0,146,0,146
2022-05-20T06:21:53,0,146,0,146
2022-05-20T06:32:07,0,146,0,146
2022-05-20T06:42:21,0,146,0,146
2022-05-20T06:52:35,0,146,0,146
2022-05-20T07:02:51,0,146,0,146
2022-05-20T07:13:05,0,146,0,146
2022-05-20T07:23:19,0,146,0,146
2022-05-20T07:33:32,0,146,0,146
2022-05-20T07:43:46,0,146,0,146
2022-05-20T07:54:00,0,146,0,146
2022-05-20T08:04:14,0,146,0,146
2022-05-20T08:14:29,0,146,0,146
2022-05-20T08:24:44,0,146,0,146
2022-05-20T08:34:59,0,146,0,146
2022-05-20T08:45:14,0,146,0,146
2022-05-20T08:55:28,0,146,0,146
2022-05-20T09:05:44,0,146,0,146
2022-05-20T09:16:12,0,146,0,146
2022-05-20T09:26:27,0,146,0,146
2022-05-20T09:36:43,0,146,0,146
2022-05-20T09:46:59,0,146,0,146
2022-05-20T09:57:15,0,146,0,146
2022-05-20T10:07:32,0,146,0,146
2022-05-20T10:17:47,0,146,0,146
2022-05-20T10:28:03,0,146,0,146
2022-05-20T10:38:19,0,146,0,146
2022-05-20T10:48:35,0,146,0,146
2022-05-20T10:59:04,2,144,0,146
2022-05-20T11:09:20,2,144,0,146
2022-05-20T11:19:37,4,142,0,146
2022-05-20T11:29:52,4,142,0,146
2022-05-20T11:40:08,4,142,0,146
2022-05-20T11:50:25,6,140,0,146
2022-05-20T12:00:54,7,139,0,146
2022-05-20T12:11:10,8,138,0,146
2022-05-20T12:21:25,8,138,0,146
2022-05-20T12:31:40,8,138,0,146
2022-05-20T12:41:55,8,138,0,146
2022-05-20T12:52:11,9,137,0,146
2022-05-20T13:02:38,9,137,0,146
2022-05-20T13:12:54,9,137,0,146
2022-05-20T13:23:11,9,137,0,146
2022-05-20T13:33:27,11,135,0,146
2022-05-20T13:43:44,12,134,0,146
2022-05-20T13:53:59,12,134,0,146
2022-05-20T14:04:15,12,134,0,146
2022-05-20T14:14:41,13,133,0,146
2022-05-20T14:24:57,13,133,0,146
2022-05-20T14:35:12,13,133,0,146
2022-05-20T14:45:28,13,133,0,146
2022-05-20T14:55:43,13,133,0,146
2022-05-20T15:06:09,13,133,0,146
2022-05-20T15:16:25,13,133,0,146
2022-05-20T15:26:40,13,133,0,146
2022-05-20T15:36:55,13,133,0,146
2022-05-20T15:47:10,13,133,0,146
2022-05-20T15:57:25,14,132,0,146
2022-05-20T16:07:40,14,132,0,146
2022-05-20T16:17:55,14,132,0,146
2022-05-20T16:28:20,14,132,0,146
2022-05-20T16:38:35,15,131,0,146
2022-05-20T16:48:49,15,131,0,146
2022-05-20T16:59:03,15,131,0,146
2022-05-20T17:09:18,15,131,0,146
2022-05-20T17:19:32,16,130,0,146
2022-05-20T17:29:46,18,128,0,146
2022-05-20T17:40:00,18,128,0,146
2022-05-20T17:50:14,18,128,0,146
2022-05-20T18:00:28,18,128,0,146
2022-05-20T18:10:51,19,127,0,146
2022-05-20T18:21:04,19,127,0,146
2022-05-20T18:31:18,20,126,0,146
2022-05-20T18:41:31,20,126,0,146
2022-05-20T18:51:44,20,126,0,146
2022-05-20T19:01:58,20,126,0,146
2022-05-20T19:12:12,21,125,0,146
2022-05-20T19:22:26,21,125,0,146
2022-05-20T19:32:40,22,124,0,146
2022-05-20T19:42:55,22,124,0,146
2022-05-20T19:53:08,22,124,0,146
2022-05-20T20:03:32,22,124,0,146
2022-05-20T20:13:45,23,123,0,146
2022-05-20T20:23:59,24,122,0,146
2022-05-20T20:34:13,24,122,0,146
2022-05-20T20:44:26,25,121,0,146
2022-05-20T20:54:40,25,121,0,146
2022-05-20T21:04:53,25,121,0,146
2022-05-20T21:15:07,25,121,0,146
2022-05-20T21:25:31,26,120,0,146
2022-05-20T21:35:45,27,119,0,146
2022-05-20T21:45:58,27,119,0,146
2022-05-20T21:56:12,28,118,0,146
2022-05-20T22:06:26,28,118,0,146
2022-05-20T22:16:40,28,118,0,146
2022-05-20T22:26:55,28,118,0,146
2022-05-20T22:37:08,28,118,0,146
2022-05-20T22:47:22,28,118,0,146
2022-05-20T22:57:35,28,118,0,146
2022-05-20T23:07:49,28,118,0,146
2022-05-20T23:18:14,28,118,0,146
2022-05-20T23:28:28,28,118,0,146
2022-05-20T23:38:41,28,118,0,146
2022-05-20T23:48:55,29,117,0,146
2022-05-20T23:59:08,29,117,0,146
2022-05-21T00:09:24,29,117,0,146
2022-05-21T00:19:40,29,117,0,146
2022-05-21T00:29:56,29,117,0,146
2022-05-21T00:40:12,29,117,0,146
2022-05-21T00:50:28,29,117,0,146
2022-05-21T01:00:43,29,117,0,146
2022-05-21T01:10:59,30,116,0,146
2022-05-21T01:21:13,30,116,0,146
2022-05-21T01:31:28,30,116,0,146
2022-05-21T01:41:44,30,116,0,146
2022-05-21T01:51:58,30,116,0,146
2022-05-21T02:02:22,30,116,0,146
2022-05-21T02:12:37,31,115,0,146
2022-05-21T02:22:50,31,115,0,146
2022-05-21T02:33:03,31,115,0,146
2022-05-21T02:43:16,31,115,0,146
2022-05-21T02:53:29,31,115,0,146
2022-05-21T03:03:42,31,115,0,146
2022-05-21T03:13:56,31,115,0,146
2022-05-21T03:24:15,31,115,0,146
2022-05-21T03:34:31,31,115,0,146
2022-05-21T03:44:46,31,115,0,146
2022-05-21T03:55:02,31,115,0,146
2022-05-21T04:05:17,31,115,0,146
2022-05-21T04:20:37,31,115,0,146
2022-05-21T04:31:15,31,115,0,146
2022-05-21T04:42:34,31,115,0,146
2022-05-21T04:52:50,31,115,0,146
2022-05-21T05:03:05,31,115,0,146
2022-05-21T05:13:21,31,115,0,146
2022-05-21T05:23:37,31,115,0,146
2022-05-21T05:33:53,31,115,0,146
2022-05-21T05:44:09,31,115,0,146
2022-05-21T05:54:25,31,115,0,146
2022-05-21T06:04:40,31,115,0,146
2022-05-21T06:14:55,31,115,0,146
2022-05-21T06:25:12,31,115,0,146
2022-05-21T06:35:27,31,115,0,146
2022-05-21T06:45:42,31,115,0,146
2022-05-21T06:55:58,31,115,0,146
2022-05-21T07:06:13,31,115,0,146
