time,enrolled,available,waitlisted,total
2022-06-24T09:36:59,0,0,0,0
2022-06-24T09:47:33,0,0,0,0
2022-06-24T09:58:01,0,0,0,0
2022-06-24T10:08:31,0,0,1,0
2022-06-24T10:19:15,0,0,2,0
2022-06-24T10:29:44,0,0,3,0
2022-06-24T10:40:13,0,0,3,0
2022-06-24T10:50:42,0,0,3,0
2022-06-24T11:01:12,0,0,3,0
2022-06-24T11:11:42,0,0,7,0
2022-06-24T11:22:11,0,0,8,0
2022-06-24T11:32:40,0,0,10,0
2022-06-24T11:43:09,0,0,11,0
2022-06-24T11:53:51,0,0,11,0
2022-06-24T12:04:20,0,0,11,0
2022-06-24T12:14:49,0,0,11,0
2022-06-24T12:25:18,0,0,11,0
2022-06-24T12:35:47,0,0,11,0
2022-06-24T12:46:15,0,0,11,0
2022-06-24T12:56:44,0,0,11,0
2022-06-24T13:07:13,0,0,11,0
2022-06-24T13:17:42,0,0,11,0
2022-06-24T13:28:11,0,0,12,0
2022-06-24T13:38:53,0,0,12,0
2022-06-24T13:49:23,0,0,12,0
2022-06-24T13:59:51,0,0,12,0
2022-06-24T14:10:23,0,0,12,0
2022-06-24T14:20:52,0,0,12,0
2022-06-24T14:31:20,0,0,12,0
2022-06-24T14:41:55,0,0,13,0
2022-06-24T14:52:24,0,0,13,0
2022-06-24T15:03:04,0,0,13,0
2022-06-24T15:13:33,0,0,13,0
2022-06-24T15:24:02,0,0,14,0
2022-06-24T15:34:31,0,0,14,0
2022-06-24T15:45:00,0,0,14,0
2022-06-24T15:55:29,0,0,14,0
2022-06-24T16:05:59,0,0,14,0
2022-06-24T16:16:27,0,0,14,0
2022-06-24T16:26:56,0,0,14,0
2022-06-24T16:37:24,0,0,14,0
2022-06-24T16:47:53,0,0,15,0
2022-06-24T16:58:21,0,0,15,0
2022-06-24T17:09:01,0,0,15,0
2022-06-24T17:19:30,0,0,15,0
2022-06-24T17:29:58,0,0,15,0
2022-06-24T17:40:25,0,0,15,0
2022-06-24T17:50:53,0,0,15,0
2022-06-24T18:01:20,0,0,15,0
2022-06-24T18:11:48,0,0,15,0
2022-06-24T18:22:16,0,0,16,0
2022-06-24T18:32:44,0,0,16,0
2022-06-24T18:43:11,0,0,16,0
2022-06-24T18:53:39,0,0,16,0
2022-06-24T19:04:07,0,0,16,0
2022-06-24T19:14:34,0,0,16,0
2022-06-24T19:25:02,0,0,16,0
2022-06-24T19:35:29,0,0,16,0
2022-06-24T19:46:08,0,0,16,0
2022-06-24T19:56:35,0,0,17,0
2022-06-24T20:07:03,0,0,17,0
2022-06-24T20:17:31,0,0,17,0
2022-06-24T20:27:58,0,0,17,0
2022-06-24T20:38:26,0,0,17,0
2022-06-24T20:48:53,0,0,17,0
2022-06-24T20:59:20,0,0,17,0
2022-06-24T21:09:47,0,0,18,0
2022-06-24T21:20:15,0,0,18,0
2022-06-24T21:30:42,0,0,18,0
2022-06-24T21:41:21,0,0,18,0
2022-06-24T21:51:50,0,0,18,0
2022-06-24T22:02:17,0,0,18,0
2022-06-24T22:12:45,0,0,18,0
2022-06-24T22:23:13,0,0,19,0
2022-06-24T22:33:42,0,0,19,0
2022-06-24T22:44:12,0,0,19,0
2022-06-24T22:54:40,0,0,19,0
2022-06-24T23:05:09,0,0,19,0
2022-06-24T23:15:37,0,0,19,0
2022-06-24T23:26:05,0,0,19,0
2022-06-24T23:36:44,0,0,19,0
2022-06-24T23:47:11,0,0,19,0
2022-06-24T23:57:38,0,0,19,0
2022-06-25T00:08:08,0,0,19,0
2022-06-25T00:18:46,0,0,19,0
2022-06-25T00:29:15,0,0,19,0
2022-06-25T00:39:45,0,0,19,0
2022-06-25T00:50:15,0,0,19,0
2022-06-25T01:00:47,0,0,19,0
2022-06-25T01:11:16,0,0,19,0
2022-06-25T01:21:46,0,0,19,0
2022-06-25T01:32:15,0,0,19,0
2022-06-25T01:42:44,0,0,19,0
2022-06-25T01:53:14,0,0,19,0
2022-06-25T02:03:54,0,0,19,0
2022-06-25T02:14:23,0,0,19,0
2022-06-25T02:24:50,0,0,19,0
2022-06-25T02:35:20,0,0,19,0
2022-06-25T02:45:48,0,0,19,0
2022-06-25T02:56:15,0,0,19,0
2022-06-25T03:06:42,0,0,19,0
2022-06-25T03:17:09,0,0,19,0
2022-06-25T03:27:36,0,0,19,0
2022-06-25T03:38:03,0,0,19,0
2022-06-25T03:48:32,0,0,19,0
2022-06-25T03:59:01,0,0,19,0
2022-06-25T04:27:38,0,0,19,0
2022-06-25T04:38:10,0,0,19,0
2022-06-25T04:48:41,0,0,19,0
2022-06-25T04:59:12,0,0,19,0
2022-06-25T05:09:42,0,0,19,0
2022-06-25T05:20:15,0,0,19,0
2022-06-25T05:30:45,0,0,19,0
2022-06-25T05:41:15,0,0,19,0
2022-06-25T05:51:45,0,0,19,0
2022-06-25T06:02:15,0,0,19,0
2022-06-25T06:12:44,0,0,19,0
2022-06-25T06:23:14,0,0,19,0
2022-06-25T06:33:45,0,0,19,0
2022-06-25T06:44:15,0,0,19,0
2022-06-25T06:54:54,0,0,19,0
2022-06-25T07:05:27,0,0,19,0
2022-06-25T07:15:57,0,0,19,0
2022-06-25T07:26:27,0,0,19,0
2022-06-25T07:36:56,0,0,19,0
2022-06-25T07:47:26,0,0,19,0
2022-06-25T07:57:56,0,0,19,0
2022-06-25T08:08:27,0,0,19,0
2022-06-25T08:19:06,0,0,19,0
2022-06-25T08:29:35,0,0,19,0
2022-06-25T08:40:04,0,0,19,0
2022-06-25T08:50:33,0,0,19,0
2022-06-25T09:01:02,0,0,19,0
2022-06-25T09:11:30,0,0,19,0
2022-06-25T09:21:59,0,0,19,0
2022-06-25T09:32:39,0,0,19,0
2022-06-25T09:43:08,0,0,19,0
2022-06-25T09:53:36,0,0,19,0
2022-06-25T10:04:03,0,0,19,0
2022-06-25T10:14:31,0,0,19,0
2022-06-25T10:24:59,0,0,19,0
2022-06-25T10:35:27,0,0,19,0
2022-06-25T10:45:54,0,0,19,0
2022-06-25T10:56:30,0,0,19,0
2022-06-25T11:06:58,0,0,19,0
2022-06-25T11:17:25,0,0,19,0
2022-06-25T11:27:51,0,0,19,0
2022-06-25T11:38:19,0,0,19,0
2022-06-25T11:48:46,0,0,19,0
2022-06-25T11:59:24,0,0,19,0
2022-06-25T12:09:51,0,0,19,0
2022-06-25T12:20:18,0,0,19,0
2022-06-25T12:30:46,0,0,19,0
2022-06-25T12:41:13,0,0,19,0
2022-06-25T12:51:40,0,0,19,0
2022-06-25T13:02:07,0,0,19,0
2022-06-25T13:12:35,0,0,19,0
2022-06-25T13:23:02,0,0,19,0
2022-06-25T13:33:29,0,0,19,0
2022-06-25T13:43:56,0,0,19,0
2022-06-25T13:54:24,0,0,19,0
2022-06-25T14:04:51,0,0,19,0
2022-06-25T14:15:18,0,0,19,0
2022-06-25T14:25:55,0,0,19,0
2022-06-25T14:36:23,0,0,19,0
2022-06-25T14:46:49,0,0,19,0
2022-06-25T14:57:16,0,0,19,0
2022-06-25T15:07:44,0,0,19,0
2022-06-25T15:18:12,0,0,19,0
2022-06-25T15:28:40,0,0,19,0
2022-06-25T15:39:07,0,0,19,0
2022-06-25T15:49:34,0,0,19,0
2022-06-25T16:00:01,0,0,19,0
2022-06-25T16:10:28,0,0,19,0
2022-06-25T16:20:55,0,0,19,0
2022-06-25T16:31:23,0,0,19,0
2022-06-25T16:41:50,0,0,19,0
2022-06-25T16:52:27,0,0,19,0
2022-06-25T17:02:54,0,0,19,0
2022-06-25T17:13:22,0,0,19,0
2022-06-25T17:23:50,0,0,19,0
2022-06-25T17:34:17,0,0,19,0
2022-06-25T17:44:44,0,0,19,0
2022-06-25T17:55:12,0,0,19,0
2022-06-25T18:05:41,0,0,19,0
2022-06-25T18:16:08,0,0,19,0
2022-06-25T18:26:36,0,0,19,0
2022-06-25T18:37:04,0,0,19,0
2022-06-25T18:47:31,0,0,19,0
2022-06-25T18:57:58,0,0,19,0
2022-06-25T19:08:25,0,0,19,0
2022-06-25T19:18:53,0,0,19,0
2022-06-25T19:29:20,0,0,19,0
2022-06-25T19:39:47,0,0,19,0
2022-06-25T19:50:14,0,0,19,0
2022-06-25T20:00:52,0,0,19,0
2022-06-25T20:11:20,0,0,19,0
