time,enrolled,available,waitlisted,total
2022-07-07T15:16:02,0,0,0,0
2022-07-07T15:26:35,0,0,0,0
2022-07-07T15:37:06,0,0,0,0
2022-07-07T15:47:37,0,0,0,0
2022-07-07T15:58:18,0,0,0,0
2022-07-07T16:08:50,0,0,0,0
2022-07-07T16:19:21,0,0,0,0
2022-07-07T16:29:52,0,0,0,0
2022-07-07T16:40:23,0,0,0,0
2022-07-07T16:50:54,0,0,0,0
2022-07-07T17:01:26,0,0,0,0
2022-07-07T17:11:58,0,0,0,0
2022-07-07T17:22:30,0,0,0,0
2022-07-07T17:33:02,0,0,0,0
2022-07-07T17:43:33,0,0,0,0
2022-07-07T17:54:15,0,0,0,0
2022-07-07T18:04:45,0,0,0,0
2022-07-07T18:15:16,0,0,0,0
2022-07-07T18:25:47,0,0,0,0
2022-07-07T18:36:17,0,0,0,0
2022-07-07T18:46:47,0,0,0,0
2022-07-07T18:57:17,0,0,0,0
2022-07-07T19:07:47,0,0,0,0
2022-07-07T19:18:18,0,0,0,0
2022-07-07T19:28:48,0,0,0,0
2022-07-07T19:39:19,0,0,0,0
2022-07-07T19:49:49,0,0,0,0
2022-07-07T20:00:20,0,0,0,0
2022-07-07T20:10:50,0,0,0,0
2022-07-07T20:21:20,0,0,0,0
2022-07-07T20:31:50,0,0,0,0
2022-07-07T20:42:20,0,0,0,0
2022-07-07T20:52:50,0,0,0,0
2022-07-07T21:03:31,0,0,0,0
2022-07-07T21:14:01,0,0,0,0
2022-07-07T21:24:31,0,0,0,0
2022-07-07T21:35:01,0,0,0,0
2022-07-07T21:45:31,0,0,0,0
2022-07-07T21:56:02,0,0,0,0
2022-07-07T22:06:43,0,0,0,0
2022-07-07T22:17:14,0,0,0,0
2022-07-07T22:27:45,0,0,0,0
2022-07-07T22:38:16,0,0,0,0
2022-07-07T22:48:46,0,0,0,0
2022-07-07T22:59:16,0,0,0,0
2022-07-07T23:09:47,0,0,0,0
2022-07-07T23:20:17,0,0,0,0
2022-07-07T23:30:49,0,0,0,0
2022-07-07T23:41:19,0,0,0,0
2022-07-07T23:51:49,0,0,0,0
2022-07-08T00:02:20,0,0,0,0
2022-07-08T00:12:52,0,0,0,0
2022-07-08T00:23:24,0,0,0,0
2022-07-08T00:33:56,0,0,0,0
2022-07-08T00:44:29,0,0,0,0
2022-07-08T00:55:12,0,0,0,0
2022-07-08T01:05:46,0,0,0,0
2022-07-08T01:16:20,0,0,0,0
2022-07-08T01:26:53,0,0,0,0
2022-07-08T01:37:25,0,0,0,0
2022-07-08T01:47:57,0,0,0,0
2022-07-08T01:58:29,0,0,0,0
2022-07-08T02:09:01,0,0,0,0
2022-07-08T02:19:34,0,0,0,0
2022-07-08T02:30:17,0,0,0,0
2022-07-08T02:40:49,0,0,0,0
2022-07-08T02:51:22,0,0,0,0
2022-07-08T03:01:55,0,0,0,0
2022-07-08T03:12:27,0,0,0,0
2022-07-08T03:22:57,0,0,0,0
2022-07-08T03:33:28,0,0,0,0
2022-07-08T03:44:01,0,0,0,0
2022-07-08T03:56:52,0,0,0,0
2022-07-08T04:07:31,0,0,0,0
2022-07-08T04:34:08,0,0,0,0
2022-07-08T04:44:41,0,0,0,0
2022-07-08T04:55:15,0,0,0,0
2022-07-08T05:05:49,0,0,0,0
2022-07-08T05:16:26,0,0,0,0
2022-07-08T05:26:58,0,0,0,0
2022-07-08T05:37:32,0,0,0,0
2022-07-08T05:48:04,0,0,0,0
2022-07-08T05:58:38,0,0,0,0
2022-07-08T06:09:13,0,0,0,0
2022-07-08T06:19:45,0,0,0,0
2022-07-08T06:30:17,0,0,0,0
2022-07-08T06:40:47,0,0,0,0
2022-07-08T06:51:18,0,0,0,0
2022-07-08T07:01:48,0,0,0,0
2022-07-08T07:12:20,0,0,0,0
2022-07-08T07:22:51,0,0,0,0
2022-07-08T07:33:22,0,0,0,0
2022-07-08T07:43:52,0,0,0,0
2022-07-08T07:54:26,0,0,0,0
2022-07-08T08:04:57,0,0,0,0
2022-07-08T08:15:28,0,0,0,0
2022-07-08T08:25:59,0,0,0,0
2022-07-08T08:36:29,0,0,0,0
2022-07-08T08:47:01,0,0,0,0
2022-07-08T08:57:32,0,0,0,0
2022-07-08T09:08:02,0,0,0,0
2022-07-08T09:18:44,0,0,0,0
2022-07-08T09:29:15,0,0,0,0
2022-07-08T09:39:46,0,0,0,0
2022-07-08T09:50:20,0,0,0,0
2022-07-08T10:00:51,0,0,0,0
2022-07-08T10:11:23,0,0,0,0
2022-07-08T10:21:53,0,0,0,0
2022-07-08T10:32:25,0,0,0,0
2022-07-08T10:42:56,0,0,0,0
2022-07-08T10:53:27,0,0,0,0
2022-07-08T11:03:59,0,0,0,0
2022-07-08T11:14:30,0,0,0,0
