time,enrolled,available,waitlisted,total
2022-05-31T10:24:27,0,0,0,0
2022-05-31T10:34:51,0,0,0,0
2022-05-31T10:45:13,0,0,0,0
2022-05-31T10:55:34,0,0,0,0
2022-05-31T11:06:16,0,0,0,0
2022-05-31T11:16:37,0,0,0,0
2022-05-31T11:26:59,0,0,0,0
2022-05-31T11:37:22,0,0,0,0
2022-05-31T11:47:44,0,0,0,0
2022-05-31T11:58:18,0,0,0,0
2022-05-31T12:08:39,0,0,0,0
2022-05-31T12:19:00,0,0,0,0
2022-05-31T12:29:21,0,0,0,0
2022-05-31T12:39:55,0,0,0,0
2022-05-31T12:50:17,0,0,0,0
2022-05-31T13:00:38,0,0,0,0
2022-05-31T13:11:01,0,0,0,0
2022-05-31T13:21:23,0,0,0,0
2022-05-31T13:31:55,0,0,0,0
2022-05-31T13:42:18,0,0,0,0
2022-05-31T13:52:41,0,0,0,0
2022-05-31T14:03:05,0,0,0,0
2022-05-31T14:13:49,0,0,0,0
2022-05-31T14:24:11,0,0,0,0
2022-05-31T14:34:34,0,0,0,0
2022-05-31T14:44:56,0,0,0,0
2022-05-31T14:55:17,0,0,0,0
2022-05-31T15:05:52,0,0,0,0
2022-05-31T15:16:15,0,0,0,0
2022-05-31T15:26:36,0,0,0,0
2022-05-31T15:36:58,0,0,0,0
2022-05-31T15:47:20,0,0,0,0
2022-05-31T15:57:42,0,0,0,0
2022-05-31T16:08:15,0,0,0,0
2022-05-31T16:18:36,0,0,0,0
2022-05-31T16:28:58,0,0,0,0
2022-05-31T16:39:19,0,0,0,0
2022-05-31T16:49:40,0,0,0,0
2022-05-31T17:00:12,0,0,0,0
2022-05-31T17:10:35,0,0,0,0
2022-05-31T17:20:55,0,0,0,0
2022-05-31T17:31:16,0,0,0,0
2022-05-31T17:41:36,0,0,0,0
2022-05-31T17:51:56,0,0,0,0
2022-05-31T18:02:29,0,0,0,0
2022-05-31T18:12:49,0,0,0,0
2022-05-31T18:23:10,0,0,0,0
2022-05-31T18:33:30,0,0,0,0
2022-05-31T18:43:50,0,0,0,0
2022-05-31T18:54:12,0,0,0,0
2022-05-31T19:04:45,0,0,0,0
2022-05-31T19:15:05,0,0,0,0
2022-05-31T19:25:26,0,0,0,0
2022-05-31T19:35:46,0,0,0,0
2022-05-31T19:46:06,0,0,0,0
2022-05-31T19:56:26,0,0,0,0
2022-05-31T20:06:59,0,0,0,0
2022-05-31T20:17:20,0,0,0,0
2022-05-31T20:27:40,0,0,0,0
2022-05-31T20:38:00,0,0,0,0
2022-05-31T20:48:19,0,0,0,0
2022-05-31T20:58:51,0,0,0,0
