time,enrolled,available,waitlisted,total
2022-07-26T13:34:27,0,9999,0,9999
2022-07-26T13:43:26,0,9999,0,9999
2022-07-26T13:52:24,0,9999,0,9999
2022-07-26T14:01:50,0,9999,0,9999
2022-07-26T14:10:49,0,9999,0,9999
2022-07-26T14:19:48,0,9999,0,9999
2022-07-26T14:28:46,0,9999,0,9999
2022-07-26T14:37:44,0,9999,0,9999
2022-07-26T14:46:43,0,9999,0,9999
2022-07-26T14:55:41,0,9999,0,9999
2022-07-26T15:04:39,0,9999,0,9999
2022-07-26T15:13:37,0,9999,0,9999
2022-07-26T15:22:35,0,9999,0,9999
2022-07-26T15:31:34,0,9999,0,9999
2022-07-26T15:40:33,0,9999,0,9999
2022-07-26T15:49:43,0,9999,0,9999
2022-07-26T15:58:42,0,9999,0,9999
2022-07-26T16:07:40,0,9999,0,9999
2022-07-26T16:16:38,0,9999,0,9999
2022-07-26T16:25:35,0,9999,0,9999
2022-07-26T16:34:34,0,9999,0,9999
2022-07-26T16:43:31,0,9999,0,9999
2022-07-26T16:52:29,0,9999,0,9999
2022-07-26T17:01:27,0,9999,0,9999
2022-07-26T17:10:24,0,9999,0,9999
2022-07-26T17:19:23,0,9999,0,9999
2022-07-26T17:28:39,0,9999,0,9999
2022-07-26T17:37:36,0,9999,0,9999
2022-07-26T17:46:34,0,9999,0,9999
2022-07-26T17:55:31,0,9999,0,9999
2022-07-26T18:04:28,0,9999,0,9999
2022-07-26T18:13:26,0,9999,0,9999
2022-07-26T18:22:23,0,9999,0,9999
2022-07-26T18:31:20,0,9999,0,9999
2022-07-26T18:40:17,0,9999,0,9999
2022-07-26T18:49:15,0,9999,0,9999
2022-07-26T18:58:12,0,9999,0,9999
2022-07-26T19:07:10,0,9999,0,9999
2022-07-26T19:16:07,0,9999,0,9999
2022-07-26T19:25:05,0,9999,0,9999
2022-07-26T19:34:03,0,9999,0,9999
2022-07-26T19:43:10,0,9999,0,9999
2022-07-26T19:52:07,0,9999,0,9999
2022-07-26T20:01:04,0,9999,0,9999
2022-07-26T20:10:01,0,9999,0,9999
2022-07-26T20:18:59,0,9999,0,9999
2022-07-26T20:27:56,0,9999,0,9999
2022-07-26T20:36:53,0,9999,0,9999
2022-07-26T20:45:50,0,9999,0,9999
2022-07-26T20:54:47,0,9999,0,9999
2022-07-26T21:03:43,0,9999,0,9999
2022-07-26T21:12:41,0,9999,0,9999
2022-07-26T21:21:38,0,9999,0,9999
2022-07-26T21:30:35,0,9999,0,9999
2022-07-26T21:39:32,0,9999,0,9999
2022-07-26T21:48:29,0,9999,0,9999
2022-07-26T21:57:26,0,9999,0,9999
2022-07-26T22:06:44,0,9999,0,9999
2022-07-26T22:15:41,0,9999,0,9999
2022-07-26T22:24:38,0,9999,0,9999
2022-07-26T22:33:34,0,9999,0,9999
2022-07-26T22:42:34,0,9999,0,9999
2022-07-26T22:51:31,0,9999,0,9999
2022-07-26T23:00:28,0,9999,0,9999
