time,enrolled,available,waitlisted,total
2022-05-20T04:28:42,0,84,0,84
2022-05-20T04:39:21,0,84,0,84
2022-05-20T04:49:38,0,84,0,84
2022-05-20T04:59:54,0,84,0,84
2022-05-20T05:10:10,0,84,0,84
2022-05-20T05:20:25,0,84,0,84
2022-05-20T05:30:40,0,84,0,84
2022-05-20T05:40:56,0,84,0,84
2022-05-20T05:51:12,0,84,0,84
2022-05-20T06:01:28,0,84,0,84
2022-05-20T06:11:42,0,84,0,84
2022-05-20T06:21:59,0,84,0,84
2022-05-20T06:32:14,0,84,0,84
2022-05-20T06:42:28,0,84,0,84
2022-05-20T06:52:41,0,84,0,84
2022-05-20T07:02:58,0,84,0,84
2022-05-20T07:13:11,0,84,0,84
2022-05-20T07:23:25,0,84,0,84
2022-05-20T07:33:38,0,84,0,84
2022-05-20T07:43:53,0,84,0,84
2022-05-20T07:54:07,0,84,0,84
2022-05-20T08:04:21,0,84,0,84
2022-05-20T08:14:35,0,84,0,84
2022-05-20T08:24:51,0,84,0,84
2022-05-20T08:35:05,0,84,0,84
2022-05-20T08:45:20,0,84,0,84
2022-05-20T08:55:35,0,84,0,84
2022-05-20T09:05:50,0,84,0,84
2022-05-20T09:16:18,0,84,0,84
2022-05-20T09:26:34,0,84,0,84
2022-05-20T09:36:49,0,84,0,84
2022-05-20T09:47:06,0,84,0,84
2022-05-20T09:57:22,0,84,0,84
2022-05-20T10:07:38,0,84,0,84
2022-05-20T10:17:54,0,84,0,84
2022-05-20T10:28:09,0,84,0,84
2022-05-20T10:38:26,0,84,0,84
2022-05-20T10:48:41,0,84,0,84
2022-05-20T10:59:10,0,84,0,84
2022-05-20T11:09:27,0,84,0,84
2022-05-20T11:19:43,0,84,0,84
2022-05-20T11:29:59,0,84,0,84
2022-05-20T11:40:15,0,84,0,84
2022-05-20T11:50:31,0,84,0,84
2022-05-20T12:01:00,0,84,0,84
2022-05-20T12:11:16,0,84,0,84
2022-05-20T12:21:31,0,84,0,84
2022-05-20T12:31:46,0,84,0,84
2022-05-20T12:42:02,0,84,0,84
2022-05-20T12:52:17,1,83,0,84
2022-05-20T13:02:45,1,83,0,84
2022-05-20T13:13:01,1,83,0,84
2022-05-20T13:23:17,1,83,0,84
2022-05-20T13:33:33,1,83,0,84
2022-05-20T13:43:50,1,83,0,84
2022-05-20T13:54:06,1,83,0,84
2022-05-20T14:04:22,1,83,0,84
2022-05-20T14:14:48,1,83,0,84
2022-05-20T14:25:03,1,83,0,84
2022-05-20T14:35:19,1,83,0,84
2022-05-20T14:45:35,1,83,0,84
2022-05-20T14:55:50,1,83,0,84
2022-05-20T15:06:16,1,83,0,84
2022-05-20T15:16:31,1,83,0,84
2022-05-20T15:26:46,1,83,0,84
2022-05-20T15:37:01,2,82,0,84
2022-05-20T15:47:17,3,81,0,84
2022-05-20T15:57:31,3,81,0,84
2022-05-20T16:07:47,3,81,0,84
2022-05-20T16:18:01,3,81,0,84
2022-05-20T16:28:27,3,81,0,84
2022-05-20T16:38:41,3,81,0,84
2022-05-20T16:48:55,3,81,0,84
2022-05-20T16:59:09,3,81,0,84
2022-05-20T17:09:24,3,81,0,84
2022-05-20T17:19:38,3,81,0,84
2022-05-20T17:29:52,3,81,0,84
2022-05-20T17:40:06,3,81,0,84
2022-05-20T17:50:20,3,81,0,84
2022-05-20T18:00:34,3,81,0,84
2022-05-20T18:10:57,3,81,0,84
2022-05-20T18:21:11,3,81,0,84
2022-05-20T18:31:24,3,81,0,84
2022-05-20T18:41:37,3,81,0,84
2022-05-20T18:51:51,3,81,0,84
2022-05-20T19:02:05,3,81,0,84
2022-05-20T19:12:19,3,81,0,84
2022-05-20T19:22:33,3,81,0,84
2022-05-20T19:32:46,3,81,0,84
2022-05-20T19:43:01,3,81,0,84
2022-05-20T19:53:14,3,81,0,84
2022-05-20T20:03:38,3,81,0,84
2022-05-20T20:13:52,3,81,0,84
2022-05-20T20:24:05,3,81,0,84
2022-05-20T20:34:19,3,81,0,84
2022-05-20T20:44:32,3,81,0,84
2022-05-20T20:54:46,3,81,0,84
2022-05-20T21:04:59,3,81,0,84
2022-05-20T21:15:13,3,81,0,84
2022-05-20T21:25:38,3,81,0,84
2022-05-20T21:35:51,3,81,0,84
2022-05-20T21:46:04,3,81,0,84
2022-05-20T21:56:18,3,81,0,84
2022-05-20T22:06:33,3,81,0,84
2022-05-20T22:16:46,3,81,0,84
2022-05-20T22:27:01,3,81,0,84
2022-05-20T22:37:15,3,81,0,84
2022-05-20T22:47:28,3,81,0,84
2022-05-20T22:57:41,3,81,0,84
2022-05-20T23:07:56,3,81,0,84
2022-05-20T23:18:20,3,81,0,84
2022-05-20T23:28:34,3,81,0,84
2022-05-20T23:38:48,3,81,0,84
2022-05-20T23:49:01,3,81,0,84
2022-05-20T23:59:14,3,81,0,84
2022-05-21T00:09:30,3,81,0,84
2022-05-21T00:19:46,3,81,0,84
2022-05-21T00:30:02,3,81,0,84
2022-05-21T00:40:18,3,81,0,84
2022-05-21T00:50:34,3,81,0,84
2022-05-21T01:00:49,3,81,0,84
2022-05-21T01:11:05,3,81,0,84
2022-05-21T01:21:20,3,81,0,84
2022-05-21T01:31:34,3,81,0,84
2022-05-21T01:41:50,3,81,0,84
2022-05-21T01:52:05,3,81,0,84
2022-05-21T02:02:29,3,81,0,84
2022-05-21T02:12:43,3,81,0,84
2022-05-21T02:22:56,3,81,0,84
2022-05-21T02:33:10,3,81,0,84
2022-05-21T02:43:23,3,81,0,84
2022-05-21T02:53:35,3,81,0,84
2022-05-21T03:03:48,3,81,0,84
2022-05-21T03:14:03,3,81,0,84
2022-05-21T03:24:22,3,81,0,84
2022-05-21T03:34:37,3,81,0,84
2022-05-21T03:44:53,3,81,0,84
2022-05-21T03:55:08,3,81,0,84
2022-05-21T04:05:23,3,81,0,84
2022-05-21T04:20:43,3,81,0,84
2022-05-21T04:31:21,3,81,0,84
2022-05-21T04:42:40,3,81,0,84
2022-05-21T04:52:56,3,81,0,84
2022-05-21T05:03:12,3,81,0,84
2022-05-21T05:13:27,3,81,0,84
2022-05-21T05:23:43,3,81,0,84
2022-05-21T05:33:59,3,81,0,84
2022-05-21T05:44:15,3,81,0,84
2022-05-21T05:54:31,3,81,0,84
2022-05-21T06:04:47,3,81,0,84
2022-05-21T06:15:01,3,81,0,84
2022-05-21T06:25:18,3,81,0,84
2022-05-21T06:35:33,3,81,0,84
2022-05-21T06:45:49,3,81,0,84
