time,enrolled,available,waitlisted,total
2022-05-20T04:29:12,0,25,0,25
2022-05-20T04:39:51,0,25,0,25
2022-05-20T04:50:08,0,25,0,25
2022-05-20T05:00:23,0,25,0,25
2022-05-20T05:10:40,0,25,0,25
2022-05-20T05:20:54,0,25,0,25
2022-05-20T05:31:10,0,25,0,25
2022-05-20T05:41:26,0,25,0,25
2022-05-20T05:51:42,0,25,0,25
2022-05-20T06:01:58,0,25,0,25
2022-05-20T06:12:12,0,25,0,25
2022-05-20T06:22:28,0,25,0,25
2022-05-20T06:32:43,0,25,0,25
2022-05-20T06:42:57,0,25,0,25
2022-05-20T06:53:10,0,25,0,25
2022-05-20T07:03:27,0,25,0,25
2022-05-20T07:13:41,0,25,0,25
2022-05-20T07:23:54,0,25,0,25
2022-05-20T07:34:08,0,25,0,25
2022-05-20T07:44:22,0,25,0,25
2022-05-20T07:54:36,0,25,0,25
2022-05-20T08:04:50,0,25,0,25
2022-05-20T08:15:05,0,25,0,25
2022-05-20T08:25:20,0,25,0,25
2022-05-20T08:35:35,0,25,0,25
2022-05-20T08:45:49,0,25,0,25
2022-05-20T08:56:04,0,25,0,25
2022-05-20T09:06:20,0,25,0,25
2022-05-20T09:16:48,0,25,0,25
2022-05-20T09:27:03,0,25,0,25
2022-05-20T09:37:19,0,25,0,25
2022-05-20T09:47:35,0,25,0,25
2022-05-20T09:57:51,0,25,0,25
2022-05-20T10:08:08,0,25,0,25
2022-05-20T10:18:23,0,25,0,25
2022-05-20T10:28:40,1,24,0,25
2022-05-20T10:38:55,1,24,0,25
2022-05-20T10:49:11,1,24,0,25
2022-05-20T10:59:40,1,24,0,25
2022-05-20T11:09:56,1,24,0,25
2022-05-20T11:20:13,1,24,0,25
2022-05-20T11:30:28,1,24,0,25
2022-05-20T11:40:44,2,23,0,25
2022-05-20T11:51:01,2,23,0,25
2022-05-20T12:01:30,2,23,0,25
2022-05-20T12:11:46,2,23,0,25
2022-05-20T12:22:01,2,23,0,25
2022-05-20T12:32:16,2,23,0,25
2022-05-20T12:42:31,2,23,0,25
2022-05-20T12:52:47,2,23,0,25
2022-05-20T13:03:14,2,23,0,25
2022-05-20T13:13:30,2,23,0,25
2022-05-20T13:23:47,2,23,0,25
2022-05-20T13:34:03,2,23,0,25
2022-05-20T13:44:20,2,23,0,25
2022-05-20T13:54:35,2,23,0,25
2022-05-20T14:04:51,2,23,0,25
2022-05-20T14:15:17,2,23,0,25
2022-05-20T14:25:33,2,23,0,25
2022-05-20T14:35:48,2,23,0,25
2022-05-20T14:46:04,2,23,0,25
2022-05-20T14:56:19,2,23,0,25
2022-05-20T15:06:45,2,23,0,25
2022-05-20T15:17:01,2,23,0,25
2022-05-20T15:27:16,2,23,0,25
2022-05-20T15:37:31,2,23,0,25
2022-05-20T15:47:46,2,23,0,25
2022-05-20T15:58:01,2,23,0,25
2022-05-20T16:08:16,2,23,0,25
2022-05-20T16:18:42,2,23,0,25
2022-05-20T16:28:56,2,23,0,25
2022-05-20T16:39:11,2,23,0,25
2022-05-20T16:49:25,2,23,0,25
2022-05-20T16:59:39,2,23,0,25
2022-05-20T17:09:54,2,23,0,25
2022-05-20T17:20:08,2,23,0,25
2022-05-20T17:30:21,2,23,0,25
2022-05-20T17:40:36,2,23,0,25
2022-05-20T17:50:50,2,23,0,25
2022-05-20T18:01:04,2,23,0,25
2022-05-20T18:11:27,2,23,0,25
2022-05-20T18:21:40,2,23,0,25
2022-05-20T18:31:54,2,23,0,25
2022-05-20T18:42:07,2,23,0,25
2022-05-20T18:52:20,2,23,0,25
2022-05-20T19:02:34,2,23,0,25
2022-05-20T19:12:48,2,23,0,25
2022-05-20T19:23:02,2,23,0,25
2022-05-20T19:33:16,2,23,0,25
2022-05-20T19:43:31,2,23,0,25
2022-05-20T19:53:44,2,23,0,25
2022-05-20T20:04:08,2,23,0,25
2022-05-20T20:14:21,2,23,0,25
2022-05-20T20:24:35,2,23,0,25
2022-05-20T20:34:49,2,23,0,25
2022-05-20T20:45:02,2,23,0,25
2022-05-20T20:55:15,2,23,0,25
2022-05-20T21:05:29,2,23,0,25
2022-05-20T21:15:43,2,23,0,25
2022-05-20T21:26:07,2,23,0,25
2022-05-20T21:36:20,2,23,0,25
2022-05-20T21:46:34,2,23,0,25
2022-05-20T21:56:48,2,23,0,25
2022-05-20T22:07:02,2,23,0,25
2022-05-20T22:17:16,2,23,0,25
2022-05-20T22:27:31,2,23,0,25
2022-05-20T22:37:44,2,23,0,25
2022-05-20T22:47:58,2,23,0,25
2022-05-20T22:58:11,2,23,0,25
2022-05-20T23:08:25,2,23,0,25
2022-05-20T23:18:50,2,23,0,25
2022-05-20T23:29:03,2,23,0,25
2022-05-20T23:39:17,2,23,0,25
2022-05-20T23:49:30,2,23,0,25
2022-05-20T23:59:44,2,23,0,25
2022-05-21T00:10:00,2,23,0,25
2022-05-21T00:20:16,2,23,0,25
2022-05-21T00:30:32,2,23,0,25
2022-05-21T00:40:48,2,23,0,25
2022-05-21T00:51:04,2,23,0,25
2022-05-21T01:01:19,2,23,0,25
2022-05-21T01:11:35,2,23,0,25
2022-05-21T01:21:49,2,23,0,25
2022-05-21T01:32:04,2,23,0,25
2022-05-21T01:42:20,2,23,0,25
2022-05-21T01:52:34,2,23,0,25
2022-05-21T02:02:58,2,23,0,25
2022-05-21T02:13:12,2,23,0,25
2022-05-21T02:23:26,2,23,0,25
2022-05-21T02:33:39,2,23,0,25
2022-05-21T02:43:52,2,23,0,25
2022-05-21T02:54:05,2,23,0,25
2022-05-21T03:04:18,2,23,0,25
2022-05-21T03:14:32,2,23,0,25
2022-05-21T03:24:51,2,23,0,25
2022-05-21T03:35:07,2,23,0,25
2022-05-21T03:45:23,2,23,0,25
2022-05-21T03:55:38,2,23,0,25
2022-05-21T04:05:53,2,23,0,25
