time,enrolled,available,waitlisted,total
2022-05-18T04:32:38,0,75,0,75
2022-05-18T04:43:11,0,75,0,75
2022-05-18T04:53:21,0,75,0,75
2022-05-18T05:03:33,0,75,0,75
2022-05-18T05:13:42,0,75,0,75
2022-05-18T05:23:53,0,75,0,75
2022-05-18T05:34:04,0,75,0,75
2022-05-18T05:44:14,0,75,0,75
2022-05-18T05:54:24,0,75,0,75
2022-05-18T06:04:38,0,75,0,75
2022-05-18T06:14:46,0,75,0,75
2022-05-18T06:24:54,0,75,0,75
2022-05-18T06:35:02,0,75,0,75
2022-05-18T06:45:10,0,75,0,75
2022-05-18T06:55:17,0,75,0,75
2022-05-18T07:05:26,0,75,0,75
2022-05-18T07:15:34,0,75,0,75
2022-05-18T07:25:42,0,75,0,75
2022-05-18T07:35:50,0,75,0,75
2022-05-18T07:45:58,0,75,0,75
2022-05-18T07:56:06,0,75,0,75
2022-05-18T08:06:14,0,75,0,75
2022-05-18T08:16:22,0,75,0,75
2022-05-18T08:26:30,0,75,0,75
2022-05-18T08:36:39,0,75,0,75
2022-05-18T08:46:49,0,75,0,75
2022-05-18T08:56:58,0,75,0,75
2022-05-18T09:07:19,0,75,0,75
2022-05-18T09:17:28,0,75,0,75
2022-05-18T09:27:37,0,75,0,75
2022-05-18T09:37:46,0,75,0,75
2022-05-18T09:47:55,0,75,0,75
2022-05-18T09:58:05,0,75,0,75
2022-05-18T10:08:17,0,75,0,75
2022-05-18T10:18:28,0,75,0,75
2022-05-18T10:28:39,0,75,0,75
2022-05-18T10:39:02,0,75,0,75
2022-05-18T10:49:12,0,75,0,75
2022-05-18T10:59:21,0,75,0,75
2022-05-18T11:09:32,0,75,0,75
2022-05-18T11:19:41,0,75,0,75
2022-05-18T11:29:50,0,75,0,75
2022-05-18T11:39:59,0,75,0,75
2022-05-18T11:50:07,0,75,0,75
2022-05-18T12:00:27,0,75,0,75
2022-05-18T12:10:35,0,75,0,75
2022-05-18T12:20:43,0,75,0,75
2022-05-18T12:30:54,0,75,0,75
2022-05-18T12:41:04,0,75,0,75
2022-05-18T12:51:14,0,75,0,75
2022-05-18T13:01:25,0,75,0,75
2022-05-18T13:11:46,0,75,0,75
2022-05-18T13:21:56,0,75,0,75
2022-05-18T13:32:05,0,75,0,75
2022-05-18T13:42:17,0,75,0,75
2022-05-18T13:52:28,0,75,0,75
2022-05-18T14:02:38,0,75,0,75
2022-05-18T14:12:49,0,75,0,75
2022-05-18T14:22:59,0,75,0,75
2022-05-18T14:33:21,0,75,0,75
2022-05-18T14:43:31,0,75,0,75
2022-05-18T14:53:41,0,75,0,75
2022-05-18T15:03:52,0,75,0,75
2022-05-18T15:14:04,0,75,0,75
2022-05-18T15:24:14,0,75,0,75
2022-05-18T15:34:36,0,75,0,75
2022-05-18T15:44:46,0,75,0,75
2022-05-18T15:54:57,0,75,0,75
2022-05-18T16:05:08,0,75,0,75
2022-05-18T16:15:19,0,75,0,75
2022-05-18T16:25:30,0,75,0,75
2022-05-18T16:35:39,0,75,0,75
2022-05-18T16:45:49,0,75,0,75
2022-05-18T16:55:59,0,75,0,75
2022-05-18T17:06:20,0,75,0,75
2022-05-18T17:16:30,0,75,0,75
2022-05-18T17:26:39,0,75,0,75
2022-05-18T17:36:48,0,75,0,75
2022-05-18T17:46:58,0,75,0,75
2022-05-18T17:57:07,0,75,0,75
2022-05-18T18:07:16,0,75,0,75
2022-05-18T18:17:26,0,75,0,75
2022-05-18T18:27:36,0,75,0,75
2022-05-18T18:37:56,0,75,0,75
2022-05-18T18:48:05,0,75,0,75
2022-05-18T18:58:14,0,75,0,75
2022-05-18T19:08:23,0,75,0,75
2022-05-18T19:18:32,0,75,0,75
2022-05-18T19:28:41,0,75,0,75
2022-05-18T19:38:50,0,75,0,75
2022-05-18T19:48:59,0,75,0,75
2022-05-18T19:59:09,0,75,0,75
2022-05-18T20:09:17,0,75,0,75
2022-05-18T20:19:37,0,75,0,75
2022-05-18T20:29:46,0,75,0,75
2022-05-18T20:39:54,0,75,0,75
2022-05-18T20:50:03,0,75,0,75
2022-05-18T21:00:12,0,75,0,75
2022-05-18T21:10:23,0,75,0,75
2022-05-18T21:20:31,0,75,0,75
2022-05-18T21:30:40,0,75,0,75
2022-05-18T21:40:49,0,75,0,75
2022-05-18T21:51:08,0,75,0,75
2022-05-18T22:01:17,0,75,0,75
