time,enrolled,available,waitlisted,total
2022-05-20T04:29:14,0,50,0,50
2022-05-20T04:39:53,0,50,0,50
2022-05-20T04:50:10,0,50,0,50
2022-05-20T05:00:26,0,50,0,50
2022-05-20T05:10:42,0,50,0,50
2022-05-20T05:20:57,0,50,0,50
2022-05-20T05:31:12,0,50,0,50
2022-05-20T05:41:28,0,50,0,50
2022-05-20T05:51:44,0,50,0,50
2022-05-20T06:02:00,0,50,0,50
2022-05-20T06:12:14,0,50,0,50
2022-05-20T06:22:30,0,50,0,50
2022-05-20T06:32:45,0,50,0,50
2022-05-20T06:42:59,0,50,0,50
2022-05-20T06:53:13,0,50,0,50
2022-05-20T07:03:29,0,50,0,50
2022-05-20T07:13:43,0,50,0,50
2022-05-20T07:23:56,0,50,0,50
2022-05-20T07:34:10,0,50,0,50
2022-05-20T07:44:24,0,50,0,50
2022-05-20T07:54:39,0,50,0,50
2022-05-20T08:04:52,0,50,0,50
2022-05-20T08:15:07,0,50,0,50
2022-05-20T08:25:22,0,50,0,50
2022-05-20T08:35:37,0,50,0,50
2022-05-20T08:45:52,0,50,0,50
2022-05-20T08:56:06,0,50,0,50
2022-05-20T09:06:22,0,50,0,50
2022-05-20T09:16:50,0,50,0,50
2022-05-20T09:27:05,0,50,0,50
2022-05-20T09:37:21,0,50,0,50
2022-05-20T09:47:37,0,50,0,50
2022-05-20T09:57:53,0,50,0,50
2022-05-20T10:08:10,0,50,0,50
2022-05-20T10:18:26,0,50,0,50
2022-05-20T10:28:42,0,50,0,50
2022-05-20T10:38:57,0,50,0,50
2022-05-20T10:49:13,0,50,0,50
2022-05-20T10:59:42,0,50,0,50
2022-05-20T11:09:59,0,50,0,50
2022-05-20T11:20:15,0,50,0,50
2022-05-20T11:30:30,0,50,0,50
2022-05-20T11:40:47,0,50,0,50
2022-05-20T11:51:03,1,49,0,50
2022-05-20T12:01:32,1,49,0,50
2022-05-20T12:11:48,1,49,0,50
2022-05-20T12:22:03,1,49,0,50
2022-05-20T12:32:18,1,49,0,50
2022-05-20T12:42:33,1,49,0,50
2022-05-20T12:52:49,1,49,0,50
2022-05-20T13:03:16,1,49,0,50
2022-05-20T13:13:33,1,49,0,50
2022-05-20T13:23:49,1,49,0,50
2022-05-20T13:34:05,1,49,0,50
2022-05-20T13:44:22,1,49,0,50
2022-05-20T13:54:37,1,49,0,50
2022-05-20T14:04:53,1,49,0,50
2022-05-20T14:15:19,1,49,0,50
2022-05-20T14:25:35,1,49,0,50
2022-05-20T14:35:51,2,48,0,50
2022-05-20T14:46:06,2,48,0,50
2022-05-20T14:56:21,2,48,0,50
2022-05-20T15:06:47,2,48,0,50
2022-05-20T15:17:03,2,48,0,50
2022-05-20T15:27:18,2,48,0,50
2022-05-20T15:37:33,2,48,0,50
2022-05-20T15:47:48,2,48,0,50
2022-05-20T15:58:03,2,48,0,50
2022-05-20T16:08:18,2,48,0,50
2022-05-20T16:18:44,2,48,0,50
2022-05-20T16:28:58,2,48,0,50
2022-05-20T16:39:13,3,47,0,50
2022-05-20T16:49:27,3,47,0,50
2022-05-20T16:59:41,3,47,0,50
2022-05-20T17:09:56,3,47,0,50
2022-05-20T17:20:10,3,47,0,50
2022-05-20T17:30:23,3,47,0,50
2022-05-20T17:40:38,3,47,0,50
2022-05-20T17:50:52,3,47,0,50
2022-05-20T18:01:06,3,47,0,50
2022-05-20T18:11:29,3,47,0,50
2022-05-20T18:21:42,3,47,0,50
2022-05-20T18:31:56,3,47,0,50
2022-05-20T18:42:09,3,47,0,50
2022-05-20T18:52:22,3,47,0,50
2022-05-20T19:02:36,3,47,0,50
2022-05-20T19:12:50,3,47,0,50
2022-05-20T19:23:05,3,47,0,50
2022-05-20T19:33:18,3,47,0,50
2022-05-20T19:43:33,3,47,0,50
2022-05-20T19:53:46,3,47,0,50
2022-05-20T20:04:10,3,47,0,50
2022-05-20T20:14:23,3,47,0,50
2022-05-20T20:24:37,3,47,0,50
2022-05-20T20:34:51,3,47,0,50
2022-05-20T20:45:04,3,47,0,50
2022-05-20T20:55:17,3,47,0,50
2022-05-20T21:05:31,3,47,0,50
2022-05-20T21:15:45,3,47,0,50
2022-05-20T21:26:09,3,47,0,50
2022-05-20T21:36:23,3,47,0,50
2022-05-20T21:46:36,3,47,0,50
2022-05-20T21:56:50,3,47,0,50
2022-05-20T22:07:04,3,47,0,50
2022-05-20T22:17:18,3,47,0,50
2022-05-20T22:27:33,3,47,0,50
2022-05-20T22:37:46,3,47,0,50
2022-05-20T22:48:00,3,47,0,50
2022-05-20T22:58:13,3,47,0,50
2022-05-20T23:08:27,3,47,0,50
2022-05-20T23:18:52,3,47,0,50
2022-05-20T23:29:05,3,47,0,50
2022-05-20T23:39:19,3,47,0,50
2022-05-20T23:49:33,3,47,0,50
2022-05-20T23:59:46,3,47,0,50
2022-05-21T00:10:02,3,47,0,50
2022-05-21T00:20:18,3,47,0,50
2022-05-21T00:30:34,3,47,0,50
2022-05-21T00:40:50,3,47,0,50
2022-05-21T00:51:06,3,47,0,50
2022-05-21T01:01:21,3,47,0,50
2022-05-21T01:11:37,3,47,0,50
2022-05-21T01:21:51,3,47,0,50
2022-05-21T01:32:06,3,47,0,50
2022-05-21T01:42:22,3,47,0,50
2022-05-21T01:52:36,3,47,0,50
2022-05-21T02:03:00,3,47,0,50
2022-05-21T02:13:15,3,47,0,50
2022-05-21T02:23:28,3,47,0,50
2022-05-21T02:33:41,3,47,0,50
2022-05-21T02:43:54,3,47,0,50
2022-05-21T02:54:07,3,47,0,50
2022-05-21T03:04:20,3,47,0,50
2022-05-21T03:14:34,3,47,0,50
2022-05-21T03:24:53,3,47,0,50
2022-05-21T03:35:09,3,47,0,50
2022-05-21T03:45:25,3,47,0,50
2022-05-21T03:55:40,3,47,0,50
2022-05-21T04:05:55,3,47,0,50
2022-05-21T04:21:15,3,47,0,50
2022-05-21T04:32:24,3,47,0,50
2022-05-21T04:43:12,3,47,0,50
2022-05-21T04:53:28,3,47,0,50
2022-05-21T05:03:43,3,47,0,50
2022-05-21T05:13:59,3,47,0,50
2022-05-21T05:24:15,3,47,0,50
2022-05-21T05:34:31,3,47,0,50
2022-05-21T05:44:47,3,47,0,50
2022-05-21T05:55:03,3,47,0,50
2022-05-21T06:05:18,3,47,0,50
2022-05-21T06:15:33,3,47,0,50
2022-05-21T06:25:50,3,47,0,50
2022-05-21T06:36:05,3,47,0,50
2022-05-21T06:46:21,3,47,0,50
2022-05-21T06:56:36,3,47,0,50
2022-05-21T07:06:51,3,47,0,50
2022-05-21T07:17:07,3,47,0,50
2022-05-21T07:27:22,3,47,0,50
2022-05-21T07:37:37,3,47,0,50
2022-05-21T07:47:52,3,47,0,50
2022-05-21T07:58:06,3,47,0,50
2022-05-21T08:08:21,3,47,0,50
