time,enrolled,available,waitlisted,total
2022-05-20T04:29:10,0,215,0,215
2022-05-20T04:39:48,0,215,0,215
2022-05-20T04:50:05,0,215,0,215
2022-05-20T05:00:21,0,215,0,215
2022-05-20T05:10:38,0,215,0,215
2022-05-20T05:20:52,0,215,0,215
2022-05-20T05:31:08,0,215,0,215
2022-05-20T05:41:24,0,215,0,215
2022-05-20T05:51:40,0,215,0,215
2022-05-20T06:01:56,0,215,0,215
2022-05-20T06:12:10,0,215,0,215
2022-05-20T06:22:26,0,215,0,215
2022-05-20T06:32:41,0,215,0,215
2022-05-20T06:42:55,0,215,0,215
2022-05-20T06:53:08,0,215,0,215
2022-05-20T07:03:25,0,215,0,215
2022-05-20T07:13:39,0,215,0,215
2022-05-20T07:23:52,0,215,0,215
2022-05-20T07:34:06,0,215,0,215
2022-05-20T07:44:20,0,215,0,215
2022-05-20T07:54:34,0,215,0,215
2022-05-20T08:04:48,0,215,0,215
2022-05-20T08:15:03,0,215,0,215
2022-05-20T08:25:18,0,215,0,215
2022-05-20T08:35:33,0,215,0,215
2022-05-20T08:45:47,0,215,0,215
2022-05-20T08:56:02,0,215,0,215
2022-05-20T09:06:18,0,215,0,215
2022-05-20T09:16:46,0,215,0,215
2022-05-20T09:27:01,0,215,0,215
2022-05-20T09:37:17,0,215,0,215
2022-05-20T09:47:33,0,215,0,215
2022-05-20T09:57:49,0,215,0,215
2022-05-20T10:08:06,0,215,0,215
2022-05-20T10:18:21,0,215,0,215
2022-05-20T10:28:37,0,215,0,215
2022-05-20T10:38:53,0,215,0,215
2022-05-20T10:49:09,0,215,0,215
2022-05-20T10:59:38,0,215,0,215
2022-05-20T11:09:54,0,215,0,215
2022-05-20T11:20:11,1,214,0,215
2022-05-20T11:30:26,1,214,0,215
2022-05-20T11:40:42,1,214,0,215
2022-05-20T11:50:59,1,214,0,215
2022-05-20T12:01:28,1,214,0,215
2022-05-20T12:11:44,1,214,0,215
2022-05-20T12:21:59,1,214,0,215
2022-05-20T12:32:14,1,214,0,215
2022-05-20T12:42:29,1,214,0,215
2022-05-20T12:52:45,1,214,0,215
2022-05-20T13:03:12,1,214,0,215
2022-05-20T13:13:28,1,214,0,215
2022-05-20T13:23:44,1,214,0,215
2022-05-20T13:34:01,1,214,0,215
2022-05-20T13:44:18,1,214,0,215
2022-05-20T13:54:33,1,214,0,215
2022-05-20T14:04:49,1,214,0,215
2022-05-20T14:15:15,1,214,0,215
2022-05-20T14:25:30,1,214,0,215
2022-05-20T14:35:46,1,214,0,215
2022-05-20T14:46:02,1,214,0,215
2022-05-20T14:56:17,1,214,0,215
2022-05-20T15:06:43,1,214,0,215
2022-05-20T15:16:58,1,214,0,215
2022-05-20T15:27:14,1,214,0,215
2022-05-20T15:37:29,1,214,0,215
2022-05-20T15:47:44,1,214,0,215
2022-05-20T15:57:59,1,214,0,215
2022-05-20T16:08:14,1,214,0,215
2022-05-20T16:18:40,1,214,0,215
2022-05-20T16:28:54,1,214,0,215
2022-05-20T16:39:08,1,214,0,215
2022-05-20T16:49:23,1,214,0,215
2022-05-20T16:59:37,1,214,0,215
2022-05-20T17:09:52,1,214,0,215
2022-05-20T17:20:06,1,214,0,215
2022-05-20T17:30:19,1,214,0,215
2022-05-20T17:40:33,1,214,0,215
2022-05-20T17:50:48,1,214,0,215
2022-05-20T18:01:01,1,214,0,215
2022-05-20T18:11:25,1,214,0,215
2022-05-20T18:21:38,1,214,0,215
2022-05-20T18:31:52,1,214,0,215
2022-05-20T18:42:05,1,214,0,215
2022-05-20T18:52:18,1,214,0,215
2022-05-20T19:02:32,1,214,0,215
2022-05-20T19:12:46,1,214,0,215
2022-05-20T19:23:00,1,214,0,215
2022-05-20T19:33:14,1,214,0,215
2022-05-20T19:43:28,1,214,0,215
2022-05-20T19:53:42,1,214,0,215
2022-05-20T20:04:05,1,214,0,215
2022-05-20T20:14:19,1,214,0,215
2022-05-20T20:24:33,1,214,0,215
2022-05-20T20:34:46,1,214,0,215
2022-05-20T20:45:00,1,214,0,215
2022-05-20T20:55:13,1,214,0,215
2022-05-20T21:05:27,1,214,0,215
2022-05-20T21:15:41,1,214,0,215
