time,enrolled,available,waitlisted,total
2022-05-18T04:32:48,0,76,0,76
2022-05-18T04:43:21,0,76,0,76
2022-05-18T04:53:31,0,76,0,76
2022-05-18T05:03:43,0,76,0,76
2022-05-18T05:13:52,0,76,0,76
2022-05-18T05:24:03,0,76,0,76
2022-05-18T05:34:14,0,76,0,76
2022-05-18T05:44:24,0,76,0,76
2022-05-18T05:54:34,0,76,0,76
2022-05-18T06:04:48,0,76,0,76
2022-05-18T06:14:56,0,76,0,76
2022-05-18T06:25:04,0,76,0,76
2022-05-18T06:35:12,0,76,0,76
2022-05-18T06:45:20,0,76,0,76
2022-05-18T06:55:27,0,76,0,76
2022-05-18T07:05:36,0,76,0,76
2022-05-18T07:15:44,0,76,0,76
2022-05-18T07:25:52,0,76,0,76
2022-05-18T07:36:00,0,76,0,76
2022-05-18T07:46:08,0,76,0,76
2022-05-18T07:56:16,0,76,0,76
2022-05-18T08:06:24,0,76,0,76
2022-05-18T08:16:32,0,76,0,76
2022-05-18T08:26:40,0,76,0,76
2022-05-18T08:36:49,0,76,0,76
2022-05-18T08:46:59,0,76,0,76
2022-05-18T08:57:08,0,76,0,76
2022-05-18T09:07:29,0,76,0,76
2022-05-18T09:17:38,0,76,0,76
2022-05-18T09:27:47,0,76,0,76
2022-05-18T09:37:56,0,76,0,76
2022-05-18T09:48:05,0,76,0,76
2022-05-18T09:58:15,0,76,0,76
2022-05-18T10:08:27,0,76,0,76
2022-05-18T10:18:38,0,76,0,76
2022-05-18T10:28:49,0,76,0,76
2022-05-18T10:39:12,0,76,0,76
2022-05-18T10:49:22,0,76,0,76
2022-05-18T10:59:32,0,76,0,76
2022-05-18T11:09:42,0,76,0,76
2022-05-18T11:19:51,0,76,0,76
2022-05-18T11:30:00,0,76,0,76
2022-05-18T11:40:09,0,76,0,76
2022-05-18T11:50:18,0,76,0,76
2022-05-18T12:00:37,0,76,0,76
2022-05-18T12:10:45,0,76,0,76
2022-05-18T12:20:54,0,76,0,76
2022-05-18T12:31:04,0,76,0,76
2022-05-18T12:41:14,0,76,0,76
2022-05-18T12:51:24,0,76,0,76
2022-05-18T13:01:35,0,76,0,76
2022-05-18T13:11:56,0,76,0,76
2022-05-18T13:22:06,0,76,0,76
2022-05-18T13:32:15,0,76,0,76
2022-05-18T13:42:27,0,76,0,76
2022-05-18T13:52:38,0,76,0,76
2022-05-18T14:02:48,0,76,0,76
2022-05-18T14:12:59,0,76,0,76
2022-05-18T14:23:09,0,76,0,76
2022-05-18T14:33:31,0,76,0,76
2022-05-18T14:43:41,0,76,0,76
2022-05-18T14:53:51,0,76,0,76
2022-05-18T15:04:02,0,76,0,76
2022-05-18T15:14:14,0,76,0,76
2022-05-18T15:24:24,0,76,0,76
2022-05-18T15:34:46,0,76,0,76
2022-05-18T15:44:56,0,76,0,76
2022-05-18T15:55:07,0,76,0,76
2022-05-18T16:05:18,0,76,0,76
2022-05-18T16:15:29,0,76,0,76
2022-05-18T16:25:40,0,76,0,76
2022-05-18T16:35:49,0,76,0,76
2022-05-18T16:45:59,0,76,0,76
2022-05-18T16:56:09,0,76,0,76
2022-05-18T17:06:30,0,76,0,76
2022-05-18T17:16:40,0,76,0,76
2022-05-18T17:26:49,0,76,0,76
2022-05-18T17:36:58,0,76,0,76
2022-05-18T17:47:08,0,76,0,76
2022-05-18T17:57:17,0,76,0,76
2022-05-18T18:07:26,0,76,0,76
2022-05-18T18:17:36,0,76,0,76
2022-05-18T18:27:46,0,76,0,76
2022-05-18T18:38:06,0,76,0,76
2022-05-18T18:48:15,0,76,0,76
2022-05-18T18:58:24,0,76,0,76
2022-05-18T19:08:33,0,76,0,76
2022-05-18T19:18:42,0,76,0,76
2022-05-18T19:28:51,0,76,0,76
2022-05-18T19:39:00,0,76,0,76
2022-05-18T19:49:09,0,76,0,76
2022-05-18T19:59:19,0,76,0,76
2022-05-18T20:09:27,0,76,0,76
2022-05-18T20:19:47,0,76,0,76
2022-05-18T20:29:56,0,76,0,76
2022-05-18T20:40:04,0,76,0,76
2022-05-18T20:50:13,0,76,0,76
2022-05-18T21:00:22,0,76,0,76
2022-05-18T21:10:33,0,76,0,76
2022-05-18T21:20:41,0,76,0,76
2022-05-18T21:30:50,0,76,0,76
2022-05-18T21:40:59,0,76,0,76
2022-05-18T21:51:18,0,76,0,76
2022-05-18T22:01:27,0,76,0,76
2022-05-18T22:11:36,0,76,0,76
2022-05-18T22:21:45,0,76,0,76
2022-05-18T22:31:54,0,76,0,76
2022-05-18T22:42:03,0,76,0,76
2022-05-18T22:52:12,0,76,0,76
2022-05-18T23:02:21,0,76,0,76
2022-05-18T23:12:31,0,76,0,76
2022-05-18T23:22:41,0,76,0,76
2022-05-18T23:33:04,0,76,0,76
2022-05-18T23:43:13,0,76,0,76
2022-05-18T23:53:21,0,76,0,76
2022-05-19T00:03:31,0,76,0,76
2022-05-19T00:13:44,0,76,0,76
2022-05-19T00:23:56,0,76,0,76
2022-05-19T00:34:11,0,76,0,76
2022-05-19T00:44:25,0,76,0,76
2022-05-19T00:54:36,0,76,0,76
2022-05-19T01:04:46,0,76,0,76
2022-05-19T01:14:56,0,76,0,76
2022-05-19T01:25:05,0,76,0,76
2022-05-19T01:35:15,0,76,0,76
2022-05-19T01:45:24,0,76,0,76
2022-05-19T01:55:35,0,76,0,76
2022-05-19T02:05:55,0,76,0,76
2022-05-19T02:16:05,0,76,0,76
2022-05-19T02:26:13,0,76,0,76
2022-05-19T02:36:21,0,76,0,76
2022-05-19T02:46:29,0,76,0,76
2022-05-19T02:56:37,0,76,0,76
2022-05-19T03:06:46,0,76,0,76
2022-05-19T03:16:57,0,76,0,76
2022-05-19T03:27:17,0,76,0,76
2022-05-19T03:37:28,0,76,0,76
2022-05-19T03:47:39,0,76,0,76
2022-05-19T03:57:49,0,76,0,76
2022-05-19T04:08:00,0,76,0,76
2022-05-19T04:23:59,0,76,0,76
2022-05-19T04:35:19,0,76,0,76
2022-05-19T04:45:46,0,76,0,76
2022-05-19T04:55:58,0,76,0,76
2022-05-19T05:06:10,0,76,0,76
2022-05-19T05:16:21,0,76,0,76
2022-05-19T05:26:33,0,76,0,76
2022-05-19T05:36:43,0,76,0,76
2022-05-19T05:46:53,0,76,0,76
2022-05-19T05:57:04,0,76,0,76
2022-05-19T06:07:15,0,76,0,76
2022-05-19T06:17:26,0,76,0,76
2022-05-19T06:27:37,0,76,0,76
2022-05-19T06:37:48,0,76,0,76
2022-05-19T06:47:59,0,76,0,76
2022-05-19T06:58:09,0,76,0,76
2022-05-19T07:08:24,0,76,0,76
2022-05-19T07:18:34,0,76,0,76
2022-05-19T07:28:43,0,76,0,76
2022-05-19T07:38:53,0,76,0,76
2022-05-19T07:49:02,0,76,0,76
2022-05-19T07:59:11,0,76,0,76
2022-05-19T08:09:20,0,76,0,76
2022-05-19T08:19:29,0,76,0,76
2022-05-19T08:29:39,0,76,0,76
