time,enrolled,available,waitlisted,total
2022-05-20T04:29:24,0,75,0,75
2022-05-20T04:40:03,0,75,0,75
2022-05-20T04:50:20,0,75,0,75
2022-05-20T05:00:36,0,75,0,75
2022-05-20T05:10:52,0,75,0,75
2022-05-20T05:21:07,0,75,0,75
2022-05-20T05:31:22,0,75,0,75
2022-05-20T05:41:38,0,75,0,75
2022-05-20T05:51:54,0,75,0,75
2022-05-20T06:02:10,0,75,0,75
2022-05-20T06:12:24,0,75,0,75
2022-05-20T06:22:40,0,75,0,75
2022-05-20T06:32:55,0,75,0,75
2022-05-20T06:43:09,0,75,0,75
2022-05-20T06:53:23,0,75,0,75
2022-05-20T07:03:39,0,75,0,75
2022-05-20T07:13:53,0,75,0,75
2022-05-20T07:24:07,0,75,0,75
2022-05-20T07:34:20,0,75,0,75
2022-05-20T07:44:35,0,75,0,75
2022-05-20T07:54:49,0,75,0,75
2022-05-20T08:05:03,0,75,0,75
2022-05-20T08:15:17,0,75,0,75
2022-05-20T08:25:32,0,75,0,75
2022-05-20T08:35:47,0,75,0,75
2022-05-20T08:46:02,0,75,0,75
2022-05-20T08:56:16,0,75,0,75
2022-05-20T09:06:32,0,75,0,75
2022-05-20T09:17:00,0,75,0,75
2022-05-20T09:27:15,0,75,0,75
2022-05-20T09:37:31,0,75,0,75
2022-05-20T09:47:47,0,75,0,75
2022-05-20T09:58:03,0,75,0,75
2022-05-20T10:08:20,0,75,0,75
2022-05-20T10:18:36,0,75,0,75
2022-05-20T10:28:52,0,75,0,75
2022-05-20T10:39:07,0,75,0,75
2022-05-20T10:49:23,0,75,0,75
2022-05-20T10:59:52,0,75,0,75
2022-05-20T11:10:09,0,75,0,75
2022-05-20T11:20:25,0,75,0,75
2022-05-20T11:30:40,0,75,0,75
2022-05-20T11:40:57,0,75,0,75
2022-05-20T11:51:26,0,75,0,75
2022-05-20T12:01:42,0,75,0,75
2022-05-20T12:11:58,0,75,0,75
2022-05-20T12:22:13,0,75,0,75
2022-05-20T12:32:28,0,75,0,75
2022-05-20T12:42:43,0,75,0,75
2022-05-20T12:52:59,0,75,0,75
2022-05-20T13:03:26,0,75,0,75
2022-05-20T13:13:43,0,75,0,75
2022-05-20T13:23:59,0,75,0,75
2022-05-20T13:34:15,0,75,0,75
2022-05-20T13:44:32,0,75,0,75
2022-05-20T13:54:47,0,75,0,75
2022-05-20T14:05:03,0,75,0,75
2022-05-20T14:15:29,0,75,0,75
2022-05-20T14:25:45,0,75,0,75
2022-05-20T14:36:01,0,75,0,75
2022-05-20T14:46:16,0,75,0,75
2022-05-20T14:56:31,0,75,0,75
2022-05-20T15:06:57,0,75,0,75
2022-05-20T15:17:13,0,75,0,75
2022-05-20T15:27:28,0,75,0,75
2022-05-20T15:37:43,0,75,0,75
2022-05-20T15:47:58,0,75,0,75
2022-05-20T15:58:13,0,75,0,75
2022-05-20T16:08:28,0,75,0,75
2022-05-20T16:18:54,0,75,0,75
2022-05-20T16:29:08,0,75,0,75
2022-05-20T16:39:23,0,75,0,75
2022-05-20T16:49:37,0,75,0,75
2022-05-20T16:59:51,0,75,0,75
2022-05-20T17:10:06,0,75,0,75
2022-05-20T17:20:20,0,75,0,75
2022-05-20T17:30:34,0,75,0,75
2022-05-20T17:40:48,0,75,0,75
2022-05-20T17:51:02,0,75,0,75
2022-05-20T18:01:16,0,75,0,75
2022-05-20T18:11:39,0,75,0,75
2022-05-20T18:21:52,0,75,0,75
2022-05-20T18:32:06,0,75,0,75
2022-05-20T18:42:19,0,75,0,75
2022-05-20T18:52:32,1,74,0,75
2022-05-20T19:02:46,1,74,0,75
2022-05-20T19:13:00,1,74,0,75
2022-05-20T19:23:15,1,74,0,75
2022-05-20T19:33:28,1,74,0,75
2022-05-20T19:43:43,1,74,0,75
2022-05-20T19:53:56,1,74,0,75
2022-05-20T20:04:20,1,74,0,75
2022-05-20T20:14:33,1,74,0,75
2022-05-20T20:24:47,1,74,0,75
2022-05-20T20:35:01,2,73,0,75
2022-05-20T20:45:14,2,73,0,75
2022-05-20T20:55:28,2,73,0,75
2022-05-20T21:05:41,2,73,0,75
2022-05-20T21:15:55,2,73,0,75
2022-05-20T21:26:19,2,73,0,75
2022-05-20T21:36:33,2,73,0,75
2022-05-20T21:46:46,2,73,0,75
2022-05-20T21:57:00,2,73,0,75
2022-05-20T22:07:14,2,73,0,75
2022-05-20T22:17:28,2,73,0,75
2022-05-20T22:27:43,2,73,0,75
2022-05-20T22:37:56,2,73,0,75
2022-05-20T22:48:10,2,73,0,75
2022-05-20T22:58:23,2,73,0,75
2022-05-20T23:08:37,2,73,0,75
2022-05-20T23:19:02,2,73,0,75
2022-05-20T23:29:15,2,73,0,75
2022-05-20T23:39:29,2,73,0,75
2022-05-20T23:49:43,2,73,0,75
2022-05-20T23:59:56,2,73,0,75
2022-05-21T00:10:12,2,73,0,75
2022-05-21T00:20:28,2,73,0,75
2022-05-21T00:30:44,2,73,0,75
2022-05-21T00:41:00,2,73,0,75
2022-05-21T00:51:16,2,73,0,75
2022-05-21T01:01:31,2,73,0,75
2022-05-21T01:11:47,2,73,0,75
2022-05-21T01:22:01,2,73,0,75
2022-05-21T01:32:16,2,73,0,75
2022-05-21T01:42:32,2,73,0,75
2022-05-21T01:52:46,2,73,0,75
2022-05-21T02:03:10,2,73,0,75
2022-05-21T02:13:25,2,73,0,75
2022-05-21T02:23:38,2,73,0,75
2022-05-21T02:33:51,2,73,0,75
2022-05-21T02:44:04,2,73,0,75
2022-05-21T02:54:17,2,73,0,75
2022-05-21T03:04:30,2,73,0,75
2022-05-21T03:14:45,2,73,0,75
2022-05-21T03:25:03,2,73,0,75
2022-05-21T03:35:19,2,73,0,75
2022-05-21T03:45:35,2,73,0,75
2022-05-21T03:55:50,2,73,0,75
2022-05-21T04:06:05,2,73,0,75
2022-05-21T04:21:25,2,73,0,75
2022-05-21T04:32:45,2,73,0,75
2022-05-21T04:43:22,2,73,0,75
2022-05-21T04:53:38,2,73,0,75
2022-05-21T05:03:53,2,73,0,75
2022-05-21T05:14:09,2,73,0,75
2022-05-21T05:24:25,2,73,0,75
2022-05-21T05:34:41,2,73,0,75
2022-05-21T05:44:57,2,73,0,75
2022-05-21T05:55:13,2,73,0,75
2022-05-21T06:05:28,2,73,0,75
2022-05-21T06:15:43,2,73,0,75
2022-05-21T06:26:00,2,73,0,75
2022-05-21T06:36:15,2,73,0,75
2022-05-21T06:46:31,2,73,0,75
2022-05-21T06:56:46,2,73,0,75
2022-05-21T07:07:01,2,73,0,75
2022-05-21T07:17:17,2,73,0,75
2022-05-21T07:27:32,2,73,0,75
2022-05-21T07:37:47,2,73,0,75
2022-05-21T07:48:02,2,73,0,75
2022-05-21T07:58:16,2,73,0,75
2022-05-21T08:08:31,2,73,0,75
2022-05-21T08:18:48,2,73,0,75
2022-05-21T08:29:02,2,73,0,75
2022-05-21T08:39:17,2,73,0,75
2022-05-21T08:49:53,2,73,0,75
2022-05-21T09:00:07,2,73,0,75
2022-05-21T09:10:21,2,73,0,75
2022-05-21T09:20:33,2,73,0,75
2022-05-21T09:30:46,2,73,0,75
2022-05-21T09:40:59,2,73,0,75
2022-05-21T09:51:13,2,73,0,75
2022-05-21T10:01:26,2,73,0,75
2022-05-21T10:11:40,2,73,0,75
2022-05-21T10:21:53,2,73,0,75
2022-05-21T10:32:06,2,73,0,75
2022-05-21T10:42:19,2,73,0,75
2022-05-21T10:52:32,2,73,0,75
2022-05-21T11:02:46,2,73,0,75
2022-05-21T11:13:10,2,73,0,75
2022-05-21T11:23:24,3,72,0,75
2022-05-21T11:33:38,3,72,0,75
2022-05-21T11:43:52,4,71,0,75
2022-05-21T11:54:05,4,71,0,75
2022-05-21T12:04:18,4,71,0,75
2022-05-21T12:14:33,4,71,0,75
2022-05-21T12:24:47,4,71,0,75
2022-05-21T12:35:20,5,70,0,75
2022-05-21T12:45:33,5,70,0,75
2022-05-21T12:55:47,5,70,0,75
2022-05-21T13:06:00,5,70,0,75
2022-05-21T13:16:14,5,70,0,75
2022-05-21T13:26:27,5,70,0,75
2022-05-21T13:36:41,5,70,0,75
2022-05-21T13:46:54,6,69,0,75
2022-05-21T13:57:07,6,69,0,75
2022-05-21T14:07:21,6,69,0,75
2022-05-21T14:17:44,6,69,0,75
2022-05-21T14:27:58,6,69,0,75
2022-05-21T14:38:11,7,68,0,75
2022-05-21T14:48:25,7,68,0,75
2022-05-21T14:58:40,7,68,0,75
2022-05-21T15:08:54,7,68,0,75
2022-05-21T15:19:07,7,68,0,75
2022-05-21T15:29:31,7,68,0,75
2022-05-21T15:39:45,7,68,0,75
2022-05-21T15:49:58,7,68,0,75
2022-05-21T16:00:12,7,68,0,75
2022-05-21T16:10:25,7,68,0,75
2022-05-21T16:20:39,7,68,0,75
2022-05-21T16:30:52,7,68,0,75
2022-05-21T16:41:05,7,68,0,75
2022-05-21T16:51:19,7,68,0,75
2022-05-21T17:01:51,7,68,0,75
2022-05-21T17:12:05,7,68,0,75
2022-05-21T17:22:19,7,68,0,75
2022-05-21T17:32:32,7,68,0,75
2022-05-21T17:42:46,7,68,0,75
2022-05-21T17:52:59,7,68,0,75
2022-05-21T18:03:12,7,68,0,75
2022-05-21T18:13:25,7,68,0,75
2022-05-21T18:23:39,7,68,0,75
2022-05-21T18:33:53,7,68,0,75
2022-05-21T18:44:07,7,68,0,75
2022-05-21T18:54:48,7,68,0,75
2022-05-21T19:05:01,7,68,0,75
2022-05-21T19:15:15,7,68,0,75
2022-05-21T19:25:28,7,68,0,75
2022-05-21T19:35:41,7,68,0,75
2022-05-21T19:45:56,7,68,0,75
2022-05-21T19:56:10,7,68,0,75
2022-05-21T20:06:25,7,68,0,75
2022-05-21T20:16:38,7,68,0,75
2022-05-21T20:26:51,7,68,0,75
2022-05-21T20:37:16,8,67,0,75
2022-05-21T20:47:30,8,67,0,75
2022-05-21T20:57:43,8,67,0,75
2022-05-21T21:07:57,8,67,0,75
2022-05-21T21:18:11,9,66,0,75
2022-05-21T21:28:24,9,66,0,75
2022-05-21T21:38:37,9,66,0,75
2022-05-21T21:48:51,9,66,0,75
2022-05-21T21:59:04,9,66,0,75
2022-05-21T22:09:17,9,66,0,75
2022-05-21T22:19:54,9,66,0,75
2022-05-21T22:30:07,9,66,0,75
2022-05-21T22:40:20,9,66,0,75
2022-05-21T22:50:33,9,66,0,75
2022-05-21T23:00:46,9,66,0,75
2022-05-21T23:11:00,9,66,0,75
2022-05-21T23:21:14,9,66,0,75
2022-05-21T23:31:27,9,66,0,75
2022-05-21T23:41:39,9,66,0,75
2022-05-21T23:51:52,9,66,0,75
2022-05-22T00:02:06,9,66,0,75
