time,enrolled,available,waitlisted,total
2022-05-20T04:29:28,0,20,0,20
2022-05-20T04:40:07,0,20,0,20
2022-05-20T04:50:24,0,20,0,20
2022-05-20T05:00:40,0,20,0,20
2022-05-20T05:10:56,0,20,0,20
2022-05-20T05:21:11,0,20,0,20
2022-05-20T05:31:27,0,20,0,20
2022-05-20T05:41:42,0,20,0,20
2022-05-20T05:51:58,0,20,0,20
2022-05-20T06:02:14,0,20,0,20
2022-05-20T06:12:28,0,20,0,20
2022-05-20T06:22:45,0,20,0,20
2022-05-20T06:32:59,0,20,0,20
2022-05-20T06:43:13,0,20,0,20
2022-05-20T06:53:27,0,20,0,20
2022-05-20T07:03:44,0,20,0,20
2022-05-20T07:13:57,0,20,0,20
2022-05-20T07:24:11,0,20,0,20
2022-05-20T07:34:24,0,20,0,20
2022-05-20T07:44:39,0,20,0,20
2022-05-20T07:54:53,0,20,0,20
2022-05-20T08:05:07,0,20,0,20
2022-05-20T08:15:21,0,20,0,20
2022-05-20T08:25:37,0,20,0,20
2022-05-20T08:35:51,0,20,0,20
2022-05-20T08:46:06,0,20,0,20
2022-05-20T08:56:21,0,20,0,20
2022-05-20T09:06:36,0,20,0,20
2022-05-20T09:17:04,0,20,0,20
2022-05-20T09:27:20,0,20,0,20
2022-05-20T09:37:35,0,20,0,20
2022-05-20T09:47:52,0,20,0,20
2022-05-20T09:58:07,0,20,0,20
2022-05-20T10:08:24,0,20,0,20
2022-05-20T10:18:40,0,20,0,20
2022-05-20T10:28:56,0,20,0,20
2022-05-20T10:39:11,0,20,0,20
2022-05-20T10:49:27,0,20,0,20
2022-05-20T10:59:56,0,20,0,20
2022-05-20T11:10:13,0,20,0,20
2022-05-20T11:20:29,0,20,0,20
2022-05-20T11:30:45,0,20,0,20
2022-05-20T11:41:01,0,20,0,20
2022-05-20T11:51:30,0,20,0,20
2022-05-20T12:01:46,0,20,0,20
2022-05-20T12:12:02,0,20,0,20
2022-05-20T12:22:17,0,20,0,20
2022-05-20T12:32:32,0,20,0,20
2022-05-20T12:42:48,0,20,0,20
2022-05-20T12:53:03,0,20,0,20
2022-05-20T13:03:30,0,20,0,20
2022-05-20T13:13:47,0,20,0,20
2022-05-20T13:24:03,0,20,0,20
2022-05-20T13:34:19,0,20,0,20
