time,enrolled,available,waitlisted,total
2022-05-20T04:29:31,0,50,0,50
2022-05-20T04:40:10,0,50,0,50
2022-05-20T04:50:27,0,50,0,50
2022-05-20T05:00:43,0,50,0,50
2022-05-20T05:10:59,0,50,0,50
2022-05-20T05:21:13,0,50,0,50
2022-05-20T05:31:29,0,50,0,50
2022-05-20T05:41:45,0,50,0,50
2022-05-20T05:52:01,0,50,0,50
2022-05-20T06:02:17,0,50,0,50
2022-05-20T06:12:31,0,50,0,50
2022-05-20T06:22:47,0,50,0,50
2022-05-20T06:33:02,0,50,0,50
2022-05-20T06:43:16,0,50,0,50
2022-05-20T06:53:29,0,50,0,50
2022-05-20T07:03:46,0,50,0,50
2022-05-20T07:14:00,0,50,0,50
2022-05-20T07:24:13,0,50,0,50
2022-05-20T07:34:27,0,50,0,50
2022-05-20T07:44:41,0,50,0,50
2022-05-20T07:54:55,0,50,0,50
2022-05-20T08:05:09,0,50,0,50
2022-05-20T08:15:24,0,50,0,50
2022-05-20T08:25:39,0,50,0,50
2022-05-20T08:35:54,0,50,0,50
2022-05-20T08:46:09,0,50,0,50
2022-05-20T08:56:23,0,50,0,50
2022-05-20T09:06:39,0,50,0,50
2022-05-20T09:17:07,0,50,0,50
2022-05-20T09:27:22,0,50,0,50
2022-05-20T09:37:38,0,50,0,50
2022-05-20T09:47:54,1,49,0,50
2022-05-20T09:58:10,1,49,0,50
2022-05-20T10:08:27,1,49,0,50
2022-05-20T10:18:42,1,49,0,50
2022-05-20T10:28:59,1,49,0,50
2022-05-20T10:39:14,1,49,0,50
2022-05-20T10:49:30,1,49,0,50
2022-05-20T10:59:59,1,49,0,50
2022-05-20T11:10:15,1,49,0,50
2022-05-20T11:20:32,1,49,0,50
2022-05-20T11:30:47,1,49,0,50
2022-05-20T11:41:04,1,49,0,50
2022-05-20T11:51:33,1,49,0,50
2022-05-20T12:01:49,1,49,0,50
2022-05-20T12:12:05,1,49,0,50
2022-05-20T12:22:20,1,49,0,50
2022-05-20T12:32:35,1,49,0,50
2022-05-20T12:42:50,1,49,0,50
2022-05-20T12:53:06,1,49,0,50
2022-05-20T13:03:33,1,49,0,50
2022-05-20T13:13:49,1,49,0,50
2022-05-20T13:24:06,1,49,0,50
2022-05-20T13:34:22,1,49,0,50
2022-05-20T13:44:39,1,49,0,50
2022-05-20T13:54:54,1,49,0,50
2022-05-20T14:05:10,1,49,0,50
2022-05-20T14:15:36,1,49,0,50
2022-05-20T14:25:52,1,49,0,50
2022-05-20T14:36:07,1,49,0,50
2022-05-20T14:46:23,1,49,0,50
2022-05-20T14:56:38,1,49,0,50
2022-05-20T15:07:04,1,49,0,50
2022-05-20T15:17:20,1,49,0,50
2022-05-20T15:27:35,1,49,0,50
2022-05-20T15:37:50,1,49,0,50
2022-05-20T15:48:05,1,49,0,50
2022-05-20T15:58:20,1,49,0,50
2022-05-20T16:08:35,1,49,0,50
2022-05-20T16:19:01,1,49,0,50
2022-05-20T16:29:15,1,49,0,50
2022-05-20T16:39:29,1,49,0,50
2022-05-20T16:49:44,1,49,0,50
2022-05-20T16:59:58,1,49,0,50
2022-05-20T17:10:13,1,49,0,50
2022-05-20T17:20:27,1,49,0,50
2022-05-20T17:30:40,1,49,0,50
2022-05-20T17:40:54,1,49,0,50
2022-05-20T17:51:09,1,49,0,50
2022-05-20T18:01:23,1,49,0,50
2022-05-20T18:11:46,1,49,0,50
2022-05-20T18:21:59,1,49,0,50
2022-05-20T18:32:13,1,49,0,50
2022-05-20T18:42:26,1,49,0,50
2022-05-20T18:52:39,1,49,0,50
2022-05-20T19:02:53,1,49,0,50
2022-05-20T19:13:07,1,49,0,50
2022-05-20T19:23:21,1,49,0,50
2022-05-20T19:33:35,1,49,0,50
2022-05-20T19:43:49,1,49,0,50
2022-05-20T19:54:03,1,49,0,50
2022-05-20T20:04:26,1,49,0,50
2022-05-20T20:14:40,1,49,0,50
2022-05-20T20:24:54,1,49,0,50
2022-05-20T20:35:07,1,49,0,50
2022-05-20T20:45:21,1,49,0,50
2022-05-20T20:55:34,1,49,0,50
2022-05-20T21:05:48,1,49,0,50
2022-05-20T21:16:02,2,48,0,50
2022-05-20T21:26:26,2,48,0,50
2022-05-20T21:36:39,2,48,0,50
2022-05-20T21:46:53,2,48,0,50
2022-05-20T21:57:07,2,48,0,50
2022-05-20T22:07:21,2,48,0,50
2022-05-20T22:17:35,2,48,0,50
2022-05-20T22:27:50,2,48,0,50
2022-05-20T22:38:03,2,48,0,50
2022-05-20T22:48:16,2,48,0,50
2022-05-20T22:58:30,2,48,0,50
2022-05-20T23:08:44,2,48,0,50
2022-05-20T23:19:09,2,48,0,50
2022-05-20T23:29:23,2,48,0,50
2022-05-20T23:39:36,2,48,0,50
2022-05-20T23:49:49,2,48,0,50
2022-05-21T00:00:03,2,48,0,50
2022-05-21T00:10:19,2,48,0,50
2022-05-21T00:20:35,2,48,0,50
2022-05-21T00:30:51,2,48,0,50
2022-05-21T00:41:07,2,48,0,50
2022-05-21T00:51:23,2,48,0,50
2022-05-21T01:01:38,2,48,0,50
2022-05-21T01:11:54,2,48,0,50
2022-05-21T01:22:08,2,48,0,50
2022-05-21T01:32:23,2,48,0,50
2022-05-21T01:42:39,2,48,0,50
2022-05-21T01:52:53,2,48,0,50
2022-05-21T02:03:17,2,48,0,50
2022-05-21T02:13:31,2,48,0,50
2022-05-21T02:23:45,2,48,0,50
2022-05-21T02:33:58,2,48,0,50
2022-05-21T02:44:11,2,48,0,50
2022-05-21T02:54:24,2,48,0,50
2022-05-21T03:04:36,2,48,0,50
2022-05-21T03:14:51,2,48,0,50
2022-05-21T03:25:10,2,48,0,50
2022-05-21T03:35:26,2,48,0,50
2022-05-21T03:45:42,2,48,0,50
2022-05-21T03:55:57,2,48,0,50
2022-05-21T04:06:12,2,48,0,50
2022-05-21T04:21:32,2,48,0,50
2022-05-21T04:32:58,2,48,0,50
2022-05-21T04:43:29,2,48,0,50
2022-05-21T04:53:45,2,48,0,50
2022-05-21T05:04:00,2,48,0,50
2022-05-21T05:14:16,2,48,0,50
2022-05-21T05:24:32,2,48,0,50
2022-05-21T05:34:48,2,48,0,50
2022-05-21T05:45:04,2,48,0,50
2022-05-21T05:55:20,2,48,0,50
2022-05-21T06:05:35,2,48,0,50
2022-05-21T06:15:50,2,48,0,50
2022-05-21T06:26:07,2,48,0,50
2022-05-21T06:36:22,2,48,0,50
2022-05-21T06:46:37,2,48,0,50
2022-05-21T06:56:53,2,48,0,50
2022-05-21T07:07:08,2,48,0,50
2022-05-21T07:17:24,2,48,0,50
