time,enrolled,available,waitlisted,total
2022-05-20T04:29:29,0,30,0,30
2022-05-20T04:40:08,0,30,0,30
2022-05-20T04:50:25,0,30,0,30
2022-05-20T05:00:41,0,30,0,30
2022-05-20T05:10:57,0,30,0,30
2022-05-20T05:21:12,0,30,0,30
2022-05-20T05:31:28,0,30,0,30
2022-05-20T05:41:43,0,30,0,30
2022-05-20T05:51:59,0,30,0,30
2022-05-20T06:02:15,0,30,0,30
2022-05-20T06:12:29,0,30,0,30
2022-05-20T06:22:46,0,30,0,30
2022-05-20T06:33:00,0,30,0,30
2022-05-20T06:43:14,0,30,0,30
2022-05-20T06:53:28,0,30,0,30
2022-05-20T07:03:45,0,30,0,30
2022-05-20T07:13:58,0,30,0,30
2022-05-20T07:24:12,0,30,0,30
2022-05-20T07:34:25,0,30,0,30
2022-05-20T07:44:40,0,30,0,30
2022-05-20T07:54:54,0,30,0,30
2022-05-20T08:05:08,0,30,0,30
2022-05-20T08:15:22,0,30,0,30
2022-05-20T08:25:38,0,30,0,30
2022-05-20T08:35:53,0,30,0,30
2022-05-20T08:46:07,0,30,0,30
2022-05-20T08:56:22,0,30,0,30
2022-05-20T09:06:37,0,30,0,30
2022-05-20T09:17:05,0,30,0,30
2022-05-20T09:27:21,0,30,0,30
2022-05-20T09:37:37,0,30,0,30
2022-05-20T09:47:53,0,30,0,30
2022-05-20T09:58:09,0,30,0,30
2022-05-20T10:08:25,0,30,0,30
2022-05-20T10:18:41,0,30,0,30
2022-05-20T10:28:57,0,30,0,30
2022-05-20T10:39:13,0,30,0,30
2022-05-20T10:49:29,0,30,0,30
2022-05-20T10:59:57,0,30,0,30
2022-05-20T11:10:14,0,30,0,30
2022-05-20T11:20:30,0,30,0,30
2022-05-20T11:30:46,0,30,0,30
2022-05-20T11:41:02,0,30,0,30
2022-05-20T11:51:31,0,30,0,30
2022-05-20T12:01:47,0,30,0,30
2022-05-20T12:12:03,0,30,0,30
2022-05-20T12:22:18,0,30,0,30
2022-05-20T12:32:33,0,30,0,30
2022-05-20T12:42:49,0,30,0,30
2022-05-20T12:53:04,0,30,0,30
2022-05-20T13:03:32,0,30,0,30
2022-05-20T13:13:48,0,30,0,30
2022-05-20T13:24:04,0,30,0,30
2022-05-20T13:34:20,0,30,0,30
2022-05-20T13:44:37,0,30,0,30
2022-05-20T13:54:53,0,30,0,30
2022-05-20T14:05:09,0,30,0,30
2022-05-20T14:15:35,0,30,0,30
2022-05-20T14:25:50,0,30,0,30
2022-05-20T14:36:06,0,30,0,30
2022-05-20T14:46:22,0,30,0,30
2022-05-20T14:56:37,0,30,0,30
2022-05-20T15:07:03,0,30,0,30
2022-05-20T15:17:18,0,30,0,30
2022-05-20T15:27:34,0,30,0,30
2022-05-20T15:37:48,0,30,0,30
2022-05-20T15:48:04,0,30,0,30
2022-05-20T15:58:18,0,30,0,30
2022-05-20T16:08:34,0,30,0,30
2022-05-20T16:18:59,0,30,0,30
2022-05-20T16:29:14,0,30,0,30
2022-05-20T16:39:28,0,30,0,30
2022-05-20T16:49:42,0,30,0,30
2022-05-20T16:59:56,0,30,0,30
2022-05-20T17:10:11,0,30,0,30
2022-05-20T17:20:25,0,30,0,30
2022-05-20T17:30:39,0,30,0,30
2022-05-20T17:40:53,0,30,0,30
2022-05-20T17:51:07,0,30,0,30
2022-05-20T18:01:21,0,30,0,30
2022-05-20T18:11:44,0,30,0,30
2022-05-20T18:21:58,0,30,0,30
2022-05-20T18:32:11,0,30,0,30
