time,enrolled,available,waitlisted,total
2022-05-20T04:29:37,0,40,0,40
2022-05-20T04:40:16,0,40,0,40
2022-05-20T04:50:33,0,40,0,40
2022-05-20T05:00:49,0,40,0,40
2022-05-20T05:11:05,0,40,0,40
2022-05-20T05:21:20,0,40,0,40
2022-05-20T05:31:36,0,40,0,40
2022-05-20T05:41:51,0,40,0,40
2022-05-20T05:52:07,0,40,0,40
2022-05-20T06:02:23,0,40,0,40
2022-05-20T06:12:37,0,40,0,40
2022-05-20T06:22:54,0,40,0,40
2022-05-20T06:33:08,0,40,0,40
2022-05-20T06:43:22,0,40,0,40
2022-05-20T06:53:36,0,40,0,40
2022-05-20T07:03:52,0,40,0,40
2022-05-20T07:14:06,0,40,0,40
2022-05-20T07:24:20,0,40,0,40
2022-05-20T07:34:33,0,40,0,40
2022-05-20T07:44:48,0,40,0,40
2022-05-20T07:55:02,0,40,0,40
2022-05-20T08:05:16,0,40,0,40
2022-05-20T08:15:30,0,40,0,40
2022-05-20T08:25:45,0,40,0,40
2022-05-20T08:36:00,0,40,0,40
2022-05-20T08:46:15,0,40,0,40
2022-05-20T08:56:30,0,40,0,40
2022-05-20T09:06:45,0,40,0,40
2022-05-20T09:17:13,0,40,0,40
2022-05-20T09:27:29,0,40,0,40
2022-05-20T09:37:44,0,40,0,40
2022-05-20T09:48:01,0,40,0,40
2022-05-20T09:58:16,0,40,0,40
2022-05-20T10:08:33,0,40,0,40
2022-05-20T10:18:49,1,39,0,40
2022-05-20T10:29:05,1,39,0,40
2022-05-20T10:39:20,2,38,0,40
2022-05-20T10:49:36,2,38,0,40
2022-05-20T11:00:05,2,38,0,40
2022-05-20T11:10:22,2,38,0,40
2022-05-20T11:20:38,2,38,0,40
2022-05-20T11:30:54,2,38,0,40
2022-05-20T11:41:10,2,38,0,40
2022-05-20T11:51:39,2,38,0,40
2022-05-20T12:01:55,2,38,0,40
2022-05-20T12:12:11,2,38,0,40
2022-05-20T12:22:26,2,38,0,40
2022-05-20T12:32:41,2,38,0,40
2022-05-20T12:42:57,2,38,0,40
2022-05-20T12:53:12,2,38,0,40
2022-05-20T13:03:39,2,38,0,40
2022-05-20T13:13:56,2,38,0,40
2022-05-20T13:24:12,2,38,0,40
2022-05-20T13:34:28,2,38,0,40
2022-05-20T13:44:45,2,38,0,40
2022-05-20T13:55:01,2,38,0,40
2022-05-20T14:05:17,2,38,0,40
2022-05-20T14:15:43,2,38,0,40
2022-05-20T14:25:58,2,38,0,40
2022-05-20T14:36:14,2,38,0,40
2022-05-20T14:46:29,2,38,0,40
2022-05-20T14:56:45,2,38,0,40
2022-05-20T15:07:11,2,38,0,40
2022-05-20T15:17:26,2,38,0,40
2022-05-20T15:27:41,2,38,0,40
2022-05-20T15:37:56,2,38,0,40
2022-05-20T15:48:12,2,38,0,40
2022-05-20T15:58:26,2,38,0,40
2022-05-20T16:08:41,2,38,0,40
2022-05-20T16:19:07,2,38,0,40
2022-05-20T16:29:22,2,38,0,40
2022-05-20T16:39:36,3,37,0,40
2022-05-20T16:49:50,3,37,0,40
2022-05-20T17:00:04,3,37,0,40
2022-05-20T17:10:19,3,37,0,40
2022-05-20T17:20:33,3,37,0,40
2022-05-20T17:30:47,3,37,0,40
2022-05-20T17:41:01,3,37,0,40
2022-05-20T17:51:15,3,37,0,40
2022-05-20T18:01:29,3,37,0,40
2022-05-20T18:11:52,3,37,0,40
2022-05-20T18:22:06,3,37,0,40
2022-05-20T18:32:19,3,37,0,40
2022-05-20T18:42:32,3,37,0,40
2022-05-20T18:52:46,3,37,0,40
2022-05-20T19:02:59,3,37,0,40
2022-05-20T19:13:14,3,37,0,40
2022-05-20T19:23:28,3,37,0,40
2022-05-20T19:33:41,3,37,0,40
2022-05-20T19:43:56,3,37,0,40
2022-05-20T19:54:09,3,37,0,40
2022-05-20T20:04:33,3,37,0,40
2022-05-20T20:14:46,3,37,0,40
2022-05-20T20:25:00,3,37,0,40
2022-05-20T20:35:14,3,37,0,40
2022-05-20T20:45:27,3,37,0,40
2022-05-20T20:55:41,3,37,0,40
2022-05-20T21:05:54,3,37,0,40
2022-05-20T21:16:08,3,37,0,40
2022-05-20T21:26:32,3,37,0,40
2022-05-20T21:36:46,3,37,0,40
2022-05-20T21:46:59,3,37,0,40
2022-05-20T21:57:13,3,37,0,40
2022-05-20T22:07:28,3,37,0,40
2022-05-20T22:17:41,3,37,0,40
2022-05-20T22:27:56,3,37,0,40
2022-05-20T22:38:09,3,37,0,40
2022-05-20T22:48:23,3,37,0,40
2022-05-20T22:58:36,3,37,0,40
2022-05-20T23:08:51,3,37,0,40
2022-05-20T23:19:15,3,37,0,40
2022-05-20T23:29:29,3,37,0,40
2022-05-20T23:39:42,3,37,0,40
2022-05-20T23:49:56,3,37,0,40
2022-05-21T00:00:09,3,37,0,40
2022-05-21T00:10:25,3,37,0,40
2022-05-21T00:20:41,3,37,0,40
2022-05-21T00:30:57,3,37,0,40
2022-05-21T00:41:13,3,37,0,40
2022-05-21T00:51:29,3,37,0,40
2022-05-21T01:01:44,3,37,0,40
2022-05-21T01:12:00,3,37,0,40
2022-05-21T01:22:15,3,37,0,40
2022-05-21T01:32:29,3,37,0,40
2022-05-21T01:42:45,3,37,0,40
2022-05-21T01:53:00,3,37,0,40
2022-05-21T02:03:24,3,37,0,40
2022-05-21T02:13:38,3,37,0,40
2022-05-21T02:23:51,3,37,0,40
2022-05-21T02:34:04,3,37,0,40
2022-05-21T02:44:17,3,37,0,40
2022-05-21T02:54:30,3,37,0,40
2022-05-21T03:04:43,3,37,0,40
2022-05-21T03:14:58,3,37,0,40
2022-05-21T03:25:17,3,37,0,40
2022-05-21T03:35:32,3,37,0,40
2022-05-21T03:45:48,3,37,0,40
2022-05-21T03:56:03,3,37,0,40
2022-05-21T04:06:18,3,37,0,40
2022-05-21T04:21:38,3,37,0,40
2022-05-21T04:33:04,3,37,0,40
2022-05-21T04:43:35,3,37,0,40
2022-05-21T04:53:51,3,37,0,40
2022-05-21T05:04:07,3,37,0,40
2022-05-21T05:14:22,3,37,0,40
2022-05-21T05:24:38,3,37,0,40
2022-05-21T05:34:54,3,37,0,40
2022-05-21T05:45:10,3,37,0,40
2022-05-21T05:55:26,3,37,0,40
2022-05-21T06:05:42,3,37,0,40
2022-05-21T06:15:56,3,37,0,40
2022-05-21T06:26:13,3,37,0,40
2022-05-21T06:36:28,3,37,0,40
2022-05-21T06:46:44,3,37,0,40
2022-05-21T06:56:59,3,37,0,40
2022-05-21T07:07:15,3,37,0,40
2022-05-21T07:17:30,3,37,0,40
2022-05-21T07:27:45,3,37,0,40
2022-05-21T07:38:00,3,37,0,40
2022-05-21T07:48:15,3,37,0,40
2022-05-21T07:58:30,3,37,0,40
2022-05-21T08:08:44,3,37,0,40
2022-05-21T08:19:01,3,37,0,40
2022-05-21T08:29:15,3,37,0,40
2022-05-21T08:39:30,3,37,0,40
2022-05-21T08:50:07,3,37,0,40
2022-05-21T09:00:21,3,37,0,40
2022-05-21T09:10:34,3,37,0,40
2022-05-21T09:20:47,3,37,0,40
2022-05-21T09:31:00,3,37,0,40
2022-05-21T09:41:13,3,37,0,40
2022-05-21T09:51:26,3,37,0,40
2022-05-21T10:01:39,3,37,0,40
2022-05-21T10:11:53,3,37,0,40
2022-05-21T10:22:06,3,37,0,40
2022-05-21T10:32:19,3,37,0,40
2022-05-21T10:42:32,3,37,0,40
2022-05-21T10:52:45,3,37,0,40
2022-05-21T11:02:59,3,37,0,40
2022-05-21T11:13:24,3,37,0,40
2022-05-21T11:23:37,3,37,0,40
2022-05-21T11:33:51,3,37,0,40
2022-05-21T11:44:05,3,37,0,40
2022-05-21T11:54:18,3,37,0,40
2022-05-21T12:04:32,3,37,0,40
2022-05-21T12:14:46,3,37,0,40
2022-05-21T12:25:00,3,37,0,40
2022-05-21T12:35:33,3,37,0,40
2022-05-21T12:45:47,3,37,0,40
2022-05-21T12:56:00,3,37,0,40
2022-05-21T13:06:14,3,37,0,40
2022-05-21T13:16:27,3,37,0,40
2022-05-21T13:26:41,3,37,0,40
2022-05-21T13:36:54,3,37,0,40
2022-05-21T13:47:07,3,37,0,40
2022-05-21T13:57:20,4,36,0,40
2022-05-21T14:07:34,4,36,0,40
2022-05-21T14:17:58,4,36,0,40
2022-05-21T14:28:11,4,36,0,40
2022-05-21T14:38:24,4,36,0,40
2022-05-21T14:48:38,4,36,0,40
2022-05-21T14:58:53,4,36,0,40
2022-05-21T15:09:07,4,36,0,40
2022-05-21T15:19:21,4,36,0,40
2022-05-21T15:29:44,4,36,0,40
2022-05-21T15:39:58,4,36,0,40
2022-05-21T15:50:11,4,36,0,40
2022-05-21T16:00:25,4,36,0,40
2022-05-21T16:10:38,4,36,0,40
2022-05-21T16:20:52,4,36,0,40
2022-05-21T16:31:05,4,36,0,40
2022-05-21T16:41:19,4,36,0,40
2022-05-21T16:51:33,4,36,0,40
2022-05-21T17:02:04,4,36,0,40
2022-05-21T17:12:18,4,36,0,40
2022-05-21T17:22:32,5,35,0,40
2022-05-21T17:32:46,5,35,0,40
2022-05-21T17:42:59,5,35,0,40
2022-05-21T17:53:12,5,35,0,40
2022-05-21T18:03:25,5,35,0,40
2022-05-21T18:13:39,5,35,0,40
2022-05-21T18:23:52,5,35,0,40
2022-05-21T18:34:06,5,35,0,40
2022-05-21T18:44:20,5,35,0,40
2022-05-21T18:55:01,5,35,0,40
2022-05-21T19:05:14,5,35,0,40
2022-05-21T19:15:28,5,35,0,40
2022-05-21T19:25:41,5,35,0,40
2022-05-21T19:35:54,5,35,0,40
2022-05-21T19:46:09,5,35,0,40
2022-05-21T19:56:24,5,35,0,40
2022-05-21T20:06:38,6,34,0,40
2022-05-21T20:16:51,6,34,0,40
2022-05-21T20:27:05,6,34,0,40
2022-05-21T20:37:30,6,34,0,40
2022-05-21T20:47:43,6,34,0,40
2022-05-21T20:57:57,6,34,0,40
2022-05-21T21:08:10,7,33,0,40
2022-05-21T21:18:24,7,33,0,40
2022-05-21T21:28:37,7,33,0,40
2022-05-21T21:38:51,7,33,0,40
2022-05-21T21:49:04,7,33,0,40
2022-05-21T21:59:17,7,33,0,40
2022-05-21T22:09:30,7,33,0,40
2022-05-21T22:20:07,7,33,0,40
2022-05-21T22:30:20,7,33,0,40
2022-05-21T22:40:33,8,32,0,40
2022-05-21T22:50:46,8,32,0,40
2022-05-21T23:00:59,8,32,0,40
2022-05-21T23:11:13,8,32,0,40
