time,enrolled,available,waitlisted,total
2022-05-20T04:29:45,0,75,0,75
2022-05-20T04:40:23,0,75,0,75
2022-05-20T04:50:40,0,75,0,75
2022-05-20T05:00:56,0,75,0,75
2022-05-20T05:11:12,0,75,0,75
2022-05-20T05:21:27,0,75,0,75
2022-05-20T05:31:43,0,75,0,75
2022-05-20T05:41:59,0,75,0,75
2022-05-20T05:52:14,0,75,0,75
2022-05-20T06:02:30,0,75,0,75
2022-05-20T06:12:45,0,75,0,75
2022-05-20T06:23:01,0,75,0,75
2022-05-20T06:33:16,0,75,0,75
2022-05-20T06:43:30,0,75,0,75
2022-05-20T06:53:43,0,75,0,75
2022-05-20T07:04:00,0,75,0,75
2022-05-20T07:14:13,0,75,0,75
2022-05-20T07:24:27,0,75,0,75
2022-05-20T07:34:41,0,75,0,75
2022-05-20T07:44:55,0,75,0,75
2022-05-20T07:55:09,0,75,0,75
2022-05-20T08:05:23,0,75,0,75
2022-05-20T08:15:37,0,75,0,75
2022-05-20T08:25:53,0,75,0,75
2022-05-20T08:36:08,0,75,0,75
2022-05-20T08:46:22,0,75,0,75
2022-05-20T08:56:37,0,75,0,75
2022-05-20T09:06:53,0,75,0,75
2022-05-20T09:17:20,0,75,0,75
2022-05-20T09:27:36,0,75,0,75
2022-05-20T09:37:52,0,75,0,75
2022-05-20T09:48:08,0,75,0,75
2022-05-20T09:58:24,0,75,0,75
2022-05-20T10:08:41,0,75,0,75
2022-05-20T10:18:56,0,75,0,75
2022-05-20T10:29:12,0,75,0,75
2022-05-20T10:39:28,0,75,0,75
2022-05-20T10:49:44,0,75,0,75
2022-05-20T11:00:13,0,75,0,75
2022-05-20T11:10:29,0,75,0,75
2022-05-20T11:20:45,0,75,0,75
2022-05-20T11:31:01,0,75,0,75
2022-05-20T11:41:17,0,75,0,75
2022-05-20T11:51:47,1,74,0,75
2022-05-20T12:02:03,1,74,0,75
2022-05-20T12:12:18,1,74,0,75
2022-05-20T12:22:34,1,74,0,75
2022-05-20T12:32:49,1,74,0,75
2022-05-20T12:43:04,1,74,0,75
2022-05-20T12:53:20,1,74,0,75
2022-05-20T13:03:47,1,74,0,75
2022-05-20T13:14:03,1,74,0,75
2022-05-20T13:24:19,1,74,0,75
2022-05-20T13:34:36,2,73,0,75
2022-05-20T13:44:53,3,72,0,75
2022-05-20T13:55:08,3,72,0,75
2022-05-20T14:05:24,3,72,0,75
2022-05-20T14:15:50,3,72,0,75
2022-05-20T14:26:05,3,72,0,75
2022-05-20T14:36:21,3,72,0,75
2022-05-20T14:46:37,3,72,0,75
2022-05-20T14:56:52,3,72,0,75
2022-05-20T15:07:18,3,72,0,75
2022-05-20T15:17:33,3,72,0,75
2022-05-20T15:27:49,3,72,0,75
2022-05-20T15:38:04,3,72,0,75
2022-05-20T15:48:19,3,72,0,75
2022-05-20T15:58:34,3,72,0,75
2022-05-20T16:08:49,3,72,0,75
2022-05-20T16:19:14,3,72,0,75
2022-05-20T16:29:29,3,72,0,75
2022-05-20T16:39:43,3,72,0,75
2022-05-20T16:49:57,3,72,0,75
2022-05-20T17:00:12,3,72,0,75
2022-05-20T17:10:26,3,72,0,75
2022-05-20T17:20:40,4,71,0,75
2022-05-20T17:30:54,4,71,0,75
2022-05-20T17:41:08,4,71,0,75
2022-05-20T17:51:22,4,71,0,75
2022-05-20T18:01:36,4,71,0,75
2022-05-20T18:11:59,4,71,0,75
2022-05-20T18:22:13,4,71,0,75
2022-05-20T18:32:26,4,71,0,75
2022-05-20T18:42:39,4,71,0,75
2022-05-20T18:52:53,4,71,0,75
2022-05-20T19:03:07,4,71,0,75
2022-05-20T19:13:21,4,71,0,75
2022-05-20T19:23:35,4,71,0,75
2022-05-20T19:33:49,4,71,0,75
2022-05-20T19:44:03,4,71,0,75
2022-05-20T19:54:16,4,71,0,75
2022-05-20T20:04:40,4,71,0,75
2022-05-20T20:14:54,4,71,0,75
2022-05-20T20:25:08,4,71,0,75
2022-05-20T20:35:21,4,71,0,75
2022-05-20T20:45:34,4,71,0,75
2022-05-20T20:55:48,4,71,0,75
2022-05-20T21:06:02,4,71,0,75
2022-05-20T21:16:15,4,71,0,75
2022-05-20T21:26:40,4,71,0,75
2022-05-20T21:36:53,4,71,0,75
2022-05-20T21:47:07,4,71,0,75
2022-05-20T21:57:21,4,71,0,75
2022-05-20T22:07:35,4,71,0,75
2022-05-20T22:17:48,4,71,0,75
2022-05-20T22:28:03,4,71,0,75
2022-05-20T22:38:17,4,71,0,75
2022-05-20T22:48:30,4,71,0,75
2022-05-20T22:58:43,4,71,0,75
2022-05-20T23:08:58,4,71,0,75
2022-05-20T23:19:23,4,71,0,75
2022-05-20T23:29:36,4,71,0,75
2022-05-20T23:39:50,4,71,0,75
2022-05-20T23:50:03,4,71,0,75
2022-05-21T00:00:17,4,71,0,75
2022-05-21T00:10:32,4,71,0,75
2022-05-21T00:20:49,4,71,0,75
2022-05-21T00:31:05,4,71,0,75
2022-05-21T00:41:21,4,71,0,75
2022-05-21T00:51:37,4,71,0,75
2022-05-21T01:01:52,4,71,0,75
2022-05-21T01:12:07,4,71,0,75
2022-05-21T01:22:22,4,71,0,75
2022-05-21T01:32:37,4,71,0,75
2022-05-21T01:42:52,4,71,0,75
2022-05-21T01:53:07,4,71,0,75
2022-05-21T02:03:31,4,71,0,75
2022-05-21T02:13:45,4,71,0,75
2022-05-21T02:23:58,4,71,0,75
2022-05-21T02:34:12,4,71,0,75
2022-05-21T02:44:25,4,71,0,75
2022-05-21T02:54:37,4,71,0,75
2022-05-21T03:04:50,4,71,0,75
2022-05-21T03:15:05,4,71,0,75
2022-05-21T03:25:24,4,71,0,75
2022-05-21T03:35:39,4,71,0,75
2022-05-21T03:45:55,4,71,0,75
2022-05-21T03:56:10,4,71,0,75
2022-05-21T04:06:26,4,71,0,75
2022-05-21T04:21:46,4,71,0,75
2022-05-21T04:33:11,4,71,0,75
2022-05-21T04:43:43,4,71,0,75
2022-05-21T04:53:59,4,71,0,75
2022-05-21T05:04:14,4,71,0,75
2022-05-21T05:14:30,4,71,0,75
2022-05-21T05:24:46,4,71,0,75
2022-05-21T05:35:02,4,71,0,75
2022-05-21T05:45:18,4,71,0,75
2022-05-21T05:55:34,4,71,0,75
2022-05-21T06:05:49,4,71,0,75
2022-05-21T06:16:04,4,71,0,75
2022-05-21T06:26:20,4,71,0,75
2022-05-21T06:36:36,4,71,0,75
2022-05-21T06:46:51,4,71,0,75
2022-05-21T06:57:07,4,71,0,75
2022-05-21T07:07:22,4,71,0,75
2022-05-21T07:17:38,4,71,0,75
2022-05-21T07:27:53,4,71,0,75
2022-05-21T07:38:08,4,71,0,75
2022-05-21T07:48:22,4,71,0,75
2022-05-21T07:58:37,4,71,0,75
2022-05-21T08:08:51,4,71,0,75
2022-05-21T08:19:08,4,71,0,75
2022-05-21T08:29:23,4,71,0,75
2022-05-21T08:39:37,4,71,0,75
2022-05-21T08:50:14,4,71,0,75
2022-05-21T09:00:28,4,71,0,75
2022-05-21T09:10:41,4,71,0,75
2022-05-21T09:20:54,4,71,0,75
2022-05-21T09:31:07,4,71,0,75
2022-05-21T09:41:20,4,71,0,75
2022-05-21T09:51:33,4,71,0,75
2022-05-21T10:01:47,4,71,0,75
2022-05-21T10:12:00,4,71,0,75
2022-05-21T10:22:13,4,71,0,75
2022-05-21T10:32:26,4,71,0,75
2022-05-21T10:42:39,4,71,0,75
2022-05-21T10:52:53,4,71,0,75
2022-05-21T11:03:06,5,70,0,75
2022-05-21T11:13:31,5,70,0,75
2022-05-21T11:23:44,5,70,0,75
2022-05-21T11:33:59,5,70,0,75
2022-05-21T11:44:12,5,70,0,75
2022-05-21T11:54:25,5,70,0,75
2022-05-21T12:04:39,5,70,0,75
2022-05-21T12:14:54,5,70,0,75
2022-05-21T12:25:07,5,70,0,75
2022-05-21T12:35:41,5,70,0,75
2022-05-21T12:45:54,5,70,0,75
2022-05-21T12:56:07,5,70,0,75
2022-05-21T13:06:21,5,70,0,75
2022-05-21T13:16:35,5,70,0,75
2022-05-21T13:26:48,5,70,0,75
2022-05-21T13:37:01,5,70,0,75
2022-05-21T13:47:15,5,70,0,75
2022-05-21T13:57:28,5,70,0,75
2022-05-21T14:07:41,5,70,0,75
2022-05-21T14:18:05,5,70,0,75
2022-05-21T14:28:18,5,70,0,75
2022-05-21T14:38:32,5,70,0,75
2022-05-21T14:48:46,5,70,0,75
2022-05-21T14:59:01,5,70,0,75
2022-05-21T15:09:14,5,70,0,75
2022-05-21T15:19:28,5,70,0,75
2022-05-21T15:29:51,5,70,0,75
2022-05-21T15:40:05,5,70,0,75
2022-05-21T15:50:19,5,70,0,75
2022-05-21T16:00:32,5,70,0,75
2022-05-21T16:10:46,5,70,0,75
2022-05-21T16:21:00,5,70,0,75
2022-05-21T16:31:13,5,70,0,75
2022-05-21T16:41:26,5,70,0,75
2022-05-21T16:51:40,5,70,0,75
2022-05-21T17:02:11,5,70,0,75
2022-05-21T17:12:25,5,70,0,75
2022-05-21T17:22:39,5,70,0,75
2022-05-21T17:32:53,5,70,0,75
2022-05-21T17:43:06,5,70,0,75
2022-05-21T17:53:19,5,70,0,75
2022-05-21T18:03:33,5,70,0,75
