time,enrolled,available,waitlisted,total
2022-05-20T04:29:50,0,40,0,40
2022-05-20T04:40:29,0,40,0,40
2022-05-20T04:50:46,0,40,0,40
2022-05-20T05:01:02,0,40,0,40
2022-05-20T05:11:18,0,40,0,40
2022-05-20T05:21:33,0,40,0,40
2022-05-20T05:31:49,0,40,0,40
2022-05-20T05:42:05,0,40,0,40
2022-05-20T05:52:20,0,40,0,40
2022-05-20T06:02:36,0,40,0,40
2022-05-20T06:12:51,0,40,0,40
2022-05-20T06:23:07,0,40,0,40
2022-05-20T06:33:21,0,40,0,40
2022-05-20T06:43:36,0,40,0,40
2022-05-20T06:53:49,0,40,0,40
2022-05-20T07:04:06,0,40,0,40
2022-05-20T07:14:19,0,40,0,40
2022-05-20T07:24:33,0,40,0,40
2022-05-20T07:34:46,0,40,0,40
2022-05-20T07:45:01,0,40,0,40
2022-05-20T07:55:15,0,40,0,40
2022-05-20T08:05:29,0,40,0,40
2022-05-20T08:15:43,0,40,0,40
2022-05-20T08:25:59,0,40,0,40
2022-05-20T08:36:14,0,40,0,40
2022-05-20T08:46:28,0,40,0,40
2022-05-20T08:56:43,0,40,0,40
2022-05-20T09:06:58,0,40,0,40
2022-05-20T09:17:26,0,40,0,40
2022-05-20T09:27:42,0,40,0,40
2022-05-20T09:37:58,0,40,0,40
2022-05-20T09:48:14,0,40,0,40
2022-05-20T09:58:30,0,40,0,40
2022-05-20T10:08:47,0,40,0,40
2022-05-20T10:19:02,0,40,0,40
2022-05-20T10:29:18,0,40,0,40
2022-05-20T10:39:34,0,40,0,40
2022-05-20T10:49:50,0,40,0,40
2022-05-20T11:00:19,0,40,0,40
2022-05-20T11:10:35,0,40,0,40
2022-05-20T11:20:51,0,40,0,40
2022-05-20T11:31:07,0,40,0,40
2022-05-20T11:41:23,0,40,0,40
2022-05-20T11:51:53,0,40,0,40
2022-05-20T12:02:09,0,40,0,40
2022-05-20T12:12:24,0,40,0,40
2022-05-20T12:22:40,0,40,0,40
2022-05-20T12:32:54,0,40,0,40
2022-05-20T12:43:10,0,40,0,40
2022-05-20T12:53:25,0,40,0,40
2022-05-20T13:03:53,0,40,0,40
2022-05-20T13:14:09,0,40,0,40
2022-05-20T13:24:25,0,40,0,40
2022-05-20T13:34:42,0,40,0,40
2022-05-20T13:44:58,0,40,0,40
