time,enrolled,available,waitlisted,total
2022-05-20T04:30:22,0,20,0,20
2022-05-20T04:40:50,0,20,0,20
2022-05-20T04:51:07,0,20,0,20
2022-05-20T05:01:23,0,20,0,20
2022-05-20T05:11:39,0,20,0,20
2022-05-20T05:21:54,0,20,0,20
2022-05-20T05:32:10,0,20,0,20
2022-05-20T05:42:25,0,20,0,20
2022-05-20T05:52:41,0,20,0,20
2022-05-20T06:02:57,0,20,0,20
2022-05-20T06:13:11,0,20,0,20
2022-05-20T06:23:27,0,20,0,20
2022-05-20T06:33:42,0,20,0,20
2022-05-20T06:43:56,0,20,0,20
2022-05-20T06:54:09,0,20,0,20
2022-05-20T07:04:26,0,20,0,20
2022-05-20T07:14:40,0,20,0,20
2022-05-20T07:24:53,0,20,0,20
2022-05-20T07:35:07,0,20,0,20
2022-05-20T07:45:21,0,20,0,20
2022-05-20T07:55:36,0,20,0,20
2022-05-20T08:05:49,0,20,0,20
2022-05-20T08:16:04,0,20,0,20
2022-05-20T08:26:19,0,20,0,20
2022-05-20T08:36:34,0,20,0,20
2022-05-20T08:46:49,0,20,0,20
2022-05-20T08:57:03,0,20,0,20
2022-05-20T09:07:19,0,20,0,20
2022-05-20T09:17:47,0,20,0,20
2022-05-20T09:28:03,0,20,0,20
2022-05-20T09:38:18,0,20,0,20
2022-05-20T09:48:34,0,20,0,20
2022-05-20T09:58:50,0,20,0,20
2022-05-20T10:09:07,0,20,0,20
2022-05-20T10:19:23,0,20,0,20
2022-05-20T10:29:39,0,20,0,20
2022-05-20T10:39:54,0,20,0,20
2022-05-20T10:50:23,0,20,0,20
2022-05-20T11:00:39,0,20,0,20
2022-05-20T11:10:56,0,20,0,20
2022-05-20T11:21:12,0,20,0,20
2022-05-20T11:31:28,0,20,0,20
2022-05-20T11:41:44,0,20,0,20
2022-05-20T11:52:13,0,20,0,20
2022-05-20T12:02:29,0,20,0,20
2022-05-20T12:12:45,0,20,0,20
2022-05-20T12:23:00,0,20,0,20
2022-05-20T12:33:15,0,20,0,20
2022-05-20T12:43:30,0,20,0,20
2022-05-20T12:53:46,0,20,0,20
2022-05-20T13:04:13,0,20,0,20
2022-05-20T13:14:30,0,20,0,20
2022-05-20T13:24:46,0,20,0,20
2022-05-20T13:35:02,0,20,0,20
2022-05-20T13:45:19,0,20,0,20
2022-05-20T13:55:34,0,20,0,20
2022-05-20T14:06:01,0,20,0,20
2022-05-20T14:16:16,0,20,0,20
2022-05-20T14:26:32,0,20,0,20
2022-05-20T14:36:48,0,20,0,20
2022-05-20T14:47:03,0,20,0,20
2022-05-20T14:57:18,0,20,0,20
2022-05-20T15:07:44,0,20,0,20
2022-05-20T15:18:00,0,20,0,20
2022-05-20T15:28:15,0,20,0,20
2022-05-20T15:38:30,0,20,0,20
2022-05-20T15:48:45,0,20,0,20
2022-05-20T15:59:00,0,20,0,20
2022-05-20T16:09:15,0,20,0,20
2022-05-20T16:19:41,0,20,0,20
2022-05-20T16:29:55,0,20,0,20
2022-05-20T16:40:10,0,20,0,20
2022-05-20T16:50:24,0,20,0,20
2022-05-20T17:00:38,0,20,0,20
2022-05-20T17:10:53,0,20,0,20
2022-05-20T17:21:07,0,20,0,20
2022-05-20T17:31:20,0,20,0,20
2022-05-20T17:41:35,0,20,0,20
2022-05-20T17:51:49,0,20,0,20
2022-05-20T18:02:03,0,20,0,20
2022-05-20T18:12:26,0,20,0,20
2022-05-20T18:22:39,0,20,0,20
2022-05-20T18:32:53,0,20,0,20
2022-05-20T18:43:06,0,20,0,20
2022-05-20T18:53:19,0,20,0,20
2022-05-20T19:03:33,0,20,0,20
2022-05-20T19:13:47,0,20,0,20
2022-05-20T19:24:01,0,20,0,20
2022-05-20T19:34:15,0,20,0,20
2022-05-20T19:44:29,0,20,0,20
2022-05-20T19:54:43,0,20,0,20
