time,enrolled,available,waitlisted,total
2022-05-20T04:30:27,0,228,0,228
2022-05-20T04:40:55,0,228,0,228
2022-05-20T04:51:11,0,228,0,228
2022-05-20T05:01:27,0,228,0,228
2022-05-20T05:11:44,0,228,0,228
2022-05-20T05:21:58,0,228,0,228
2022-05-20T05:32:14,0,228,0,228
2022-05-20T05:42:30,0,228,0,228
2022-05-20T05:52:46,0,228,0,228
2022-05-20T06:03:02,0,228,0,228
2022-05-20T06:13:16,0,228,0,228
2022-05-20T06:23:32,0,228,0,228
2022-05-20T06:33:47,0,228,0,228
2022-05-20T06:44:01,0,228,0,228
2022-05-20T06:54:14,0,228,0,228
2022-05-20T07:04:31,0,228,0,228
2022-05-20T07:14:45,0,228,0,228
2022-05-20T07:24:58,0,228,0,228
2022-05-20T07:35:12,0,228,0,228
2022-05-20T07:45:26,0,228,0,228
2022-05-20T07:55:40,0,228,0,228
2022-05-20T08:05:54,0,228,0,228
2022-05-20T08:16:08,0,228,0,228
2022-05-20T08:26:24,0,228,0,228
2022-05-20T08:36:39,0,228,0,228
2022-05-20T08:46:54,0,228,0,228
2022-05-20T08:57:08,0,228,0,228
2022-05-20T09:07:24,0,228,0,228
2022-05-20T09:17:51,0,228,0,228
2022-05-20T09:28:07,0,228,0,228
2022-05-20T09:38:23,0,228,0,228
2022-05-20T09:48:39,0,228,0,228
2022-05-20T09:58:55,0,228,0,228
2022-05-20T10:09:12,0,228,0,228
2022-05-20T10:19:27,0,228,0,228
2022-05-20T10:29:44,0,228,0,228
2022-05-20T10:39:59,0,228,0,228
2022-05-20T10:50:28,0,228,0,228
2022-05-20T11:00:44,0,228,0,228
2022-05-20T11:11:00,0,228,0,228
2022-05-20T11:21:17,0,228,0,228
2022-05-20T11:31:32,0,228,0,228
2022-05-20T11:41:49,0,228,0,228
2022-05-20T11:52:18,0,228,0,228
2022-05-20T12:02:34,0,228,0,228
2022-05-20T12:12:49,0,228,0,228
2022-05-20T12:23:05,0,228,0,228
2022-05-20T12:33:20,0,228,0,228
2022-05-20T12:43:35,1,227,0,228
2022-05-20T12:53:51,1,227,0,228
2022-05-20T13:04:18,1,227,0,228
2022-05-20T13:14:34,1,227,0,228
2022-05-20T13:24:51,1,227,0,228
2022-05-20T13:35:07,1,227,0,228
2022-05-20T13:45:24,2,226,0,228
2022-05-20T13:55:39,2,226,0,228
2022-05-20T14:06:06,2,226,0,228
2022-05-20T14:16:21,2,226,0,228
2022-05-20T14:26:37,2,226,0,228
2022-05-20T14:36:52,2,226,0,228
2022-05-20T14:47:08,2,226,0,228
2022-05-20T14:57:23,2,226,0,228
