time,enrolled,available,waitlisted,total
2022-05-20T04:30:49,0,28,0,28
2022-05-20T04:41:06,0,28,0,28
2022-05-20T04:51:23,0,28,0,28
2022-05-20T05:01:39,0,28,0,28
2022-05-20T05:11:55,0,28,0,28
2022-05-20T05:22:10,0,28,0,28
2022-05-20T05:32:26,0,28,0,28
2022-05-20T05:42:42,0,28,0,28
2022-05-20T05:52:57,0,28,0,28
2022-05-20T06:03:13,0,28,0,28
2022-05-20T06:13:27,0,28,0,28
2022-05-20T06:23:44,0,28,0,28
2022-05-20T06:33:58,0,28,0,28
2022-05-20T06:44:13,0,28,0,28
2022-05-20T06:54:26,0,28,0,28
2022-05-20T07:04:43,0,28,0,28
2022-05-20T07:14:56,0,28,0,28
2022-05-20T07:25:10,0,28,0,28
2022-05-20T07:35:23,0,28,0,28
2022-05-20T07:45:38,0,28,0,28
2022-05-20T07:55:52,0,28,0,28
2022-05-20T08:06:06,0,28,0,28
2022-05-20T08:16:20,0,28,0,28
2022-05-20T08:26:36,0,28,0,28
2022-05-20T08:36:51,0,28,0,28
2022-05-20T08:47:05,0,28,0,28
2022-05-20T08:57:20,0,28,0,28
2022-05-20T09:07:36,0,28,0,28
2022-05-20T09:18:03,0,28,0,28
2022-05-20T09:28:19,0,28,0,28
2022-05-20T09:38:35,0,28,0,28
2022-05-20T09:48:51,0,28,0,28
2022-05-20T09:59:07,0,28,0,28
2022-05-20T10:09:24,0,28,0,28
2022-05-20T10:19:39,0,28,0,28
2022-05-20T10:29:55,0,28,0,28
2022-05-20T10:40:11,0,28,0,28
2022-05-20T10:50:39,0,28,0,28
2022-05-20T11:00:56,0,28,0,28
2022-05-20T11:11:12,0,28,0,28
2022-05-20T11:21:28,0,28,0,28
2022-05-20T11:31:44,0,28,0,28
2022-05-20T11:42:00,0,28,0,28
2022-05-20T11:52:30,0,28,0,28
2022-05-20T12:02:46,0,28,0,28
2022-05-20T12:13:01,0,28,0,28
2022-05-20T12:23:16,0,28,0,28
2022-05-20T12:33:31,0,28,0,28
2022-05-20T12:43:47,0,28,0,28
2022-05-20T12:54:03,0,28,0,28
2022-05-20T13:04:30,0,28,0,28
2022-05-20T13:14:46,0,28,0,28
2022-05-20T13:25:02,0,28,0,28
2022-05-20T13:35:19,0,28,0,28
2022-05-20T13:45:35,0,28,0,28
2022-05-20T13:55:51,0,28,0,28
2022-05-20T14:06:17,0,28,0,28
2022-05-20T14:16:33,0,28,0,28
2022-05-20T14:26:48,0,28,0,28
2022-05-20T14:37:04,0,28,0,28
2022-05-20T14:47:20,1,27,0,28
2022-05-20T14:57:35,1,27,0,28
2022-05-20T15:08:01,1,27,0,28
2022-05-20T15:18:16,1,27,0,28
2022-05-20T15:28:32,1,27,0,28
2022-05-20T15:38:47,1,27,0,28
2022-05-20T15:49:02,1,27,0,28
2022-05-20T15:59:16,1,27,0,28
2022-05-20T16:09:32,1,27,0,28
2022-05-20T16:19:57,1,27,0,28
2022-05-20T16:30:12,1,27,0,28
2022-05-20T16:40:26,1,27,0,28
2022-05-20T16:50:40,1,27,0,28
2022-05-20T17:00:54,1,27,0,28
2022-05-20T17:11:09,1,27,0,28
2022-05-20T17:21:23,1,27,0,28
2022-05-20T17:31:37,1,27,0,28
2022-05-20T17:41:51,1,27,0,28
2022-05-20T17:52:05,1,27,0,28
2022-05-20T18:02:19,1,27,0,28
2022-05-20T18:12:42,1,27,0,28
2022-05-20T18:22:56,1,27,0,28
2022-05-20T18:33:09,1,27,0,28
2022-05-20T18:43:22,1,27,0,28
2022-05-20T18:53:36,1,27,0,28
2022-05-20T19:03:49,1,27,0,28
2022-05-20T19:14:04,1,27,0,28
2022-05-20T19:24:18,1,27,0,28
2022-05-20T19:34:31,1,27,0,28
2022-05-20T19:44:46,1,27,0,28
2022-05-20T19:54:59,1,27,0,28
2022-05-20T20:05:23,1,27,0,28
2022-05-20T20:15:36,1,27,0,28
2022-05-20T20:25:50,1,27,0,28
2022-05-20T20:36:04,1,27,0,28
2022-05-20T20:46:17,1,27,0,28
2022-05-20T20:56:31,1,27,0,28
2022-05-20T21:06:44,1,27,0,28
2022-05-20T21:16:58,1,27,0,28
2022-05-20T21:27:22,1,27,0,28
2022-05-20T21:37:36,1,27,0,28
2022-05-20T21:47:49,1,27,0,28
2022-05-20T21:58:03,1,27,0,28
2022-05-20T22:08:18,1,27,0,28
2022-05-20T22:18:32,1,27,0,28
2022-05-20T22:28:46,1,27,0,28
2022-05-20T22:38:59,1,27,0,28
2022-05-20T22:49:13,1,27,0,28
2022-05-20T22:59:26,1,27,0,28
2022-05-20T23:09:41,1,27,0,28
2022-05-20T23:20:05,1,27,0,28
2022-05-20T23:30:19,1,27,0,28
2022-05-20T23:40:33,1,27,0,28
2022-05-20T23:50:46,1,27,0,28
2022-05-21T00:00:59,1,27,0,28
2022-05-21T00:11:15,1,27,0,28
2022-05-21T00:21:32,1,27,0,28
2022-05-21T00:31:47,1,27,0,28
2022-05-21T00:42:04,1,27,0,28
2022-05-21T00:52:19,1,27,0,28
2022-05-21T01:02:34,1,27,0,28
2022-05-21T01:12:50,1,27,0,28
2022-05-21T01:23:05,1,27,0,28
2022-05-21T01:33:20,1,27,0,28
2022-05-21T01:43:35,1,27,0,28
2022-05-21T01:53:50,1,27,0,28
2022-05-21T02:04:14,1,27,0,28
2022-05-21T02:14:28,1,27,0,28
2022-05-21T02:24:41,1,27,0,28
2022-05-21T02:34:54,1,27,0,28
2022-05-21T02:45:07,1,27,0,28
2022-05-21T02:55:20,1,27,0,28
2022-05-21T03:05:33,1,27,0,28
2022-05-21T03:15:48,1,27,0,28
2022-05-21T03:26:07,1,27,0,28
2022-05-21T03:36:22,1,27,0,28
2022-05-21T03:46:38,1,27,0,28
2022-05-21T03:56:53,1,27,0,28
2022-05-21T04:07:09,1,27,0,28
2022-05-21T04:22:29,1,27,0,28
2022-05-21T04:33:54,1,27,0,28
2022-05-21T04:44:26,1,27,0,28
2022-05-21T04:54:42,1,27,0,28
2022-05-21T05:04:57,1,27,0,28
2022-05-21T05:15:13,1,27,0,28
2022-05-21T05:25:29,1,27,0,28
2022-05-21T05:35:45,1,27,0,28
2022-05-21T05:46:00,1,27,0,28
2022-05-21T05:56:16,1,27,0,28
2022-05-21T06:06:32,1,27,0,28
2022-05-21T06:16:47,1,27,0,28
2022-05-21T06:27:03,1,27,0,28
2022-05-21T06:37:18,1,27,0,28
2022-05-21T06:47:34,1,27,0,28
2022-05-21T06:57:49,1,27,0,28
2022-05-21T07:08:05,1,27,0,28
2022-05-21T07:18:20,1,27,0,28
2022-05-21T07:28:35,1,27,0,28
2022-05-21T07:38:50,1,27,0,28
2022-05-21T07:49:05,1,27,0,28
2022-05-21T07:59:20,1,27,0,28
2022-05-21T08:09:34,1,27,0,28
2022-05-21T08:19:51,1,27,0,28
2022-05-21T08:30:05,1,27,0,28
2022-05-21T08:40:20,1,27,0,28
2022-05-21T08:50:57,1,27,0,28
2022-05-21T09:01:11,1,27,0,28
2022-05-21T09:11:24,1,27,0,28
2022-05-21T09:21:37,1,27,0,28
2022-05-21T09:31:50,1,27,0,28
2022-05-21T09:42:03,1,27,0,28
2022-05-21T09:52:16,1,27,0,28
2022-05-21T10:02:29,1,27,0,28
2022-05-21T10:12:43,1,27,0,28
2022-05-21T10:22:56,1,27,0,28
2022-05-21T10:33:09,1,27,0,28
2022-05-21T10:43:22,1,27,0,28
2022-05-21T10:53:35,1,27,0,28
2022-05-21T11:03:49,1,27,0,28
2022-05-21T11:14:14,1,27,0,28
2022-05-21T11:24:27,1,27,0,28
2022-05-21T11:34:41,1,27,0,28
2022-05-21T11:44:55,1,27,0,28
2022-05-21T11:55:08,1,27,0,28
2022-05-21T12:05:22,1,27,0,28
2022-05-21T12:15:37,1,27,0,28
2022-05-21T12:25:50,1,27,0,28
2022-05-21T12:36:23,1,27,0,28
2022-05-21T12:46:37,1,27,0,28
2022-05-21T12:56:50,1,27,0,28
2022-05-21T13:07:04,1,27,0,28
2022-05-21T13:17:17,1,27,0,28
2022-05-21T13:27:31,1,27,0,28
2022-05-21T13:37:44,1,27,0,28
2022-05-21T13:47:57,1,27,0,28
2022-05-21T13:58:11,1,27,0,28
2022-05-21T14:08:24,1,27,0,28
2022-05-21T14:18:48,1,27,0,28
2022-05-21T14:29:01,1,27,0,28
2022-05-21T14:39:14,1,27,0,28
2022-05-21T14:49:29,1,27,0,28
2022-05-21T14:59:44,1,27,0,28
2022-05-21T15:09:57,1,27,0,28
2022-05-21T15:20:11,1,27,0,28
2022-05-21T15:30:34,1,27,0,28
2022-05-21T15:40:48,1,27,0,28
2022-05-21T15:51:02,1,27,0,28
2022-05-21T16:01:15,1,27,0,28
2022-05-21T16:11:29,1,27,0,28
2022-05-21T16:21:42,1,27,0,28
2022-05-21T16:31:55,1,27,0,28
2022-05-21T16:42:09,1,27,0,28
2022-05-21T16:52:22,1,27,0,28
2022-05-21T17:02:54,1,27,0,28
2022-05-21T17:13:08,1,27,0,28
2022-05-21T17:23:22,1,27,0,28
2022-05-21T17:33:36,1,27,0,28
2022-05-21T17:43:49,1,27,0,28
2022-05-21T17:54:02,1,27,0,28
2022-05-21T18:04:15,1,27,0,28
2022-05-21T18:14:29,1,27,0,28
2022-05-21T18:24:42,1,27,0,28
2022-05-21T18:34:56,1,27,0,28
2022-05-21T18:45:10,1,27,0,28
2022-05-21T18:55:51,1,27,0,28
2022-05-21T19:06:04,1,27,0,28
2022-05-21T19:16:18,1,27,0,28
2022-05-21T19:26:31,1,27,0,28
2022-05-21T19:36:44,1,27,0,28
2022-05-21T19:46:59,1,27,0,28
2022-05-21T19:57:14,1,27,0,28
2022-05-21T20:07:28,1,27,0,28
2022-05-21T20:17:41,1,27,0,28
2022-05-21T20:27:55,1,27,0,28
2022-05-21T20:38:20,1,27,0,28
2022-05-21T20:48:33,1,27,0,28
2022-05-21T20:58:47,1,27,0,28
2022-05-21T21:09:00,1,27,0,28
2022-05-21T21:19:14,1,27,0,28
