time,enrolled,available,waitlisted,total
2022-05-20T04:30:53,0,28,0,28
2022-05-20T04:41:10,0,28,0,28
2022-05-20T04:51:27,0,28,0,28
2022-05-20T05:01:43,0,28,0,28
2022-05-20T05:11:59,0,28,0,28
2022-05-20T05:22:14,0,28,0,28
2022-05-20T05:32:30,0,28,0,28
2022-05-20T05:42:45,0,28,0,28
2022-05-20T05:53:01,0,28,0,28
2022-05-20T06:03:17,0,28,0,28
2022-05-20T06:13:31,0,28,0,28
2022-05-20T06:23:47,0,28,0,28
2022-05-20T06:34:02,0,28,0,28
2022-05-20T06:44:16,0,28,0,28
2022-05-20T06:54:29,0,28,0,28
2022-05-20T07:04:46,0,28,0,28
2022-05-20T07:15:00,0,28,0,28
2022-05-20T07:25:13,0,28,0,28
2022-05-20T07:35:27,0,28,0,28
2022-05-20T07:45:41,0,28,0,28
2022-05-20T07:55:56,0,28,0,28
2022-05-20T08:06:10,0,28,0,28
2022-05-20T08:16:24,0,28,0,28
2022-05-20T08:26:39,0,28,0,28
2022-05-20T08:36:54,0,28,0,28
2022-05-20T08:47:09,0,28,0,28
2022-05-20T08:57:23,0,28,0,28
2022-05-20T09:07:39,0,28,0,28
2022-05-20T09:18:07,0,28,0,28
2022-05-20T09:28:23,0,28,0,28
2022-05-20T09:38:38,0,28,0,28
2022-05-20T09:48:54,0,28,0,28
2022-05-20T09:59:10,0,28,0,28
2022-05-20T10:09:27,0,28,0,28
2022-05-20T10:19:43,0,28,0,28
2022-05-20T10:29:59,0,28,0,28
2022-05-20T10:40:14,0,28,0,28
2022-05-20T10:50:43,0,28,0,28
2022-05-20T11:00:59,0,28,0,28
2022-05-20T11:11:16,0,28,0,28
2022-05-20T11:21:32,0,28,0,28
2022-05-20T11:31:48,0,28,0,28
2022-05-20T11:42:04,0,28,0,28
2022-05-20T11:52:33,0,28,0,28
2022-05-20T12:02:50,0,28,0,28
2022-05-20T12:13:05,0,28,0,28
2022-05-20T12:23:20,0,28,0,28
2022-05-20T12:33:35,0,28,0,28
2022-05-20T12:43:51,0,28,0,28
2022-05-20T12:54:06,0,28,0,28
2022-05-20T13:04:33,0,28,0,28
2022-05-20T13:14:50,0,28,0,28
2022-05-20T13:25:06,0,28,0,28
2022-05-20T13:35:23,0,28,0,28
